,1. open,2. high,3. low,4. close,5. volume
2015-04-30 15:59:00,160.96,161.0,160.38,160.8,33207
2015-04-30 15:58:00,161.27,161.38,160.96,160.98,11253
2015-04-30 15:57:00,161.29,161.48,161.23,161.24,4979
2015-04-30 15:56:00,161.39,161.39,161.24,161.25,1100
2015-04-30 15:55:00,161.43,161.44,161.37,161.37,4436
2015-04-30 15:54:00,161.29,161.44,161.29,161.42,2300
2015-04-30 15:53:00,161.02,161.34,160.93,161.23,13059
2015-04-30 15:52:00,160.99,161.0,160.92,161.0,2035
2015-04-30 15:51:00,161.025,161.035,160.99,160.99,6403
2015-04-30 15:50:00,160.87,161.02,160.84,161.0,2900
2015-04-30 15:49:00,160.83,160.9,160.81,160.9,4300
2015-04-30 15:48:00,160.81,160.85,160.81,160.82,1400
2015-04-30 15:47:00,161.18,161.18,160.685,160.69,10890
2015-04-30 15:46:00,161.35,161.35,160.98,161.11,8605
2015-04-30 15:45:00,161.14,161.39,161.13,161.25,6875
2015-04-30 15:44:00,161.23,161.23,161.01,161.01,1300
2015-04-30 15:43:00,161.15,161.39,161.12,161.255,4334
2015-04-30 15:42:00,161.5,161.5,160.97,161.2,11567
2015-04-30 15:41:00,161.465,161.66,161.4,161.51,6200
2015-04-30 15:40:00,161.41,161.57,161.4,161.465,6214
2015-04-30 15:39:00,161.41,161.471,161.31,161.31,1400
2015-04-30 15:38:00,161.52,161.7,161.435,161.47,5199
2015-04-30 15:37:00,161.32,161.71,161.32,161.51,7283
2015-04-30 15:36:00,161.4,161.4,161.21,161.21,1500
2015-04-30 15:35:00,161.5,161.585,161.4,161.41,5379
2015-04-30 15:34:00,161.49,161.5,161.49,161.5,300
2015-04-30 15:33:00,161.27,161.7,161.225,161.41,11524
2015-04-30 15:32:00,161.12,161.68,161.06,161.105,20338
2015-04-30 15:31:00,160.98,161.1,160.9,161.075,12346
2015-04-30 15:30:00,160.99,160.99,160.88,160.935,900
2015-04-30 15:29:00,161.0,161.09,160.975,161.08,1100
2015-04-30 15:28:00,160.84,161.0,160.82,161.0,2711
2015-04-30 15:27:00,160.94,161.07,160.85,160.93,4700
2015-04-30 15:26:00,161.015,161.015,160.92,160.92,540
2015-04-30 15:25:00,161.01,161.095,160.98,161.01,800
2015-04-30 15:24:00,161.02,161.17,160.98,161.02,5100
2015-04-30 15:23:00,161.02,161.04,160.78,161.01,3300
2015-04-30 15:22:00,161.16,161.17,161.01,161.01,1150
2015-04-30 15:21:00,161.38,161.38,161.22,161.23,1709
2015-04-30 15:20:00,161.11,161.49,161.11,161.49,1500
2015-04-30 15:19:00,161.13,161.13,161.09,161.09,500
2015-04-30 15:18:00,161.11,161.11,161.11,161.11,227
2015-04-30 15:17:00,161.0,161.06,161.0,161.06,850
2015-04-30 15:16:00,160.9,160.96,160.85,160.96,1881
2015-04-30 15:15:00,160.84,160.96,160.79,160.93,5500
2015-04-30 15:14:00,160.73,160.83,160.73,160.83,16800
2015-04-30 15:13:00,160.68,160.68,160.68,160.68,100
2015-04-30 15:12:00,160.88,160.91,160.72,160.72,1200
2015-04-30 15:11:00,160.95,160.95,160.85,160.87,1366
2015-04-30 15:10:00,160.96,161.0,160.94,160.95,1100
2015-04-30 15:09:00,161.2,161.24,160.71,160.99,8238
2015-04-30 15:08:00,161.19,161.305,161.19,161.2,600
2015-04-30 15:07:00,161.32,161.34,161.27,161.27,500
2015-04-30 15:06:00,161.38,161.41,161.3,161.3,1000
2015-04-30 15:05:00,161.36,161.39,161.29,161.32,2512
2015-04-30 15:04:00,161.35,161.4,161.34,161.36,900
2015-04-30 15:03:00,161.35,161.36,161.15,161.34,2100
2015-04-30 15:02:00,161.46,161.54,161.34,161.34,1900
2015-04-30 15:01:00,161.58,161.58,161.41,161.415,1300
2015-04-30 15:00:00,161.43,161.67,161.43,161.62,2400
2015-04-30 14:59:00,161.71,161.8,161.57,161.74,1400
2015-04-30 14:58:00,161.73,161.78,161.64,161.78,2400
2015-04-30 14:56:00,161.64,161.74,161.64,161.74,1000
2015-04-30 14:55:00,161.655,161.655,161.61,161.61,327
2015-04-30 14:54:00,161.935,161.97,161.89,161.89,1000
2015-04-30 14:53:00,161.86,161.98,161.86,161.98,467
2015-04-30 14:52:00,161.61,161.78,161.61,161.78,2100
2015-04-30 14:51:00,161.65,161.65,161.6,161.6,200
2015-04-30 14:50:00,161.8,161.8,161.65,161.65,400
2015-04-30 14:49:00,161.8,161.8,161.79,161.79,200
2015-04-30 14:48:00,162.0,162.03,161.99,161.99,2100
2015-04-30 14:47:00,162.01,162.07,162.0,162.0,1984
2015-04-30 14:46:00,162.03,162.08,162.0,162.02,1500
2015-04-30 14:45:00,162.17,162.17,162.11,162.11,1100
2015-04-30 14:44:00,162.0,162.13,162.0,162.13,1600
2015-04-30 14:43:00,162.1,162.1,162.04,162.08,1200
2015-04-30 14:42:00,162.2,162.2,162.12,162.155,1000
2015-04-30 14:41:00,162.16,162.21,162.08,162.21,1300
2015-04-30 14:40:00,162.19,162.19,162.09,162.09,200
2015-04-30 14:39:00,162.07,162.07,162.06,162.07,1100
2015-04-30 14:38:00,162.03,162.19,162.03,162.19,1000
2015-04-30 14:37:00,162.055,162.09,161.96,162.03,1956
2015-04-30 14:36:00,162.02,162.02,162.02,162.02,100
2015-04-30 14:35:00,162.08,162.08,162.04,162.04,300
2015-04-30 14:34:00,162.11,162.17,162.11,162.17,1100
2015-04-30 14:33:00,162.11,162.11,162.01,162.01,200
2015-04-30 14:32:00,162.02,162.06,162.02,162.04,900
2015-04-30 14:31:00,162.11,162.11,162.11,162.11,100
2015-04-30 14:30:00,162.144,162.144,162.11,162.11,1000
2015-04-30 14:29:00,162.12,162.12,162.11,162.11,500
2015-04-30 14:28:00,162.16,162.16,162.12,162.15,1000
2015-04-30 14:27:00,162.147,162.148,162.11,162.11,200
2015-04-30 14:26:00,162.12,162.12,162.11,162.11,500
2015-04-30 14:25:00,162.16,162.21,162.04,162.04,300
2015-04-30 14:24:00,162.454,162.56,162.07,162.08,2300
2015-04-30 14:23:00,162.46,162.46,162.45,162.45,200
2015-04-30 14:22:00,162.55,162.57,162.45,162.56,2500
2015-04-30 14:21:00,162.64,162.64,162.49,162.56,500
2015-04-30 14:20:00,162.555,162.67,162.555,162.67,400
2015-04-30 14:19:00,162.69,162.69,162.591,162.591,514
2015-04-30 14:18:00,162.68,162.68,162.63,162.63,200
2015-04-30 14:17:00,162.53,162.6,162.52,162.6,800
2015-04-30 14:16:00,162.54,162.54,162.52,162.52,200
2015-04-30 14:15:00,162.45,162.54,162.45,162.54,500
2015-04-30 14:14:00,162.54,162.54,162.45,162.45,200
2015-04-30 14:13:00,162.6,162.6,162.52,162.55,800
2015-04-30 14:12:00,162.54,162.72,162.54,162.72,700
2015-04-30 14:11:00,162.4,162.58,162.38,162.58,800
2015-04-30 14:10:00,162.69,162.69,162.54,162.54,2600
2015-04-30 14:09:00,162.7,162.71,162.59,162.59,300
2015-04-30 14:08:00,162.7,162.71,162.62,162.62,1000
2015-04-30 14:07:00,162.68,162.69,162.625,162.69,1300
2015-04-30 14:06:00,162.59,162.66,162.57,162.66,700
2015-04-30 14:05:00,162.64,162.69,162.59,162.63,1700
2015-04-30 14:04:00,162.67,162.67,162.64,162.64,700
2015-04-30 14:03:00,162.79,162.8,162.7,162.7,1400
2015-04-30 14:02:00,162.7,162.75,162.7,162.75,1110
2015-04-30 14:01:00,162.59,162.7,162.58,162.7,300
2015-04-30 14:00:00,162.74,162.74,162.59,162.651,600
2015-04-30 13:59:00,162.87,162.87,162.68,162.68,400
2015-04-30 13:58:00,162.83,162.83,162.78,162.78,400
2015-04-30 13:57:00,162.85,162.91,162.85,162.91,500
2015-04-30 13:56:00,162.87,162.89,162.83,162.83,1000
2015-04-30 13:55:00,162.88,162.88,162.88,162.88,201
2015-04-30 13:54:00,162.85,162.85,162.84,162.85,1100
2015-04-30 13:53:00,162.84,162.88,162.72,162.78,2500
2015-04-30 13:52:00,162.82,162.82,162.76,162.79,500
2015-04-30 13:51:00,162.87,162.87,162.75,162.81,400
2015-04-30 13:50:00,162.79,162.92,162.79,162.84,1600
2015-04-30 13:49:00,162.98,163.03,162.73,162.82,2200
2015-04-30 13:48:00,162.95,163.0,162.95,162.96,700
2015-04-30 13:47:00,162.88,162.94,162.86,162.94,600
2015-04-30 13:46:00,162.98,163.01,162.98,163.01,400
2015-04-30 13:45:00,163.02,163.02,162.92,163.0,500
2015-04-30 13:44:00,162.99,163.01,162.95,162.95,799
2015-04-30 13:43:00,162.97,163.01,162.97,163.01,829
2015-04-30 13:42:00,162.9,162.94,162.9,162.94,600
2015-04-30 13:41:00,162.89,162.89,162.87,162.87,287
2015-04-30 13:40:00,162.96,162.96,162.9,162.9,1600
2015-04-30 13:39:00,162.86,162.93,162.86,162.93,1100
2015-04-30 13:38:00,162.84,162.84,162.8,162.83,1800
2015-04-30 13:37:00,162.76,162.76,162.76,162.76,100
2015-04-30 13:36:00,162.9,162.9,162.79,162.79,500
2015-04-30 13:35:00,162.93,163.06,162.85,162.85,5500
2015-04-30 13:34:00,162.96,162.98,162.89,162.97,1200
2015-04-30 13:33:00,162.995,163.05,162.995,163.04,600
2015-04-30 13:32:00,162.95,163.05,162.94,163.05,1100
2015-04-30 13:30:00,162.91,162.95,162.91,162.95,300
2015-04-30 13:29:00,162.97,162.97,162.92,162.92,600
2015-04-30 13:28:00,163.03,163.03,163.03,163.03,100
2015-04-30 13:27:00,162.95,162.95,162.95,162.95,300
2015-04-30 13:26:00,162.96,162.96,162.92,162.94,500
2015-04-30 13:25:00,162.99,163.07,162.89,162.89,4500
2015-04-30 13:24:00,162.87,163.02,162.87,162.97,4800
2015-04-30 13:23:00,162.85,162.9,162.85,162.9,500
2015-04-30 13:22:00,162.85,162.86,162.85,162.86,300
2015-04-30 13:21:00,162.98,162.98,162.82,162.82,1600
2015-04-30 13:20:00,163.03,163.08,162.97,162.97,1900
2015-04-30 13:19:00,162.93,163.01,162.93,163.01,700
2015-04-30 13:18:00,162.95,162.95,162.94,162.94,300
2015-04-30 13:17:00,163.09,163.09,162.74,162.74,1100
2015-04-30 13:16:00,163.14,163.14,163.04,163.11,600
2015-04-30 13:14:00,163.15,163.15,163.07,163.15,1700
2015-04-30 13:13:00,163.05,163.07,163.05,163.07,700
