,1. open,2. high,3. low,4. close,5. volume
2017-04-28 15:59:00,29.885,29.89,29.85,29.85,60532
2017-04-28 15:58:00,29.9,29.9,29.88,29.885,45222
2017-04-28 15:57:00,29.9,29.91,29.895,29.905,15136
2017-04-28 15:56:00,29.885,29.9,29.885,29.9,12134
2017-04-28 15:55:00,29.895,29.9,29.88,29.885,27897
2017-04-28 15:54:00,29.885,29.9,29.885,29.9,9000
2017-04-28 15:53:00,29.87,29.89,29.87,29.89,23732
2017-04-28 15:52:00,29.865,29.87,29.86,29.87,4244
2017-04-28 15:51:00,29.865,29.87,29.865,29.87,4000
2017-04-28 15:50:00,29.845,29.87,29.84,29.865,49525
2017-04-28 15:49:00,29.845,29.85,29.84,29.85,5516
2017-04-28 15:48:00,29.84,29.85,29.835,29.845,4167
2017-04-28 15:47:00,29.84,29.84,29.83,29.84,5218
2017-04-28 15:46:00,29.835,29.84,29.83,29.835,3100
2017-04-28 15:45:00,29.835,29.85,29.83,29.83,22156
2017-04-28 15:44:00,29.83,29.837,29.83,29.83,1200
2017-04-28 15:43:00,29.84,29.85,29.83,29.83,24319
2017-04-28 15:42:00,29.825,29.84,29.82,29.835,6437
2017-04-28 15:41:00,29.825,29.83,29.82,29.83,1500
2017-04-28 15:40:00,29.825,29.83,29.825,29.83,1400
2017-04-28 15:39:00,29.82,29.835,29.82,29.83,9868
2017-04-28 15:38:00,29.82,29.83,29.81,29.83,6498
2017-04-28 15:37:00,29.82,29.82,29.81,29.82,1700
2017-04-28 15:36:00,29.82,29.83,29.815,29.82,7350
2017-04-28 15:35:00,29.81,29.82,29.805,29.82,4036
2017-04-28 15:34:00,29.8,29.81,29.795,29.8,11710
2017-04-28 15:33:00,29.79,29.8,29.79,29.8,2252
2017-04-28 15:32:00,29.78,29.79,29.78,29.79,3100
2017-04-28 15:31:00,29.77,29.775,29.765,29.77,13101
2017-04-28 15:30:00,29.765,29.785,29.765,29.775,7754
2017-04-28 15:29:00,29.76,29.76,29.76,29.76,300
2017-04-28 15:28:00,29.76,29.77,29.76,29.77,2400
2017-04-28 15:27:00,29.75,29.755,29.75,29.75,2033
2017-04-28 15:26:00,29.75,29.755,29.74,29.74,5036
2017-04-28 15:25:00,29.76,29.76,29.76,29.76,300
2017-04-28 15:24:00,29.76,29.76,29.75,29.76,2800
2017-04-28 15:23:00,29.76,29.765,29.76,29.765,900
2017-04-28 15:22:00,29.77,29.775,29.76,29.76,13707
2017-04-28 15:21:00,29.773,29.78,29.77,29.77,1116
2017-04-28 15:20:00,29.78,29.78,29.77,29.77,500
2017-04-28 15:19:00,29.78,29.78,29.78,29.78,450
2017-04-28 15:18:00,29.765,29.78,29.765,29.775,5774
2017-04-28 15:17:00,29.76,29.77,29.76,29.77,200
2017-04-28 15:16:00,29.76,29.765,29.76,29.76,7055
2017-04-28 15:15:00,29.76,29.76,29.752,29.755,400
2017-04-28 15:14:00,29.744,29.75,29.744,29.75,2194
2017-04-28 15:13:00,29.745,29.745,29.74,29.74,3200
2017-04-28 15:12:00,29.75,29.76,29.74,29.745,9350
2017-04-28 15:11:00,29.755,29.755,29.75,29.75,800
2017-04-28 15:09:00,29.74,29.76,29.74,29.755,7368
2017-04-28 15:08:00,29.74,29.75,29.74,29.74,11100
2017-04-28 15:07:00,29.74,29.75,29.74,29.75,3968
2017-04-28 15:06:00,29.73,29.735,29.73,29.73,6852
2017-04-28 15:05:00,29.73,29.74,29.72,29.725,10500
2017-04-28 15:04:00,29.705,29.73,29.7,29.73,23742
2017-04-28 15:03:00,29.7,29.705,29.7,29.7,1994
2017-04-28 15:02:00,29.705,29.71,29.7,29.7,700
2017-04-28 15:01:00,29.7,29.71,29.7,29.71,500
2017-04-28 15:00:00,29.7,29.71,29.7,29.7,13318
2017-04-28 14:59:00,29.71,29.72,29.69,29.69,2200
2017-04-28 14:58:00,29.69,29.72,29.69,29.72,16684
2017-04-28 14:57:00,29.69,29.7,29.69,29.69,13973
2017-04-28 14:56:00,29.69,29.69,29.69,29.69,4759
2017-04-28 14:55:00,29.7,29.7,29.68,29.68,4876
2017-04-28 14:54:00,29.73,29.73,29.7,29.7,3659
2017-04-28 14:52:00,29.72,29.73,29.72,29.72,1378
2017-04-28 14:51:00,29.71,29.72,29.71,29.713,800
