,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,85.75,85.77,85.64,85.66,104328
2024-03-22 15:58:00,85.75,85.77,85.73,85.745,25709
2024-03-22 15:57:00,85.715,85.76,85.715,85.74,14576
2024-03-22 15:56:00,85.72,85.76,85.7,85.715,26409
2024-03-22 15:55:00,85.75,85.77,85.71,85.725,24809
2024-03-22 15:54:00,85.75,85.785,85.73,85.747,15779
2024-03-22 15:53:00,85.86,85.86,85.75,85.75,18059
2024-03-22 15:52:00,85.84,85.87,85.84,85.85,11118
2024-03-22 15:51:00,85.84,85.86,85.83,85.84,7495
2024-03-22 15:50:00,85.81,85.833,85.78,85.815,9924
2024-03-22 15:49:00,85.8,85.8,85.77,85.77,3844
2024-03-22 15:48:00,85.775,85.8,85.775,85.8,3320
2024-03-22 15:47:00,85.85,85.85,85.78,85.785,10101
2024-03-22 15:46:00,85.81,85.86,85.8,85.86,6687
2024-03-22 15:45:00,85.82,85.82,85.76,85.81,5986
2024-03-22 15:44:00,85.77,85.82,85.77,85.82,4521
2024-03-22 15:43:00,85.77,85.777,85.76,85.77,3055
2024-03-22 15:42:00,85.78,85.79,85.76,85.77,4904
2024-03-22 15:41:00,85.76,85.79,85.75,85.78,3271
2024-03-22 15:40:00,85.73,85.76,85.73,85.76,4521
2024-03-22 15:39:00,85.76,85.779,85.73,85.745,4915
2024-03-22 15:38:00,85.8,85.8,85.76,85.771,5604
2024-03-22 15:37:00,85.82,85.825,85.79,85.8,3743
2024-03-22 15:36:00,85.82,85.845,85.82,85.83,5249
2024-03-22 15:35:00,85.81,85.82,85.81,85.82,1318
2024-03-22 15:34:00,85.81,85.82,85.8,85.82,2668
2024-03-22 15:33:00,85.82,85.82,85.79,85.79,2923
2024-03-22 15:32:00,85.84,85.84,85.814,85.814,2413
2024-03-22 15:31:00,85.88,85.89,85.86,85.86,3203
2024-03-22 15:30:00,85.89,85.92,85.88,85.885,3246
2024-03-22 15:29:00,85.89,85.9,85.89,85.9,529
2024-03-22 15:28:00,85.86,85.89,85.86,85.89,3178
2024-03-22 15:27:00,85.9,85.9,85.845,85.85,8410
2024-03-22 15:26:00,85.86,85.87,85.86,85.87,1074
2024-03-22 15:25:00,85.89,85.912,85.85,85.86,5512
2024-03-22 15:24:00,85.815,85.85,85.815,85.85,6874
2024-03-22 15:23:00,85.89,85.89,85.83,85.83,2561
2024-03-22 15:22:00,85.8,85.82,85.795,85.82,4068
2024-03-22 15:21:00,85.83,85.83,85.805,85.805,1251
2024-03-22 15:20:00,85.84,85.85,85.84,85.84,723
2024-03-22 15:19:00,85.87,85.87,85.83,85.84,2774
2024-03-22 15:18:00,85.87,85.875,85.87,85.87,1272
2024-03-22 15:17:00,85.83,85.86,85.83,85.86,1422
2024-03-22 15:16:00,85.88,85.88,85.84,85.84,2797
2024-03-22 15:15:00,85.87,85.91,85.87,85.89,2828
2024-03-22 15:14:00,85.85,85.87,85.84,85.87,1523
2024-03-22 15:13:00,85.85,85.85,85.85,85.85,585
2024-03-22 15:12:00,85.885,85.885,85.81,85.87,2931
2024-03-22 15:11:00,85.9,85.91,85.89,85.89,2261
2024-03-22 15:10:00,85.95,85.95,85.9,85.91,3581
2024-03-22 15:09:00,85.97,85.98,85.95,85.97,3190
2024-03-22 15:08:00,85.97,85.97,85.97,85.97,242
2024-03-22 15:07:00,85.98,85.98,85.96,85.96,646
2024-03-22 15:06:00,86.032,86.032,85.97,85.97,3303
2024-03-22 15:04:00,86.01,86.03,86.01,86.03,977
2024-03-22 15:03:00,86.01,86.01,85.99,86.007,10589
2024-03-22 15:02:00,86.05,86.05,86.015,86.02,5084
2024-03-22 15:01:00,86.055,86.06,86.055,86.06,391
2024-03-22 15:00:00,86.035,86.035,86.03,86.03,327
2024-03-22 14:59:00,86.01,86.02,86.01,86.02,350
2024-03-22 14:58:00,86.01,86.01,85.985,86.0,2202
2024-03-22 14:56:00,86.015,86.015,86.015,86.015,463
2024-03-22 14:55:00,86.0,86.01,85.98,86.0,4240
2024-03-22 14:54:00,86.01,86.01,86.01,86.01,1164
2024-03-22 14:53:00,85.99,86.02,85.99,86.02,953
2024-03-22 14:52:00,85.94,85.94,85.94,85.94,290
2024-03-22 14:51:00,85.94,85.94,85.93,85.94,1265
2024-03-22 14:50:00,85.94,85.945,85.93,85.945,704
2024-03-22 14:49:00,85.92,85.95,85.92,85.95,1115
2024-03-22 14:48:00,85.9,85.925,85.9,85.925,2275
2024-03-22 14:47:00,85.97,85.97,85.9,85.91,7071
2024-03-22 14:46:00,85.96,85.96,85.96,85.96,175
2024-03-22 14:45:00,85.97,85.97,85.92,85.94,2668
2024-03-22 14:44:00,85.965,85.965,85.965,85.965,766
2024-03-22 14:43:00,85.96,85.96,85.945,85.945,1255
2024-03-22 14:42:00,86.0,86.0,85.96,85.965,2122
2024-03-22 14:41:00,86.005,86.01,86.0,86.01,1323
2024-03-22 14:40:00,86.02,86.02,86.0,86.0,1295
2024-03-22 14:39:00,86.03,86.03,86.03,86.03,1149
2024-03-22 14:38:00,86.035,86.035,86.035,86.035,197
2024-03-22 14:37:00,86.045,86.045,86.03,86.03,1205
2024-03-22 14:36:00,86.005,86.005,86.005,86.005,366
2024-03-22 14:35:00,86.02,86.02,86.005,86.02,2206
2024-03-22 14:34:00,86.0,86.035,86.0,86.035,1415
2024-03-22 14:33:00,86.02,86.03,86.01,86.01,1654
2024-03-22 14:32:00,86.08,86.08,86.03,86.03,2409
2024-03-22 14:31:00,86.06,86.07,86.06,86.07,1100
2024-03-22 14:30:00,86.075,86.082,86.065,86.065,2053
