,1. open,2. high,3. low,4. close,5. volume
2023-12-29 15:59:00,77.28,77.38,77.259,77.31,87223
2023-12-29 15:58:00,77.28,77.3,77.264,77.275,19882
2023-12-29 15:57:00,77.3,77.31,77.268,77.275,16822
2023-12-29 15:56:00,77.32,77.35,77.259,77.3,17833
2023-12-29 15:55:00,77.23,77.325,77.179,77.31,18330
2023-12-29 15:54:00,77.345,77.345,77.239,77.25,18068
2023-12-29 15:53:00,77.36,77.375,77.309,77.35,17235
2023-12-29 15:52:00,77.425,77.43,77.359,77.37,5957
2023-12-29 15:51:00,77.365,77.43,77.364,77.425,8570
2023-12-29 15:50:00,77.34,77.38,77.329,77.36,9680
2023-12-29 15:49:00,77.39,77.39,77.359,77.36,4948
2023-12-29 15:48:00,77.39,77.39,77.359,77.385,4984
2023-12-29 15:47:00,77.43,77.44,77.399,77.4,4270
2023-12-29 15:46:00,77.451,77.451,77.369,77.41,18113
2023-12-29 15:45:00,77.42,77.45,77.399,77.444,5678
2023-12-29 15:44:00,77.42,77.429,77.409,77.428,2964
2023-12-29 15:43:00,77.455,77.46,77.429,77.43,4393
2023-12-29 15:42:00,77.465,77.48,77.45,77.454,6320
2023-12-29 15:41:00,77.455,77.47,77.454,77.459,2412
2023-12-29 15:40:00,77.445,77.465,77.444,77.464,2022
2023-12-29 15:39:00,77.43,77.465,77.429,77.449,4942
2023-12-29 15:38:00,77.43,77.435,77.419,77.42,2607
2023-12-29 15:37:00,77.44,77.45,77.409,77.41,2622
2023-12-29 15:36:00,77.42,77.45,77.419,77.44,3361
2023-12-29 15:35:00,77.44,77.44,77.399,77.4,1851
2023-12-29 15:34:00,77.42,77.48,77.419,77.44,4940
2023-12-29 15:33:00,77.42,77.43,77.409,77.42,3492
2023-12-29 15:32:00,77.435,77.435,77.409,77.42,4639
2023-12-29 15:31:00,77.442,77.46,77.434,77.435,3760
2023-12-29 15:30:00,77.51,77.51,77.449,77.449,4759
2023-12-29 15:29:00,77.515,77.515,77.489,77.505,2991
2023-12-29 15:28:00,77.485,77.52,77.484,77.519,3631
2023-12-29 15:27:00,77.475,77.49,77.469,77.479,9203
2023-12-29 15:26:00,77.455,77.48,77.454,77.47,3524
2023-12-29 15:25:00,77.43,77.44,77.429,77.44,3258
2023-12-29 15:24:00,77.42,77.43,77.419,77.43,3282
2023-12-29 15:23:00,77.405,77.42,77.4,77.42,3829
2023-12-29 15:22:00,77.38,77.411,77.369,77.4,3173
