,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,22.11,22.12,22.1,22.11,125693
2024-03-22 15:58:00,22.11,22.12,22.11,22.115,10836
2024-03-22 15:57:00,22.11,22.12,22.11,22.11,16525
2024-03-22 15:56:00,22.1,22.12,22.1,22.11,38922
2024-03-22 15:55:00,22.1,22.105,22.095,22.1,42011
2024-03-22 15:54:00,22.105,22.105,22.09,22.1,45325
2024-03-22 15:53:00,22.105,22.115,22.1,22.1,22294
2024-03-22 15:52:00,22.11,22.115,22.1,22.1,22335
2024-03-22 15:51:00,22.115,22.115,22.11,22.115,2521
2024-03-22 15:50:00,22.12,22.12,22.11,22.115,14475
2024-03-22 15:49:00,22.115,22.115,22.11,22.115,2886
2024-03-22 15:48:00,22.105,22.115,22.1,22.115,10194
2024-03-22 15:47:00,22.095,22.11,22.09,22.11,14697
2024-03-22 15:46:00,22.095,22.1,22.095,22.1,8851
2024-03-22 15:45:00,22.095,22.095,22.09,22.095,8233
2024-03-22 15:44:00,22.09,22.1,22.09,22.095,4836
2024-03-22 15:43:00,22.095,22.095,22.09,22.095,8874
2024-03-22 15:42:00,22.091,22.1,22.09,22.1,11145
2024-03-22 15:41:00,22.095,22.105,22.09,22.095,21466
2024-03-22 15:40:00,22.098,22.1,22.09,22.095,3801
2024-03-22 15:39:00,22.095,22.1,22.09,22.09,4198
2024-03-22 15:38:00,22.095,22.1,22.09,22.1,2140
2024-03-22 15:37:00,22.1,22.1,22.09,22.09,6866
2024-03-22 15:36:00,22.095,22.105,22.09,22.1,7792
2024-03-22 15:35:00,22.095,22.1,22.09,22.095,6222
2024-03-22 15:34:00,22.09,22.11,22.08,22.1,25976
2024-03-22 15:33:00,22.095,22.1,22.09,22.1,3931
2024-03-22 15:32:00,22.09,22.095,22.09,22.095,6778
2024-03-22 15:31:00,22.095,22.11,22.09,22.09,12235
2024-03-22 15:30:00,22.095,22.095,22.095,22.095,322
2024-03-22 15:29:00,22.095,22.1,22.09,22.09,2734
2024-03-22 15:28:00,22.1,22.105,22.095,22.095,3181
2024-03-22 15:27:00,22.09,22.105,22.09,22.105,6351
2024-03-22 15:26:00,22.095,22.095,22.09,22.09,1977
2024-03-22 15:25:00,22.095,22.1,22.095,22.095,7421
2024-03-22 15:24:00,22.095,22.095,22.09,22.09,3617
2024-03-22 15:23:00,22.095,22.1,22.09,22.095,3463
2024-03-22 15:22:00,22.095,22.095,22.09,22.095,1169
2024-03-22 15:21:00,22.09,22.1,22.09,22.095,4471
2024-03-22 15:20:00,22.095,22.095,22.09,22.09,7644
2024-03-22 15:19:00,22.09,22.1,22.09,22.1,1591
2024-03-22 15:18:00,22.09,22.1,22.09,22.1,12265
2024-03-22 15:17:00,22.1,22.1,22.09,22.095,5848
2024-03-22 15:16:00,22.1,22.1,22.09,22.095,1641
2024-03-22 15:15:00,22.1,22.105,22.1,22.105,4232
2024-03-22 15:14:00,22.09,22.105,22.09,22.095,7108
2024-03-22 15:13:00,22.095,22.095,22.09,22.09,1187
2024-03-22 15:12:00,22.105,22.11,22.08,22.095,22537
