,1. open,2. high,3. low,4. close,5. volume
2021-01-29 15:59:00,57.947,58.075,57.789,57.942,291651
2021-01-29 15:58:00,58.039,58.114,57.881,57.96,55912
2021-01-29 15:57:00,58.185,58.26,57.975,58.057,42695
2021-01-29 15:56:00,58.106,58.26,58.036,58.181,50701
2021-01-29 15:55:00,57.938,58.216,57.877,58.101,65365
2021-01-29 15:54:00,57.88,58.207,57.764,57.942,149109
2021-01-29 15:53:00,57.876,57.995,57.806,57.88,36315
2021-01-29 15:52:00,57.867,58.022,57.8,57.88,40971
2021-01-29 15:51:00,57.849,57.96,57.771,57.88,26364
2021-01-29 15:50:00,57.682,57.951,57.586,57.853,56167
2021-01-29 15:49:00,57.708,57.818,57.634,57.704,32747
2021-01-29 15:48:00,57.717,57.827,57.647,57.712,8284
2021-01-29 15:47:00,57.69,57.8,57.623,57.717,10688
2021-01-29 15:46:00,57.708,57.818,57.603,57.704,16495
2021-01-29 15:45:00,57.735,57.871,57.639,57.721,17631
2021-01-29 15:44:00,57.743,57.867,57.669,57.748,12575
2021-01-29 15:43:00,57.814,57.902,57.666,57.748,16278
2021-01-29 15:42:00,57.858,57.955,57.744,57.814,19008
2021-01-29 15:41:00,57.885,57.968,57.799,57.865,8530
2021-01-29 15:40:00,57.867,57.973,57.799,57.898,9503
2021-01-29 15:39:00,57.929,58.026,57.802,57.867,12709
2021-01-29 15:38:00,57.955,58.057,57.864,57.933,15233
2021-01-29 15:37:00,58.017,58.11,57.877,57.964,17190
2021-01-29 15:36:00,58.07,58.154,57.956,58.022,15403
2021-01-29 15:35:00,58.044,58.172,57.983,58.066,14453
2021-01-29 15:34:00,58.048,58.137,57.965,58.053,9079
2021-01-29 15:33:00,58.075,58.176,57.987,58.057,11761
2021-01-29 15:32:00,58.035,58.145,57.947,58.075,14843
2021-01-29 15:31:00,58.035,58.128,57.947,58.044,19306
2021-01-29 15:30:00,58.013,58.145,57.952,58.048,12729
2021-01-29 15:29:00,58.07,58.15,57.93,58.022,18834
2021-01-29 15:28:00,58.07,58.167,57.992,58.075,23225
2021-01-29 15:27:00,58.114,58.194,58.0,58.075,17894
2021-01-29 15:26:00,58.145,58.238,58.058,58.123,19058
2021-01-29 15:25:00,58.176,58.252,58.089,58.154,8741
2021-01-29 15:24:00,58.186,58.278,58.106,58.172,7627
2021-01-29 15:23:00,58.196,58.287,58.124,58.19,6973
2021-01-29 15:22:00,58.229,58.311,58.115,58.207,13354
2021-01-29 15:21:00,58.212,58.309,58.133,58.234,10525
2021-01-29 15:20:00,58.15,58.291,58.089,58.216,20269
2021-01-29 15:19:00,58.167,58.243,58.08,58.154,6221
2021-01-29 15:18:00,58.194,58.278,58.089,58.163,10982
2021-01-29 15:17:00,58.15,58.278,58.062,58.198,14542
2021-01-29 15:16:00,58.132,58.234,58.071,58.146,8416
2021-01-29 15:15:00,58.141,58.229,58.044,58.137,14604
2021-01-29 15:14:00,58.122,58.234,58.061,58.13,10223
2021-01-29 15:13:00,58.194,58.269,58.045,58.119,9342
2021-01-29 15:12:00,58.106,58.278,58.044,58.19,15921
2021-01-29 15:11:00,58.106,58.181,58.022,58.11,11630
2021-01-29 15:10:00,58.017,58.229,57.956,58.11,40041
2021-01-29 15:09:00,58.07,58.163,57.947,58.022,17306
2021-01-29 15:08:00,58.026,58.153,57.965,58.075,5496
2021-01-29 15:07:00,58.07,58.171,57.965,58.039,15105
2021-01-29 15:06:00,58.044,58.154,57.983,58.081,6954
2021-01-29 15:05:00,58.035,58.119,57.956,58.048,14493
2021-01-29 15:04:00,58.07,58.145,57.959,58.03,13113
2021-01-29 15:03:00,58.053,58.136,57.965,58.065,10006
2021-01-29 15:02:00,58.044,58.145,57.982,58.064,10504
2021-01-29 15:01:00,57.955,58.137,57.894,58.039,18520
2021-01-29 15:00:00,57.858,58.057,57.797,57.953,16365
2021-01-29 14:59:00,57.885,57.96,57.766,57.841,8800
2021-01-29 14:58:00,57.898,58.004,57.815,57.894,8840
2021-01-29 14:57:00,57.863,57.995,57.797,57.894,17652
2021-01-29 14:56:00,57.823,57.938,57.762,57.863,10898
2021-01-29 14:55:00,57.805,57.889,57.705,57.818,8157
2021-01-29 14:54:00,57.832,57.915,57.736,57.81,13946
2021-01-29 14:53:00,57.832,57.924,57.753,57.849,5292
2021-01-29 14:52:00,57.827,57.924,57.753,57.836,11151
2021-01-29 14:51:00,57.832,57.924,57.762,57.836,6825
2021-01-29 14:50:00,57.788,57.915,57.727,57.836,16448
2021-01-29 14:49:00,57.788,57.871,57.683,57.792,10188
2021-01-29 14:48:00,57.788,57.875,57.716,57.792,4757
2021-01-29 14:47:00,57.743,57.871,57.674,57.792,6997
2021-01-29 14:46:00,57.699,57.827,57.639,57.757,7403
2021-01-29 14:45:00,57.69,57.783,57.603,57.712,10759
2021-01-29 14:44:00,57.69,57.769,57.612,57.686,6406
2021-01-29 14:43:00,57.708,57.8,57.608,57.686,12883
2021-01-29 14:42:00,57.611,57.774,57.55,57.695,11300
2021-01-29 14:41:00,57.62,57.712,57.497,57.62,17515
2021-01-29 14:40:00,57.673,57.765,57.568,57.633,46483
2021-01-29 14:39:00,57.649,57.754,57.588,57.684,2541
2021-01-29 14:38:00,57.673,57.756,57.586,57.659,6397
2021-01-29 14:37:00,57.637,57.751,57.559,57.677,5684
2021-01-29 14:36:00,57.655,57.746,57.559,57.651,12584
2021-01-29 14:35:00,57.602,57.739,57.541,57.651,6937
2021-01-29 14:34:00,57.593,57.677,57.515,57.598,8454
2021-01-29 14:33:00,57.62,57.712,57.533,57.602,11240
2021-01-29 14:32:00,57.593,57.739,57.533,57.624,18457
2021-01-29 14:31:00,57.62,57.694,57.533,57.606,7113
2021-01-29 14:30:00,57.629,57.712,57.524,57.624,20127
2021-01-29 14:29:00,57.611,57.73,57.544,57.624,7533
2021-01-29 14:28:00,57.615,57.694,57.524,57.615,10887
2021-01-29 14:27:00,57.629,57.72,57.555,57.62,7906
2021-01-29 14:26:00,57.646,57.723,57.559,57.633,11292
2021-01-29 14:25:00,57.708,57.792,57.586,57.651,12327
2021-01-29 14:24:00,57.611,57.778,57.55,57.704,29683
2021-01-29 14:23:00,57.615,57.712,57.525,57.599,8053
2021-01-29 14:22:00,57.602,57.694,57.529,57.624,3692
2021-01-29 14:21:00,57.637,57.73,57.537,57.615,8007
2021-01-29 14:20:00,57.673,57.756,57.586,57.651,14126
2021-01-29 14:19:00,57.69,57.765,57.603,57.676,12200
2021-01-29 14:18:00,57.708,57.8,57.63,57.704,7718
2021-01-29 14:17:00,57.708,57.809,57.634,57.704,7587
2021-01-29 14:16:00,57.726,57.836,57.652,57.717,8614
2021-01-29 14:15:00,57.752,57.836,57.665,57.73,6984
2021-01-29 14:14:00,57.743,57.845,57.674,57.755,3969
2021-01-29 14:13:00,57.761,57.836,57.647,57.721,8118
2021-01-29 14:12:00,57.77,57.845,57.674,57.757,5947
2021-01-29 14:11:00,57.752,57.862,57.683,57.783,12878
2021-01-29 14:10:00,57.717,57.827,57.639,57.757,7962
2021-01-29 14:09:00,57.717,57.809,57.639,57.717,11601
2021-01-29 14:08:00,57.717,57.809,57.647,57.712,4913
2021-01-29 14:07:00,57.664,57.818,57.594,57.712,12880
2021-01-29 14:06:00,57.69,57.765,57.594,57.686,4586
2021-01-29 14:05:00,57.699,57.792,57.612,57.695,10657
2021-01-29 14:04:00,57.708,57.818,57.644,57.709,6592
2021-01-29 14:03:00,57.673,57.811,57.612,57.712,27222
2021-01-29 14:02:00,57.633,57.747,57.55,57.677,18675
2021-01-29 14:01:00,57.549,57.721,57.489,57.642,11008
2021-01-29 14:00:00,57.47,57.615,57.4,57.545,12991
2021-01-29 13:59:00,57.456,57.57,57.396,57.483,5869
2021-01-29 13:58:00,57.505,57.584,57.4,57.465,8108
2021-01-29 13:57:00,57.514,57.597,57.436,57.509,3944
2021-01-29 13:56:00,57.512,57.615,57.452,57.527,3509
2021-01-29 13:55:00,57.523,57.606,57.418,57.509,4165
2021-01-29 13:54:00,57.496,57.593,57.427,57.509,4949
2021-01-29 13:53:00,57.536,57.615,57.444,57.509,5203
2021-01-29 13:52:00,57.514,57.632,57.453,57.545,7233
2021-01-29 13:51:00,57.496,57.615,57.427,57.527,11420
2021-01-29 13:50:00,57.505,57.607,57.418,57.492,5818
2021-01-29 13:49:00,57.558,57.632,57.428,57.508,7024
2021-01-29 13:48:00,57.611,57.685,57.489,57.571,9768
2021-01-29 13:47:00,57.593,57.685,57.515,57.615,5172
2021-01-29 13:46:00,57.637,57.712,57.541,57.606,4042
2021-01-29 13:45:00,57.611,57.742,57.55,57.651,3583
2021-01-29 13:44:00,57.646,57.721,57.543,57.624,4207
2021-01-29 13:43:00,57.602,57.721,57.533,57.651,3541
2021-01-29 13:42:00,57.549,57.694,57.488,57.605,10189
2021-01-29 13:41:00,57.567,57.646,57.471,57.549,6147
2021-01-29 13:40:00,57.602,57.685,57.506,57.571,4770
2021-01-29 13:39:00,57.664,57.739,57.55,57.615,5814
2021-01-29 13:38:00,57.615,57.783,57.541,57.686,25118
2021-01-29 13:37:00,57.629,57.703,57.55,57.624,3000
2021-01-29 13:36:00,57.629,57.739,57.55,57.624,10071
2021-01-29 13:35:00,57.637,57.721,57.559,57.624,4421
2021-01-29 13:34:00,57.629,57.721,57.533,57.651,5225
2021-01-29 13:33:00,57.655,57.756,57.559,57.651,13688
2021-01-29 13:32:00,57.708,57.783,57.612,57.677,7231
2021-01-29 13:31:00,57.664,57.792,57.594,57.721,6857
2021-01-29 13:30:00,57.699,57.774,57.607,57.686,9773
2021-01-29 13:29:00,57.699,57.783,57.612,57.705,5142
2021-01-29 13:28:00,57.602,57.8,57.541,57.704,14994
2021-01-29 13:27:00,57.576,57.685,57.515,57.606,7935
2021-01-29 13:26:00,57.54,57.659,57.48,57.58,7232
2021-01-29 13:25:00,57.452,57.641,57.391,57.527,8702
2021-01-29 13:24:00,57.505,57.579,57.391,57.456,7433
2021-01-29 13:23:00,57.487,57.597,57.4,57.525,14957
2021-01-29 13:22:00,57.443,57.579,57.383,57.492,14472
2021-01-29 13:21:00,57.452,57.553,57.374,57.452,4919
2021-01-29 13:20:00,57.355,57.517,57.286,57.443,5523
2021-01-29 13:19:00,57.346,57.476,57.279,57.359,5978
2021-01-29 13:18:00,57.346,57.48,57.277,57.341,7939
2021-01-29 13:17:00,57.364,57.464,57.268,57.35,6905
2021-01-29 13:16:00,57.408,57.482,57.277,57.342,13794
2021-01-29 13:15:00,57.514,57.597,57.343,57.408,26066
2021-01-29 13:14:00,57.531,57.624,57.446,57.527,8053
2021-01-29 13:13:00,57.567,57.659,57.453,57.524,5703
2021-01-29 13:12:00,57.558,57.659,57.471,57.553,7293
2021-01-29 13:11:00,57.576,57.677,57.506,57.571,4519
2021-01-29 13:10:00,57.531,57.641,57.462,57.571,4615
2021-01-29 13:09:00,57.576,57.659,57.462,57.536,7729
2021-01-29 13:08:00,57.531,57.65,57.466,57.571,4948
2021-01-29 13:07:00,57.505,57.615,57.436,57.527,6814
2021-01-29 13:06:00,57.538,57.641,57.418,57.5,12463
2021-01-29 13:05:00,57.584,57.668,57.436,57.539,12283
2021-01-29 13:04:00,57.637,57.712,57.511,57.598,10648
2021-01-29 13:03:00,57.62,57.739,57.55,57.651,6139
2021-01-29 13:02:00,57.593,57.703,57.524,57.633,4920
2021-01-29 13:01:00,57.474,57.694,57.414,57.598,11060
2021-01-29 13:00:00,57.531,57.606,57.418,57.483,9339
2021-01-29 12:59:00,57.576,57.65,57.462,57.527,4000
2021-01-29 12:58:00,57.589,57.677,57.506,57.598,4232
2021-01-29 12:57:00,57.673,57.747,57.489,57.598,28224
2021-01-29 12:56:00,57.708,57.8,57.616,57.682,10939
2021-01-29 12:55:00,57.686,57.827,57.625,57.721,7170
2021-01-29 12:54:00,57.682,57.774,57.603,57.686,5319
2021-01-29 12:53:00,57.611,57.756,57.55,57.671,9714
2021-01-29 12:52:00,57.558,57.747,57.497,57.633,24467
2021-01-29 12:51:00,57.523,57.632,57.431,57.553,11939
2021-01-29 12:50:00,57.487,57.624,57.418,57.536,11773
2021-01-29 12:49:00,57.514,57.588,57.383,57.5,15460
2021-01-29 12:48:00,57.567,57.668,57.453,57.518,5902
2021-01-29 12:47:00,57.567,57.668,57.491,57.58,14364
2021-01-29 12:46:00,57.527,57.668,57.466,57.576,8826
2021-01-29 12:45:00,57.646,57.739,57.462,57.545,14313
2021-01-29 12:44:00,57.62,57.73,57.55,57.64,10598
2021-01-29 12:43:00,57.673,57.754,57.55,57.615,11702
2021-01-29 12:42:00,57.637,57.765,57.564,57.668,10765
2021-01-29 12:41:00,57.567,57.712,57.506,57.642,8369
2021-01-29 12:40:00,57.487,57.677,57.427,57.589,30949
2021-01-29 12:39:00,57.518,57.606,57.4,57.483,13906
2021-01-29 12:38:00,57.567,57.65,57.4,57.518,17785
2021-01-29 12:37:00,57.593,57.668,57.497,57.58,10804
2021-01-29 12:36:00,57.611,57.685,57.506,57.589,8652
2021-01-29 12:35:00,57.673,57.756,57.541,57.615,12789
2021-01-29 12:34:00,57.549,57.747,57.462,57.677,19007
2021-01-29 12:33:00,57.611,57.703,57.471,57.553,18341
2021-01-29 12:32:00,57.655,57.73,57.524,57.602,18065
2021-01-29 12:31:00,57.726,57.8,57.599,57.668,19015
2021-01-29 12:30:00,57.664,57.809,57.599,57.73,18554
2021-01-29 12:29:00,57.673,57.747,57.586,57.677,9004
2021-01-29 12:28:00,57.682,57.765,57.603,57.668,5338
2021-01-29 12:27:00,57.695,57.769,57.612,57.69,4969
2021-01-29 12:26:00,57.664,57.8,57.577,57.699,19158
