,1. open,2. high,3. low,4. close,5. volume
2018-10-31 15:59:00,36.744,36.797,36.647,36.743,121922
2018-10-31 15:58:00,36.761,36.831,36.689,36.743,57934
2018-10-31 15:57:00,36.753,36.823,36.697,36.76,40201
2018-10-31 15:56:00,36.744,36.814,36.68,36.752,45414
2018-10-31 15:55:00,36.694,36.802,36.639,36.743,60506
2018-10-31 15:54:00,36.698,36.755,36.639,36.701,19681
2018-10-31 15:53:00,36.698,36.755,36.639,36.697,11555
2018-10-31 15:52:00,36.694,36.755,36.639,36.701,18103
2018-10-31 15:51:00,36.681,36.755,36.622,36.684,31604
2018-10-31 15:50:00,36.66,36.739,36.605,36.684,73781
2018-10-31 15:49:00,36.644,36.722,36.588,36.651,25828
2018-10-31 15:48:00,36.702,36.76,36.58,36.651,28281
2018-10-31 15:47:00,36.694,36.764,36.639,36.701,16594
2018-10-31 15:46:00,36.711,36.772,36.639,36.697,15266
2018-10-31 15:45:00,36.727,36.814,36.647,36.71,67591
2018-10-31 15:44:00,36.761,36.814,36.68,36.743,8748
2018-10-31 15:43:00,36.769,36.831,36.706,36.76,17461
2018-10-31 15:42:00,36.765,36.831,36.71,36.768,13654
2018-10-31 15:41:00,36.778,36.839,36.71,36.764,10173
2018-10-31 15:40:00,36.778,36.848,36.718,36.781,16087
2018-10-31 15:39:00,36.782,36.865,36.714,36.768,18292
2018-10-31 15:38:00,36.814,36.886,36.731,36.785,20446
2018-10-31 15:37:00,36.837,36.89,36.756,36.81,8574
2018-10-31 15:36:00,36.82,36.89,36.76,36.827,10078
2018-10-31 15:35:00,36.862,36.915,36.764,36.819,7799
2018-10-31 15:34:00,36.862,36.919,36.789,36.865,7882
2018-10-31 15:33:00,36.887,36.961,36.806,36.869,11360
2018-10-31 15:32:00,36.895,36.957,36.823,36.889,8071
2018-10-31 15:31:00,36.932,36.991,36.831,36.894,14864
2018-10-31 15:30:00,36.954,37.012,36.873,36.928,11184
2018-10-31 15:29:00,36.92,37.02,36.865,36.953,10095
2018-10-31 15:28:00,36.954,37.007,36.865,36.922,5129
2018-10-31 15:27:00,36.929,37.007,36.856,36.953,7626
2018-10-31 15:26:00,36.971,37.033,36.882,36.936,15177
2018-10-31 15:25:00,36.979,37.033,36.915,36.97,4022
2018-10-31 15:24:00,36.971,37.038,36.907,36.983,5960
2018-10-31 15:23:00,36.954,37.024,36.882,36.97,5679
2018-10-31 15:22:00,36.954,37.012,36.873,36.953,6788
2018-10-31 15:21:00,37.013,37.091,36.89,36.953,18116
2018-10-31 15:20:00,37.017,37.075,36.949,37.012,4792
2018-10-31 15:19:00,37.033,37.087,36.965,37.02,8715
2018-10-31 15:18:00,37.038,37.091,36.974,37.037,8668
2018-10-31 15:17:00,37.038,37.1,36.974,37.029,12295
2018-10-31 15:16:00,37.029,37.091,36.969,37.028,6348
2018-10-31 15:15:00,36.996,37.083,36.928,37.024,18748
2018-10-31 15:14:00,36.979,37.066,36.923,36.999,10678
2018-10-31 15:13:00,36.912,37.041,36.852,36.986,16718
2018-10-31 15:12:00,36.92,36.974,36.848,36.908,8331
2018-10-31 15:11:00,36.916,36.974,36.856,36.915,6531
