,1. open,2. high,3. low,4. close,5. volume
2015-03-31 15:59:00,51.147,51.191,51.054,51.136,67904
2015-03-31 15:58:00,51.147,51.191,51.11,51.154,3471
2015-03-31 15:57:00,51.157,51.209,51.11,51.159,4414
2015-03-31 15:56:00,51.147,51.209,51.105,51.182,9320
2015-03-31 15:55:00,51.091,51.182,51.054,51.154,17926
2015-03-31 15:54:00,51.073,51.154,51.035,51.108,15977
2015-03-31 15:53:00,51.101,51.163,51.035,51.089,13948
2015-03-31 15:52:00,51.045,51.154,51.017,51.126,17267
2015-03-31 15:51:00,50.989,51.088,50.961,51.061,14969
2015-03-31 15:50:00,50.998,51.042,50.961,51.005,10075
2015-03-31 15:49:00,51.008,51.056,50.97,51.015,1156
2015-03-31 15:48:00,51.017,51.065,50.989,51.033,1400
2015-03-31 15:47:00,50.971,51.088,50.943,51.033,4077
2015-03-31 15:46:00,50.989,51.033,50.933,50.987,1200
2015-03-31 15:45:00,50.971,51.051,50.943,51.005,2163
2015-03-31 15:44:00,50.971,51.014,50.933,50.987,3699
2015-03-31 15:43:00,50.961,51.014,50.924,50.987,2300
2015-03-31 15:42:00,50.971,51.014,50.924,50.968,700
2015-03-31 15:41:00,50.933,51.005,50.896,50.978,5804
2015-03-31 15:40:00,50.915,50.977,50.877,50.945,6597
2015-03-31 15:39:00,50.924,50.967,50.877,50.931,2707
2015-03-31 15:38:00,50.924,50.967,50.891,50.94,2623
2015-03-31 15:37:00,50.924,50.967,50.891,50.936,900
2015-03-31 15:36:00,50.905,50.967,50.877,50.931,1960
2015-03-31 15:35:00,50.896,50.967,50.868,50.94,1389
2015-03-31 15:34:00,50.868,50.94,50.84,50.912,2573
2015-03-31 15:33:00,50.868,50.912,50.831,50.875,900
2015-03-31 15:32:00,50.887,50.93,50.831,50.875,1703
2015-03-31 15:31:00,50.896,50.949,50.859,50.922,1060
2015-03-31 15:30:00,50.915,50.958,50.85,50.912,3087
2015-03-31 15:29:00,50.924,50.967,50.877,50.931,1346
2015-03-31 15:28:00,50.91,50.958,50.882,50.931,501
2015-03-31 15:27:00,50.896,50.967,50.868,50.931,3451
2015-03-31 15:26:00,50.892,50.94,50.864,50.912,600
2015-03-31 15:25:00,50.905,50.949,50.868,50.912,400
2015-03-31 15:24:00,50.878,50.94,50.85,50.903,3300
2015-03-31 15:23:00,50.897,50.941,50.855,50.899,2384
2015-03-31 15:22:00,50.905,50.949,50.877,50.922,305
2015-03-31 15:21:00,50.915,50.963,50.877,50.922,800
2015-03-31 15:20:00,50.878,50.967,50.85,50.94,2325
2015-03-31 15:19:00,50.878,50.921,50.85,50.894,285
2015-03-31 15:18:00,50.896,50.94,50.868,50.912,1305
2015-03-31 15:17:00,50.905,50.949,50.85,50.894,906
2015-03-31 15:16:00,50.896,50.949,50.859,50.922,2100
2015-03-31 15:15:00,50.924,50.967,50.887,50.931,1722
2015-03-31 15:14:00,50.943,50.986,50.905,50.959,1900
2015-03-31 15:13:00,50.961,51.005,50.924,50.968,585
2015-03-31 15:12:00,50.971,51.014,50.943,50.987,200
2015-03-31 15:11:00,50.971,51.014,50.943,50.987,500
2015-03-31 15:10:00,50.971,51.019,50.943,50.987,806
2015-03-31 15:09:00,50.971,51.014,50.943,50.987,719
2015-03-31 15:08:00,50.989,51.033,50.952,51.005,400
2015-03-31 15:07:00,50.961,51.023,50.933,50.996,1100
2015-03-31 15:06:00,50.989,51.033,50.933,50.978,1100
2015-03-31 15:05:00,51.008,51.051,50.97,51.015,200
2015-03-31 15:04:00,51.008,51.051,50.98,51.024,900
2015-03-31 15:03:00,51.036,51.079,50.97,51.024,6200
2015-03-31 15:02:00,51.045,51.088,51.008,51.052,200
2015-03-31 15:01:00,51.036,51.084,51.008,51.057,1593
2015-03-31 15:00:00,51.054,51.098,51.017,51.061,3500
2015-03-31 14:59:00,51.064,51.107,51.026,51.071,476
2015-03-31 14:58:00,51.05,51.107,51.017,51.08,2000
2015-03-31 14:57:00,51.045,51.088,51.017,51.061,100
2015-03-31 14:56:00,51.036,51.088,51.008,51.061,400
2015-03-31 14:54:00,51.045,51.088,51.008,51.052,700
2015-03-31 14:53:00,51.036,51.088,51.008,51.061,604
2015-03-31 14:52:00,51.036,51.079,51.008,51.052,300
2015-03-31 14:51:00,51.064,51.107,51.026,51.071,1399
2015-03-31 14:50:00,51.064,51.115,51.035,51.088,630
2015-03-31 14:49:00,51.045,51.098,51.017,51.071,601
2015-03-31 14:48:00,51.054,51.102,51.026,51.071,500
2015-03-31 14:47:00,51.045,51.098,51.017,51.071,909
2015-03-31 14:45:00,51.036,51.079,50.998,51.052,2704
2015-03-31 14:41:00,51.036,51.079,51.008,51.052,800
2015-03-31 14:40:00,51.026,51.07,50.998,51.043,409
2015-03-31 14:39:00,51.036,51.079,51.008,51.052,200
2015-03-31 14:38:00,51.036,51.079,51.008,51.052,100
2015-03-31 14:37:00,51.054,51.098,51.017,51.061,1403
2015-03-31 14:35:00,51.036,51.098,51.008,51.071,811
2015-03-31 14:33:00,51.045,51.088,50.998,51.043,600
2015-03-31 14:32:00,51.054,51.098,51.026,51.071,322
2015-03-31 14:31:00,51.045,51.088,51.008,51.052,800
2015-03-31 14:30:00,51.054,51.098,51.026,51.071,100
2015-03-31 14:29:00,51.036,51.088,51.008,51.061,1006
2015-03-31 14:28:00,51.036,51.079,51.008,51.052,200
2015-03-31 14:27:00,51.054,51.102,51.017,51.061,600
2015-03-31 14:26:00,51.064,51.107,51.031,51.075,478
2015-03-31 14:25:00,51.073,51.116,51.036,51.085,732
2015-03-31 14:24:00,51.054,51.116,51.026,51.089,1902
2015-03-31 14:23:00,51.054,51.098,51.022,51.066,200
2015-03-31 14:22:00,51.064,51.107,51.026,51.071,309
2015-03-31 14:20:00,51.054,51.107,51.017,51.08,600
2015-03-31 14:19:00,51.064,51.107,51.026,51.071,1399
2015-03-31 14:18:00,51.068,51.112,51.035,51.08,1114
2015-03-31 14:17:00,51.064,51.107,51.035,51.08,800
2015-03-31 14:16:00,51.078,51.121,51.035,51.08,300
2015-03-31 14:15:00,51.082,51.126,51.054,51.099,200
2015-03-31 14:14:00,51.091,51.135,51.063,51.108,500
2015-03-31 14:12:00,51.082,51.135,51.054,51.108,1201
2015-03-31 14:11:00,51.064,51.116,51.035,51.089,1150
2015-03-31 14:10:00,51.055,51.098,51.027,51.071,500
2015-03-31 14:08:00,51.054,51.098,51.026,51.071,2714
2015-03-31 14:07:00,51.064,51.107,51.035,51.08,100
2015-03-31 14:06:00,51.064,51.107,51.035,51.08,500
2015-03-31 14:05:00,51.064,51.107,51.026,51.08,1938
2015-03-31 14:04:00,51.073,51.116,51.035,51.089,1102
2015-03-31 14:03:00,51.067,51.116,51.035,51.089,892
2015-03-31 14:02:00,51.073,51.116,51.045,51.089,200
2015-03-31 14:01:00,51.082,51.126,51.054,51.099,400
2015-03-31 14:00:00,51.073,51.135,51.045,51.108,1532
2015-03-31 13:59:00,51.073,51.121,51.045,51.094,400
2015-03-31 13:57:00,51.073,51.126,51.045,51.089,620
2015-03-31 13:56:00,51.064,51.107,51.035,51.08,300
2015-03-31 13:55:00,51.082,51.126,51.045,51.089,3661
2015-03-31 13:54:00,51.101,51.144,51.073,51.117,300
2015-03-31 13:53:00,51.091,51.144,51.063,51.117,1053
2015-03-31 13:52:00,51.082,51.126,51.054,51.099,300
2015-03-31 13:51:00,51.096,51.14,51.054,51.099,2675
2015-03-31 13:50:00,51.091,51.144,51.063,51.117,200
2015-03-31 13:49:00,51.073,51.144,51.045,51.117,830
2015-03-31 13:48:00,51.091,51.14,51.063,51.108,1000
2015-03-31 13:47:00,51.101,51.149,51.073,51.122,2504
2015-03-31 13:46:00,51.119,51.168,51.082,51.126,400
2015-03-31 13:45:00,51.129,51.172,51.091,51.136,1300
2015-03-31 13:44:00,51.147,51.2,51.101,51.145,1900
2015-03-31 13:43:00,51.138,51.2,51.105,51.173,1400
2015-03-31 13:42:00,51.119,51.172,51.091,51.145,500
2015-03-31 13:41:00,51.11,51.163,51.082,51.136,300
2015-03-31 13:40:00,51.082,51.135,51.054,51.108,1000
2015-03-31 13:39:00,51.064,51.135,51.035,51.108,1900
2015-03-31 13:38:00,51.064,51.107,51.035,51.08,1000
2015-03-31 13:36:00,51.064,51.107,51.035,51.08,400
2015-03-31 13:35:00,51.054,51.098,51.026,51.071,400
2015-03-31 13:34:00,51.017,51.107,50.989,51.08,3405
2015-03-31 13:33:00,51.008,51.051,50.98,51.024,500
2015-03-31 13:32:00,51.008,51.051,50.98,51.024,4998
2015-03-31 13:30:00,50.989,51.061,50.956,51.024,4882
