,1. open,2. high,3. low,4. close,5. volume
2023-09-29 15:59:00,131.86,131.96,131.8,131.82,482706
2023-09-29 15:58:00,131.93,131.93,131.83,131.86,151942
2023-09-29 15:57:00,131.63,131.93,131.6,131.91,157384
2023-09-29 15:56:00,131.71,131.72,131.46,131.63,225843
2023-09-29 15:55:00,131.99,131.99,131.64,131.71,173546
2023-09-29 15:54:00,132.13,132.193,131.815,131.99,182001
2023-09-29 15:53:00,132.315,132.315,132.085,132.13,119448
2023-09-29 15:52:00,132.39,132.45,132.3,132.32,130428
2023-09-29 15:51:00,132.3,132.4,132.21,132.39,145512
2023-09-29 15:50:00,131.96,132.33,131.9,132.27,252375
2023-09-29 15:49:00,131.92,131.99,131.86,131.99,43137
2023-09-29 15:48:00,131.97,132.011,131.86,131.89,54104
2023-09-29 15:47:00,131.945,132.01,131.92,131.975,63641
2023-09-29 15:46:00,131.86,131.95,131.8,131.95,63757
2023-09-29 15:45:00,131.765,131.86,131.75,131.86,47740
2023-09-29 15:44:00,131.83,131.87,131.76,131.77,42187
2023-09-29 15:43:00,131.83,131.855,131.72,131.83,80382
2023-09-29 15:42:00,131.72,131.84,131.7,131.84,77193
2023-09-29 15:41:00,131.86,131.885,131.71,131.72,85943
2023-09-29 15:40:00,131.895,131.895,131.82,131.86,57044
2023-09-29 15:39:00,131.82,131.94,131.75,131.895,86079
2023-09-29 15:38:00,131.86,131.89,131.79,131.83,36921
2023-09-29 15:37:00,131.76,131.893,131.76,131.86,48051
2023-09-29 15:36:00,131.81,131.86,131.74,131.75,35050
2023-09-29 15:35:00,131.73,131.815,131.715,131.805,53332
2023-09-29 15:34:00,131.8,131.83,131.73,131.73,41035
2023-09-29 15:33:00,131.82,131.85,131.77,131.79,43514
2023-09-29 15:32:00,131.82,131.92,131.8,131.83,160087
2023-09-29 15:31:00,131.805,131.9,131.78,131.825,62169
2023-09-29 15:30:00,131.88,131.91,131.765,131.81,51322
2023-09-29 15:29:00,131.9,131.92,131.84,131.88,28755
2023-09-29 15:28:00,131.73,131.94,131.73,131.92,42268
2023-09-29 15:27:00,131.71,131.79,131.65,131.73,40552
2023-09-29 15:26:00,131.83,131.84,131.68,131.72,68653
2023-09-29 15:25:00,131.86,131.89,131.8,131.84,28197
2023-09-29 15:24:00,131.93,131.96,131.834,131.86,41043
2023-09-29 15:23:00,131.925,131.99,131.865,131.93,36879
2023-09-29 15:22:00,131.85,131.945,131.84,131.92,37880
2023-09-29 15:21:00,131.83,131.902,131.805,131.84,35448
2023-09-29 15:20:00,131.89,131.9,131.815,131.84,33662
2023-09-29 15:19:00,132.0,132.01,131.88,131.89,30208
2023-09-29 15:18:00,131.86,132.03,131.855,131.99,47536
2023-09-29 15:17:00,131.87,131.95,131.815,131.861,46640
2023-09-29 15:16:00,131.92,131.93,131.82,131.86,39189
2023-09-29 15:15:00,131.9,131.99,131.875,131.925,39299
2023-09-29 15:14:00,132.03,132.04,131.875,131.9,50764
2023-09-29 15:13:00,131.92,132.09,131.91,132.04,52661
2023-09-29 15:12:00,131.92,131.92,131.84,131.92,23385
2023-09-29 15:11:00,131.84,131.9,131.765,131.9,32514
2023-09-29 15:10:00,131.831,131.86,131.75,131.83,37436
2023-09-29 15:09:00,131.92,131.94,131.81,131.84,38927
2023-09-29 15:08:00,131.88,132.02,131.87,131.92,41214
2023-09-29 15:07:00,131.91,131.93,131.833,131.862,24770
2023-09-29 15:06:00,131.875,131.96,131.84,131.91,30038
2023-09-29 15:05:00,131.84,131.94,131.81,131.86,30680
2023-09-29 15:04:00,131.86,131.875,131.73,131.83,43218
2023-09-29 15:03:00,132.17,132.17,131.85,131.86,79069
2023-09-29 15:02:00,132.13,132.19,132.092,132.165,34875
2023-09-29 15:01:00,132.1,132.17,132.08,132.117,25564
2023-09-29 15:00:00,132.08,132.17,132.055,132.1,63185
2023-09-29 14:59:00,131.93,132.08,131.92,132.07,53762
2023-09-29 14:58:00,131.99,132.0,131.89,131.92,37696
2023-09-29 14:57:00,131.82,132.0,131.79,131.995,81219
2023-09-29 14:56:00,131.83,131.88,131.78,131.81,34886
2023-09-29 14:55:00,131.671,131.86,131.65,131.825,51378
2023-09-29 14:54:00,131.57,131.675,131.54,131.66,24474
2023-09-29 14:53:00,131.54,131.6,131.505,131.58,33578
2023-09-29 14:52:00,131.55,131.59,131.525,131.55,18038
2023-09-29 14:51:00,131.61,131.62,131.525,131.55,30094
2023-09-29 14:50:00,131.65,131.73,131.61,131.61,24477
2023-09-29 14:49:00,131.67,131.7,131.65,131.655,13481
2023-09-29 14:48:00,131.74,131.773,131.645,131.655,23918
2023-09-29 14:47:00,131.805,131.81,131.69,131.74,45926
2023-09-29 14:46:00,131.8,131.83,131.72,131.82,20457
2023-09-29 14:45:00,131.82,131.84,131.76,131.81,35749
2023-09-29 14:44:00,131.9,131.92,131.815,131.82,59329
2023-09-29 14:43:00,131.685,131.89,131.685,131.89,27480
2023-09-29 14:42:00,131.58,131.68,131.57,131.68,17858
2023-09-29 14:41:00,131.6,131.67,131.545,131.58,35351
2023-09-29 14:40:00,131.525,131.62,131.51,131.6,31609
2023-09-29 14:39:00,131.53,131.585,131.47,131.52,23503
2023-09-29 14:38:00,131.622,131.635,131.54,131.54,18755
2023-09-29 14:37:00,131.55,131.62,131.535,131.62,21383
2023-09-29 14:36:00,131.6,131.605,131.51,131.55,21845
2023-09-29 14:35:00,131.5,131.62,131.47,131.59,28652
2023-09-29 14:34:00,131.425,131.58,131.39,131.505,59710
2023-09-29 14:33:00,131.4,131.455,131.32,131.426,42189
2023-09-29 14:32:00,131.61,131.628,131.38,131.41,54969
2023-09-29 14:31:00,131.575,131.641,131.575,131.61,27491
2023-09-29 14:30:00,131.515,131.585,131.47,131.57,45341
2023-09-29 14:29:00,131.67,131.67,131.47,131.51,59104
2023-09-29 14:28:00,131.77,131.82,131.65,131.68,55072
2023-09-29 14:27:00,131.81,131.87,131.77,131.78,27209
2023-09-29 14:26:00,131.86,131.91,131.8,131.81,34670
2023-09-29 14:25:00,131.75,131.88,131.73,131.848,44903
2023-09-29 14:24:00,131.63,131.75,131.595,131.75,22680
2023-09-29 14:23:00,131.542,131.66,131.475,131.63,37351
2023-09-29 14:22:00,131.53,131.558,131.46,131.555,25015
2023-09-29 14:21:00,131.59,131.59,131.51,131.52,24044
2023-09-29 14:20:00,131.49,131.59,131.46,131.585,20829
2023-09-29 14:19:00,131.53,131.56,131.48,131.489,29539
2023-09-29 14:18:00,131.56,131.63,131.53,131.53,23786
2023-09-29 14:17:00,131.74,131.74,131.55,131.57,35018
2023-09-29 14:16:00,131.72,131.8,131.7,131.74,26308
2023-09-29 14:15:00,131.73,131.78,131.7,131.72,24371
2023-09-29 14:14:00,131.73,131.8,131.72,131.735,42270
2023-09-29 14:13:00,131.72,131.78,131.695,131.74,23165
2023-09-29 14:12:00,131.71,131.79,131.69,131.71,33601
2023-09-29 14:11:00,131.67,131.755,131.67,131.704,30179
2023-09-29 14:10:00,131.66,131.71,131.62,131.66,29828
2023-09-29 14:09:00,131.63,131.69,131.61,131.65,28831
2023-09-29 14:08:00,131.71,131.72,131.62,131.63,54632
2023-09-29 14:07:00,131.64,131.72,131.63,131.72,24771
2023-09-29 14:06:00,131.6,131.71,131.59,131.65,35109
2023-09-29 14:05:00,131.673,131.745,131.62,131.62,32011
2023-09-29 14:04:00,131.65,131.73,131.64,131.69,38129
2023-09-29 14:03:00,131.55,131.68,131.52,131.65,34906
2023-09-29 14:02:00,131.54,131.59,131.5,131.55,23719
2023-09-29 14:01:00,131.57,131.595,131.505,131.54,34814
2023-09-29 14:00:00,131.54,131.625,131.54,131.57,42525
2023-09-29 13:59:00,131.6,131.63,131.54,131.55,34258
2023-09-29 13:58:00,131.69,131.69,131.57,131.59,41399
2023-09-29 13:57:00,131.83,131.83,131.67,131.69,25022
2023-09-29 13:56:00,131.82,131.885,131.81,131.815,22726
2023-09-29 13:55:00,131.745,131.84,131.74,131.815,23513
2023-09-29 13:54:00,131.88,131.91,131.75,131.75,29594
2023-09-29 13:53:00,131.71,131.86,131.71,131.85,27284
2023-09-29 13:52:00,131.765,131.796,131.7,131.7,19782
2023-09-29 13:51:00,131.76,131.84,131.75,131.76,24754
2023-09-29 13:50:00,131.85,131.9,131.76,131.77,36556
2023-09-29 13:49:00,131.87,131.88,131.74,131.84,44898
2023-09-29 13:48:00,132.0,132.0,131.84,131.865,46064
2023-09-29 13:47:00,132.08,132.1,132.01,132.01,15641
2023-09-29 13:46:00,131.98,132.09,131.948,132.08,23695
2023-09-29 13:45:00,132.04,132.11,131.97,131.98,25904
2023-09-29 13:44:00,132.08,132.12,132.03,132.05,22901
2023-09-29 13:43:00,132.1,132.139,132.07,132.09,33315
2023-09-29 13:42:00,132.0,132.09,131.99,132.09,20111
2023-09-29 13:41:00,131.94,132.1,131.94,132.005,19411
2023-09-29 13:40:00,132.0,132.0,131.93,131.93,21236
2023-09-29 13:39:00,131.935,132.03,131.92,132.0,11894
2023-09-29 13:38:00,131.96,132.01,131.94,131.94,16259
2023-09-29 13:37:00,131.905,131.98,131.9,131.96,19340
2023-09-29 13:36:00,132.06,132.06,131.9,131.91,18621
2023-09-29 13:35:00,131.88,132.065,131.88,132.06,20747
2023-09-29 13:34:00,131.84,131.93,131.83,131.88,43208
2023-09-29 13:33:00,132.01,132.02,131.837,131.84,23575
2023-09-29 13:32:00,132.11,132.11,132.0,132.01,24233
2023-09-29 13:31:00,132.06,132.12,132.025,132.12,19807
2023-09-29 13:30:00,132.06,132.11,131.99,132.07,30405
2023-09-29 13:29:00,132.08,132.08,132.005,132.065,19764
2023-09-29 13:28:00,132.175,132.19,132.04,132.085,24677
2023-09-29 13:27:00,132.14,132.18,132.1,132.175,23844
2023-09-29 13:26:00,132.05,132.14,132.04,132.13,40024
2023-09-29 13:25:00,132.06,132.14,132.01,132.06,32953
2023-09-29 13:24:00,132.08,132.09,132.03,132.045,25291
2023-09-29 13:23:00,132.125,132.13,132.03,132.1,30418
2023-09-29 13:22:00,132.17,132.215,132.11,132.11,50301
2023-09-29 13:21:00,132.14,132.175,132.07,132.17,21443
2023-09-29 13:20:00,132.03,132.15,132.02,132.15,29400
2023-09-29 13:19:00,131.9,132.05,131.865,132.03,31787
2023-09-29 13:18:00,132.08,132.08,131.855,131.89,40233
2023-09-29 13:17:00,132.11,132.19,132.069,132.099,42085
2023-09-29 13:16:00,132.04,132.167,132.007,132.101,25173
2023-09-29 13:15:00,132.08,132.13,132.02,132.04,38325
2023-09-29 13:14:00,132.11,132.165,132.05,132.07,26014
2023-09-29 13:13:00,132.15,132.18,132.08,132.13,47695
