,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,151.91,151.92,151.73,151.73,274927
2024-03-22 15:58:00,151.88,151.92,151.87,151.92,124636
2024-03-22 15:57:00,151.92,151.943,151.88,151.885,103068
2024-03-22 15:56:00,151.91,151.975,151.91,151.92,73473
2024-03-22 15:55:00,151.99,151.99,151.03,151.91,162412
2024-03-22 15:54:00,152.06,152.07,151.92,151.99,88697
2024-03-22 15:53:00,152.04,152.105,152.04,152.07,58047
2024-03-22 15:52:00,151.97,152.09,151.97,152.04,46706
2024-03-22 15:51:00,151.955,152.02,151.925,151.965,56340
2024-03-22 15:50:00,151.84,152.07,151.84,151.96,115560
2024-03-22 15:49:00,151.965,151.965,151.835,151.84,37534
2024-03-22 15:48:00,151.957,152.01,151.94,151.975,61474
2024-03-22 15:47:00,151.9,151.975,151.894,151.96,51430
2024-03-22 15:46:00,151.9,151.915,151.88,151.905,50345
2024-03-22 15:45:00,151.9,151.93,151.87,151.905,34565
2024-03-22 15:44:00,151.87,151.93,151.865,151.91,40997
2024-03-22 15:43:00,151.91,151.915,151.86,151.86,40348
2024-03-22 15:42:00,151.97,151.97,151.9,151.9,29580
2024-03-22 15:41:00,152.105,152.11,151.97,151.972,43045
2024-03-22 15:40:00,152.11,152.12,152.09,152.105,49269
2024-03-22 15:39:00,152.125,152.14,152.11,152.115,28901
2024-03-22 15:38:00,152.13,152.16,152.117,152.13,31402
2024-03-22 15:37:00,152.15,152.19,152.13,152.13,27669
2024-03-22 15:36:00,152.105,152.15,152.105,152.15,43868
2024-03-22 15:35:00,152.08,152.11,152.056,152.11,33913
2024-03-22 15:34:00,151.97,152.08,151.945,152.08,31566
2024-03-22 15:33:00,152.125,152.125,151.975,151.98,44895
2024-03-22 15:32:00,152.08,152.15,152.04,152.12,69038
2024-03-22 15:31:00,151.94,152.1,151.94,152.09,153744
2024-03-22 15:30:00,151.97,151.99,151.9,151.945,65839
2024-03-22 15:29:00,151.85,151.98,151.85,151.975,36199
2024-03-22 15:28:00,151.83,151.88,151.8,151.85,30556
2024-03-22 15:27:00,151.8,151.83,151.76,151.83,26163
2024-03-22 15:26:00,151.75,151.8,151.743,151.8,26100
2024-03-22 15:25:00,151.8,151.82,151.73,151.75,39295
2024-03-22 15:24:00,151.67,151.84,151.665,151.81,47254
2024-03-22 15:23:00,151.655,151.715,151.62,151.674,36603
2024-03-22 15:22:00,151.555,151.679,151.555,151.65,62756
2024-03-22 15:21:00,151.59,151.65,151.55,151.555,51338
2024-03-22 15:20:00,151.63,151.67,151.58,151.6,27811
2024-03-22 15:19:00,151.66,151.68,151.62,151.62,30985
2024-03-22 15:18:00,151.54,151.67,151.53,151.66,169238
2024-03-22 15:17:00,151.49,151.55,151.45,151.55,24965
2024-03-22 15:16:00,151.575,151.58,151.48,151.49,32886
2024-03-22 15:15:00,151.54,151.59,151.54,151.58,44598
2024-03-22 15:14:00,151.48,151.546,151.47,151.54,26856
2024-03-22 15:13:00,151.4,151.49,151.395,151.48,27461
2024-03-22 15:12:00,151.43,151.44,151.33,151.4,63845
2024-03-22 15:11:00,151.505,151.505,151.43,151.43,31195
2024-03-22 15:10:00,151.57,151.59,151.5,151.5,26271
2024-03-22 15:09:00,151.45,151.57,151.44,151.57,36925
2024-03-22 15:08:00,151.425,151.47,151.42,151.445,19095
2024-03-22 15:07:00,151.43,151.46,151.405,151.43,21198
2024-03-22 15:06:00,151.48,151.51,151.39,151.415,52708
2024-03-22 15:05:00,151.454,151.5,151.445,151.49,19357
2024-03-22 15:04:00,151.48,151.49,151.45,151.46,28815
2024-03-22 15:03:00,151.5,151.52,151.47,151.48,24817
2024-03-22 15:02:00,151.515,151.56,151.474,151.493,27719
2024-03-22 15:01:00,151.49,151.53,151.47,151.515,24978
2024-03-22 15:00:00,151.505,151.52,151.48,151.49,18092
2024-03-22 14:59:00,151.49,151.52,151.45,151.502,51185
2024-03-22 14:58:00,151.533,151.54,151.49,151.49,24386
2024-03-22 14:57:00,151.61,151.61,151.535,151.535,13858
2024-03-22 14:56:00,151.595,151.64,151.58,151.62,15728
