,1. open,2. high,3. low,4. close,5. volume
2023-09-29 15:59:00,130.865,130.95,130.77,130.81,947541
2023-09-29 15:58:00,130.9,130.92,130.8,130.87,315816
2023-09-29 15:57:00,130.605,130.92,130.52,130.91,382935
2023-09-29 15:56:00,130.685,130.7,130.43,130.6,484473
2023-09-29 15:55:00,130.97,130.97,130.62,130.69,334932
2023-09-29 15:54:00,131.12,131.18,130.78,130.98,278221
2023-09-29 15:53:00,131.305,131.305,131.07,131.125,242711
2023-09-29 15:52:00,131.41,131.46,131.29,131.3,238897
2023-09-29 15:51:00,131.3,131.41,131.21,131.405,178950
2023-09-29 15:50:00,130.99,131.35,130.92,131.28,267640
2023-09-29 15:49:00,130.93,131.01,130.87,131.01,66213
2023-09-29 15:48:00,130.98,131.03,130.865,130.92,101347
2023-09-29 15:47:00,130.95,131.025,130.93,130.98,85555
2023-09-29 15:46:00,130.87,130.97,130.81,130.97,81475
2023-09-29 15:45:00,130.789,130.87,130.765,130.87,69398
2023-09-29 15:44:00,130.85,130.89,130.775,130.785,51798
2023-09-29 15:43:00,130.86,130.88,130.74,130.85,80278
2023-09-29 15:42:00,130.74,130.86,130.73,130.86,69476
2023-09-29 15:41:00,130.88,130.91,130.74,130.745,99775
2023-09-29 15:40:00,130.92,130.92,130.841,130.89,69137
2023-09-29 15:39:00,130.85,130.97,130.78,130.923,95315
2023-09-29 15:38:00,130.895,130.92,130.82,130.855,42003
2023-09-29 15:37:00,130.79,130.94,130.79,130.9,48841
2023-09-29 15:36:00,130.845,130.905,130.78,130.785,45920
2023-09-29 15:35:00,130.77,130.85,130.75,130.84,88835
2023-09-29 15:34:00,130.845,130.86,130.77,130.77,49072
2023-09-29 15:33:00,130.87,130.9,130.815,130.84,37113
2023-09-29 15:32:00,130.88,130.965,130.84,130.89,45571
2023-09-29 15:31:00,130.855,130.95,130.82,130.87,55863
2023-09-29 15:30:00,130.91,130.95,130.8,130.855,55540
2023-09-29 15:29:00,130.96,130.97,130.89,130.92,22587
2023-09-29 15:28:00,130.8,130.99,130.795,130.965,33072
2023-09-29 15:27:00,130.77,130.83,130.7,130.78,37544
2023-09-29 15:26:00,130.88,130.905,130.73,130.76,51438
2023-09-29 15:25:00,130.905,130.95,130.85,130.885,34778
2023-09-29 15:24:00,130.99,131.02,130.9,130.905,40828
2023-09-29 15:23:00,131.0,131.05,130.925,130.99,29124
2023-09-29 15:22:00,130.92,131.01,130.905,130.995,34461
2023-09-29 15:21:00,130.89,130.96,130.87,130.91,35586
2023-09-29 15:20:00,130.95,130.95,130.86,130.89,36852
2023-09-29 15:19:00,131.055,131.06,130.94,130.95,27759
2023-09-29 15:18:00,130.92,131.08,130.92,131.055,45739
2023-09-29 15:17:00,130.93,131.01,130.875,130.93,37339
