,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,132.38,132.38,132.1,132.11,83326
2024-03-22 15:58:00,132.37,132.48,132.37,132.4,37580
2024-03-22 15:57:00,132.345,132.38,132.325,132.375,20810
2024-03-22 15:56:00,132.35,132.39,132.345,132.345,25289
2024-03-22 15:55:00,132.51,132.53,132.34,132.35,20386
2024-03-22 15:54:00,132.55,132.585,132.48,132.48,22132
2024-03-22 15:53:00,132.49,132.54,132.49,132.54,13862
2024-03-22 15:52:00,132.57,132.63,132.5,132.51,16580
2024-03-22 15:51:00,132.52,132.58,132.52,132.56,19274
2024-03-22 15:50:00,132.47,132.54,132.425,132.535,18684
2024-03-22 15:49:00,132.38,132.47,132.36,132.455,9621
2024-03-22 15:48:00,132.43,132.43,132.34,132.39,10587
2024-03-22 15:47:00,132.445,132.495,132.39,132.44,11727
2024-03-22 15:46:00,132.39,132.46,132.37,132.45,8987
2024-03-22 15:45:00,132.32,132.38,132.27,132.38,8107
2024-03-22 15:44:00,132.21,132.36,132.21,132.33,12285
2024-03-22 15:43:00,132.19,132.21,132.14,132.17,10988
2024-03-22 15:42:00,132.14,132.195,132.13,132.19,6860
2024-03-22 15:41:00,132.095,132.12,132.065,132.12,7095
2024-03-22 15:40:00,132.165,132.195,132.1,132.1,4974
2024-03-22 15:39:00,132.205,132.213,132.14,132.16,7765
2024-03-22 15:38:00,132.18,132.185,132.16,132.185,8320
2024-03-22 15:37:00,132.14,132.165,132.09,132.165,3768
2024-03-22 15:36:00,132.1,132.19,132.09,132.16,13978
2024-03-22 15:35:00,132.08,132.13,132.075,132.1,4919
2024-03-22 15:34:00,132.1,132.1,132.055,132.06,2404
2024-03-22 15:33:00,132.175,132.175,132.07,132.09,5835
2024-03-22 15:32:00,132.11,132.18,132.1,132.175,7105
2024-03-22 15:31:00,132.13,132.17,132.12,132.125,5672
2024-03-22 15:30:00,132.11,132.13,132.11,132.125,3479
2024-03-22 15:29:00,132.12,132.13,132.12,132.125,1825
2024-03-22 15:28:00,132.05,132.085,132.05,132.085,1299
2024-03-22 15:27:00,132.06,132.073,132.05,132.05,2672
2024-03-22 15:26:00,132.04,132.05,132.03,132.05,2763
2024-03-22 15:25:00,132.02,132.02,132.01,132.02,2428
2024-03-22 15:24:00,131.93,131.97,131.93,131.97,4442
2024-03-22 15:23:00,131.925,131.93,131.91,131.91,2231
2024-03-22 15:22:00,131.92,131.936,131.905,131.92,2224
2024-03-22 15:21:00,131.9,131.935,131.9,131.92,2274
2024-03-22 15:20:00,131.92,131.92,131.9,131.9,1773
2024-03-22 15:19:00,131.96,131.96,131.93,131.93,1499
2024-03-22 15:18:00,131.93,131.95,131.93,131.95,1213
2024-03-22 15:17:00,131.91,131.96,131.9,131.96,3002
2024-03-22 15:16:00,131.99,131.99,131.95,131.95,2380
2024-03-22 15:15:00,132.045,132.045,131.99,131.995,1705
2024-03-22 15:14:00,132.04,132.065,132.04,132.04,1725
2024-03-22 15:13:00,132.01,132.01,131.96,131.96,2936
2024-03-22 15:12:00,132.1,132.1,132.03,132.04,5329
2024-03-22 15:11:00,132.1,132.155,132.1,132.11,3680
2024-03-22 15:10:00,132.13,132.13,132.105,132.105,4414
2024-03-22 15:09:00,132.1,132.13,132.1,132.12,2884
2024-03-22 15:08:00,132.01,132.08,132.01,132.08,2632
2024-03-22 15:07:00,132.04,132.04,131.98,131.99,3304
2024-03-22 15:06:00,132.15,132.15,132.045,132.045,3138
2024-03-22 15:05:00,132.16,132.16,132.16,132.16,750
2024-03-22 15:04:00,132.185,132.185,132.17,132.17,1427
2024-03-22 15:03:00,132.13,132.16,132.13,132.16,373
2024-03-22 15:02:00,132.141,132.15,132.1,132.13,5722
2024-03-22 15:01:00,132.14,132.14,132.14,132.14,276
2024-03-22 15:00:00,132.16,132.165,132.16,132.165,625
2024-03-22 14:59:00,132.21,132.23,132.18,132.18,2485
2024-03-22 14:58:00,132.31,132.31,132.25,132.25,2168
2024-03-22 14:57:00,132.32,132.33,132.3,132.31,1717
2024-03-22 14:56:00,132.36,132.37,132.33,132.33,3637
2024-03-22 14:55:00,132.3,132.32,132.3,132.32,724
2024-03-22 14:54:00,132.27,132.28,132.27,132.28,963
2024-03-22 14:53:00,132.22,132.28,132.22,132.275,1201
2024-03-22 14:52:00,132.24,132.25,132.23,132.23,2106
2024-03-22 14:51:00,132.25,132.25,132.24,132.24,1333
2024-03-22 14:50:00,132.17,132.2,132.17,132.2,566
2024-03-22 14:49:00,132.2,132.25,132.17,132.175,2298
2024-03-22 14:48:00,132.2,132.22,132.17,132.19,4381
2024-03-22 14:47:00,132.3,132.3,132.2,132.2,3972
2024-03-22 14:46:00,132.35,132.375,132.33,132.33,725
2024-03-22 14:45:00,132.37,132.39,132.335,132.335,1863
2024-03-22 14:44:00,132.363,132.362,132.35,132.35,1004
2024-03-22 14:43:00,132.37,132.37,132.32,132.34,3517
2024-03-22 14:42:00,132.34,132.365,132.33,132.355,2808
2024-03-22 14:41:00,132.405,132.405,132.3,132.33,5381
2024-03-22 14:40:00,132.42,132.42,132.4,132.405,4293
2024-03-22 14:39:00,132.423,132.44,132.42,132.44,418
2024-03-22 14:38:00,132.405,132.43,132.37,132.41,6061
2024-03-22 14:37:00,132.41,132.43,132.39,132.405,4784
2024-03-22 14:36:00,132.42,132.43,132.415,132.415,634
2024-03-22 14:35:00,132.4,132.45,132.39,132.42,4543
2024-03-22 14:34:00,132.4,132.44,132.4,132.44,703
2024-03-22 14:33:00,132.39,132.45,132.39,132.4,3386
2024-03-22 14:32:00,132.49,132.49,132.4,132.4,3647
2024-03-22 14:31:00,132.51,132.515,132.495,132.495,2267
2024-03-22 14:30:00,132.55,132.555,132.53,132.53,674
2024-03-22 14:29:00,132.48,132.55,132.47,132.55,2619
2024-03-22 14:28:00,132.49,132.53,132.49,132.505,22072
2024-03-22 14:27:00,132.41,132.48,132.41,132.48,6655
2024-03-22 14:26:00,132.402,132.41,132.4,132.41,828
2024-03-22 14:25:00,132.46,132.46,132.395,132.395,3207
2024-03-22 14:24:00,132.425,132.45,132.425,132.45,616
2024-03-22 14:23:00,132.36,132.42,132.36,132.42,920
2024-03-22 14:22:00,132.37,132.375,132.345,132.345,2670
2024-03-22 14:21:00,132.44,132.44,132.37,132.37,2402
2024-03-22 14:20:00,132.426,132.45,132.42,132.45,1785
2024-03-22 14:19:00,132.38,132.425,132.36,132.425,1062
2024-03-22 14:18:00,132.375,132.375,132.35,132.35,1856
2024-03-22 14:17:00,132.35,132.39,132.35,132.365,2202
2024-03-22 14:16:00,132.33,132.33,132.31,132.31,1742
2024-03-22 14:15:00,132.31,132.36,132.31,132.36,2371
2024-03-22 14:14:00,132.185,132.32,132.16,132.32,6230
2024-03-22 14:13:00,132.15,132.18,132.15,132.18,1666
2024-03-22 14:12:00,132.125,132.155,132.125,132.155,3088
2024-03-22 14:11:00,132.135,132.135,132.12,132.12,725
2024-03-22 14:10:00,132.155,132.155,132.135,132.135,957
2024-03-22 14:09:00,132.15,132.155,132.15,132.155,786
2024-03-22 14:08:00,132.145,132.17,132.14,132.155,1989
2024-03-22 14:07:00,132.16,132.16,132.135,132.135,2476
2024-03-22 14:06:00,132.17,132.18,132.15,132.16,5265
2024-03-22 14:05:00,132.22,132.22,132.15,132.15,2224
2024-03-22 14:04:00,132.215,132.23,132.2,132.2,653
2024-03-22 14:03:00,132.235,132.235,132.19,132.21,1100
2024-03-22 14:02:00,132.205,132.21,132.205,132.205,834
2024-03-22 14:01:00,132.14,132.21,132.14,132.185,3528
2024-03-22 14:00:00,132.27,132.27,132.1,132.1,1549
2024-03-22 13:59:00,132.36,132.39,132.28,132.28,5765
2024-03-22 13:58:00,132.51,132.51,132.36,132.36,5268
2024-03-22 13:57:00,132.545,132.55,132.5,132.5,2175
2024-03-22 13:56:00,132.57,132.575,132.53,132.53,2170
2024-03-22 13:55:00,132.52,132.55,132.51,132.54,2712
2024-03-22 13:54:00,132.44,132.49,132.44,132.49,1481
2024-03-22 13:53:00,132.45,132.45,132.435,132.435,762
2024-03-22 13:52:00,132.36,132.45,132.34,132.41,5093
2024-03-22 13:51:00,132.38,132.4,132.37,132.388,2813
2024-03-22 13:50:00,132.315,132.315,132.295,132.3,1679
2024-03-22 13:49:00,132.32,132.35,132.305,132.305,3887
2024-03-22 13:48:00,132.285,132.35,132.27,132.335,2037
2024-03-22 13:47:00,132.04,132.23,132.03,132.225,23760
2024-03-22 13:46:00,132.015,132.015,132.015,132.015,702
2024-03-22 13:45:00,132.01,132.03,131.99,132.0,2159
2024-03-22 13:44:00,132.01,132.01,131.984,131.984,2122
2024-03-22 13:43:00,132.025,132.027,132.025,132.025,649
2024-03-22 13:42:00,132.03,132.04,132.01,132.01,1287
2024-03-22 13:41:00,132.015,132.04,132.005,132.02,2743
2024-03-22 13:40:00,132.045,132.045,132.0,132.005,3395
2024-03-22 13:39:00,132.04,132.05,132.03,132.05,711
2024-03-22 13:38:00,132.03,132.06,132.016,132.04,3900
2024-03-22 13:37:00,132.01,132.05,132.01,132.05,1175
2024-03-22 13:36:00,131.96,132.0,131.95,132.0,914
2024-03-22 13:35:00,132.0,132.006,131.945,131.945,3143
2024-03-22 13:34:00,131.97,132.02,131.94,132.005,3499
2024-03-22 13:33:00,132.03,132.03,131.99,131.99,4140
2024-03-22 13:32:00,132.01,132.03,132.01,132.03,674
2024-03-22 13:31:00,132.04,132.04,132.015,132.015,1046
2024-03-22 13:30:00,132.005,132.035,132.005,132.035,2455
2024-03-22 13:29:00,132.06,132.06,132.002,132.002,1425
2024-03-22 13:28:00,132.05,132.085,132.05,132.085,1507
2024-03-22 13:27:00,132.12,132.12,132.05,132.05,1978
2024-03-22 13:26:00,132.12,132.125,132.12,132.125,573
2024-03-22 13:25:00,132.07,132.105,132.05,132.105,2542
2024-03-22 13:24:00,132.02,132.082,132.02,132.07,1245
2024-03-22 13:23:00,132.015,132.06,132.015,132.04,3250
2024-03-22 13:22:00,132.1,132.11,132.035,132.035,4521
2024-03-22 13:21:00,132.132,132.14,132.11,132.13,2991
2024-03-22 13:20:00,132.195,132.195,132.15,132.15,1627
2024-03-22 13:19:00,132.19,132.2,132.19,132.2,1317
2024-03-22 13:18:00,132.15,132.215,132.15,132.21,756
2024-03-22 13:17:00,132.085,132.15,132.085,132.135,2012
2024-03-22 13:16:00,132.06,132.095,132.06,132.085,2331
2024-03-22 13:15:00,131.99,132.03,131.99,132.03,1294
2024-03-22 13:14:00,131.98,131.99,131.96,131.99,1268
2024-03-22 13:13:00,132.04,132.04,131.98,131.98,2807
2024-03-22 13:12:00,132.085,132.085,132.02,132.055,6436
2024-03-22 13:11:00,132.04,132.065,132.03,132.065,1383
2024-03-22 13:10:00,132.1,132.12,132.0,132.02,2402
2024-03-22 13:09:00,132.121,132.13,132.085,132.085,4635
2024-03-22 13:08:00,132.135,132.14,132.12,132.14,602
2024-03-22 13:07:00,132.14,132.14,132.12,132.12,1644
2024-03-22 13:05:00,132.18,132.18,132.12,132.15,5237
2024-03-22 13:04:00,132.1,132.18,132.1,132.18,1676
2024-03-22 13:03:00,132.113,132.124,132.1,132.12,3707
2024-03-22 13:02:00,132.081,132.12,132.081,132.1,1728
2024-03-22 13:01:00,132.13,132.135,132.095,132.095,3983
2024-03-22 13:00:00,132.14,132.14,132.12,132.14,1018
2024-03-22 12:59:00,132.095,132.15,132.095,132.13,2030
2024-03-22 12:58:00,132.1,132.1,132.1,132.1,1104
2024-03-22 12:57:00,132.11,132.13,132.1,132.115,1768
2024-03-22 12:56:00,132.1,132.125,132.1,132.115,2742
2024-03-22 12:55:00,132.14,132.145,132.12,132.12,1343
2024-03-22 12:54:00,132.15,132.17,132.13,132.15,2582
2024-03-22 12:53:00,132.17,132.175,132.145,132.17,2652
2024-03-22 12:52:00,132.175,132.175,132.16,132.16,327
2024-03-22 12:51:00,132.12,132.17,132.12,132.15,2073
2024-03-22 12:50:00,132.175,132.18,132.115,132.12,3875
2024-03-22 12:49:00,132.17,132.21,132.16,132.16,1884
2024-03-22 12:48:00,132.15,132.17,132.12,132.15,2897
2024-03-22 12:47:00,132.24,132.24,132.151,132.151,5695
2024-03-22 12:46:00,132.21,132.25,132.21,132.245,759
2024-03-22 12:45:00,132.22,132.22,132.21,132.21,2061
2024-03-22 12:44:00,132.21,132.21,132.195,132.2,1489
2024-03-22 12:43:00,132.23,132.23,132.21,132.22,1254
2024-03-22 12:42:00,132.3,132.3,132.26,132.26,2177
2024-03-22 12:41:00,132.265,132.33,132.265,132.33,1667
2024-03-22 12:40:00,132.38,132.42,132.29,132.29,4387
2024-03-22 12:39:00,132.375,132.375,132.375,132.375,151
2024-03-22 12:38:00,132.38,132.38,132.38,132.38,784
2024-03-22 12:37:00,132.365,132.365,132.365,132.365,425
2024-03-22 12:36:00,132.33,132.36,132.32,132.36,897
2024-03-22 12:35:00,132.375,132.39,132.355,132.355,1913
2024-03-22 12:34:00,132.37,132.37,132.35,132.37,2128
2024-03-22 12:33:00,132.41,132.41,132.38,132.38,1318
2024-03-22 12:32:00,132.52,132.52,132.435,132.45,1657
2024-03-22 12:30:00,132.56,132.57,132.515,132.535,3131
2024-03-22 12:29:00,132.45,132.51,132.45,132.51,1934
2024-03-22 12:28:00,132.377,132.45,132.377,132.45,4156
2024-03-22 12:27:00,132.425,132.46,132.41,132.43,2520
2024-03-22 12:26:00,132.41,132.43,132.41,132.43,1084
2024-03-22 12:25:00,132.44,132.44,132.365,132.38,2097
2024-03-22 12:24:00,132.47,132.49,132.44,132.445,4434
2024-03-22 12:23:00,132.435,132.441,132.427,132.44,1692
2024-03-22 12:22:00,132.45,132.45,132.45,132.45,358
2024-03-22 12:21:00,132.38,132.45,132.38,132.45,1699
2024-03-22 12:20:00,132.35,132.38,132.35,132.375,1052
2024-03-22 12:19:00,132.41,132.41,132.355,132.355,1626
2024-03-22 12:18:00,132.42,132.42,132.42,132.42,296
2024-03-22 12:17:00,132.44,132.44,132.405,132.405,2364
2024-03-22 12:16:00,132.355,132.45,132.355,132.45,2978
2024-03-22 12:15:00,132.5,132.51,132.355,132.355,7231
2024-03-22 12:14:00,132.485,132.485,132.46,132.46,856
2024-03-22 12:12:00,132.53,132.54,132.515,132.54,4106
2024-03-22 12:11:00,132.57,132.57,132.545,132.545,247
2024-03-22 12:10:00,132.58,132.58,132.535,132.55,2818
2024-03-22 12:08:00,132.63,132.66,132.63,132.66,801
2024-03-22 12:07:00,132.68,132.68,132.635,132.635,1351
2024-03-22 12:06:00,132.66,132.675,132.645,132.675,1596
2024-03-22 12:05:00,132.74,132.76,132.66,132.69,6274
2024-03-22 12:04:00,132.74,132.74,132.735,132.74,1675
2024-03-22 12:03:00,132.87,132.87,132.787,132.787,1338
2024-03-22 12:01:00,132.919,132.95,132.9,132.9,784
2024-03-22 12:00:00,132.96,132.97,132.89,132.89,2208
2024-03-22 11:59:00,132.9,132.99,132.9,132.99,4755
2024-03-22 11:58:00,132.885,132.91,132.87,132.88,1728
2024-03-22 11:57:00,132.84,132.85,132.82,132.84,1485
2024-03-22 11:56:00,132.8,132.84,132.79,132.83,3229
2024-03-22 11:55:00,132.83,132.84,132.805,132.835,2974
2024-03-22 11:54:00,132.87,132.87,132.795,132.81,2721
2024-03-22 11:53:00,132.88,132.88,132.88,132.88,759
2024-03-22 11:52:00,132.87,132.9,132.86,132.9,1921
2024-03-22 11:51:00,132.95,132.95,132.895,132.9,2904
2024-03-22 11:50:00,132.925,132.975,132.925,132.965,1454
2024-03-22 11:49:00,132.97,132.97,132.92,132.92,1768
2024-03-22 11:47:00,133.01,133.09,132.96,132.97,3448
2024-03-22 11:46:00,132.95,133.01,132.95,133.01,2248
2024-03-22 11:45:00,132.972,132.972,132.97,132.97,1299
2024-03-22 11:44:00,133.09,133.09,132.97,132.97,2052
2024-03-22 11:43:00,133.11,133.11,133.085,133.085,1558
2024-03-22 11:42:00,133.185,133.19,133.13,133.142,2476
2024-03-22 11:41:00,133.145,133.175,133.145,133.175,362
2024-03-22 11:40:00,133.04,133.15,133.04,133.145,1535
2024-03-22 11:39:00,132.985,132.985,132.95,132.96,2465
2024-03-22 11:38:00,132.97,132.98,132.96,132.975,131512
2024-03-22 11:37:00,132.975,133.06,132.975,133.025,5198
2024-03-22 11:36:00,133.0,133.0,132.985,132.985,953
2024-03-22 11:35:00,133.09,133.09,133.035,133.07,2052
2024-03-22 11:34:00,133.155,133.18,133.095,133.095,31026
2024-03-22 11:33:00,133.05,133.145,133.05,133.14,2496
2024-03-22 11:32:00,133.04,133.04,133.03,133.03,23418
2024-03-22 11:31:00,133.04,133.06,133.04,133.06,807
2024-03-22 11:30:00,132.96,133.01,132.96,133.01,1924
2024-03-22 11:29:00,132.92,132.995,132.92,132.955,2274
2024-03-22 11:28:00,132.91,132.93,132.9,132.93,2032
2024-03-22 11:27:00,132.985,132.985,132.92,132.92,2744
2024-03-22 11:26:00,132.98,132.98,132.955,132.97,749
2024-03-22 11:25:00,133.0,133.02,132.98,132.98,2592
2024-03-22 11:24:00,133.03,133.035,133.015,133.015,1035
2024-03-22 11:23:00,133.04,133.04,133.025,133.025,1647
2024-03-22 11:22:00,133.06,133.09,133.04,133.09,2861
2024-03-22 11:21:00,133.0,133.09,133.0,133.08,937
2024-03-22 11:20:00,132.915,132.97,132.915,132.97,2439
2024-03-22 11:19:00,132.875,132.9,132.875,132.9,541
2024-03-22 11:18:00,132.82,132.88,132.82,132.85,3038
2024-03-22 11:17:00,132.93,132.93,132.85,132.87,1540
2024-03-22 11:16:00,132.96,132.96,132.95,132.95,1144
2024-03-22 11:15:00,132.92,132.96,132.92,132.96,1263
2024-03-22 11:14:00,132.92,132.95,132.89,132.89,2027
2024-03-22 11:13:00,132.94,132.94,132.92,132.94,902
2024-03-22 11:12:00,132.95,132.965,132.95,132.965,445
2024-03-22 11:11:00,133.15,133.15,132.95,132.95,2493
2024-03-22 11:10:00,133.05,133.11,133.05,133.11,1350
2024-03-22 11:09:00,133.135,133.16,133.07,133.07,22569
2024-03-22 11:08:00,133.28,133.28,133.15,133.18,1971
2024-03-22 11:07:00,133.285,133.31,133.23,133.26,4166
2024-03-22 11:06:00,133.29,133.29,133.25,133.25,511
2024-03-22 11:05:00,133.17,133.17,133.17,133.17,2057
2024-03-22 11:04:00,133.09,133.15,133.09,133.15,1633
2024-03-22 11:03:00,132.99,133.06,132.98,133.01,4875
2024-03-22 11:02:00,133.005,133.06,133.0,133.037,4135
2024-03-22 11:01:00,133.1,133.1,132.96,132.97,6890
2024-03-22 11:00:00,133.19,133.19,133.095,133.095,2656
2024-03-22 10:59:00,133.145,133.19,133.145,133.19,1879
2024-03-22 10:58:00,133.17,133.18,133.11,133.14,3289
2024-03-22 10:57:00,133.19,133.22,133.16,133.17,1830
2024-03-22 10:56:00,133.2,133.21,133.19,133.205,741
2024-03-22 10:55:00,133.3,133.31,133.24,133.25,7232
2024-03-22 10:54:00,133.33,133.355,133.29,133.31,2923
2024-03-22 10:53:00,133.29,133.32,133.29,133.32,397
2024-03-22 10:52:00,133.235,133.29,133.2,133.29,4727
2024-03-22 10:51:00,133.2,133.235,133.2,133.2,1330
2024-03-22 10:50:00,133.18,133.24,133.18,133.2,9763
2024-03-22 10:49:00,133.19,133.19,133.19,133.19,329
2024-03-22 10:48:00,133.25,133.25,133.2,133.225,2075
2024-03-22 10:47:00,133.28,133.33,133.275,133.275,6510
2024-03-22 10:46:00,133.25,133.25,133.25,133.25,2303
2024-03-22 10:45:00,133.29,133.34,133.29,133.31,1074
