,1. open,2. high,3. low,4. close,5. volume
2015-09-30 15:59:00,94.598,94.789,94.317,94.499,188747
2015-09-30 15:58:00,94.623,94.781,94.403,94.59,30290
2015-09-30 15:57:00,94.582,94.781,94.399,94.606,32804
2015-09-30 15:56:00,94.598,94.773,94.366,94.565,19668
2015-09-30 15:55:00,94.574,94.781,94.399,94.59,54016
2015-09-30 15:54:00,94.565,94.732,94.358,94.557,31347
2015-09-30 15:53:00,94.574,94.748,94.358,94.549,20980
2015-09-30 15:52:00,94.606,94.789,94.391,94.549,22741
2015-09-30 15:51:00,94.656,94.806,94.432,94.59,24485
2015-09-30 15:50:00,94.631,94.838,94.448,94.647,28038
2015-09-30 15:49:00,94.557,94.781,94.342,94.606,21174
2015-09-30 15:48:00,94.647,94.797,94.317,94.54,21068
2015-09-30 15:47:00,94.72,94.871,94.432,94.639,16510
2015-09-30 15:46:00,94.647,94.871,94.456,94.704,12979
2015-09-30 15:45:00,94.606,94.814,94.407,94.647,47076
2015-09-30 15:44:00,94.574,94.806,94.399,94.598,17167
2015-09-30 15:43:00,94.516,94.74,94.329,94.557,17987
2015-09-30 15:42:00,94.508,94.682,94.317,94.491,19698
2015-09-30 15:41:00,94.508,94.669,94.301,94.483,25537
2015-09-30 15:40:00,94.496,94.682,94.276,94.491,27078
2015-09-30 15:39:00,94.533,94.699,94.317,94.483,26877
2015-09-30 15:38:00,94.574,94.748,94.35,94.516,10797
2015-09-30 15:37:00,94.574,94.74,94.374,94.557,7552
2015-09-30 15:36:00,94.623,94.806,94.383,94.557,17187
2015-09-30 15:35:00,94.664,94.838,94.432,94.596,29927
2015-09-30 15:34:00,94.631,94.822,94.407,94.639,19923
2015-09-30 15:33:00,94.623,94.838,94.448,94.622,17077
2015-09-30 15:32:00,94.541,94.822,94.342,94.606,25196
2015-09-30 15:31:00,94.525,94.715,94.301,94.532,16124
2015-09-30 15:30:00,94.541,94.715,94.317,94.512,18090
2015-09-30 15:29:00,94.451,94.699,94.26,94.516,13297
2015-09-30 15:28:00,94.471,94.625,94.235,94.444,16216
2015-09-30 15:27:00,94.41,94.621,94.235,94.454,15727
2015-09-30 15:26:00,94.393,94.592,94.195,94.393,11766
2015-09-30 15:25:00,94.344,94.568,94.137,94.401,11861
2015-09-30 15:24:00,94.41,94.609,94.162,94.327,16067
2015-09-30 15:23:00,94.443,94.65,94.244,94.401,6746
2015-09-30 15:22:00,94.418,94.625,94.235,94.429,16578
2015-09-30 15:21:00,94.418,94.568,94.211,94.393,4553
2015-09-30 15:20:00,94.344,94.568,94.154,94.401,5206
2015-09-30 15:19:00,94.295,94.518,94.097,94.327,10833
2015-09-30 15:18:00,94.287,94.477,94.088,94.274,9025
2015-09-30 15:17:00,94.353,94.502,94.105,94.286,7875
2015-09-30 15:16:00,94.369,94.543,94.17,94.344,7313
2015-09-30 15:15:00,94.402,94.551,94.113,94.352,10401
2015-09-30 15:14:00,94.385,94.576,94.194,94.385,6935
2015-09-30 15:13:00,94.377,94.568,94.178,94.36,7901
2015-09-30 15:12:00,94.353,94.535,94.109,94.356,7750
2015-09-30 15:11:00,94.377,94.535,94.15,94.34,7711
2015-09-30 15:10:00,94.344,94.584,94.162,94.368,9446
2015-09-30 15:09:00,94.254,94.527,94.08,94.336,14627
2015-09-30 15:08:00,94.303,94.494,94.056,94.225,8704
2015-09-30 15:07:00,94.369,94.527,94.129,94.295,7325
2015-09-30 15:06:00,94.351,94.535,94.137,94.352,11078
2015-09-30 15:05:00,94.312,94.51,94.137,94.336,5501
2015-09-30 15:04:00,94.361,94.518,94.088,94.275,9408
2015-09-30 15:03:00,94.393,94.584,94.178,94.344,5550
