,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,149.82,149.82,149.59,149.62,115527
2024-03-22 15:58:00,149.82,149.855,149.8,149.81,25051
2024-03-22 15:57:00,149.87,149.9,149.8,149.82,27842
2024-03-22 15:56:00,149.963,149.99,149.88,149.89,18444
2024-03-22 15:55:00,149.96,150.01,149.92,149.96,18085
2024-03-22 15:54:00,150.01,150.06,149.93,149.96,34402
2024-03-22 15:53:00,150.09,150.1,149.93,150.03,55331
2024-03-22 15:52:00,150.08,150.11,150.03,150.08,10273
2024-03-22 15:51:00,150.08,150.15,150.06,150.08,14741
2024-03-22 15:50:00,150.13,150.13,150.01,150.08,138789
2024-03-22 15:49:00,150.02,150.13,150.02,150.1,7473
2024-03-22 15:48:00,150.01,150.01,149.98,150.0,5060
2024-03-22 15:47:00,150.025,150.055,149.98,150.005,7817
2024-03-22 15:46:00,149.985,150.03,149.98,150.02,6832
2024-03-22 15:45:00,150.0,150.005,149.95,149.98,6274
2024-03-22 15:44:00,150.0,150.02,149.98,149.99,5654
2024-03-22 15:43:00,149.925,149.99,149.925,149.97,6994
2024-03-22 15:42:00,149.85,149.94,149.85,149.92,9760
2024-03-22 15:41:00,149.83,149.873,149.78,149.86,6866
2024-03-22 15:40:00,149.87,149.89,149.82,149.83,4876
2024-03-22 15:39:00,149.885,149.885,149.843,149.865,3405
2024-03-22 15:38:00,149.88,149.88,149.84,149.86,2756
2024-03-22 15:37:00,149.96,149.965,149.88,149.88,10109
2024-03-22 15:36:00,149.94,149.98,149.93,149.975,2790
2024-03-22 15:35:00,149.94,150.005,149.94,149.955,3103
2024-03-22 15:34:00,149.85,149.97,149.85,149.96,6531
2024-03-22 15:33:00,149.85,149.87,149.76,149.85,5936
2024-03-22 15:32:00,149.84,149.97,149.74,149.815,18042
2024-03-22 15:31:00,149.87,149.87,149.56,149.82,42636
2024-03-22 15:30:00,149.85,149.9,149.835,149.89,4321
2024-03-22 15:29:00,149.84,149.85,149.8,149.8,3538
2024-03-22 15:28:00,149.81,149.85,149.805,149.84,3345
2024-03-22 15:27:00,149.825,149.825,149.77,149.79,10940
2024-03-22 15:26:00,149.825,149.83,149.8,149.81,2022
2024-03-22 15:25:00,149.77,149.83,149.766,149.81,3699
2024-03-22 15:24:00,149.765,149.8,149.755,149.785,2763
2024-03-22 15:23:00,149.575,149.745,149.575,149.73,11725
2024-03-22 15:22:00,149.61,149.61,149.525,149.54,7807
2024-03-22 15:21:00,149.55,149.64,149.55,149.62,13588
2024-03-22 15:20:00,149.64,149.64,149.56,149.56,5255
2024-03-22 15:19:00,149.61,149.71,149.61,149.645,11054
2024-03-22 15:18:00,149.65,149.65,149.57,149.61,9719
2024-03-22 15:17:00,149.64,149.729,149.59,149.655,26425
2024-03-22 15:16:00,149.69,149.7,149.64,149.64,44001
2024-03-22 15:15:00,149.71,149.72,149.66,149.7,9397
2024-03-22 15:14:00,149.77,149.77,149.69,149.705,7229
2024-03-22 15:13:00,149.78,149.81,149.75,149.75,4439
2024-03-22 15:12:00,149.82,149.82,149.75,149.78,9089
2024-03-22 15:11:00,149.88,149.88,149.82,149.82,6023
2024-03-22 15:10:00,149.9,149.9,149.88,149.88,3588
2024-03-22 15:09:00,149.94,149.94,149.9,149.9,4854
2024-03-22 15:08:00,149.97,149.985,149.94,149.94,5891
2024-03-22 15:07:00,149.92,149.985,149.91,149.97,8562
2024-03-22 15:06:00,149.97,149.97,149.91,149.92,9170
2024-03-22 15:05:00,150.03,150.03,149.94,149.96,7857
2024-03-22 15:04:00,150.02,150.06,150.01,150.03,7535
2024-03-22 15:03:00,150.01,150.06,150.0,150.01,6596
2024-03-22 15:02:00,150.0,150.05,150.0,150.04,8490
2024-03-22 15:01:00,150.0,150.02,149.98,149.99,5440
2024-03-22 15:00:00,149.98,150.0,149.96,150.0,4683
2024-03-22 14:59:00,149.96,149.98,149.94,149.98,4160
2024-03-22 14:58:00,149.97,149.98,149.935,149.98,3605
2024-03-22 14:57:00,149.945,149.98,149.94,149.97,2673
2024-03-22 14:56:00,149.97,149.98,149.95,149.95,8287
2024-03-22 14:55:00,149.97,149.97,149.94,149.96,2033
2024-03-22 14:54:00,149.89,150.0,149.88,150.0,1602
2024-03-22 14:53:00,149.92,149.92,149.82,149.88,4993
2024-03-22 14:52:00,149.95,149.95,149.86,149.92,9472
2024-03-22 14:51:00,149.96,150.005,149.93,149.93,4531
