,1. open,2. high,3. low,4. close,5. volume
2014-11-28 13:01:00,78.418,78.574,78.294,78.45,236369
2014-11-28 12:59:00,78.363,78.622,78.23,78.482,54695
2014-11-28 12:58:00,78.363,78.527,78.238,78.395,12421
2014-11-28 12:57:00,78.347,78.527,78.207,78.395,13593
2014-11-28 12:56:00,78.363,78.527,78.207,78.363,14830
2014-11-28 12:55:00,78.363,78.527,78.238,78.399,9123
2014-11-28 12:54:00,78.339,78.527,78.215,78.395,16441
2014-11-28 12:53:00,78.331,78.499,78.191,78.371,13828
2014-11-28 12:52:00,78.355,78.527,78.215,78.371,9734
2014-11-28 12:51:00,78.339,78.527,78.215,78.395,20349
2014-11-28 12:50:00,78.363,78.527,78.207,78.371,19363
2014-11-28 12:49:00,78.363,78.527,78.234,78.395,5112
2014-11-28 12:48:00,78.363,78.535,78.238,78.395,6956
2014-11-28 12:47:00,78.363,78.527,78.23,78.403,6781
2014-11-28 12:46:00,78.363,78.527,78.23,78.395,10955
2014-11-28 12:45:00,78.387,78.543,78.23,78.395,26378
2014-11-28 12:44:00,78.363,78.551,78.238,78.426,5478
2014-11-28 12:43:00,78.355,78.519,78.215,78.387,7738
2014-11-28 12:42:00,78.37,78.526,78.23,78.395,6469
2014-11-28 12:41:00,78.355,78.519,78.23,78.395,13334
2014-11-28 12:40:00,78.363,78.523,78.23,78.391,10786
2014-11-28 12:39:00,78.363,78.527,78.234,78.395,9801
2014-11-28 12:38:00,78.371,78.541,78.246,78.403,5308
2014-11-28 12:37:00,78.363,78.527,78.238,78.403,2817
2014-11-28 12:36:00,78.371,78.527,78.238,78.395,4251
2014-11-28 12:35:00,78.371,78.539,78.238,78.403,32637
2014-11-28 12:34:00,78.379,78.535,78.238,78.403,4198
2014-11-28 12:33:00,78.375,78.535,78.246,78.411,1721
2014-11-28 12:32:00,78.371,78.527,78.238,78.403,57622
2014-11-28 12:31:00,78.367,78.527,78.238,78.403,4371
2014-11-28 12:30:00,78.371,78.527,78.238,78.395,3130
2014-11-28 12:29:00,78.363,78.527,78.238,78.403,4368
2014-11-28 12:28:00,78.363,78.527,78.238,78.395,3667
2014-11-28 12:27:00,78.363,78.527,78.238,78.395,2639
2014-11-28 12:26:00,78.363,78.535,78.238,78.399,2685
2014-11-28 12:25:00,78.363,78.535,78.238,78.411,5231
2014-11-28 12:24:00,78.363,78.523,78.238,78.399,2224
2014-11-28 12:23:00,78.371,78.527,78.238,78.403,2295
2014-11-28 12:22:00,78.391,78.551,78.246,78.409,1252
2014-11-28 12:21:00,78.403,78.566,78.27,78.426,2762
2014-11-28 12:20:00,78.411,78.574,78.282,78.438,1606
2014-11-28 12:19:00,78.418,78.582,78.286,78.443,2280
2014-11-28 12:18:00,78.426,78.582,78.294,78.453,3180
2014-11-28 12:17:00,78.418,78.582,78.294,78.458,9492
2014-11-28 12:16:00,78.401,78.582,78.274,78.452,4836
2014-11-28 12:15:00,78.395,78.559,78.27,78.426,1356
2014-11-28 12:14:00,78.395,78.559,78.27,78.426,2070
2014-11-28 12:13:00,78.379,78.551,78.254,78.418,5958
2014-11-28 12:12:00,78.371,78.543,78.246,78.418,1561
2014-11-28 12:11:00,78.371,78.535,78.242,78.403,7488
2014-11-28 12:10:00,78.363,78.527,78.238,78.399,3547
2014-11-28 12:09:00,78.363,78.523,78.238,78.395,3909
2014-11-28 12:08:00,78.363,78.522,78.238,78.397,1043
2014-11-28 12:07:00,78.363,78.527,78.234,78.403,7512
2014-11-28 12:06:00,78.369,78.527,78.23,78.395,3709
2014-11-28 12:05:00,78.363,78.527,78.238,78.395,2519
2014-11-28 12:04:00,78.363,78.527,78.238,78.395,4119
2014-11-28 12:03:00,78.369,78.53,78.234,78.391,2123
2014-11-28 12:02:00,78.363,78.527,78.238,78.4,5334
2014-11-28 12:01:00,78.386,78.542,78.238,78.395,5497
2014-11-28 12:00:00,78.371,78.543,78.238,78.418,3089
2014-11-28 11:59:00,78.387,78.551,78.246,78.403,1460
2014-11-28 11:58:00,78.387,78.551,78.262,78.418,1565
2014-11-28 11:57:00,78.379,78.551,78.254,78.418,2561
2014-11-28 11:56:00,78.363,78.527,78.238,78.399,834
2014-11-28 11:55:00,78.363,78.527,78.238,78.403,4799
2014-11-28 11:54:00,78.363,78.535,78.238,78.403,2760
2014-11-28 11:53:00,78.371,78.527,78.238,78.395,1549
2014-11-28 11:52:00,78.347,78.527,78.223,78.403,4173
2014-11-28 11:51:00,78.363,78.527,78.223,78.379,1980
2014-11-28 11:50:00,78.363,78.527,78.238,78.395,1356
2014-11-28 11:49:00,78.363,78.519,78.238,78.395,1356
2014-11-28 11:48:00,78.368,78.523,78.238,78.395,6802
2014-11-28 11:47:00,78.37,78.527,78.238,78.395,1730
2014-11-28 11:46:00,78.367,78.523,78.238,78.395,313
2014-11-28 11:45:00,78.363,78.527,78.23,78.395,7616
2014-11-28 11:44:00,78.371,78.527,78.238,78.395,4265
2014-11-28 11:43:00,78.363,78.535,78.238,78.407,4560
2014-11-28 11:42:00,78.363,78.528,78.238,78.395,948
2014-11-28 11:41:00,78.371,78.535,78.238,78.411,1473
2014-11-28 11:40:00,78.379,78.543,78.25,78.411,1484
2014-11-28 11:39:00,78.379,78.543,78.246,78.403,2089
2014-11-28 11:38:00,78.379,78.543,78.254,78.411,1497
2014-11-28 11:37:00,78.401,78.557,78.254,78.418,1881
2014-11-28 11:36:00,78.395,78.559,78.266,78.426,1565
2014-11-28 11:35:00,78.379,78.559,78.254,78.426,2082
2014-11-28 11:34:00,78.371,78.535,78.238,78.411,8242
2014-11-28 11:33:00,78.387,78.551,78.246,78.403,3324
2014-11-28 11:32:00,78.395,78.551,78.262,78.418,313
2014-11-28 11:31:00,78.395,78.559,78.27,78.434,2710
2014-11-28 11:30:00,78.379,78.559,78.252,78.43,6149
2014-11-28 11:29:00,78.371,78.535,78.246,78.411,2712
2014-11-28 11:28:00,78.379,78.543,78.246,78.403,1793
2014-11-28 11:27:00,78.395,78.551,78.246,78.403,3651
2014-11-28 11:26:00,78.395,78.555,78.27,78.426,2399
2014-11-28 11:25:00,78.403,78.561,78.27,78.426,2712
2014-11-28 11:24:00,78.426,78.582,78.27,78.442,2116
2014-11-28 11:23:00,78.45,78.61,78.309,78.466,3234
2014-11-28 11:22:00,78.458,78.622,78.333,78.49,4846
2014-11-28 11:21:00,78.466,78.626,78.333,78.49,2473
2014-11-28 11:20:00,78.45,78.622,78.317,78.498,4137
2014-11-28 11:19:00,78.45,78.614,78.325,78.482,868
2014-11-28 11:18:00,78.447,78.614,78.317,78.49,2843
2014-11-28 11:17:00,78.45,78.611,78.317,78.474,730
2014-11-28 11:16:00,78.466,78.622,78.322,78.479,2256
2014-11-28 11:15:00,78.458,78.63,78.325,78.506,5579
2014-11-28 11:14:00,78.45,78.614,78.317,78.474,1024
2014-11-28 11:13:00,78.462,78.618,78.317,78.49,4482
2014-11-28 11:12:00,78.458,78.614,78.333,78.49,1383
2014-11-28 11:11:00,78.434,78.622,78.309,78.498,4403
2014-11-28 11:10:00,78.426,78.582,78.294,78.458,2921
2014-11-28 11:09:00,78.434,78.59,78.294,78.45,9012
2014-11-28 11:08:00,78.418,78.586,78.294,78.462,1539
2014-11-28 11:07:00,78.409,78.57,78.279,78.446,1605
2014-11-28 11:06:00,78.393,78.559,78.262,78.434,5615
2014-11-28 11:05:00,78.387,78.547,78.262,78.418,2712
2014-11-28 11:04:00,78.394,78.55,78.269,78.426,109
2014-11-28 11:03:00,78.395,78.559,78.262,78.422,4968
2014-11-28 11:02:00,78.387,78.551,78.254,78.426,2548
2014-11-28 11:01:00,78.373,78.543,78.246,78.415,2925
2014-11-28 11:00:00,78.379,78.535,78.246,78.411,2566
2014-11-28 10:59:00,78.378,78.535,78.246,78.403,4188
2014-11-28 10:58:00,78.371,78.543,78.246,78.403,993
2014-11-28 10:57:00,78.387,78.543,78.246,78.411,4486
2014-11-28 10:56:00,78.387,78.543,78.254,78.418,3419
2014-11-28 10:55:00,78.371,78.543,78.238,78.418,4324
2014-11-28 10:54:00,78.371,78.535,78.245,78.41,569
2014-11-28 10:53:00,78.364,78.527,78.238,78.403,3292
2014-11-28 10:52:00,78.339,78.527,78.215,78.403,7861
2014-11-28 10:51:00,78.371,78.527,78.199,78.371,7540
2014-11-28 10:50:00,78.363,78.543,78.238,78.411,2462
2014-11-28 10:49:00,78.363,78.527,78.23,78.395,6584
2014-11-28 10:48:00,78.371,78.527,78.238,78.401,4318
2014-11-28 10:47:00,78.363,78.535,78.23,78.403,6555
2014-11-28 10:46:00,78.387,78.543,78.23,78.387,19331
2014-11-28 10:45:00,78.403,78.563,78.262,78.418,5269
2014-11-28 10:44:00,78.418,78.574,78.278,78.444,1957
2014-11-28 10:43:00,78.415,78.57,78.286,78.442,1252
2014-11-28 10:42:00,78.395,78.574,78.27,78.442,3239
2014-11-28 10:41:00,78.408,78.564,78.27,78.426,2487
2014-11-28 10:40:00,78.403,78.559,78.27,78.434,4147
2014-11-28 10:39:00,78.387,78.559,78.262,78.434,3241
2014-11-28 10:38:00,78.379,78.535,78.246,78.403,208
2014-11-28 10:37:00,78.383,78.543,78.254,78.411,3184
2014-11-28 10:36:00,78.355,78.531,78.23,78.407,12214
2014-11-28 10:35:00,78.372,78.528,78.23,78.391,5213
2014-11-28 10:34:00,78.387,78.543,78.246,78.411,1252
2014-11-28 10:33:00,78.403,78.559,78.27,78.426,3270
2014-11-28 10:32:00,78.395,78.559,78.262,78.434,2014
2014-11-28 10:31:00,78.418,78.574,78.262,78.426,1957
2014-11-28 10:30:00,78.426,78.598,78.302,78.464,4754
2014-11-28 10:29:00,78.442,78.598,78.294,78.458,4865
2014-11-28 10:28:00,78.438,78.598,78.294,78.46,3508
2014-11-28 10:27:00,78.434,78.598,78.309,78.466,4382
2014-11-28 10:26:00,78.426,78.614,78.302,78.474,7199
2014-11-28 10:25:00,78.434,78.59,78.278,78.442,3517
2014-11-28 10:24:00,78.434,78.598,78.302,78.458,5063
2014-11-28 10:23:00,78.442,78.598,78.309,78.467,2608
2014-11-28 10:22:00,78.434,78.59,78.309,78.466,2191
2014-11-28 10:21:00,78.442,78.598,78.309,78.468,6958
2014-11-28 10:20:00,78.434,78.59,78.309,78.466,1252
2014-11-28 10:19:00,78.434,78.606,78.302,78.466,4277
2014-11-28 10:18:00,78.442,78.602,78.302,78.458,5006
2014-11-28 10:17:00,78.434,78.606,78.309,78.474,2101
2014-11-28 10:16:00,78.426,78.59,78.294,78.466,3234
2014-11-28 10:15:00,78.442,78.598,78.302,78.458,3443
2014-11-28 10:14:00,78.434,78.606,78.309,78.474,1669
2014-11-28 10:13:00,78.418,78.582,78.286,78.458,2712
2014-11-28 10:12:00,78.442,78.606,78.302,78.458,4199
2014-11-28 10:11:00,78.466,78.622,78.302,78.458,6267
2014-11-28 10:10:00,78.411,78.614,78.286,78.49,3547
2014-11-28 10:09:00,78.403,78.574,78.27,78.442,2086
2014-11-28 10:08:00,78.4,78.574,78.275,78.45,1358
2014-11-28 10:07:00,78.395,78.559,78.262,78.434,6152
2014-11-28 10:06:00,78.395,78.559,78.262,78.418,2008
2014-11-28 10:05:00,78.395,78.559,78.262,78.426,1878
2014-11-28 10:04:00,78.403,78.559,78.27,78.434,2504
2014-11-28 10:03:00,78.387,78.559,78.254,78.434,1982
2014-11-28 10:02:00,78.371,78.543,78.246,78.411,4030
2014-11-28 10:01:00,78.395,78.559,78.246,78.403,2608
2014-11-28 10:00:00,78.387,78.551,78.254,78.426,2556
2014-11-28 09:59:00,78.415,78.582,78.262,78.426,6677
2014-11-28 09:58:00,78.474,78.646,78.302,78.458,5590
2014-11-28 09:57:00,78.482,78.638,78.309,78.498,10006
2014-11-28 09:56:00,78.442,78.638,78.309,78.513,9486
2014-11-28 09:55:00,78.403,78.614,78.262,78.474,11268
2014-11-28 09:54:00,78.434,78.598,78.262,78.434,8722
2014-11-28 09:53:00,78.426,78.598,78.294,78.458,2966
2014-11-28 09:52:00,78.434,78.598,78.294,78.45,5957
2014-11-28 09:51:00,78.458,78.622,78.294,78.474,8848
2014-11-28 09:50:00,78.474,78.646,78.333,78.49,9947
2014-11-28 09:49:00,78.482,78.638,78.341,78.506,3756
2014-11-28 09:48:00,78.442,78.622,78.302,78.498,2753
2014-11-28 09:47:00,78.395,78.606,78.27,78.466,4033
2014-11-28 09:46:00,78.403,78.559,78.254,78.426,2191
2014-11-28 09:45:00,78.371,78.598,78.238,78.426,34989
2014-11-28 09:44:00,78.418,78.59,78.27,78.428,5799
2014-11-28 09:43:00,78.395,78.574,78.238,78.45,5465
2014-11-28 09:42:00,78.363,78.559,78.238,78.403,4521
2014-11-28 09:41:00,78.363,78.543,78.238,78.401,10131
2014-11-28 09:40:00,78.403,78.582,78.238,78.411,5283
2014-11-28 09:39:00,78.363,78.551,78.238,78.395,2858
2014-11-28 09:38:00,78.363,78.582,78.238,78.395,3651
2014-11-28 09:37:00,78.458,78.614,78.262,78.418,3025
2014-11-28 09:36:00,78.513,78.693,78.309,78.537,14085
2014-11-28 09:35:00,78.624,78.789,78.357,78.561,7526
2014-11-28 09:34:00,78.616,78.797,78.491,78.664,1496
