,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,200.84,200.84,200.65,200.73,114477
2024-03-22 15:58:00,200.825,200.86,200.8,200.85,23711
2024-03-22 15:57:00,200.88,200.9,200.83,200.83,23407
2024-03-22 15:56:00,200.82,200.9,200.81,200.885,19285
2024-03-22 15:55:00,200.81,200.84,200.69,200.83,26502
2024-03-22 15:54:00,200.79,200.99,200.76,200.83,29222
2024-03-22 15:53:00,200.7,200.81,200.7,200.79,11699
2024-03-22 15:52:00,200.67,200.71,200.67,200.69,12319
2024-03-22 15:51:00,200.67,200.72,200.67,200.68,6429
2024-03-22 15:50:00,200.75,200.79,200.64,200.67,9910
2024-03-22 15:49:00,200.7,200.76,200.67,200.73,14343
2024-03-22 15:48:00,200.78,200.819,200.68,200.68,9227
2024-03-22 15:47:00,200.76,200.84,200.74,200.795,6961
2024-03-22 15:46:00,200.805,200.89,200.74,200.76,41023
2024-03-22 15:45:00,200.81,200.83,200.78,200.83,10360
2024-03-22 15:44:00,200.75,200.819,200.75,200.805,4326
2024-03-22 15:43:00,200.665,200.745,200.665,200.73,3609
2024-03-22 15:42:00,200.64,200.67,200.62,200.66,4284
2024-03-22 15:41:00,200.625,200.64,200.59,200.63,2708
2024-03-22 15:40:00,200.62,200.65,200.6,200.62,4156
2024-03-22 15:39:00,200.64,200.641,200.605,200.62,6237
2024-03-22 15:38:00,200.65,200.67,200.63,200.633,3645
2024-03-22 15:37:00,200.687,200.687,200.64,200.64,1522
2024-03-22 15:36:00,200.61,200.67,200.61,200.659,2978
2024-03-22 15:35:00,200.57,200.598,200.57,200.58,4239
2024-03-22 15:34:00,200.545,200.56,200.545,200.55,2370
2024-03-22 15:33:00,200.58,200.585,200.51,200.54,4381
2024-03-22 15:32:00,200.56,200.61,200.56,200.6,3020
2024-03-22 15:31:00,200.56,200.58,200.55,200.575,2021
2024-03-22 15:30:00,200.55,200.56,200.54,200.56,2883
2024-03-22 15:29:00,200.57,200.59,200.55,200.55,2645
2024-03-22 15:28:00,200.58,200.59,200.561,200.57,1874
2024-03-22 15:27:00,200.63,200.65,200.59,200.59,2068
2024-03-22 15:26:00,200.55,200.6,200.55,200.6,2326
2024-03-22 15:25:00,200.51,200.61,200.51,200.587,4788
2024-03-22 15:24:00,200.55,200.555,200.51,200.51,2426
2024-03-22 15:23:00,200.55,200.565,200.537,200.565,2740
2024-03-22 15:22:00,200.497,200.56,200.46,200.56,2255
2024-03-22 15:21:00,200.42,200.47,200.39,200.46,3679
2024-03-22 15:20:00,200.46,200.47,200.41,200.45,4703
2024-03-22 15:19:00,200.42,200.47,200.42,200.45,3263
2024-03-22 15:18:00,200.429,200.45,200.42,200.42,2516
2024-03-22 15:17:00,200.45,200.45,200.39,200.43,2553
2024-03-22 15:16:00,200.59,200.59,200.48,200.48,3031
2024-03-22 15:15:00,200.62,200.625,200.61,200.61,1933
2024-03-22 15:14:00,200.66,200.68,200.62,200.62,2246
2024-03-22 15:13:00,200.67,200.67,200.62,200.62,2477
2024-03-22 15:12:00,200.7,200.7,200.62,200.7,4104
2024-03-22 15:11:00,200.77,200.81,200.74,200.75,5514
2024-03-22 15:10:00,200.83,200.835,200.8,200.8,2904
2024-03-22 15:09:00,200.89,200.89,200.84,200.84,3693
2024-03-22 15:08:00,200.92,200.92,200.89,200.91,3746
2024-03-22 15:07:00,200.91,200.92,200.89,200.89,4112
2024-03-22 15:06:00,200.92,200.92,200.88,200.9,2510
2024-03-22 15:05:00,200.93,200.95,200.925,200.95,1185
2024-03-22 15:04:00,200.94,200.95,200.91,200.95,3007
2024-03-22 15:03:00,200.97,200.97,200.96,200.96,1536
2024-03-22 15:02:00,200.95,201.0,200.95,200.98,3055
2024-03-22 15:01:00,200.92,200.96,200.9,200.96,1739
2024-03-22 15:00:00,200.87,200.915,200.87,200.91,3911
2024-03-22 14:59:00,200.87,200.88,200.86,200.87,1480
2024-03-22 14:58:00,200.87,200.885,200.86,200.885,2612
2024-03-22 14:57:00,200.88,200.885,200.87,200.885,2073
2024-03-22 14:56:00,200.81,200.88,200.81,200.88,2497
2024-03-22 14:55:00,200.785,200.785,200.78,200.78,762
2024-03-22 14:54:00,200.81,200.81,200.78,200.78,2797
2024-03-22 14:53:00,200.74,200.79,200.74,200.79,3565
2024-03-22 14:52:00,200.714,200.74,200.71,200.74,5639
2024-03-22 14:51:00,200.7,200.72,200.7,200.71,1738
2024-03-22 14:50:00,200.71,200.74,200.71,200.74,861
2024-03-22 14:49:00,200.71,200.75,200.71,200.71,1793
2024-03-22 14:48:00,200.715,200.73,200.715,200.72,1162
2024-03-22 14:47:00,200.685,200.71,200.65,200.71,2115
2024-03-22 14:46:00,200.7,200.71,200.67,200.685,1208
2024-03-22 14:45:00,200.72,200.72,200.69,200.72,2268
2024-03-22 14:44:00,200.69,200.74,200.68,200.74,3241
2024-03-22 14:43:00,200.71,200.71,200.66,200.68,2134
2024-03-22 14:42:00,200.72,200.72,200.69,200.71,6477
2024-03-22 14:41:00,200.78,200.78,200.72,200.73,1497
2024-03-22 14:40:00,200.8,200.81,200.77,200.77,2089
2024-03-22 14:39:00,200.835,200.835,200.81,200.81,1408
2024-03-22 14:38:00,200.82,200.85,200.82,200.85,899
2024-03-22 14:37:00,200.8,200.845,200.8,200.845,2511
2024-03-22 14:36:00,200.77,200.771,200.77,200.77,668
2024-03-22 14:35:00,200.78,200.79,200.762,200.78,2302
2024-03-22 14:34:00,200.785,200.81,200.785,200.81,1347
2024-03-22 14:33:00,200.841,200.841,200.78,200.8,3865
2024-03-22 14:32:00,200.88,200.88,200.85,200.85,1548
2024-03-22 14:31:00,200.91,200.91,200.86,200.89,2696
2024-03-22 14:30:00,200.95,200.95,200.93,200.93,2116
2024-03-22 14:29:00,201.002,201.002,200.962,200.962,1926
2024-03-22 14:28:00,200.995,200.995,200.98,200.98,1000
2024-03-22 14:27:00,200.964,200.99,200.95,200.99,2997
2024-03-22 14:26:00,200.96,200.96,200.96,200.96,413
2024-03-22 14:25:00,200.92,200.97,200.91,200.97,3132
2024-03-22 14:24:00,200.87,200.93,200.87,200.93,2759
2024-03-22 14:23:00,200.83,200.89,200.825,200.88,2657
2024-03-22 14:22:00,200.78,200.82,200.77,200.81,4193
2024-03-22 14:21:00,200.79,200.83,200.78,200.795,2936
2024-03-22 14:20:00,200.815,200.83,200.81,200.82,1016
2024-03-22 14:19:00,200.742,200.815,200.742,200.815,12687
2024-03-22 14:18:00,200.74,200.75,200.74,200.75,1025
2024-03-22 14:17:00,200.735,200.77,200.71,200.762,3164
2024-03-22 14:16:00,200.7,200.75,200.7,200.75,1917
2024-03-22 14:15:00,200.73,200.73,200.7,200.7,2146
2024-03-22 14:14:00,200.74,200.75,200.74,200.74,3022
2024-03-22 14:13:00,200.75,200.77,200.74,200.755,3527
2024-03-22 14:12:00,200.78,200.78,200.754,200.754,1488
2024-03-22 14:11:00,200.725,200.76,200.725,200.76,1571
2024-03-22 14:10:00,200.7,200.72,200.69,200.7,1627
2024-03-22 14:09:00,200.75,200.76,200.685,200.685,2176
2024-03-22 14:08:00,200.69,200.74,200.69,200.73,1894
2024-03-22 14:07:00,200.713,200.735,200.7,200.71,3329
2024-03-22 14:06:00,200.705,200.72,200.7,200.71,2612
2024-03-22 14:05:00,200.74,200.74,200.7,200.71,1492
2024-03-22 14:04:00,200.75,200.75,200.75,200.75,772
2024-03-22 14:03:00,200.7,200.755,200.7,200.74,1885
2024-03-22 14:02:00,200.701,200.701,200.67,200.68,2393
2024-03-22 14:01:00,200.72,200.72,200.7,200.71,1764
2024-03-22 14:00:00,200.73,200.74,200.7,200.72,1716
2024-03-22 13:59:00,200.77,200.77,200.68,200.73,2634
2024-03-22 13:58:00,200.77,200.78,200.765,200.765,1695
2024-03-22 13:57:00,200.72,200.76,200.72,200.755,2276
2024-03-22 13:56:00,200.72,200.72,200.71,200.72,819
2024-03-22 13:55:00,200.7,200.72,200.7,200.72,1932
2024-03-22 13:54:00,200.67,200.7,200.67,200.7,584
2024-03-22 13:53:00,200.68,200.68,200.68,200.68,854
2024-03-22 13:52:00,200.62,200.64,200.62,200.64,685
2024-03-22 13:51:00,200.63,200.64,200.63,200.63,1284
2024-03-22 13:50:00,200.61,200.63,200.61,200.63,1569
2024-03-22 13:49:00,200.64,200.675,200.6,200.61,3593
2024-03-22 13:48:00,200.61,200.66,200.61,200.66,2184
2024-03-22 13:47:00,200.63,200.63,200.61,200.61,708
2024-03-22 13:46:00,200.59,200.605,200.59,200.605,465
2024-03-22 13:45:00,200.54,200.59,200.54,200.59,1356
2024-03-22 13:43:00,200.51,200.565,200.49,200.565,2667
2024-03-22 13:42:00,200.5,200.52,200.5,200.5,2664
2024-03-22 13:41:00,200.53,200.53,200.53,200.53,450
2024-03-22 13:40:00,200.51,200.51,200.48,200.5,2180
2024-03-22 13:39:00,200.545,200.545,200.51,200.51,1008
2024-03-22 13:38:00,200.53,200.56,200.53,200.56,1827
2024-03-22 13:37:00,200.486,200.51,200.486,200.51,682
2024-03-22 13:36:00,200.48,200.51,200.42,200.51,2592
2024-03-22 13:35:00,200.545,200.545,200.465,200.465,4435
2024-03-22 13:34:00,200.559,200.559,200.53,200.53,759
2024-03-22 13:33:00,200.56,200.56,200.55,200.56,1240
