,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,30.085,30.09,30.05,30.05,162737
2024-03-22 15:58:00,30.085,30.09,30.07,30.08,102942
2024-03-22 15:57:00,30.081,30.09,30.075,30.09,69420
2024-03-22 15:56:00,30.095,30.1,30.08,30.08,52080
2024-03-22 15:55:00,30.11,30.115,30.09,30.095,50789
2024-03-22 15:54:00,30.105,30.12,30.105,30.105,69197
2024-03-22 15:53:00,30.11,30.11,30.1,30.105,36977
2024-03-22 15:52:00,30.09,30.11,30.09,30.105,30730
2024-03-22 15:51:00,30.08,30.09,30.075,30.09,23538
2024-03-22 15:50:00,30.08,30.085,30.07,30.075,58488
2024-03-22 15:49:00,30.09,30.09,30.07,30.075,13985
2024-03-22 15:48:00,30.065,30.085,30.06,30.085,50898
2024-03-22 15:47:00,30.065,30.07,30.06,30.07,27940
2024-03-22 15:46:00,30.05,30.07,30.05,30.065,19362
2024-03-22 15:45:00,30.055,30.06,30.055,30.055,9932
2024-03-22 15:44:00,30.045,30.06,30.04,30.055,15186
2024-03-22 15:43:00,30.065,30.069,30.04,30.045,13220
2024-03-22 15:42:00,30.045,30.069,30.035,30.065,38354
2024-03-22 15:41:00,30.045,30.06,30.045,30.055,14273
2024-03-22 15:40:00,30.045,30.07,30.041,30.05,43931
2024-03-22 15:39:00,30.035,30.06,30.035,30.045,48958
2024-03-22 15:38:00,30.035,30.04,30.03,30.035,8766
2024-03-22 15:37:00,30.025,30.04,30.02,30.035,11091
2024-03-22 15:36:00,30.025,30.03,30.025,30.025,3357
2024-03-22 15:35:00,30.005,30.03,30.0,30.03,27066
2024-03-22 15:34:00,29.995,30.01,29.995,30.01,13988
2024-03-22 15:33:00,30.0,30.0,29.99,29.995,18495
2024-03-22 15:32:00,30.015,30.015,29.995,30.005,19269
2024-03-22 15:31:00,30.015,30.02,30.01,30.01,9587
2024-03-22 15:30:00,30.015,30.02,30.01,30.015,21764
2024-03-22 15:29:00,30.02,30.02,30.01,30.015,4288
2024-03-22 15:28:00,30.025,30.03,30.015,30.02,15632
2024-03-22 15:27:00,30.02,30.03,30.02,30.025,6853
2024-03-22 15:26:00,30.02,30.02,30.015,30.02,1417
2024-03-22 15:25:00,30.005,30.02,30.005,30.02,10664
2024-03-22 15:24:00,30.005,30.01,30.0,30.005,2856
2024-03-22 15:23:00,30.005,30.01,30.002,30.01,5720
2024-03-22 15:22:00,30.005,30.01,30.0,30.0,2554
2024-03-22 15:21:00,29.99,30.01,29.99,30.005,16621
2024-03-22 15:20:00,29.994,29.995,29.99,29.995,2797
2024-03-22 15:19:00,29.995,29.995,29.995,29.995,1446
2024-03-22 15:18:00,29.985,30.0,29.985,30.0,8607
2024-03-22 15:17:00,29.975,29.99,29.97,29.99,10218
2024-03-22 15:16:00,29.995,29.995,29.97,29.975,15991
2024-03-22 15:15:00,29.99,30.0,29.99,29.995,1971
2024-03-22 15:14:00,29.995,30.0,29.99,29.995,3599
2024-03-22 15:13:00,30.0,30.0,29.98,29.995,11847
2024-03-22 15:12:00,30.0,30.0,29.99,29.995,12049
2024-03-22 15:11:00,30.01,30.01,30.0,30.0,1857
2024-03-22 15:10:00,30.01,30.015,30.005,30.005,7247
2024-03-22 15:09:00,30.015,30.02,30.015,30.019,2909
2024-03-22 15:08:00,30.005,30.015,30.005,30.015,13147
2024-03-22 15:07:00,30.025,30.025,30.0,30.007,9252
2024-03-22 15:06:00,30.025,30.03,30.02,30.025,5433
2024-03-22 15:05:00,30.025,30.025,30.02,30.025,1619
2024-03-22 15:04:00,30.03,30.03,30.02,30.025,2916
2024-03-22 15:03:00,30.015,30.03,30.015,30.03,13243
2024-03-22 15:02:00,30.005,30.02,30.0,30.015,26005
2024-03-22 15:01:00,30.01,30.01,30.005,30.005,5057
