,1. open,2. high,3. low,4. close,5. volume
2020-07-31 15:59:00,27.187,27.224,27.135,27.171,159471
2020-07-31 15:58:00,27.16,27.211,27.108,27.166,35639
2020-07-31 15:57:00,27.151,27.179,27.094,27.134,23247
2020-07-31 15:56:00,27.146,27.179,27.085,27.116,30855
2020-07-31 15:55:00,27.137,27.174,27.085,27.125,30194
2020-07-31 15:54:00,27.146,27.17,27.077,27.111,12199
2020-07-31 15:53:00,27.133,27.165,27.081,27.121,14465
2020-07-31 15:52:00,27.146,27.165,27.076,27.107,8923
2020-07-31 15:51:00,27.155,27.174,27.09,27.121,9732
2020-07-31 15:50:00,27.169,27.224,27.094,27.125,27452
2020-07-31 15:49:00,27.123,27.197,27.071,27.134,19689
2020-07-31 15:48:00,27.123,27.156,27.062,27.089,10588
2020-07-31 15:47:00,27.11,27.147,27.062,27.093,7977
2020-07-31 15:46:00,27.114,27.138,27.04,27.089,12602
2020-07-31 15:45:00,27.069,27.142,27.021,27.098,11288
2020-07-31 15:44:00,27.037,27.092,26.985,27.043,9302
2020-07-31 15:43:00,27.019,27.06,26.971,27.011,8332
2020-07-31 15:42:00,27.06,27.078,26.939,26.998,58373
2020-07-31 15:41:00,27.064,27.097,27.008,27.029,6771
2020-07-31 15:40:00,27.05,27.092,26.999,27.043,11924
2020-07-31 15:39:00,27.037,27.065,26.985,27.02,5422
2020-07-31 15:38:00,27.023,27.06,26.971,27.011,5203
2020-07-31 15:37:00,26.991,27.065,26.944,26.988,47921
2020-07-31 15:36:00,26.978,27.014,26.93,26.961,6971
2020-07-31 15:35:00,26.959,26.992,26.908,26.947,7389
2020-07-31 15:34:00,26.968,26.987,26.908,26.929,3122
2020-07-31 15:33:00,26.973,26.992,26.912,26.939,3969
2020-07-31 15:32:00,26.952,26.987,26.905,26.943,4416
2020-07-31 15:31:00,26.941,26.978,26.894,26.929,15526
2020-07-31 15:30:00,26.959,26.978,26.894,26.916,3699
2020-07-31 15:29:00,26.955,26.978,26.905,26.934,2700
2020-07-31 15:28:00,26.955,26.978,26.894,26.925,3232
2020-07-31 15:27:00,26.968,26.987,26.898,26.925,3394
2020-07-31 15:26:00,26.946,26.996,26.898,26.952,5563
2020-07-31 15:25:00,26.936,26.973,26.889,26.925,3873
2020-07-31 15:24:00,26.936,26.96,26.885,26.916,4003
2020-07-31 15:23:00,26.923,26.951,26.876,26.906,5889
2020-07-31 15:22:00,26.905,26.941,26.858,26.897,7316
2020-07-31 15:21:00,26.905,26.932,26.858,26.888,2274
2020-07-31 15:20:00,26.886,26.928,26.835,26.884,5534
2020-07-31 15:19:00,26.9,26.919,26.835,26.856,1919
2020-07-31 15:18:00,26.873,26.919,26.826,26.875,4800
2020-07-31 15:17:00,26.868,26.891,26.821,26.843,5368
2020-07-31 15:16:00,26.868,26.891,26.812,26.843,6799
2020-07-31 15:15:00,26.891,26.914,26.816,26.837,5922
2020-07-31 15:14:00,26.9,26.919,26.846,26.87,1000
2020-07-31 15:13:00,26.9,26.919,26.844,26.875,3717
