,1. open,2. high,3. low,4. close,5. volume
2021-10-29 15:59:00,261.71,261.73,261.35,261.35,29274
2021-10-29 15:58:00,261.88,261.903,261.68,261.69,14940
2021-10-29 15:57:00,261.69,261.96,261.68,261.88,14147
2021-10-29 15:56:00,261.63,261.67,261.61,261.67,10849
2021-10-29 15:55:00,261.36,261.66,261.36,261.65,13894
2021-10-29 15:54:00,261.3,261.46,261.25,261.4,4814
2021-10-29 15:53:00,261.44,261.44,261.25,261.25,5783
2021-10-29 15:52:00,261.39,261.48,261.39,261.48,1221
2021-10-29 15:51:00,261.29,261.54,261.28,261.34,4846
2021-10-29 15:50:00,261.17,261.34,260.99,261.34,2471
2021-10-29 15:49:00,261.04,261.13,260.98,261.13,4419
2021-10-29 15:48:00,261.065,261.1,261.04,261.04,400
2021-10-29 15:47:00,260.985,261.06,260.985,261.06,600
2021-10-29 15:46:00,260.925,260.93,260.86,260.9,1844
2021-10-29 15:45:00,260.8,260.86,260.8,260.86,400
2021-10-29 15:44:00,260.85,260.85,260.65,260.65,1222
2021-10-29 15:43:00,260.67,260.74,260.54,260.69,3749
2021-10-29 15:42:00,260.62,260.69,260.62,260.68,1725
2021-10-29 15:41:00,260.52,260.62,260.51,260.58,711
2021-10-29 15:40:00,260.45,260.55,260.45,260.55,991
2021-10-29 15:39:00,260.55,260.55,260.47,260.47,2672
2021-10-29 15:38:00,260.35,260.46,260.35,260.46,400
2021-10-29 15:37:00,260.25,260.33,260.25,260.32,1328
2021-10-29 15:36:00,260.14,260.23,260.14,260.21,1520
2021-10-29 15:35:00,260.23,260.23,260.19,260.19,490
2021-10-29 15:34:00,260.16,260.31,260.16,260.27,1970
2021-10-29 15:33:00,260.26,260.301,260.21,260.21,2657
2021-10-29 15:32:00,260.26,260.285,260.23,260.23,1004
2021-10-29 15:31:00,260.24,260.285,260.24,260.28,700
2021-10-29 15:30:00,260.32,260.32,260.14,260.14,615
2021-10-29 15:29:00,260.45,260.45,260.41,260.41,275
2021-10-29 15:28:00,260.6,260.6,260.52,260.52,300
2021-10-29 15:27:00,260.4,260.53,260.4,260.53,300
2021-10-29 15:26:00,260.56,260.585,260.43,260.43,1306
2021-10-29 15:25:00,260.53,260.56,260.51,260.56,486
2021-10-29 15:24:00,260.64,260.64,260.52,260.52,523
2021-10-29 15:23:00,260.69,260.73,260.66,260.67,2959
2021-10-29 15:22:00,260.75,260.75,260.75,260.75,100
2021-10-29 15:21:00,260.68,260.75,260.58,260.68,1438
2021-10-29 15:20:00,260.73,260.77,260.73,260.77,300
2021-10-29 15:19:00,260.47,260.58,260.47,260.58,656
2021-10-29 15:18:00,260.44,260.5,260.43,260.445,739
2021-10-29 15:17:00,260.67,260.715,260.55,260.55,2660
2021-10-29 15:15:00,260.76,260.76,260.76,260.76,100
2021-10-29 15:13:00,260.65,260.73,260.65,260.73,1000
2021-10-29 15:12:00,260.53,260.61,260.53,260.61,421
2021-10-29 15:11:00,260.57,260.575,260.53,260.53,900
2021-10-29 15:09:00,260.66,260.66,260.58,260.6,967
