,1. open,2. high,3. low,4. close,5. volume
2016-10-31 15:59:00,21.477,21.58,21.314,21.452,15864
2016-10-31 15:58:00,21.471,21.58,21.314,21.458,17577
2016-10-31 15:57:00,21.452,21.574,21.307,21.458,19512
2016-10-31 15:56:00,21.477,21.58,21.301,21.439,35687
2016-10-31 15:55:00,21.477,21.586,21.326,21.462,17338
2016-10-31 15:54:00,21.48,21.586,21.326,21.465,19504
2016-10-31 15:53:00,21.49,21.593,21.333,21.468,11886
2016-10-31 15:52:00,21.522,21.625,21.351,21.484,17869
2016-10-31 15:51:00,21.547,21.65,21.377,21.509,10283
2016-10-31 15:50:00,21.569,21.676,21.402,21.535,21973
2016-10-31 15:49:00,21.56,21.673,21.415,21.557,17342
2016-10-31 15:48:00,21.56,21.67,21.415,21.551,4400
2016-10-31 15:47:00,21.566,21.676,21.415,21.554,8248
2016-10-31 15:46:00,21.566,21.676,21.421,21.554,2120
2016-10-31 15:45:00,21.573,21.682,21.421,21.554,9963
2016-10-31 15:44:00,21.579,21.682,21.427,21.566,3982
2016-10-31 15:43:00,21.553,21.682,21.408,21.566,9609
2016-10-31 15:42:00,21.547,21.657,21.402,21.538,5616
2016-10-31 15:41:00,21.538,21.657,21.389,21.541,9041
2016-10-31 15:40:00,21.528,21.644,21.377,21.528,9983
2016-10-31 15:39:00,21.525,21.631,21.377,21.509,1906
2016-10-31 15:38:00,21.515,21.631,21.364,21.516,7471
2016-10-31 15:37:00,21.515,21.622,21.364,21.497,3456
2016-10-31 15:36:00,21.506,21.625,21.355,21.503,12857
2016-10-31 15:35:00,21.511,21.618,21.358,21.493,7256
2016-10-31 15:34:00,21.509,21.618,21.364,21.497,3214
2016-10-31 15:33:00,21.515,21.618,21.364,21.497,2400
2016-10-31 15:32:00,21.522,21.631,21.37,21.503,5265
2016-10-31 15:31:00,21.522,21.631,21.374,21.516,2977
2016-10-31 15:30:00,21.515,21.625,21.364,21.503,3838
2016-10-31 15:29:00,21.515,21.618,21.364,21.497,1100
2016-10-31 15:28:00,21.509,21.618,21.364,21.497,1300
2016-10-31 15:27:00,21.509,21.615,21.364,21.497,500
2016-10-31 15:26:00,21.509,21.618,21.364,21.497,1900
2016-10-31 15:25:00,21.509,21.612,21.364,21.497,700
2016-10-31 15:24:00,21.503,21.631,21.358,21.503,11304
2016-10-31 15:23:00,21.496,21.606,21.351,21.49,4242
2016-10-31 15:22:00,21.496,21.599,21.345,21.477,900
2016-10-31 15:21:00,21.49,21.599,21.345,21.482,2563
2016-10-31 15:20:00,21.477,21.593,21.333,21.477,6052
2016-10-31 15:19:00,21.477,21.586,21.333,21.468,1600
2016-10-31 15:18:00,21.477,21.586,21.333,21.471,3429
2016-10-31 15:17:00,21.477,21.586,21.332,21.465,4096
2016-10-31 15:16:00,21.471,21.58,21.326,21.458,900
2016-10-31 15:15:00,21.477,21.58,21.326,21.462,900
2016-10-31 15:14:00,21.464,21.58,21.32,21.458,2200
2016-10-31 15:13:00,21.471,21.577,21.32,21.452,2701
2016-10-31 15:12:00,21.483,21.586,21.326,21.458,2933
2016-10-31 15:11:00,21.483,21.586,21.333,21.468,2348
2016-10-31 15:10:00,21.483,21.599,21.339,21.474,4807
2016-10-31 15:09:00,21.483,21.586,21.333,21.471,7968
2016-10-31 15:08:00,21.483,21.586,21.339,21.471,5929
2016-10-31 15:07:00,21.477,21.586,21.333,21.471,6245
2016-10-31 15:06:00,21.471,21.586,21.326,21.465,5577
2016-10-31 15:05:00,21.471,21.58,21.326,21.462,4530
2016-10-31 15:04:00,21.471,21.58,21.323,21.462,2400
2016-10-31 15:03:00,21.468,21.574,21.32,21.458,800
2016-10-31 15:02:00,21.464,21.574,21.317,21.455,7976
2016-10-31 15:01:00,21.458,21.567,21.314,21.452,6624
2016-10-31 15:00:00,21.452,21.561,21.307,21.442,600
2016-10-31 14:59:00,21.458,21.561,21.307,21.442,800
2016-10-31 14:58:00,21.458,21.561,21.307,21.446,700
2016-10-31 14:57:00,21.439,21.561,21.295,21.446,5665
2016-10-31 14:56:00,21.445,21.548,21.295,21.43,1676
2016-10-31 14:55:00,21.439,21.548,21.295,21.433,500
2016-10-31 14:54:00,21.445,21.548,21.295,21.427,200
2016-10-31 14:53:00,21.442,21.545,21.295,21.427,200
2016-10-31 14:52:00,21.42,21.548,21.276,21.427,10587
2016-10-31 14:51:00,21.417,21.523,21.269,21.401,800
2016-10-31 14:50:00,21.413,21.523,21.269,21.401,3052
2016-10-31 14:49:00,21.407,21.523,21.257,21.407,4384
2016-10-31 14:48:00,21.388,21.506,21.244,21.388,3224
2016-10-31 14:47:00,21.382,21.491,21.238,21.376,2100
2016-10-31 14:46:00,21.382,21.484,21.238,21.369,500
2016-10-31 14:45:00,21.388,21.497,21.238,21.369,3485
2016-10-31 14:44:00,21.382,21.497,21.238,21.379,4815
2016-10-31 14:43:00,21.382,21.486,21.238,21.369,1000
2016-10-31 14:42:00,21.385,21.491,21.238,21.369,1900
2016-10-31 14:41:00,21.388,21.494,21.238,21.376,2204
2016-10-31 14:40:00,21.388,21.494,21.244,21.376,1400
2016-10-31 14:39:00,21.385,21.491,21.238,21.376,1502
2016-10-31 14:38:00,21.392,21.497,21.241,21.372,5605
2016-10-31 14:37:00,21.378,21.497,21.235,21.382,3607
2016-10-31 14:36:00,21.384,21.487,21.235,21.366,1522
2016-10-31 14:35:00,21.382,21.497,21.235,21.372,5123
2016-10-31 14:34:00,21.378,21.484,21.231,21.369,1700
2016-10-31 14:33:00,21.363,21.484,21.219,21.369,3300
2016-10-31 14:32:00,21.356,21.465,21.212,21.35,1900
2016-10-31 14:31:00,21.343,21.452,21.2,21.338,2521
2016-10-31 14:30:00,21.331,21.446,21.187,21.331,3010
2016-10-31 14:29:00,21.331,21.439,21.187,21.325,1400
2016-10-31 14:28:00,21.331,21.433,21.187,21.318,100
2016-10-31 14:27:00,21.34,21.443,21.193,21.325,2897
2016-10-31 14:26:00,21.343,21.446,21.197,21.331,600
2016-10-31 14:25:00,21.343,21.446,21.2,21.331,200
2016-10-31 14:24:00,21.343,21.449,21.198,21.331,3726
2016-10-31 14:22:00,21.343,21.446,21.187,21.331,2718
2016-10-31 14:21:00,21.337,21.439,21.193,21.325,400
2016-10-31 14:20:00,21.337,21.439,21.193,21.325,300
2016-10-31 14:19:00,21.366,21.468,21.2,21.331,6203
2016-10-31 14:18:00,21.35,21.471,21.206,21.357,2802
2016-10-31 14:17:00,21.356,21.459,21.206,21.338,643
2016-10-31 14:16:00,21.35,21.459,21.206,21.338,500
2016-10-31 14:15:00,21.343,21.462,21.2,21.338,3900
2016-10-31 14:14:00,21.318,21.446,21.175,21.331,3491
2016-10-31 14:13:00,21.318,21.42,21.171,21.306,1000
2016-10-31 14:12:00,21.318,21.423,21.168,21.299,3500
2016-10-31 14:11:00,21.305,21.427,21.162,21.306,2798
2016-10-31 14:10:00,21.309,21.414,21.162,21.293,714
2016-10-31 14:09:00,21.318,21.423,21.168,21.299,2500
2016-10-31 14:08:00,21.318,21.42,21.175,21.306,2467
2016-10-31 14:07:00,21.318,21.423,21.168,21.299,5302
2016-10-31 14:06:00,21.324,21.427,21.175,21.312,1100
2016-10-31 14:05:00,21.318,21.427,21.175,21.312,600
2016-10-31 14:04:00,21.318,21.427,21.175,21.306,1500
2016-10-31 14:03:00,21.324,21.427,21.175,21.306,800
2016-10-31 14:02:00,21.318,21.425,21.175,21.31,1400
2016-10-31 14:01:00,21.324,21.427,21.175,21.312,600
2016-10-31 14:00:00,21.312,21.427,21.168,21.312,2518
2016-10-31 13:59:00,21.312,21.414,21.168,21.299,200
2016-10-31 13:58:00,21.318,21.423,21.175,21.306,2257
2016-10-31 13:56:00,21.31,21.42,21.162,21.306,7176
2016-10-31 13:55:00,21.324,21.427,21.16,21.291,4307
2016-10-31 13:54:00,21.328,21.433,21.181,21.318,1200
2016-10-31 13:53:00,21.331,21.436,21.181,21.312,3492
2016-10-31 13:51:00,21.334,21.439,21.187,21.318,1079
2016-10-31 13:50:00,21.312,21.439,21.168,21.325,5500
2016-10-31 13:49:00,21.312,21.42,21.168,21.299,400
2016-10-31 13:48:00,21.312,21.42,21.168,21.299,700
2016-10-31 13:47:00,21.318,21.42,21.168,21.299,300
2016-10-31 13:46:00,21.305,21.42,21.162,21.306,1185
