,1. open,2. high,3. low,4. close,5. volume
2017-07-31 15:59:00,120.524,120.682,120.27,120.434,71084
2017-07-31 15:58:00,120.592,120.751,120.338,120.511,16084
2017-07-31 15:57:00,120.617,120.758,120.415,120.571,2531
2017-07-31 15:56:00,120.618,120.759,120.424,120.588,4460
2017-07-31 15:55:00,120.609,120.776,120.406,120.588,13638
2017-07-31 15:54:00,120.637,120.785,120.424,120.58,11278
2017-07-31 15:53:00,120.635,120.794,120.458,120.623,2000
2017-07-31 15:52:00,120.669,120.819,120.458,120.614,3540
2017-07-31 15:51:00,120.703,120.871,120.492,120.648,5366
2017-07-31 15:50:00,120.703,120.896,120.509,120.687,16983
2017-07-31 15:49:00,120.703,120.854,120.526,120.687,2521
2017-07-31 15:48:00,120.712,120.879,120.526,120.683,9107
2017-07-31 15:47:00,120.755,120.914,120.535,120.691,2800
2017-07-31 15:46:00,120.823,120.967,120.595,120.751,3191
2017-07-31 15:45:00,120.845,120.991,120.629,120.785,6103
2017-07-31 15:44:00,120.815,120.991,120.637,120.828,2200
2017-07-31 15:43:00,120.828,120.974,120.629,120.785,3523
2017-07-31 15:42:00,120.815,120.974,120.629,120.802,1300
2017-07-31 15:41:00,120.798,120.948,120.612,120.785,3418
2017-07-31 15:40:00,120.806,120.956,120.62,120.777,1950
2017-07-31 15:39:00,120.823,120.965,120.637,120.794,500
2017-07-31 15:38:00,120.789,120.956,120.612,120.794,3602
2017-07-31 15:37:00,120.772,120.931,120.595,120.768,2725
2017-07-31 15:36:00,120.772,120.922,120.595,120.755,2061
2017-07-31 15:35:00,120.772,120.922,120.586,120.76,1656
2017-07-31 15:34:00,120.789,120.939,120.586,120.751,2100
2017-07-31 15:33:00,120.772,120.922,120.595,120.751,1614
2017-07-31 15:32:00,120.781,120.931,120.603,120.768,700
2017-07-31 15:31:00,120.763,120.905,120.56,120.743,6006
2017-07-31 15:30:00,120.755,120.896,120.56,120.73,1550
2017-07-31 15:29:00,120.738,120.896,120.56,120.734,200
2017-07-31 15:28:00,120.742,120.896,120.553,120.725,2216
2017-07-31 15:27:00,120.755,120.905,120.567,120.724,1200
