,1. open,2. high,3. low,4. close,5. volume
2021-12-31 15:59:00,160.662,160.873,160.485,160.578,163612
2021-12-31 15:58:00,160.653,160.807,160.57,160.701,54935
2021-12-31 15:57:00,160.723,160.845,160.598,160.691,53458
2021-12-31 15:56:00,160.615,160.873,160.551,160.757,69446
2021-12-31 15:55:00,160.784,160.901,160.523,160.663,49152
2021-12-31 15:54:00,160.944,161.052,160.72,160.813,11367
2021-12-31 15:53:00,160.888,161.061,160.804,160.982,19405
2021-12-31 15:52:00,160.897,161.014,160.795,160.926,11284
2021-12-31 15:51:00,160.906,161.075,160.785,160.935,19903
2021-12-31 15:50:00,160.982,161.183,160.842,160.945,29351
2021-12-31 15:49:00,161.104,161.211,161.001,161.104,7174
2021-12-31 15:48:00,161.085,161.249,161.029,161.161,17061
2021-12-31 15:47:00,161.122,161.23,161.008,161.123,10100
2021-12-31 15:46:00,161.113,161.277,161.02,161.165,19481
2021-12-31 15:45:00,161.141,161.296,161.067,161.161,13413
2021-12-31 15:44:00,161.066,161.249,161.011,161.17,7618
2021-12-31 15:43:00,161.127,161.235,161.011,161.104,6711
2021-12-31 15:42:00,161.188,161.305,161.076,161.175,3945
2021-12-31 15:41:00,161.18,161.288,161.09,161.217,4077
2021-12-31 15:40:00,161.122,161.281,161.029,161.211,9218
2021-12-31 15:39:00,161.094,161.23,161.039,161.151,3425
2021-12-31 15:38:00,161.094,161.211,161.029,161.123,4039
2021-12-31 15:37:00,161.09,161.211,161.02,161.132,7353
2021-12-31 15:36:00,161.141,161.254,161.039,161.132,5792
2021-12-31 15:35:00,161.179,161.287,161.067,161.161,3342
2021-12-31 15:34:00,161.197,161.324,161.104,161.208,4461
2021-12-31 15:33:00,161.188,161.305,161.114,161.236,6636
2021-12-31 15:32:00,161.216,161.352,161.133,161.226,2465
2021-12-31 15:31:00,161.249,161.371,161.147,161.245,8256
2021-12-31 15:30:00,161.216,161.38,161.161,161.287,13641
2021-12-31 15:29:00,161.169,161.315,161.104,161.245,7217
2021-12-31 15:28:00,161.179,161.287,161.1,161.217,3364
2021-12-31 15:27:00,161.179,161.296,161.086,161.217,7229
2021-12-31 15:26:00,161.197,161.315,161.133,161.236,3684
2021-12-31 15:25:00,161.151,161.305,161.095,161.236,3399
2021-12-31 15:24:00,161.151,161.277,161.061,161.189,4293
2021-12-31 15:23:00,161.174,161.287,161.086,161.179,1856
