,1. open,2. high,3. low,4. close,5. volume
2020-08-31 15:59:00,30.152,30.2,30.043,30.105,126349
2020-08-31 15:58:00,30.165,30.2,30.078,30.148,64819
2020-08-31 15:57:00,30.165,30.208,30.103,30.152,37080
2020-08-31 15:56:00,30.148,30.2,30.087,30.152,50686
2020-08-31 15:55:00,30.191,30.226,30.078,30.139,39349
2020-08-31 15:54:00,30.178,30.226,30.099,30.182,53163
2020-08-31 15:53:00,30.191,30.234,30.125,30.169,26006
2020-08-31 15:52:00,30.182,30.226,30.121,30.178,32671
2020-08-31 15:51:00,30.165,30.217,30.103,30.169,20556
2020-08-31 15:50:00,30.148,30.234,30.086,30.156,75787
2020-08-31 15:49:00,30.131,30.191,30.078,30.143,17800
2020-08-31 15:48:00,30.14,30.178,30.073,30.127,19045
2020-08-31 15:47:00,30.122,30.183,30.069,30.13,15028
2020-08-31 15:46:00,30.105,30.165,30.052,30.122,15009
2020-08-31 15:45:00,30.092,30.144,30.035,30.1,18886
2020-08-31 15:44:00,30.096,30.131,30.035,30.087,6568
2020-08-31 15:43:00,30.096,30.131,30.039,30.083,2425
2020-08-31 15:42:00,30.092,30.127,30.026,30.083,10595
2020-08-31 15:41:00,30.105,30.144,30.035,30.083,9299
2020-08-31 15:40:00,30.101,30.148,30.045,30.105,6618
2020-08-31 15:39:00,30.114,30.148,30.043,30.092,3940
2020-08-31 15:38:00,30.083,30.148,30.03,30.1,14786
2020-08-31 15:37:00,30.105,30.139,30.028,30.072,8035
2020-08-31 15:36:00,30.101,30.139,30.045,30.092,3369
2020-08-31 15:35:00,30.083,30.139,30.03,30.096,8594
2020-08-31 15:34:00,30.088,30.122,30.022,30.075,7868
2020-08-31 15:33:00,30.084,30.122,30.026,30.073,4529
2020-08-31 15:32:00,30.075,30.122,30.022,30.079,1903
2020-08-31 15:31:00,30.071,30.114,30.018,30.07,6664
2020-08-31 15:30:00,30.092,30.138,30.026,30.07,8507
2020-08-31 15:29:00,30.092,30.139,30.035,30.079,5008
2020-08-31 15:28:00,30.083,30.131,30.03,30.087,3962
2020-08-31 15:27:00,30.078,30.131,30.025,30.075,21667
2020-08-31 15:26:00,30.069,30.113,30.013,30.066,6094
2020-08-31 15:25:00,30.066,30.101,30.0,30.053,16773
2020-08-31 15:24:00,30.066,30.105,30.009,30.057,1924
2020-08-31 15:23:00,30.071,30.105,30.009,30.057,1848
2020-08-31 15:22:00,30.066,30.105,30.009,30.057,1257
2020-08-31 15:21:00,30.066,30.105,30.011,30.057,1409
2020-08-31 15:20:00,30.066,30.101,29.996,30.049,6812
2020-08-31 15:19:00,30.079,30.114,30.009,30.053,5765
2020-08-31 15:18:00,30.072,30.109,30.019,30.066,300
2020-08-31 15:17:00,30.075,30.109,30.018,30.062,8673
2020-08-31 15:16:00,30.066,30.114,30.013,30.066,7599
2020-08-31 15:15:00,30.066,30.105,30.009,30.057,1581
2020-08-31 15:14:00,30.066,30.105,30.009,30.053,2810
2020-08-31 15:13:00,30.062,30.105,30.005,30.055,4807
2020-08-31 15:12:00,30.045,30.096,29.992,30.053,5173
2020-08-31 15:11:00,30.045,30.088,29.988,30.036,10976
2020-08-31 15:10:00,30.049,30.088,29.992,30.043,8980
2020-08-31 15:09:00,30.049,30.088,29.996,30.043,1200
2020-08-31 15:08:00,30.049,30.088,29.992,30.04,2171
2020-08-31 15:07:00,30.053,30.088,29.996,30.04,1160
2020-08-31 15:06:00,30.036,30.088,29.979,30.045,3410
2020-08-31 15:05:00,30.028,30.071,29.966,30.026,12834
2020-08-31 15:04:00,30.032,30.066,29.975,30.019,1700
2020-08-31 15:03:00,30.036,30.071,29.966,30.021,12985
2020-08-31 15:02:00,30.053,30.096,29.992,30.036,9811
2020-08-31 15:01:00,30.06,30.096,30.0,30.049,13409
2020-08-31 15:00:00,30.058,30.096,30.0,30.045,3302
2020-08-31 14:59:00,30.062,30.096,30.0,30.049,2538
2020-08-31 14:58:00,30.058,30.096,30.0,30.049,2886
2020-08-31 14:57:00,30.053,30.095,30.001,30.049,1092
2020-08-31 14:56:00,30.062,30.096,30.001,30.049,7875
2020-08-31 14:55:00,30.058,30.101,30.005,30.053,5681
2020-08-31 14:54:00,30.053,30.096,30.0,30.049,2031
2020-08-31 14:53:00,30.053,30.096,29.992,30.049,6531
2020-08-31 14:52:00,30.049,30.084,29.995,30.04,1000
2020-08-31 14:51:00,30.049,30.088,29.993,30.04,2134
2020-08-31 14:50:00,30.045,30.087,29.988,30.044,11919
2020-08-31 14:49:00,30.031,30.079,29.978,30.032,20087
