,1. open,2. high,3. low,4. close,5. volume
2016-07-29 15:59:00,21.758,21.875,21.606,21.714,71513
2016-07-29 15:58:00,21.752,21.875,21.61,21.728,32067
2016-07-29 15:57:00,21.741,21.869,21.603,21.714,29782
2016-07-29 15:56:00,21.748,21.869,21.6,21.711,35701
2016-07-29 15:55:00,21.758,21.875,21.606,21.718,28357
2016-07-29 15:54:00,21.768,21.886,21.62,21.728,8437
2016-07-29 15:53:00,21.765,21.886,21.627,21.738,2782
2016-07-29 15:52:00,21.771,21.889,21.627,21.738,3679
2016-07-29 15:51:00,21.765,21.886,21.627,21.738,7582
2016-07-29 15:50:00,21.785,21.903,21.627,21.735,18186
2016-07-29 15:49:00,21.785,21.903,21.643,21.755,1965
2016-07-29 15:48:00,21.779,21.903,21.637,21.755,9276
2016-07-29 15:47:00,21.772,21.896,21.63,21.748,5045
2016-07-29 15:46:00,21.765,21.889,21.62,21.741,5962
2016-07-29 15:45:00,21.731,21.882,21.593,21.735,38771
2016-07-29 15:44:00,21.724,21.848,21.586,21.701,1789
2016-07-29 15:43:00,21.724,21.848,21.586,21.694,6328
2016-07-29 15:42:00,21.731,21.848,21.586,21.694,10241
2016-07-29 15:41:00,21.711,21.848,21.573,21.701,13725
2016-07-29 15:40:00,21.697,21.824,21.559,21.677,4590
2016-07-29 15:39:00,21.704,21.821,21.556,21.664,4480
2016-07-29 15:38:00,21.704,21.824,21.566,21.674,1229
2016-07-29 15:37:00,21.704,21.824,21.559,21.674,5182
2016-07-29 15:36:00,21.711,21.828,21.566,21.674,6199
2016-07-29 15:35:00,21.714,21.831,21.573,21.684,400
2016-07-29 15:34:00,21.721,21.841,21.573,21.687,3119
2016-07-29 15:33:00,21.718,21.841,21.579,21.694,451
2016-07-29 15:32:00,21.718,21.841,21.576,21.694,2957
2016-07-29 15:31:00,21.711,21.831,21.573,21.684,500
2016-07-29 15:30:00,21.711,21.838,21.573,21.681,15037
2016-07-29 15:29:00,21.718,21.835,21.573,21.684,1500
2016-07-29 15:28:00,21.718,21.835,21.573,21.687,1700
2016-07-29 15:27:00,21.714,21.835,21.576,21.687,500
2016-07-29 15:26:00,21.711,21.831,21.573,21.684,603
2016-07-29 15:25:00,21.711,21.831,21.573,21.684,600
2016-07-29 15:24:00,21.714,21.831,21.573,21.681,617
2016-07-29 15:23:00,21.711,21.831,21.573,21.684,1622
2016-07-29 15:22:00,21.721,21.838,21.579,21.687,2461
2016-07-29 15:21:00,21.704,21.838,21.566,21.691,5218
2016-07-29 15:20:00,21.714,21.83,21.566,21.677,1231
2016-07-29 15:19:00,21.718,21.835,21.573,21.681,2938
2016-07-29 15:18:00,21.724,21.841,21.586,21.694,1900
2016-07-29 15:17:00,21.731,21.852,21.589,21.701,2956
2016-07-29 15:16:00,21.731,21.855,21.593,21.701,500
2016-07-29 15:15:00,21.731,21.852,21.586,21.701,1877
2016-07-29 15:14:00,21.735,21.862,21.593,21.701,5355
2016-07-29 15:13:00,21.745,21.862,21.593,21.708,7205
2016-07-29 15:12:00,21.738,21.862,21.6,21.714,2120
2016-07-29 15:11:00,21.735,21.852,21.596,21.704,100
2016-07-29 15:10:00,21.738,21.858,21.596,21.704,1661
2016-07-29 15:09:00,21.731,21.862,21.593,21.711,1689
2016-07-29 15:08:00,21.735,21.855,21.586,21.694,4923
2016-07-29 15:07:00,21.731,21.848,21.593,21.701,1167
2016-07-29 15:06:00,21.738,21.855,21.589,21.701,7114
2016-07-29 15:05:00,21.748,21.865,21.6,21.708,5705
2016-07-29 15:04:00,21.752,21.869,21.61,21.718,1720
2016-07-29 15:03:00,21.758,21.875,21.61,21.718,4064
2016-07-29 15:02:00,21.755,21.882,21.616,21.735,3289
2016-07-29 15:01:00,21.758,21.875,21.62,21.728,1000
2016-07-29 15:00:00,21.745,21.869,21.606,21.721,2514
2016-07-29 14:59:00,21.741,21.869,21.603,21.714,8716
2016-07-29 14:58:00,21.752,21.869,21.6,21.708,5913
2016-07-29 14:57:00,21.752,21.872,21.613,21.724,707
2016-07-29 14:56:00,21.755,21.875,21.613,21.724,1400
2016-07-29 14:55:00,21.755,21.875,21.613,21.721,1010
2016-07-29 14:54:00,21.755,21.875,21.613,21.724,1200
2016-07-29 14:53:00,21.758,21.875,21.616,21.724,500
2016-07-29 14:52:00,21.752,21.869,21.613,21.721,1481
2016-07-29 14:51:00,21.745,21.865,21.6,21.718,3907
2016-07-29 14:50:00,21.755,21.872,21.606,21.714,1300
2016-07-29 14:49:00,21.752,21.872,21.61,21.721,1000
2016-07-29 14:48:00,21.748,21.869,21.61,21.718,2150
2016-07-29 14:47:00,21.738,21.865,21.6,21.714,2834
2016-07-29 14:46:00,21.745,21.865,21.6,21.708,4884
2016-07-29 14:45:00,21.762,21.879,21.613,21.721,3894
2016-07-29 14:44:00,21.762,21.882,21.62,21.728,1800
2016-07-29 14:43:00,21.762,21.879,21.62,21.728,400
2016-07-29 14:42:00,21.768,21.889,21.62,21.728,1605
