,1. open,2. high,3. low,4. close,5. volume
2017-06-30 15:59:00,102.673,102.902,102.333,102.567,63401
2017-06-30 15:58:00,102.729,102.966,102.436,102.662,14997
2017-06-30 15:57:00,102.772,102.998,102.483,102.726,16139
2017-06-30 15:56:00,102.808,103.038,102.523,102.773,8365
2017-06-30 15:55:00,102.84,103.062,102.578,102.797,5657
2017-06-30 15:54:00,102.876,103.097,102.626,102.845,1599
2017-06-30 15:53:00,102.895,103.117,102.65,102.869,4591
2017-06-30 15:52:00,102.903,103.125,102.665,102.891,2162
2017-06-30 15:51:00,102.907,103.157,102.681,102.904,2920
2017-06-30 15:50:00,102.947,103.169,102.681,102.9,5518
2017-06-30 15:49:00,102.999,103.221,102.721,102.948,4973
2017-06-30 15:48:00,102.975,103.229,102.753,102.996,3706
2017-06-30 15:47:00,102.975,103.197,102.745,102.972,3400
2017-06-30 15:46:00,102.951,103.193,102.721,102.968,2326
2017-06-30 15:45:00,102.935,103.197,102.705,102.948,18253
2017-06-30 15:44:00,102.931,103.153,102.705,102.924,1151
2017-06-30 15:43:00,102.927,103.149,102.697,102.924,1677
2017-06-30 15:42:00,102.923,103.157,102.697,102.92,4344
2017-06-30 15:41:00,102.917,103.149,102.681,102.924,3785
2017-06-30 15:40:00,102.919,103.149,102.689,102.916,2402
2017-06-30 15:39:00,102.907,103.141,102.685,102.908,755
2017-06-30 15:38:00,102.909,103.141,102.681,102.904,3598
2017-06-30 15:37:00,102.911,103.133,102.681,102.908,365
2017-06-30 15:36:00,102.911,103.133,102.681,102.9,500
2017-06-30 15:35:00,102.911,103.133,102.681,102.9,1925
2017-06-30 15:34:00,102.911,103.141,102.685,102.904,2016
2017-06-30 15:33:00,102.911,103.133,102.665,102.9,1953
2017-06-30 15:32:00,102.919,103.141,102.677,102.908,4717
2017-06-30 15:31:00,102.919,103.141,102.681,102.9,1100
2017-06-30 15:30:00,102.927,103.157,102.697,102.916,1400
2017-06-30 15:29:00,102.923,103.157,102.689,102.924,2316
2017-06-30 15:28:00,102.919,103.143,102.697,102.916,400
2017-06-30 15:27:00,102.919,103.149,102.685,102.904,1300
2017-06-30 15:26:00,102.942,103.165,102.697,102.916,1780
2017-06-30 15:25:00,102.939,103.161,102.717,102.936,700
2017-06-30 15:24:00,102.911,103.149,102.68,102.9,3041
2017-06-30 15:23:00,102.895,103.141,102.673,102.916,1700
2017-06-30 15:21:00,102.856,103.105,102.634,102.88,1045
2017-06-30 15:20:00,102.843,103.086,102.621,102.861,500
2017-06-30 15:19:00,102.817,103.07,102.595,102.845,1414
2017-06-30 15:18:00,102.832,103.07,102.602,102.821,400
2017-06-30 15:17:00,102.871,103.103,102.626,102.853,5006
2017-06-30 15:16:00,102.872,103.093,102.65,102.869,100
2017-06-30 15:15:00,102.872,103.101,102.642,102.861,370
2017-06-30 15:14:00,102.872,103.101,102.65,102.876,900
2017-06-30 15:13:00,102.856,103.093,102.634,102.869,1004
2017-06-30 15:12:00,102.872,103.101,102.634,102.861,1825
2017-06-30 15:11:00,102.888,103.109,102.642,102.861,900
2017-06-30 15:10:00,102.888,103.117,102.658,102.876,1527
2017-06-30 15:09:00,102.888,103.109,102.642,102.865,2244
2017-06-30 15:08:00,102.888,103.109,102.654,102.873,200
2017-06-30 15:07:00,102.872,103.093,102.65,102.869,300
2017-06-30 15:06:00,102.903,103.141,102.634,102.853,1968
2017-06-30 15:05:00,102.871,103.117,102.649,102.892,1200
2017-06-30 15:04:00,102.88,103.105,102.626,102.861,3023
2017-06-30 15:03:00,102.888,103.109,102.661,102.88,200
2017-06-30 15:02:00,102.872,103.101,102.642,102.869,2002
2017-06-30 15:01:00,102.865,103.087,102.634,102.853,400
2017-06-30 15:00:00,102.864,103.086,102.634,102.853,1800
2017-06-30 14:59:00,102.876,103.097,102.65,102.869,200
2017-06-30 14:57:00,102.864,103.097,102.642,102.873,200
2017-06-30 14:56:00,102.881,103.103,102.659,102.878,100
2017-06-30 14:55:00,102.872,103.109,102.646,102.884,1100
2017-06-30 14:54:00,102.888,103.109,102.651,102.87,493
2017-06-30 14:53:00,102.88,103.101,102.642,102.865,500
2017-06-30 14:52:00,102.895,103.117,102.642,102.861,2317
2017-06-30 14:51:00,102.872,103.109,102.65,102.876,1000
2017-06-30 14:49:00,102.88,103.101,102.654,102.876,1881
2017-06-30 14:48:00,102.872,103.105,102.642,102.876,2000
2017-06-30 14:47:00,102.88,103.101,102.642,102.861,200
2017-06-30 14:46:00,102.872,103.093,102.634,102.853,300
2017-06-30 14:45:00,102.808,103.078,102.586,102.853,1800
2017-06-30 14:44:00,102.864,103.086,102.594,102.813,1600
2017-06-30 14:43:00,102.84,103.093,102.618,102.865,2700
2017-06-30 14:42:00,102.832,103.078,102.611,102.837,1750
2017-06-30 14:41:00,102.832,103.054,102.607,102.826,415
2017-06-30 14:40:00,102.848,103.07,102.61,102.845,1071
2017-06-30 14:39:00,102.816,103.078,102.594,102.845,1100
2017-06-30 14:38:00,102.824,103.062,102.602,102.821,832
2017-06-30 14:37:00,102.851,103.073,102.61,102.829,988
2017-06-30 14:36:00,102.848,103.07,102.619,102.838,470
2017-06-30 14:35:00,102.848,103.07,102.602,102.821,600
2017-06-30 14:34:00,102.832,103.078,102.61,102.853,848
2017-06-30 14:33:00,102.911,103.133,102.63,102.849,1840
2017-06-30 14:32:00,102.943,103.165,102.721,102.94,114
2017-06-30 14:31:00,102.934,103.156,102.712,102.931,185
2017-06-30 14:30:00,102.903,103.145,102.673,102.893,837
2017-06-30 14:29:00,102.911,103.134,102.689,102.909,550
2017-06-30 14:28:00,102.919,103.145,102.697,102.92,200
2017-06-30 14:27:00,102.903,103.149,102.681,102.924,1437
2017-06-30 14:26:00,102.935,103.157,102.689,102.908,913
2017-06-30 14:25:00,102.999,103.221,102.729,102.948,2200
2017-06-30 14:24:00,102.983,103.229,102.761,103.004,1545
2017-06-30 14:22:00,102.981,103.205,102.745,102.98,420
2017-06-30 14:21:00,102.964,103.205,102.742,102.98,1050
2017-06-30 14:20:00,102.986,103.208,102.737,102.956,3267
2017-06-30 14:19:00,102.951,103.197,102.729,102.966,2032
2017-06-30 14:18:00,102.999,103.221,102.737,102.956,1200
2017-06-30 14:17:00,102.991,103.221,102.753,102.996,700
2017-06-30 14:16:00,102.999,103.238,102.769,103.004,4024
2017-06-30 14:15:00,103.031,103.257,102.769,103.004,4600
2017-06-30 14:14:00,103.09,103.316,102.808,103.027,14325
2017-06-30 14:13:00,103.086,103.316,102.856,103.091,919
2017-06-30 14:12:00,103.032,103.308,102.809,103.075,2000
2017-06-30 14:11:00,103.031,103.261,102.804,103.023,2006
2017-06-30 14:10:00,103.031,103.261,102.808,103.035,500
2017-06-30 14:09:00,103.016,103.238,102.793,103.013,254
2017-06-30 14:08:00,103.023,103.253,102.784,103.004,1950
2017-06-30 14:07:00,103.011,103.245,102.776,103.004,2425
2017-06-30 14:06:00,103.015,103.237,102.785,103.008,1230
2017-06-30 14:05:00,103.023,103.245,102.784,103.004,1300
2017-06-30 14:04:00,102.983,103.237,102.761,103.012,1407
2017-06-30 14:03:00,102.991,103.229,102.761,102.98,3514
2017-06-30 14:02:00,102.991,103.213,102.769,102.988,100
2017-06-30 14:01:00,102.967,103.205,102.733,102.98,902
2017-06-30 14:00:00,102.959,103.181,102.729,102.948,920
2017-06-30 13:59:00,102.967,103.189,102.729,102.964,1502
2017-06-30 13:58:00,102.967,103.193,102.745,102.968,1100
2017-06-30 13:57:00,102.935,103.189,102.713,102.964,3526
2017-06-30 13:56:00,102.951,103.189,102.713,102.944,6014
2017-06-30 13:55:00,102.923,103.189,102.701,102.948,3931
2017-06-30 13:54:00,102.935,103.157,102.673,102.912,2197
2017-06-30 13:53:00,102.911,103.173,102.689,102.916,2899
2017-06-30 13:52:00,102.911,103.133,102.681,102.908,1484
2017-06-30 13:51:00,102.919,103.141,102.689,102.908,1410
2017-06-30 13:50:00,102.872,103.141,102.634,102.906,10466
2017-06-30 13:49:00,102.903,103.141,102.65,102.869,11575
2017-06-30 13:48:00,102.872,103.133,102.646,102.9,3500
2017-06-30 13:47:00,102.872,103.093,102.65,102.869,200
2017-06-30 13:46:00,102.856,103.078,102.634,102.853,400
2017-06-30 13:44:00,102.856,103.086,102.618,102.845,1641
2017-06-30 13:43:00,102.88,103.101,102.61,102.829,1000
2017-06-30 13:42:00,102.88,103.101,102.642,102.869,1600
2017-06-30 13:41:00,102.919,103.141,102.665,102.884,3367
2017-06-30 13:40:00,102.919,103.141,102.681,102.916,837
2017-06-30 13:39:00,102.919,103.141,102.697,102.916,100
2017-06-30 13:38:00,102.899,103.141,102.677,102.916,499
2017-06-30 13:37:00,102.903,103.133,102.673,102.892,1000
2017-06-30 13:36:00,102.88,103.101,102.658,102.876,100
2017-06-30 13:35:00,102.888,103.133,102.658,102.876,1249
2017-06-30 13:34:00,102.903,103.125,102.665,102.892,646
2017-06-30 13:33:00,102.903,103.153,102.681,102.9,1331
2017-06-30 13:32:00,102.911,103.133,102.689,102.908,100
2017-06-30 13:31:00,102.975,103.197,102.697,102.932,9219
2017-06-30 13:30:00,102.967,103.189,102.737,102.956,400
2017-06-30 13:29:00,102.967,103.197,102.737,102.964,500
2017-06-30 13:28:00,102.963,103.197,102.729,102.956,1331
2017-06-30 13:27:00,102.966,103.197,102.737,102.956,930
2017-06-30 13:26:00,102.959,103.205,102.737,102.956,919
2017-06-30 13:25:00,102.981,103.203,102.737,102.963,1500
2017-06-30 13:24:00,102.999,103.221,102.753,102.972,1200
2017-06-30 13:23:00,102.987,103.221,102.753,102.996,400
2017-06-30 13:22:00,102.971,103.213,102.749,102.988,1200
2017-06-30 13:21:00,102.978,103.205,102.745,102.98,702
2017-06-30 13:20:00,103.007,103.229,102.761,102.98,1270
2017-06-30 13:19:00,103.015,103.253,102.784,103.019,2600
2017-06-30 13:17:00,103.007,103.229,102.784,103.004,100
2017-06-30 13:16:00,103.019,103.253,102.776,102.996,6062
2017-06-30 13:15:00,103.031,103.253,102.808,103.027,100
2017-06-30 13:14:00,103.015,103.237,102.792,103.012,100
2017-06-30 13:13:00,103.03,103.253,102.808,103.027,177
2017-06-30 13:12:00,102.999,103.245,102.776,103.019,600
2017-06-30 13:11:00,103.007,103.237,102.784,103.012,1607
2017-06-30 13:08:00,103.003,103.237,102.78,103.012,475
2017-06-30 13:07:00,102.991,103.213,102.769,102.988,400
2017-06-30 13:06:00,102.967,103.213,102.745,102.972,800
2017-06-30 13:05:00,102.967,103.213,102.745,102.988,200
2017-06-30 13:04:00,102.983,103.205,102.753,102.972,344
2017-06-30 13:02:00,102.979,103.201,102.757,102.976,100
2017-06-30 13:01:00,102.967,103.221,102.745,102.996,800
2017-06-30 13:00:00,102.991,103.213,102.745,102.964,1501
2017-06-30 12:59:00,102.975,103.213,102.753,102.988,300
2017-06-30 12:58:00,102.999,103.221,102.776,102.996,600
2017-06-30 12:57:00,102.999,103.221,102.776,102.996,500
2017-06-30 12:56:00,102.935,103.221,102.713,102.996,1500
2017-06-30 12:55:00,102.946,103.181,102.711,102.931,411
2017-06-30 12:54:00,102.959,103.181,102.698,102.956,597
2017-06-30 12:53:00,102.936,103.181,102.713,102.956,300
2017-06-30 12:52:00,102.959,103.181,102.697,102.956,1000
2017-06-30 12:50:00,102.911,103.173,102.689,102.932,1424
2017-06-30 12:49:00,102.927,103.149,102.681,102.9,703
2017-06-30 12:48:00,102.911,103.149,102.689,102.924,800
2017-06-30 12:47:00,102.919,103.148,102.697,102.916,315
2017-06-30 12:46:00,102.955,103.181,102.697,102.94,1030
2017-06-30 12:45:00,102.951,103.185,102.729,102.948,600
2017-06-30 12:44:00,103.015,103.237,102.737,102.956,600
2017-06-30 12:43:00,102.951,103.229,102.729,102.972,1600
2017-06-30 12:42:00,102.967,103.205,102.729,102.948,600
2017-06-30 12:41:00,103.007,103.229,102.745,102.972,600
2017-06-30 12:40:00,102.967,103.221,102.745,102.972,1100
2017-06-30 12:39:00,103.038,103.261,102.737,102.956,4949
2017-06-30 12:38:00,103.042,103.265,102.808,103.035,776
2017-06-30 12:37:00,103.046,103.285,102.812,103.045,2144
2017-06-30 12:36:00,103.034,103.257,102.812,103.031,100
2017-06-30 12:35:00,103.054,103.277,102.824,103.043,500
2017-06-30 12:34:00,103.022,103.244,102.792,103.012,1068
2017-06-30 12:33:00,103.031,103.253,102.808,103.027,300
2017-06-30 12:32:00,103.07,103.3,102.832,103.051,2700
2017-06-30 12:31:00,103.023,103.3,102.796,103.07,3225
2017-06-30 12:30:00,103.015,103.253,102.792,103.025,1403
2017-06-30 12:29:00,102.999,103.237,102.776,103.004,1200
2017-06-30 12:28:00,103.015,103.237,102.792,103.012,100
2017-06-30 12:27:00,102.999,103.229,102.769,102.996,1450
2017-06-30 12:26:00,103.03,103.253,102.769,102.995,2870
2017-06-30 12:25:00,103.031,103.253,102.808,103.027,100
2017-06-30 12:24:00,103.023,103.253,102.776,103.027,900
2017-06-30 12:23:00,103.011,103.233,102.788,103.008,100
2017-06-30 12:22:00,103.023,103.245,102.8,103.019,300
2017-06-30 12:21:00,103.023,103.245,102.791,103.01,200
2017-06-30 12:20:00,103.046,103.269,102.792,103.012,1382
2017-06-30 12:19:00,103.054,103.285,102.824,103.043,2286
2017-06-30 12:18:00,103.038,103.292,102.816,103.051,2792
2017-06-30 12:17:00,103.038,103.293,102.816,103.067,1100
2017-06-30 12:15:00,103.058,103.281,102.832,103.051,1200
2017-06-30 12:14:00,103.074,103.296,102.8,103.035,1758
2017-06-30 12:13:00,103.086,103.308,102.864,103.083,200
2017-06-30 12:12:00,103.066,103.3,102.84,103.059,884
2017-06-30 12:11:00,103.071,103.316,102.84,103.059,1205
2017-06-30 12:10:00,103.07,103.308,102.848,103.071,978
2017-06-30 12:09:00,103.015,103.293,102.792,103.067,1138
