,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,60.599,60.6,60.48,60.48,342726
2024-03-22 15:58:00,60.585,60.61,60.58,60.599,127417
2024-03-22 15:57:00,60.56,60.595,60.55,60.585,97647
2024-03-22 15:56:00,60.56,60.565,60.54,60.555,79527
2024-03-22 15:55:00,60.61,60.615,60.54,60.565,85305
2024-03-22 15:54:00,60.635,60.64,60.61,60.615,53179
2024-03-22 15:53:00,60.625,60.64,60.615,60.635,66463
2024-03-22 15:52:00,60.655,60.66,60.625,60.625,74656
2024-03-22 15:51:00,60.66,60.66,60.65,60.655,22277
2024-03-22 15:50:00,60.68,60.68,60.635,60.655,83678
2024-03-22 15:49:00,60.645,60.68,60.645,60.67,44139
2024-03-22 15:48:00,60.65,60.669,60.645,60.65,80765
2024-03-22 15:47:00,60.64,60.65,60.635,60.645,25751
2024-03-22 15:46:00,60.62,60.64,60.62,60.639,21053
2024-03-22 15:45:00,60.62,60.62,60.61,60.62,22349
2024-03-22 15:44:00,60.62,60.625,60.605,60.617,75320
2024-03-22 15:43:00,60.615,60.62,60.61,60.615,13726
2024-03-22 15:42:00,60.59,60.62,60.59,60.615,25050
2024-03-22 15:41:00,60.58,60.6,60.58,60.595,15300
2024-03-22 15:40:00,60.575,60.59,60.575,60.585,21932
2024-03-22 15:39:00,60.575,60.589,60.57,60.575,30370
2024-03-22 15:38:00,60.575,60.58,60.57,60.575,6815
2024-03-22 15:37:00,60.6,60.6,60.57,60.57,41499
2024-03-22 15:36:00,60.585,60.6,60.585,60.595,6813
2024-03-22 15:35:00,60.565,60.59,60.565,60.59,37628
2024-03-22 15:34:00,60.545,60.565,60.545,60.565,23457
2024-03-22 15:33:00,60.545,60.545,60.54,60.545,9256
2024-03-22 15:32:00,60.555,60.555,60.535,60.545,44400
2024-03-22 15:31:00,60.545,60.56,60.545,60.555,9567
2024-03-22 15:30:00,60.545,60.555,60.54,60.545,16752
2024-03-22 15:29:00,60.545,60.55,60.54,60.544,13435
2024-03-22 15:28:00,60.55,60.55,60.545,60.545,9748
2024-03-22 15:27:00,60.545,60.56,60.54,60.55,19768
2024-03-22 15:26:00,60.54,60.545,60.54,60.545,5415
2024-03-22 15:25:00,60.545,60.56,60.54,60.545,18724
2024-03-22 15:24:00,60.555,60.57,60.545,60.55,53017
2024-03-22 15:23:00,60.555,60.56,60.551,60.555,5896
2024-03-22 15:22:00,60.55,60.56,60.55,60.555,4954
2024-03-22 15:21:00,60.545,60.56,60.544,60.555,13190
2024-03-22 15:20:00,60.56,60.56,60.54,60.55,71719
2024-03-22 15:19:00,60.555,60.56,60.55,60.56,9051
2024-03-22 15:18:00,60.545,60.555,60.545,60.55,8764
2024-03-22 15:17:00,60.525,60.547,60.52,60.545,15862
2024-03-22 15:16:00,60.535,60.54,60.515,60.525,31450
2024-03-22 15:15:00,60.51,60.54,60.51,60.54,23416
2024-03-22 15:14:00,60.515,60.52,60.51,60.51,10684
2024-03-22 15:13:00,60.505,60.52,60.495,60.52,74881
2024-03-22 15:12:00,60.53,60.535,60.5,60.505,22218
2024-03-22 15:11:00,60.535,60.54,60.525,60.53,21069
2024-03-22 15:10:00,60.525,60.54,60.525,60.535,22617
2024-03-22 15:09:00,60.525,60.53,60.52,60.52,12151
2024-03-22 15:08:00,60.52,60.53,60.52,60.52,9205
2024-03-22 15:07:00,60.54,60.54,60.52,60.52,16434
2024-03-22 15:06:00,60.555,60.559,60.54,60.54,11160
2024-03-22 15:05:00,60.535,60.56,60.535,60.56,14452
2024-03-22 15:04:00,60.54,60.54,60.525,60.53,28688
2024-03-22 15:03:00,60.54,60.54,60.53,60.535,14217
2024-03-22 15:02:00,60.535,60.538,60.53,60.535,6237
2024-03-22 15:01:00,60.535,60.537,60.53,60.535,5912
2024-03-22 15:00:00,60.54,60.54,60.53,60.535,5345
2024-03-22 14:59:00,60.545,60.545,60.531,60.535,4712
2024-03-22 14:58:00,60.545,60.545,60.53,60.54,23975
2024-03-22 14:57:00,60.544,60.55,60.54,60.545,5535
2024-03-22 14:56:00,60.55,60.55,60.54,60.545,4013
2024-03-22 14:55:00,60.535,60.55,60.535,60.549,9336
2024-03-22 14:54:00,60.531,60.54,60.53,60.53,3287
2024-03-22 14:53:00,60.534,60.54,60.53,60.535,15892
2024-03-22 14:52:00,60.54,60.54,60.53,60.535,7784
2024-03-22 14:51:00,60.535,60.55,60.535,60.545,9218
2024-03-22 14:50:00,60.53,60.54,60.52,60.54,6961
2024-03-22 14:49:00,60.52,60.55,60.52,60.52,15048
2024-03-22 14:48:00,60.515,60.53,60.51,60.525,12881
2024-03-22 14:47:00,60.52,60.52,60.51,60.51,7775
2024-03-22 14:46:00,60.525,60.53,60.52,60.525,3781
2024-03-22 14:45:00,60.525,60.53,60.52,60.53,5894
2024-03-22 14:44:00,60.515,60.525,60.51,60.525,9007
2024-03-22 14:43:00,60.53,60.53,60.51,60.52,9741
2024-03-22 14:42:00,60.545,60.545,60.53,60.53,7086
2024-03-22 14:41:00,60.533,60.545,60.53,60.545,6585
2024-03-22 14:40:00,60.53,60.54,60.525,60.54,13940
2024-03-22 14:39:00,60.54,60.54,60.53,60.54,1745
2024-03-22 14:38:00,60.54,60.55,60.53,60.53,9642
2024-03-22 14:37:00,60.535,60.545,60.535,60.545,3912
2024-03-22 14:36:00,60.535,60.54,60.531,60.54,4885
2024-03-22 14:35:00,60.51,60.54,60.51,60.535,13871
2024-03-22 14:34:00,60.509,60.515,60.509,60.51,6928
2024-03-22 14:33:00,60.51,60.52,60.5,60.505,12711
2024-03-22 14:32:00,60.55,60.56,60.51,60.52,24509
2024-03-22 14:31:00,60.553,60.565,60.55,60.555,10155
2024-03-22 14:30:00,60.56,60.565,60.555,60.555,10520
2024-03-22 14:29:00,60.56,60.57,60.56,60.568,6807
2024-03-22 14:28:00,60.565,60.57,60.56,60.56,7973
2024-03-22 14:27:00,60.565,60.57,60.56,60.565,6954
2024-03-22 14:26:00,60.565,60.57,60.565,60.57,4949
2024-03-22 14:25:00,60.57,60.57,60.55,60.57,13665
2024-03-22 14:24:00,60.565,60.57,60.56,60.57,7083
2024-03-22 14:23:00,60.57,60.57,60.56,60.563,2993
2024-03-22 14:22:00,60.58,60.58,60.56,60.57,12138
2024-03-22 14:21:00,60.562,60.58,60.56,60.58,11368
2024-03-22 14:20:00,60.565,60.57,60.56,60.57,4203
2024-03-22 14:19:00,60.565,60.57,60.56,60.57,3663
2024-03-22 14:18:00,60.565,60.57,60.56,60.56,3009
2024-03-22 14:17:00,60.57,60.57,60.56,60.56,10141
2024-03-22 14:16:00,60.57,60.57,60.56,60.56,3407
2024-03-22 14:15:00,60.579,60.58,60.56,60.56,7028
2024-03-22 14:14:00,60.58,60.58,60.57,60.57,2636
2024-03-22 14:13:00,60.57,60.58,60.56,60.58,8190
2024-03-22 14:12:00,60.575,60.58,60.57,60.571,4325
2024-03-22 14:11:00,60.58,60.58,60.573,60.58,1708
2024-03-22 14:10:00,60.58,60.58,60.56,60.573,12876
2024-03-22 14:09:00,60.59,60.6,60.575,60.58,18355
2024-03-22 14:08:00,60.575,60.59,60.57,60.59,9535
2024-03-22 14:07:00,60.56,60.58,60.56,60.58,9278
2024-03-22 14:06:00,60.555,60.57,60.555,60.565,8626
2024-03-22 14:05:00,60.545,60.56,60.54,60.555,11610
2024-03-22 14:04:00,60.55,60.55,60.54,60.54,5422
2024-03-22 14:03:00,60.545,60.55,60.54,60.545,8377
2024-03-22 14:02:00,60.54,60.549,60.54,60.542,2914
2024-03-22 14:01:00,60.55,60.55,60.54,60.545,10580
2024-03-22 14:00:00,60.533,60.55,60.533,60.545,2760
2024-03-22 13:59:00,60.545,60.55,60.533,60.535,10922
2024-03-22 13:58:00,60.545,60.555,60.54,60.545,11649
2024-03-22 13:57:00,60.535,60.545,60.53,60.545,8996
2024-03-22 13:56:00,60.523,60.54,60.523,60.53,12325
2024-03-22 13:55:00,60.521,60.53,60.521,60.525,5830
2024-03-22 13:54:00,60.525,60.53,60.52,60.525,5632
2024-03-22 13:53:00,60.515,60.53,60.51,60.525,12421
2024-03-22 13:52:00,60.525,60.53,60.5,60.519,20440
2024-03-22 13:51:00,60.515,60.53,60.513,60.52,13717
2024-03-22 13:50:00,60.515,60.52,60.51,60.515,7062
2024-03-22 13:49:00,60.525,60.53,60.513,60.517,12376
2024-03-22 13:48:00,60.52,60.53,60.515,60.525,4766
2024-03-22 13:47:00,60.515,60.52,60.5,60.52,18800
2024-03-22 13:46:00,60.53,60.53,60.51,60.51,7211
2024-03-22 13:45:00,60.52,60.529,60.515,60.525,6848
2024-03-22 13:44:00,60.525,60.53,60.515,60.52,8788
2024-03-22 13:43:00,60.505,60.528,60.505,60.525,11418
2024-03-22 13:42:00,60.51,60.51,60.5,60.505,6150
2024-03-22 13:41:00,60.515,60.53,60.51,60.51,10133
2024-03-22 13:40:00,60.525,60.525,60.51,60.52,14324
2024-03-22 13:39:00,60.54,60.54,60.52,60.53,8076
2024-03-22 13:38:00,60.54,60.56,60.54,60.54,13821
2024-03-22 13:37:00,60.538,60.54,60.53,60.535,4115
2024-03-22 13:36:00,60.533,60.54,60.53,60.535,3497
2024-03-22 13:35:00,60.535,60.54,60.53,60.53,3406
2024-03-22 13:34:00,60.55,60.56,60.535,60.54,8643
2024-03-22 13:33:00,60.555,60.555,60.55,60.555,4024
2024-03-22 13:32:00,60.555,60.555,60.55,60.55,3151
2024-03-22 13:31:00,60.58,60.58,60.55,60.55,14064
2024-03-22 13:30:00,60.55,60.58,60.55,60.58,16369
2024-03-22 13:29:00,60.565,60.569,60.55,60.551,7727
2024-03-22 13:28:00,60.565,60.565,60.56,60.565,3252
2024-03-22 13:27:00,60.56,60.569,60.56,60.569,6054
2024-03-22 13:26:00,60.565,60.57,60.56,60.565,9479
2024-03-22 13:25:00,60.56,60.569,60.56,60.565,6646
2024-03-22 13:24:00,60.565,60.57,60.555,60.56,11760
2024-03-22 13:23:00,60.553,60.57,60.553,60.569,9147
2024-03-22 13:22:00,60.555,60.56,60.55,60.553,3667
2024-03-22 13:21:00,60.55,60.56,60.55,60.55,10366
2024-03-22 13:20:00,60.542,60.55,60.54,60.543,3787
2024-03-22 13:19:00,60.545,60.55,60.54,60.55,2390
2024-03-22 13:18:00,60.53,60.55,60.521,60.549,7822
2024-03-22 13:17:00,60.525,60.53,60.52,60.53,4744
2024-03-22 13:16:00,60.505,60.525,60.505,60.525,11496
2024-03-22 13:15:00,60.505,60.519,60.505,60.51,11085
2024-03-22 13:14:00,60.51,60.51,60.494,60.495,97770
2024-03-22 13:13:00,60.525,60.525,60.51,60.51,6534
2024-03-22 13:12:00,60.504,60.525,60.504,60.52,6592
2024-03-22 13:11:00,60.495,60.51,60.49,60.505,6765
2024-03-22 13:10:00,60.51,60.51,60.495,60.495,6333
2024-03-22 13:09:00,60.51,60.51,60.5,60.505,8637
2024-03-22 13:08:00,60.522,60.53,60.51,60.51,7433
2024-03-22 13:07:00,60.525,60.529,60.52,60.52,4035
2024-03-22 13:06:00,60.53,60.539,60.52,60.52,10044
2024-03-22 13:05:00,60.525,60.536,60.52,60.53,10193
2024-03-22 13:04:00,60.505,60.52,60.505,60.52,7353
2024-03-22 13:03:00,60.515,60.515,60.503,60.503,5415
2024-03-22 13:02:00,60.52,60.52,60.51,60.515,7547
2024-03-22 13:01:00,60.535,60.54,60.52,60.529,16111
2024-03-22 13:00:00,60.52,60.539,60.515,60.539,22110
2024-03-22 12:59:00,60.495,60.52,60.495,60.515,14576
2024-03-22 12:58:00,60.495,60.5,60.49,60.495,3304
2024-03-22 12:57:00,60.495,60.5,60.49,60.49,4444
2024-03-22 12:56:00,60.495,60.5,60.49,60.499,4564
2024-03-22 12:55:00,60.505,60.505,60.49,60.495,10856
2024-03-22 12:54:00,60.519,60.519,60.5,60.505,7461
2024-03-22 12:53:00,60.515,60.515,60.51,60.515,1644
2024-03-22 12:52:00,60.535,60.54,60.51,60.515,9063
2024-03-22 12:51:00,60.535,60.545,60.53,60.53,7991
2024-03-22 12:50:00,60.545,60.55,60.535,60.535,7219
2024-03-22 12:49:00,60.555,60.56,60.545,60.545,10546
2024-03-22 12:48:00,60.545,60.555,60.54,60.555,15022
2024-03-22 12:47:00,60.56,60.56,60.545,60.55,8465
2024-03-22 12:46:00,60.53,60.56,60.53,60.552,7212
2024-03-22 12:45:00,60.545,60.55,60.53,60.535,9055
2024-03-22 12:44:00,60.545,60.55,60.54,60.54,2446
2024-03-22 12:43:00,60.515,60.545,60.515,60.54,11989
2024-03-22 12:42:00,60.51,60.52,60.51,60.52,12539
2024-03-22 12:41:00,60.515,60.52,60.5,60.5,12049
2024-03-22 12:40:00,60.525,60.535,60.51,60.515,23183
2024-03-22 12:39:00,60.523,60.53,60.523,60.525,6202
2024-03-22 12:38:00,60.535,60.54,60.52,60.52,4738
2024-03-22 12:37:00,60.55,60.55,60.53,60.53,14679
2024-03-22 12:36:00,60.55,60.55,60.54,60.54,5900
2024-03-22 12:35:00,60.52,60.556,60.52,60.552,12482
2024-03-22 12:34:00,60.535,60.54,60.52,60.525,21840
2024-03-22 12:33:00,60.53,60.54,60.53,60.53,6182
2024-03-22 12:32:00,60.541,60.541,60.53,60.53,7820
2024-03-22 12:31:00,60.55,60.55,60.54,60.545,2156
2024-03-22 12:30:00,60.54,60.565,60.54,60.545,24606
2024-03-22 12:29:00,60.52,60.537,60.515,60.536,12127
