,1. open,2. high,3. low,4. close,5. volume
2018-09-28 15:59:00,63.226,63.646,62.887,63.224,53501
2018-09-28 15:58:00,63.202,63.621,62.862,63.218,26527
2018-09-28 15:57:00,63.245,63.627,62.862,63.2,16393
2018-09-28 15:56:00,63.263,63.646,62.905,63.237,22467
2018-09-28 15:55:00,63.22,63.652,62.887,63.258,98685
2018-09-28 15:54:00,63.189,63.602,62.856,63.218,12717
2018-09-28 15:53:00,63.195,63.584,62.856,63.193,25439
2018-09-28 15:52:00,63.195,63.578,62.856,63.19,13031
2018-09-28 15:51:00,63.195,63.581,62.856,63.193,8503
2018-09-28 15:50:00,63.183,63.59,62.838,63.197,64020
2018-09-28 15:49:00,63.195,63.584,62.844,63.181,10760
2018-09-28 15:48:00,63.239,63.627,62.868,63.2,5300
2018-09-28 15:47:00,63.195,63.627,62.862,63.237,13327
2018-09-28 15:46:00,63.195,63.584,62.856,63.197,6117
2018-09-28 15:45:00,63.165,63.59,62.813,63.2,16644
2018-09-28 15:44:00,63.158,63.553,62.819,63.156,3930
2018-09-28 15:43:00,63.214,63.596,62.825,63.156,7288
2018-09-28 15:42:00,63.239,63.624,62.884,63.215,7726
2018-09-28 15:41:00,63.245,63.634,62.905,63.237,4738
2018-09-28 15:40:00,63.214,63.634,62.868,63.246,9731
2018-09-28 15:39:00,63.195,63.596,62.862,63.212,8168
2018-09-28 15:38:00,63.195,63.596,62.862,63.193,6495
2018-09-28 15:37:00,63.208,63.59,62.862,63.193,4888
2018-09-28 15:36:00,63.226,63.609,62.874,63.218,3054
2018-09-28 15:35:00,63.223,63.621,62.881,63.218,4442
2018-09-28 15:34:00,63.214,63.621,62.869,63.224,5416
2018-09-28 15:33:00,63.171,63.59,62.838,63.206,7046
2018-09-28 15:32:00,63.189,63.571,62.831,63.169,4486
2018-09-28 15:31:00,63.208,63.59,62.85,63.187,3890
2018-09-28 15:30:00,63.239,63.621,62.856,63.206,8739
2018-09-28 15:29:00,63.232,63.621,62.899,63.237,4349
2018-09-28 15:28:00,63.245,63.634,62.905,63.237,3827
2018-09-28 15:27:00,63.226,63.627,62.893,63.243,3577
2018-09-28 15:26:00,63.239,63.621,62.893,63.23,500
2018-09-28 15:25:00,63.239,63.627,62.89,63.23,8159
2018-09-28 15:24:00,63.245,63.628,62.911,63.243,2304
2018-09-28 15:23:00,63.214,63.621,62.881,63.237,3000
2018-09-28 15:22:00,63.183,63.602,62.85,63.218,7200
2018-09-28 15:21:00,63.152,63.565,62.819,63.181,3180
2018-09-28 15:20:00,63.109,63.546,62.776,63.162,4861
2018-09-28 15:19:00,63.128,63.509,62.776,63.107,3501
2018-09-28 15:18:00,63.134,63.522,62.795,63.132,3763
2018-09-28 15:17:00,63.135,63.528,62.788,63.119,1901
2018-09-28 15:16:00,63.146,63.528,62.801,63.138,6688
2018-09-28 15:15:00,63.158,63.54,62.819,63.15,2233
