,1. open,2. high,3. low,4. close,5. volume
2020-03-31 15:59:00,45.43,45.51,45.29,45.47,197811
2020-03-31 15:58:00,45.59,45.59,45.34,45.47,72104
2020-03-31 15:57:00,45.59,45.62,45.47,45.59,49765
2020-03-31 15:56:00,45.735,45.735,45.515,45.58,64985
2020-03-31 15:55:00,45.985,46.08,45.68,45.73,47265
2020-03-31 15:54:00,45.67,46.01,45.56,45.99,89274
2020-03-31 15:53:00,45.74,45.77,45.63,45.66,30047
2020-03-31 15:52:00,45.745,45.89,45.63,45.77,25192
2020-03-31 15:51:00,45.925,45.925,45.63,45.73,29710
2020-03-31 15:50:00,45.57,45.96,45.57,45.92,33609
2020-03-31 15:49:00,45.56,45.58,45.47,45.55,28484
2020-03-31 15:48:00,45.61,45.66,45.56,45.605,16477
2020-03-31 15:47:00,45.595,45.7,45.56,45.65,15711
2020-03-31 15:46:00,45.63,45.66,45.55,45.58,13633
2020-03-31 15:45:00,45.64,45.655,45.52,45.61,14163
2020-03-31 15:44:00,45.69,45.71,45.57,45.655,9866
2020-03-31 15:43:00,45.619,45.7,45.58,45.69,14757
2020-03-31 15:42:00,45.74,45.74,45.56,45.61,15226
2020-03-31 15:41:00,45.76,45.76,45.56,45.75,26213
2020-03-31 15:40:00,45.73,45.78,45.71,45.76,392154
2020-03-31 15:39:00,45.745,45.76,45.71,45.73,13277
2020-03-31 15:38:00,45.83,45.83,45.73,45.77,31472
2020-03-31 15:37:00,45.74,45.865,45.67,45.84,42345
2020-03-31 15:36:00,45.71,45.76,45.62,45.755,22895
2020-03-31 15:35:00,45.55,45.78,45.53,45.72,44196
2020-03-31 15:34:00,45.525,45.57,45.485,45.54,18803
2020-03-31 15:33:00,45.54,45.57,45.47,45.525,16374
2020-03-31 15:32:00,45.5,45.64,45.49,45.52,75040
2020-03-31 15:31:00,45.6,45.605,45.45,45.46,17505
2020-03-31 15:30:00,45.47,45.615,45.47,45.61,13352
2020-03-31 15:29:00,45.675,45.675,45.485,45.485,10843
2020-03-31 15:28:00,45.7,45.71,45.61,45.69,11923
2020-03-31 15:27:00,45.71,45.78,45.645,45.72,12003
2020-03-31 15:26:00,45.81,45.9,45.7,45.74,12857
2020-03-31 15:25:00,45.69,45.85,45.55,45.785,14043
2020-03-31 15:24:00,45.62,45.72,45.58,45.72,14989
2020-03-31 15:23:00,45.55,45.73,45.49,45.67,13760
2020-03-31 15:22:00,45.53,45.69,45.47,45.58,18115
2020-03-31 15:21:00,45.51,45.55,45.46,45.54,14875
2020-03-31 15:20:00,45.475,45.6,45.41,45.5,27838
2020-03-31 15:19:00,45.57,45.59,45.3,45.48,13056
2020-03-31 15:18:00,45.615,45.65,45.56,45.62,18500
2020-03-31 15:17:00,45.56,45.77,45.49,45.63,16042
2020-03-31 15:16:00,45.605,45.605,45.48,45.57,6977
2020-03-31 15:15:00,45.54,45.7,45.39,45.58,15581
2020-03-31 15:14:00,45.54,45.605,45.39,45.565,31080
2020-03-31 15:13:00,45.585,45.63,45.535,45.545,54528
2020-03-31 15:12:00,45.57,45.59,45.46,45.52,80808
2020-03-31 15:11:00,45.59,45.61,45.565,45.57,7434
2020-03-31 15:10:00,45.66,45.66,45.57,45.6,9594
2020-03-31 15:09:00,45.65,45.67,45.61,45.67,2300
2020-03-31 15:08:00,45.59,45.64,45.57,45.62,5021
2020-03-31 15:07:00,45.65,45.65,45.57,45.61,8602
2020-03-31 15:06:00,45.63,45.67,45.51,45.64,10613
2020-03-31 15:05:00,45.765,45.765,45.55,45.63,7687
2020-03-31 15:04:00,45.8,45.83,45.71,45.78,5332
2020-03-31 15:03:00,45.84,45.86,45.77,45.84,5864
2020-03-31 15:02:00,45.83,45.93,45.75,45.84,9700
2020-03-31 15:01:00,45.76,45.9,45.7,45.85,7048
2020-03-31 15:00:00,45.63,45.82,45.62,45.77,14506
2020-03-31 14:59:00,45.71,45.76,45.56,45.66,12002
2020-03-31 14:58:00,45.69,45.78,45.52,45.745,20542
2020-03-31 14:57:00,45.52,45.74,45.515,45.69,10615
2020-03-31 14:56:00,45.475,45.545,45.43,45.53,9262
2020-03-31 14:55:00,45.34,45.475,45.34,45.475,7864
2020-03-31 14:54:00,45.48,45.48,45.31,45.34,7856
2020-03-31 14:53:00,45.53,45.57,45.48,45.49,13452
2020-03-31 14:52:00,45.52,45.55,45.48,45.55,11208
2020-03-31 14:51:00,45.525,45.56,45.515,45.525,6935
2020-03-31 14:50:00,45.58,45.6,45.46,45.52,12330
2020-03-31 14:49:00,45.51,45.65,45.42,45.58,85475
2020-03-31 14:48:00,45.64,45.66,45.48,45.49,11646
2020-03-31 14:47:00,45.62,45.675,45.58,45.64,7858
2020-03-31 14:46:00,45.615,45.65,45.57,45.61,5528
2020-03-31 14:45:00,45.65,45.68,45.57,45.61,11331
2020-03-31 14:44:00,45.61,45.69,45.58,45.685,8356
2020-03-31 14:43:00,45.7,45.73,45.59,45.635,12573
2020-03-31 14:42:00,45.73,45.75,45.7,45.725,2800
2020-03-31 14:41:00,45.745,45.76,45.6,45.73,7060
2020-03-31 14:40:00,45.73,45.76,45.6,45.74,7194
2020-03-31 14:39:00,45.72,45.76,45.63,45.74,4300
2020-03-31 14:38:00,45.7,45.77,45.66,45.75,2990
2020-03-31 14:37:00,45.57,45.79,45.57,45.74,4892
2020-03-31 14:36:00,45.695,45.695,45.61,45.61,2800
2020-03-31 14:35:00,45.68,45.71,45.57,45.67,8435
2020-03-31 14:34:00,45.64,45.7,45.55,45.7,6488
2020-03-31 14:33:00,45.67,45.67,45.64,45.64,1100
2020-03-31 14:32:00,45.64,45.66,45.58,45.66,3225
2020-03-31 14:31:00,45.75,45.78,45.61,45.65,4800
2020-03-31 14:30:00,45.62,45.79,45.55,45.785,18250
2020-03-31 14:29:00,45.54,45.69,45.54,45.67,4700
2020-03-31 14:28:00,45.61,45.61,45.5,45.53,6966
2020-03-31 14:27:00,45.6,45.64,45.53,45.64,9685
2020-03-31 14:26:00,45.59,45.65,45.59,45.6,4416
2020-03-31 14:25:00,45.58,45.62,45.57,45.6,22081
2020-03-31 14:24:00,45.59,45.62,45.55,45.575,21686
2020-03-31 14:23:00,45.58,45.64,45.57,45.62,3954
2020-03-31 14:22:00,45.57,45.62,45.54,45.62,3800
2020-03-31 14:21:00,45.56,45.59,45.52,45.59,2715
2020-03-31 14:20:00,45.59,45.6,45.5,45.57,3600
2020-03-31 14:19:00,45.56,45.62,45.55,45.59,2126
2020-03-31 14:18:00,45.63,45.63,45.49,45.56,5908
2020-03-31 14:17:00,45.48,45.65,45.47,45.65,6385
2020-03-31 14:16:00,45.52,45.52,45.43,45.5,6920
2020-03-31 14:15:00,45.595,45.68,45.53,45.545,8066
2020-03-31 14:14:00,45.67,45.695,45.56,45.62,4056
2020-03-31 14:13:00,45.645,45.7,45.58,45.7,6607
2020-03-31 14:12:00,45.62,45.65,45.56,45.64,6800
2020-03-31 14:11:00,45.64,45.66,45.62,45.65,1200
2020-03-31 14:10:00,45.68,45.7,45.59,45.67,4800
2020-03-31 14:09:00,45.64,45.67,45.61,45.66,2416
2020-03-31 14:08:00,45.58,45.67,45.55,45.66,12200
2020-03-31 14:07:00,45.6,45.615,45.555,45.59,2700
2020-03-31 14:06:00,45.6,45.66,45.515,45.66,4078
2020-03-31 14:05:00,45.665,45.665,45.53,45.6,2483
2020-03-31 14:04:00,45.55,45.7,45.51,45.665,4044
2020-03-31 14:03:00,45.62,45.65,45.54,45.55,10000
2020-03-31 14:02:00,45.6,45.7,45.6,45.61,5676
2020-03-31 14:01:00,45.71,45.76,45.63,45.63,4800
2020-03-31 14:00:00,45.77,45.77,45.68,45.7,3211
2020-03-31 13:59:00,45.67,45.9,45.65,45.78,6300
2020-03-31 13:58:00,45.73,45.82,45.71,45.71,3449
2020-03-31 13:57:00,45.69,45.85,45.63,45.735,6300
2020-03-31 13:56:00,45.58,45.69,45.55,45.69,5382
2020-03-31 13:55:00,45.6,45.62,45.55,45.55,2760
2020-03-31 13:54:00,45.57,45.61,45.53,45.6,3616
2020-03-31 13:53:00,45.6,45.64,45.57,45.57,5939
2020-03-31 13:52:00,45.56,45.61,45.53,45.54,14590
