,1. open,2. high,3. low,4. close,5. volume
2014-10-31 15:59:00,73.356,73.493,73.183,73.34,239075
2014-10-31 15:58:00,73.309,73.477,73.168,73.344,79808
2014-10-31 15:57:00,73.301,73.43,73.14,73.301,49774
2014-10-31 15:56:00,73.286,73.415,73.144,73.293,46052
2014-10-31 15:55:00,73.325,73.47,73.144,73.277,94969
2014-10-31 15:54:00,73.301,73.438,73.152,73.316,40240
2014-10-31 15:53:00,73.341,73.462,73.16,73.293,98026
2014-10-31 15:52:00,73.333,73.454,73.176,73.332,52188
2014-10-31 15:51:00,73.317,73.446,73.168,73.32,48514
2014-10-31 15:50:00,73.313,73.43,73.152,73.308,45289
2014-10-31 15:49:00,73.276,73.426,73.134,73.305,34485
2014-10-31 15:48:00,73.262,73.395,73.098,73.269,47074
2014-10-31 15:47:00,73.317,73.438,73.121,73.254,31298
2014-10-31 15:46:00,73.364,73.493,73.176,73.308,63790
2014-10-31 15:45:00,73.372,73.509,73.207,73.352,66798
2014-10-31 15:44:00,73.364,73.497,73.211,73.367,22440
2014-10-31 15:43:00,73.313,73.477,73.168,73.355,26073
2014-10-31 15:42:00,73.356,73.477,73.16,73.301,46666
2014-10-31 15:41:00,73.305,73.47,73.16,73.348,18158
2014-10-31 15:40:00,73.27,73.415,73.129,73.293,19987
2014-10-31 15:39:00,73.27,73.383,73.105,73.262,64262
2014-10-31 15:38:00,73.27,73.407,73.121,73.262,21762
2014-10-31 15:37:00,73.258,73.391,73.105,73.269,44682
2014-10-31 15:36:00,73.239,73.375,73.09,73.254,34347
2014-10-31 15:35:00,73.247,73.375,73.105,73.238,15093
2014-10-31 15:34:00,73.239,73.375,73.09,73.242,21151
2014-10-31 15:33:00,73.211,73.36,73.066,73.222,45605
2014-10-31 15:32:00,73.219,73.336,73.062,73.199,13718
2014-10-31 15:31:00,73.239,73.352,73.074,73.207,12242
2014-10-31 15:30:00,73.247,73.368,73.082,73.238,20403
2014-10-31 15:29:00,73.255,73.372,73.105,73.238,12720
2014-10-31 15:28:00,73.255,73.375,73.086,73.238,19950
2014-10-31 15:27:00,73.247,73.383,73.098,73.25,15299
2014-10-31 15:26:00,73.231,73.383,73.09,73.23,43878
2014-10-31 15:25:00,73.223,73.344,73.074,73.222,6582
2014-10-31 15:24:00,73.215,73.34,73.066,73.215,11396
2014-10-31 15:23:00,73.211,73.336,73.066,73.215,16385
2014-10-31 15:22:00,73.2,73.328,73.051,73.207,23580
2014-10-31 15:21:00,73.23,73.343,73.062,73.199,23159
2014-10-31 15:20:00,73.211,73.352,73.07,73.218,19718
2014-10-31 15:19:00,73.211,73.328,73.066,73.205,22651
2014-10-31 15:18:00,73.223,73.336,73.066,73.199,9954
2014-10-31 15:17:00,73.215,73.333,73.074,73.207,15319
2014-10-31 15:16:00,73.215,73.336,73.066,73.207,8758
2014-10-31 15:15:00,73.2,73.333,73.058,73.21,31488
2014-10-31 15:14:00,73.184,73.313,73.039,73.183,13364
2014-10-31 15:13:00,73.184,73.297,73.035,73.172,1627
2014-10-31 15:12:00,73.195,73.309,73.039,73.172,33978
2014-10-31 15:11:00,73.188,73.313,73.043,73.187,12543
2014-10-31 15:10:00,73.192,73.305,73.043,73.183,6611
2014-10-31 15:09:00,73.184,73.305,73.043,73.175,7045
2014-10-31 15:08:00,73.18,73.305,73.036,73.172,9071
2014-10-31 15:07:00,73.161,73.301,73.019,73.172,17254
2014-10-31 15:06:00,73.161,73.281,73.019,73.156,7336
2014-10-31 15:05:00,73.166,73.281,73.019,73.156,5051
2014-10-31 15:04:00,73.168,73.281,73.019,73.152,19555
2014-10-31 15:03:00,73.161,73.285,73.012,73.16,31045
2014-10-31 15:02:00,73.166,73.281,73.012,73.152,33576
2014-10-31 15:01:00,73.161,73.281,73.012,73.156,16687
2014-10-31 15:00:00,73.141,73.277,73.0,73.152,21860
2014-10-31 14:59:00,73.129,73.258,72.988,73.132,4990
2014-10-31 14:58:00,73.106,73.242,72.961,73.117,8754
2014-10-31 14:57:00,73.082,73.211,72.933,73.089,13751
2014-10-31 14:56:00,73.067,73.195,72.926,73.069,29217
2014-10-31 14:55:00,73.051,73.179,72.91,73.054,5772
2014-10-31 14:54:00,73.051,73.172,72.902,73.046,7005
2014-10-31 14:53:00,73.04,73.168,72.898,73.042,14167
2014-10-31 14:52:00,73.02,73.148,72.879,73.027,6711
2014-10-31 14:51:00,73.02,73.141,72.879,73.011,11323
2014-10-31 14:50:00,73.035,73.152,72.879,73.011,7229
2014-10-31 14:49:00,73.035,73.156,72.894,73.027,1380
2014-10-31 14:48:00,73.051,73.164,72.894,73.027,8751
2014-10-31 14:47:00,73.059,73.175,72.902,73.047,9120
2014-10-31 14:46:00,73.047,73.179,72.906,73.05,16463
2014-10-31 14:45:00,73.043,73.16,72.898,73.035,10200
2014-10-31 14:44:00,73.02,73.16,72.879,73.038,5453
2014-10-31 14:43:00,72.999,73.14,72.855,73.019,3980
2014-10-31 14:42:00,72.988,73.117,72.844,72.988,8497
2014-10-31 14:41:00,72.973,73.094,72.832,72.972,6338
2014-10-31 14:40:00,72.992,73.109,72.832,72.964,6416
2014-10-31 14:39:00,73.0,73.114,72.847,72.98,5460
2014-10-31 14:38:00,73.02,73.132,72.859,72.991,9155
2014-10-31 14:37:00,73.047,73.16,72.863,73.007,21883
2014-10-31 14:36:00,73.067,73.183,72.91,73.042,19184
2014-10-31 14:35:00,73.067,73.187,72.926,73.066,1760
2014-10-31 14:34:00,73.067,73.184,72.918,73.058,3982
2014-10-31 14:33:00,73.06,73.187,72.918,73.058,9331
2014-10-31 14:32:00,73.059,73.179,72.91,73.058,4488
2014-10-31 14:31:00,73.074,73.195,72.91,73.042,13412
2014-10-31 14:30:00,73.074,73.187,72.926,73.062,4182
2014-10-31 14:29:00,73.071,73.187,72.926,73.058,1400
2014-10-31 14:28:00,73.082,73.195,72.926,73.06,5500
2014-10-31 14:27:00,73.098,73.215,72.941,73.074,6394
2014-10-31 14:26:00,73.118,73.234,72.957,73.089,4593
2014-10-31 14:25:00,73.114,73.234,72.973,73.105,4616
2014-10-31 14:24:00,73.118,73.234,72.973,73.113,16902
2014-10-31 14:23:00,73.114,73.242,72.973,73.113,8753
2014-10-31 14:22:00,73.121,73.238,72.973,73.105,12905
2014-10-31 14:21:00,73.121,73.242,72.98,73.121,1819
2014-10-31 14:20:00,73.114,73.242,72.973,73.115,3704
2014-10-31 14:19:00,73.121,73.242,72.965,73.105,14750
2014-10-31 14:18:00,73.136,73.249,72.976,73.121,17689
2014-10-31 14:17:00,73.133,73.25,72.992,73.128,3322
2014-10-31 14:16:00,73.129,73.25,72.984,73.125,3888
2014-10-31 14:15:00,73.114,73.242,72.973,73.121,9537
2014-10-31 14:14:00,73.121,73.242,72.973,73.113,11430
2014-10-31 14:13:00,73.121,73.239,72.98,73.117,3207
2014-10-31 14:12:00,73.114,73.242,72.973,73.121,7408
2014-10-31 14:11:00,73.133,73.247,72.976,73.11,20153
2014-10-31 14:10:00,73.102,73.246,72.957,73.121,8037
2014-10-31 14:09:00,73.09,73.219,72.945,73.093,7150
2014-10-31 14:08:00,73.067,73.203,72.922,73.081,4335
2014-10-31 14:07:00,73.043,73.179,72.902,73.054,5421
2014-10-31 14:06:00,73.02,73.156,72.879,73.031,5318
2014-10-31 14:05:00,72.996,73.132,72.855,73.011,9730
2014-10-31 14:04:00,72.996,73.117,72.855,72.995,2750
2014-10-31 14:03:00,72.957,73.125,72.812,72.988,15381
2014-10-31 14:02:00,72.957,73.07,72.805,72.944,5753
2014-10-31 14:01:00,72.936,73.065,72.793,72.944,5915
2014-10-31 14:00:00,72.934,73.054,72.793,72.933,5560
2014-10-31 13:59:00,72.934,73.054,72.785,72.93,6377
2014-10-31 13:58:00,72.941,73.062,72.793,72.925,4148
2014-10-31 13:57:00,72.945,73.062,72.801,72.937,1126
2014-10-31 13:56:00,72.937,73.062,72.793,72.941,2960
2014-10-31 13:55:00,72.93,73.062,72.789,72.933,10408
2014-10-31 13:54:00,72.934,73.046,72.785,72.925,972
2014-10-31 13:53:00,72.934,73.046,72.785,72.925,400
2014-10-31 13:52:00,72.926,73.046,72.777,72.925,14133
2014-10-31 13:51:00,72.949,73.062,72.785,72.917,4027
2014-10-31 13:50:00,72.961,73.077,72.808,72.941,2060
2014-10-31 13:49:00,72.98,73.093,72.816,72.948,4178
2014-10-31 13:48:00,73.02,73.136,72.847,72.98,5982
2014-10-31 13:47:00,73.027,73.14,72.879,73.014,2898
2014-10-31 13:46:00,73.024,73.14,72.879,73.011,2975
2014-10-31 13:45:00,73.02,73.14,72.879,73.015,3300
2014-10-31 13:44:00,73.02,73.136,72.879,73.015,1425
2014-10-31 13:43:00,73.027,73.144,72.879,73.015,6027
2014-10-31 13:42:00,73.031,73.148,72.887,73.027,3159
2014-10-31 13:41:00,73.031,73.148,72.887,73.019,2831
2014-10-31 13:40:00,73.043,73.156,72.887,73.02,6227
2014-10-31 13:39:00,73.035,73.156,72.894,73.035,5863
2014-10-31 13:38:00,73.035,73.156,72.894,73.031,3150
2014-10-31 13:37:00,73.035,73.156,72.894,73.027,5064
2014-10-31 13:36:00,73.035,73.156,72.894,73.031,1797
2014-10-31 13:35:00,73.043,73.156,72.894,73.031,843
2014-10-31 13:34:00,73.043,73.16,72.894,73.029,3856
2014-10-31 13:33:00,73.012,73.156,72.871,73.035,19185
2014-10-31 13:32:00,73.043,73.158,72.879,73.011,7064
2014-10-31 13:31:00,73.043,73.164,72.902,73.038,2327
2014-10-31 13:30:00,73.043,73.164,72.902,73.035,1634
2014-10-31 13:29:00,73.051,73.164,72.894,73.035,3947
2014-10-31 13:28:00,73.067,73.179,72.918,73.051,4691
2014-10-31 13:27:00,73.051,73.172,72.91,73.05,2057
2014-10-31 13:26:00,73.058,73.172,72.902,73.042,3361
2014-10-31 13:25:00,73.051,73.172,72.887,73.05,12306
2014-10-31 13:24:00,73.027,73.164,72.887,73.042,2634
2014-10-31 13:23:00,73.035,73.148,72.877,73.019,2564
