,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,388.51,388.51,387.58,387.74,33168
2024-03-22 15:58:00,388.52,388.6,388.5,388.58,6968
2024-03-22 15:57:00,388.485,388.57,388.485,388.54,4367
2024-03-22 15:56:00,388.14,388.43,388.118,388.43,10019
2024-03-22 15:55:00,388.57,388.57,388.2,388.2,4648
2024-03-22 15:54:00,388.7,388.7,388.605,388.605,5717
2024-03-22 15:53:00,388.79,388.79,388.79,388.79,834
2024-03-22 15:52:00,388.68,388.709,388.67,388.67,2027
2024-03-22 15:51:00,388.6,388.85,388.6,388.755,3930
2024-03-22 15:50:00,388.79,388.85,388.6,388.6,4443
2024-03-22 15:49:00,388.82,388.895,388.815,388.895,1248
2024-03-22 15:48:00,388.945,388.945,388.71,388.731,1702
2024-03-22 15:47:00,388.63,388.88,388.6,388.88,1174
2024-03-22 15:46:00,388.64,388.64,388.575,388.575,1389
2024-03-22 15:45:00,388.45,388.57,388.45,388.57,1847
2024-03-22 15:44:00,388.593,388.593,388.54,388.545,2946
2024-03-22 15:43:00,388.52,388.59,388.52,388.55,1657
2024-03-22 15:42:00,388.375,388.49,388.375,388.49,1668
2024-03-22 15:41:00,388.345,388.345,388.345,388.345,446
2024-03-22 15:40:00,388.391,388.391,388.2,388.265,3685
2024-03-22 15:39:00,388.42,388.42,388.27,388.35,1305
2024-03-22 15:38:00,388.44,388.44,388.301,388.301,461
2024-03-22 15:37:00,388.355,388.355,388.355,388.355,384
2024-03-22 15:36:00,388.18,388.34,388.18,388.34,574
2024-03-22 15:35:00,388.12,388.12,388.12,388.12,952
2024-03-22 15:34:00,388.04,388.1,388.04,388.1,763
2024-03-22 15:33:00,388.06,388.14,388.06,388.08,2617
2024-03-22 15:32:00,388.245,388.245,388.245,388.245,453
2024-03-22 15:31:00,388.435,388.435,388.38,388.38,1406
2024-03-22 15:30:00,388.5,388.58,388.413,388.53,1744
2024-03-22 15:28:00,388.49,388.63,388.46,388.46,2368
2024-03-22 15:27:00,388.54,388.54,388.49,388.49,536
2024-03-22 15:26:00,388.51,388.62,388.49,388.49,2713
2024-03-22 15:25:00,388.38,388.53,388.38,388.52,1486
2024-03-22 15:22:00,388.15,388.33,388.15,388.33,2587
2024-03-22 15:21:00,388.279,388.279,388.279,388.279,382
2024-03-22 15:19:00,388.308,388.31,388.27,388.28,1126
2024-03-22 15:18:00,388.35,388.35,388.35,388.35,591
2024-03-22 15:17:00,388.075,388.24,388.075,388.23,1006
2024-03-22 15:16:00,388.19,388.19,388.13,388.13,863
2024-03-22 15:15:00,388.345,388.345,388.345,388.345,200
2024-03-22 15:14:00,388.35,388.35,388.35,388.35,232
2024-03-22 15:12:00,388.425,388.425,387.96,388.36,2059
2024-03-22 15:11:00,388.69,388.69,388.5,388.535,1848
2024-03-22 15:10:00,388.67,388.785,388.67,388.78,1252
2024-03-22 15:09:00,388.63,388.63,388.63,388.63,254
2024-03-22 15:07:00,388.86,388.94,388.76,388.76,1139
2024-03-22 15:06:00,388.83,388.83,388.715,388.715,585
2024-03-22 15:04:00,388.915,389.05,388.915,389.02,1447
2024-03-22 15:02:00,388.905,388.91,388.905,388.91,422
2024-03-22 15:00:00,389.13,389.13,389.035,389.035,1455
2024-03-22 14:59:00,389.21,389.22,389.18,389.18,1520
2024-03-22 14:58:00,389.17,389.17,389.14,389.155,1781
2024-03-22 14:57:00,389.27,389.27,389.27,389.27,503
2024-03-22 14:54:00,389.14,389.14,389.14,389.14,401
2024-03-22 14:53:00,389.05,389.14,389.05,389.14,844
2024-03-22 14:52:00,389.01,389.01,389.01,389.01,260
2024-03-22 14:50:00,388.95,389.0,388.95,389.0,1299
2024-03-22 14:49:00,389.14,389.14,389.0,389.095,1648
2024-03-22 14:48:00,388.89,388.89,388.89,388.89,949
2024-03-22 14:47:00,388.81,388.81,388.81,388.81,236
2024-03-22 14:46:00,388.81,388.85,388.81,388.85,868
2024-03-22 14:44:00,388.78,388.78,388.78,388.78,662
2024-03-22 14:43:00,388.67,388.7,388.67,388.7,617
2024-03-22 14:42:00,388.695,388.695,388.695,388.695,450
2024-03-22 14:41:00,388.695,388.695,388.695,388.695,217
2024-03-22 14:40:00,388.75,388.755,388.75,388.755,567
2024-03-22 14:39:00,388.77,388.77,388.77,388.77,328
2024-03-22 14:38:00,388.96,388.96,388.96,388.96,121
2024-03-22 14:36:00,388.97,388.98,388.95,388.975,1438
2024-03-22 14:35:00,388.56,388.56,388.56,388.56,388
