,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,72.675,72.688,72.6,72.615,80578
2024-03-22 15:58:00,72.7,72.7,72.675,72.675,26297
2024-03-22 15:57:00,72.67,72.7,72.66,72.7,16232
2024-03-22 15:56:00,72.69,72.7,72.675,72.68,20557
2024-03-22 15:55:00,72.755,72.79,72.69,72.69,27982
2024-03-22 15:54:00,72.75,72.78,72.75,72.76,11328
2024-03-22 15:53:00,72.74,72.755,72.725,72.75,11513
2024-03-22 15:52:00,72.755,72.775,72.735,72.735,12026
2024-03-22 15:51:00,72.785,72.815,72.755,72.755,15101
2024-03-22 15:50:00,72.8,72.84,72.775,72.785,17047
2024-03-22 15:49:00,72.785,72.795,72.775,72.795,7471
2024-03-22 15:48:00,72.79,72.79,72.765,72.78,6294
2024-03-22 15:47:00,72.81,72.825,72.79,72.795,20747
2024-03-22 15:46:00,72.815,72.83,72.805,72.815,4589
2024-03-22 15:45:00,72.81,72.84,72.805,72.82,11876
2024-03-22 15:44:00,72.82,72.83,72.81,72.81,6361
2024-03-22 15:43:00,72.817,72.82,72.81,72.815,5523
2024-03-22 15:42:00,72.82,72.82,72.81,72.81,2667
2024-03-22 15:41:00,72.81,72.83,72.8,72.82,4718
2024-03-22 15:40:00,72.785,72.815,72.785,72.815,7740
2024-03-22 15:39:00,72.8,72.805,72.785,72.785,5220
2024-03-22 15:38:00,72.79,72.795,72.785,72.795,2628
2024-03-22 15:37:00,72.785,72.795,72.785,72.795,3367
2024-03-22 15:36:00,72.76,72.79,72.76,72.785,4320
2024-03-22 15:35:00,72.775,72.78,72.76,72.76,5900
2024-03-22 15:34:00,72.815,72.82,72.78,72.78,3535
2024-03-22 15:33:00,72.86,72.86,72.815,72.815,4267
2024-03-22 15:32:00,72.89,72.895,72.87,72.87,6321
2024-03-22 15:31:00,72.89,72.895,72.88,72.89,7391
2024-03-22 15:30:00,72.877,72.895,72.877,72.895,3315
2024-03-22 15:29:00,72.875,72.88,72.873,72.873,2459
2024-03-22 15:28:00,72.83,72.88,72.83,72.87,4115
2024-03-22 15:27:00,72.82,72.826,72.81,72.825,4715
2024-03-22 15:26:00,72.775,72.815,72.775,72.815,3913
2024-03-22 15:25:00,72.785,72.805,72.77,72.775,7092
2024-03-22 15:24:00,72.79,72.79,72.785,72.79,1914
2024-03-22 15:23:00,72.765,72.78,72.76,72.78,2062
2024-03-22 15:22:00,72.77,72.77,72.745,72.765,3800
2024-03-22 15:21:00,72.765,72.785,72.76,72.78,4771
2024-03-22 15:20:00,72.76,72.76,72.76,72.76,2600
2024-03-22 15:19:00,72.76,72.77,72.75,72.765,3009
2024-03-22 15:18:00,72.755,72.765,72.75,72.765,5560
2024-03-22 15:17:00,72.72,72.755,72.72,72.755,2812
2024-03-22 15:16:00,72.75,72.75,72.72,72.72,2824
2024-03-22 15:15:00,72.75,72.77,72.75,72.755,4191
2024-03-22 15:14:00,72.74,72.75,72.73,72.75,4148
2024-03-22 15:13:00,72.76,72.76,72.72,72.74,4162
2024-03-22 15:12:00,72.8,72.8,72.73,72.76,19146
2024-03-22 15:11:00,72.81,72.83,72.8,72.8,6724
2024-03-22 15:10:00,72.82,72.83,72.81,72.815,3547
2024-03-22 15:09:00,72.835,72.84,72.818,72.817,5409
2024-03-22 15:08:00,72.805,72.83,72.8,72.83,4779
2024-03-22 15:07:00,72.815,72.825,72.8,72.8,16106
2024-03-22 15:06:00,72.83,72.83,72.8,72.81,6220
2024-03-22 15:05:00,72.835,72.84,72.83,72.83,3539
2024-03-22 15:04:00,72.85,72.85,72.83,72.83,3778
2024-03-22 15:03:00,72.85,72.85,72.845,72.845,640
2024-03-22 15:02:00,72.87,72.88,72.85,72.86,4005
2024-03-22 15:01:00,72.85,72.87,72.84,72.87,3598
2024-03-22 15:00:00,72.87,72.87,72.85,72.85,6974
2024-03-22 14:59:00,72.875,72.875,72.87,72.87,1260
2024-03-22 14:58:00,72.89,72.895,72.87,72.88,3657
2024-03-22 14:57:00,72.915,72.915,72.89,72.89,2580
2024-03-22 14:56:00,72.88,72.92,72.88,72.919,3469
2024-03-22 14:55:00,72.89,72.89,72.87,72.875,9490
2024-03-22 14:54:00,72.885,72.89,72.88,72.89,2189
2024-03-22 14:53:00,72.885,72.89,72.88,72.89,1300
2024-03-22 14:52:00,72.88,72.885,72.865,72.885,5316
2024-03-22 14:51:00,72.89,72.895,72.88,72.88,4592
2024-03-22 14:50:00,72.885,72.885,72.88,72.88,360
2024-03-22 14:49:00,72.9,72.93,72.885,72.885,2361
2024-03-22 14:48:00,72.92,72.92,72.89,72.9,3273
2024-03-22 14:47:00,72.9,72.92,72.87,72.92,4085
2024-03-22 14:46:00,72.91,72.91,72.91,72.91,398
2024-03-22 14:45:00,72.88,72.91,72.87,72.91,4264
2024-03-22 14:44:00,72.86,72.876,72.86,72.875,2213
2024-03-22 14:43:00,72.89,72.89,72.86,72.86,9562
2024-03-22 14:42:00,72.855,72.885,72.855,72.885,8432
2024-03-22 14:41:00,72.885,72.885,72.855,72.86,8209
2024-03-22 14:40:00,72.89,72.89,72.88,72.89,2144
2024-03-22 14:39:00,72.895,72.895,72.895,72.895,277
2024-03-22 14:38:00,72.91,72.91,72.89,72.9,25427
2024-03-22 14:37:00,72.895,72.92,72.895,72.91,7539
2024-03-22 14:36:00,72.9,72.9,72.89,72.89,2213
2024-03-22 14:35:00,72.91,72.91,72.89,72.905,1577
2024-03-22 14:34:00,72.915,72.915,72.91,72.91,2426
2024-03-22 14:33:00,72.946,72.946,72.93,72.93,2622
2024-03-22 14:32:00,72.93,72.95,72.93,72.95,4081
2024-03-22 14:31:00,72.975,72.975,72.92,72.93,18864
2024-03-22 14:30:00,72.99,72.99,72.98,72.98,1637
2024-03-22 14:29:00,73.005,73.015,73.0,73.0,4504
2024-03-22 14:28:00,73.015,73.015,73.0,73.0,3690
2024-03-22 14:27:00,73.03,73.035,73.025,73.03,3608
2024-03-22 14:26:00,73.035,73.035,73.01,73.03,16809
2024-03-22 14:25:00,73.03,73.04,73.03,73.04,2696
2024-03-22 14:24:00,73.035,73.049,73.02,73.02,4026
2024-03-22 14:23:00,73.005,73.04,73.005,73.04,2339
2024-03-22 14:22:00,73.0,73.015,73.0,73.0,3766
2024-03-22 14:21:00,73.01,73.02,73.0,73.005,4446
2024-03-22 14:20:00,73.0,73.005,73.0,73.0,6116
2024-03-22 14:19:00,72.985,72.99,72.985,72.99,450
2024-03-22 14:18:00,73.005,73.005,72.99,72.99,1806
2024-03-22 14:17:00,73.01,73.01,73.01,73.01,901
2024-03-22 14:16:00,73.015,73.02,73.01,73.01,2713
2024-03-22 14:15:00,73.03,73.03,72.995,73.015,8630
2024-03-22 14:14:00,73.04,73.04,73.03,73.031,3277
2024-03-22 14:13:00,73.03,73.04,73.025,73.04,3137
2024-03-22 14:12:00,73.07,73.07,73.035,73.035,1551
2024-03-22 14:11:00,73.03,73.07,73.03,73.07,4309
2024-03-22 14:10:00,73.03,73.035,73.025,73.03,4487
2024-03-22 14:09:00,73.03,73.035,73.025,73.025,2478
2024-03-22 14:08:00,73.03,73.035,73.03,73.034,1145
