,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,125.24,125.25,125.06,125.07,7059
2024-03-22 15:58:00,125.188,125.24,125.18,125.22,4480
2024-03-22 15:57:00,125.17,125.23,125.17,125.18,3837
2024-03-22 15:56:00,125.13,125.2,125.13,125.2,2700
2024-03-22 15:55:00,125.34,125.356,125.12,125.12,2951
2024-03-22 15:54:00,125.27,125.36,125.27,125.355,2370
2024-03-22 15:53:00,125.21,125.279,125.2,125.24,3600
2024-03-22 15:52:00,125.19,125.22,125.19,125.21,1476
2024-03-22 15:51:00,125.28,125.29,125.16,125.16,1746
2024-03-22 15:50:00,125.37,125.37,125.28,125.28,1886
2024-03-22 15:49:00,125.3,125.3,125.265,125.265,631
2024-03-22 15:48:00,125.14,125.26,125.14,125.26,1617
2024-03-22 15:47:00,125.21,125.21,125.18,125.18,995
2024-03-22 15:46:00,125.23,125.23,125.21,125.21,826
2024-03-22 15:45:00,125.08,125.16,125.08,125.15,1309
2024-03-22 15:44:00,125.15,125.15,125.085,125.085,864
2024-03-22 15:43:00,125.155,125.155,125.135,125.15,408
2024-03-22 15:42:00,125.091,125.159,125.091,125.159,876
2024-03-22 15:41:00,125.115,125.13,125.115,125.13,943
2024-03-22 15:40:00,125.09,125.12,125.09,125.12,949
2024-03-22 15:39:00,125.1,125.12,125.09,125.12,573
2024-03-22 15:38:00,125.096,125.096,125.096,125.096,142
2024-03-22 15:37:00,125.15,125.15,125.115,125.115,423
2024-03-22 15:36:00,125.085,125.09,125.085,125.09,507
2024-03-22 15:35:00,125.08,125.08,125.08,125.08,175
2024-03-22 15:34:00,125.055,125.08,125.055,125.08,274
2024-03-22 15:33:00,125.11,125.11,125.11,125.11,461
2024-03-22 15:32:00,125.19,125.19,125.18,125.18,1065
2024-03-22 15:31:00,125.04,125.205,125.02,125.205,2276
2024-03-22 15:30:00,125.03,125.065,125.03,125.03,1034
2024-03-22 15:28:00,125.03,125.03,125.03,125.03,783
2024-03-22 15:27:00,124.965,124.965,124.965,124.965,390
2024-03-22 15:26:00,125.05,125.05,124.99,124.99,1408
2024-03-22 15:25:00,125.085,125.12,125.07,125.085,1778
2024-03-22 15:24:00,125.085,125.085,125.085,125.085,323
2024-03-22 15:23:00,125.08,125.095,125.05,125.095,1422
2024-03-22 15:22:00,125.075,125.12,125.075,125.12,865
2024-03-22 15:21:00,125.07,125.085,125.07,125.085,427
2024-03-22 15:20:00,125.11,125.14,125.11,125.14,396
2024-03-22 15:18:00,125.13,125.13,125.1,125.11,736
2024-03-22 15:17:00,125.075,125.12,125.075,125.12,1227
2024-03-22 15:16:00,125.15,125.175,125.13,125.13,430
2024-03-22 15:15:00,125.175,125.175,125.17,125.175,561
2024-03-22 15:14:00,125.19,125.19,125.19,125.19,169
2024-03-22 15:13:00,125.38,125.38,125.22,125.22,1623
2024-03-22 15:12:00,125.41,125.41,125.35,125.35,1092
2024-03-22 15:11:00,125.43,125.43,125.43,125.43,219
2024-03-22 15:09:00,125.53,125.53,125.48,125.48,770
2024-03-22 15:07:00,125.53,125.53,125.53,125.53,227
2024-03-22 15:06:00,125.54,125.54,125.53,125.535,603
2024-03-22 15:05:00,125.57,125.57,125.57,125.57,123
2024-03-22 15:04:00,125.55,125.59,125.55,125.575,1165
2024-03-22 15:03:00,125.495,125.51,125.47,125.505,1020
2024-03-22 15:02:00,125.52,125.52,125.49,125.49,837
2024-03-22 15:01:00,125.49,125.49,125.49,125.49,399
2024-03-22 14:59:00,125.48,125.48,125.48,125.48,570
2024-03-22 14:58:00,125.43,125.46,125.43,125.46,900
2024-03-22 14:57:00,125.45,125.45,125.45,125.45,377
2024-03-22 14:56:00,125.43,125.43,125.43,125.43,545
2024-03-22 14:55:00,125.38,125.39,125.38,125.39,528
2024-03-22 14:54:00,125.33,125.35,125.33,125.35,359
2024-03-22 14:53:00,125.345,125.345,125.345,125.345,150
2024-03-22 14:52:00,125.34,125.34,125.34,125.34,343
2024-03-22 14:49:00,125.405,125.405,125.405,125.405,323
2024-03-22 14:48:00,125.41,125.41,125.41,125.41,318
2024-03-22 14:47:00,125.39,125.39,125.355,125.39,1243
2024-03-22 14:46:00,125.425,125.435,125.415,125.415,368
2024-03-22 14:45:00,125.41,125.41,125.39,125.39,1307
2024-03-22 14:43:00,125.41,125.41,125.41,125.41,118
2024-03-22 14:42:00,125.375,125.375,125.37,125.37,252
2024-03-22 14:39:00,125.42,125.42,125.42,125.42,278
2024-03-22 14:38:00,125.55,125.55,125.5,125.5,648
2024-03-22 14:37:00,125.53,125.53,125.53,125.53,535
2024-03-22 14:36:00,125.47,125.47,125.46,125.47,915
2024-03-22 14:35:00,125.49,125.49,125.461,125.485,780
2024-03-22 14:33:00,125.47,125.475,125.43,125.43,1355
2024-03-22 14:32:00,125.5,125.5,125.5,125.5,100
2024-03-22 14:31:00,125.485,125.485,125.485,125.485,145
2024-03-22 14:30:00,125.5,125.52,125.485,125.52,798
2024-03-22 14:28:00,125.45,125.48,125.45,125.48,1041
2024-03-22 14:27:00,125.45,125.45,125.45,125.45,133
2024-03-22 14:26:00,125.45,125.45,125.45,125.45,117
2024-03-22 14:25:00,125.415,125.415,125.415,125.415,154
2024-03-22 14:23:00,125.415,125.415,125.415,125.415,288
2024-03-22 14:22:00,125.41,125.41,125.37,125.41,922
2024-03-22 14:21:00,125.455,125.455,125.45,125.45,264
2024-03-22 14:19:00,125.47,125.47,125.47,125.47,472
2024-03-22 14:18:00,125.45,125.45,125.45,125.45,350
2024-03-22 14:17:00,125.378,125.378,125.378,125.378,245
2024-03-22 14:16:00,125.455,125.455,125.455,125.455,231
2024-03-22 14:15:00,125.405,125.405,125.405,125.405,100
2024-03-22 14:14:00,125.39,125.39,125.39,125.39,125
2024-03-22 14:13:00,125.475,125.475,125.475,125.475,481
2024-03-22 14:11:00,125.45,125.45,125.36,125.36,710
2024-03-22 14:10:00,125.45,125.45,125.4,125.44,526
2024-03-22 14:09:00,125.438,125.438,125.438,125.438,220
2024-03-22 14:07:00,125.42,125.43,125.38,125.43,859
2024-03-22 14:05:00,125.48,125.48,125.48,125.48,344
2024-03-22 14:04:00,125.485,125.485,125.445,125.445,316
2024-03-22 14:02:00,125.45,125.45,125.45,125.45,296
2024-03-22 14:01:00,125.53,125.53,125.53,125.53,211
2024-03-22 13:59:00,125.5,125.5,125.5,125.5,1459
2024-03-22 13:58:00,125.5,125.5,125.5,125.5,122
2024-03-22 13:57:00,125.44,125.45,125.44,125.44,850
2024-03-22 13:56:00,125.29,125.29,125.29,125.29,316
2024-03-22 13:55:00,125.25,125.26,125.25,125.26,617
2024-03-22 13:53:00,125.21,125.21,125.21,125.21,309
2024-03-22 13:51:00,125.29,125.29,125.21,125.21,2107
2024-03-22 13:50:00,125.3,125.33,125.3,125.325,1230
2024-03-22 13:49:00,125.3,125.3,125.275,125.275,416
2024-03-22 13:48:00,125.3,125.3,125.3,125.3,310
2024-03-22 13:47:00,125.3,125.3,125.3,125.3,245
2024-03-22 13:46:00,125.3,125.305,125.295,125.295,661
2024-03-22 13:44:00,125.32,125.325,125.28,125.28,1557
2024-03-22 13:42:00,125.39,125.4,125.35,125.37,841
2024-03-22 13:41:00,125.425,125.425,125.425,125.425,239
2024-03-22 13:40:00,125.415,125.415,125.415,125.415,154
2024-03-22 13:37:00,125.4,125.42,125.4,125.42,452
2024-03-22 13:36:00,125.37,125.38,125.37,125.38,620
2024-03-22 13:35:00,125.325,125.325,125.32,125.32,248
2024-03-22 13:32:00,125.315,125.32,125.315,125.32,248
2024-03-22 13:29:00,125.35,125.35,125.35,125.35,263
2024-03-22 13:28:00,125.31,125.31,125.31,125.31,214
