,1. open,2. high,3. low,4. close,5. volume
2020-03-31 15:59:00,65.927,66.188,65.573,65.819,159992
2020-03-31 15:58:00,65.458,66.048,65.364,65.968,75890
2020-03-31 15:57:00,65.748,65.795,65.346,65.401,21868
2020-03-31 15:56:00,65.774,65.839,65.495,65.735,30290
2020-03-31 15:55:00,65.895,66.021,65.671,65.726,22706
2020-03-31 15:54:00,65.867,65.955,65.643,65.852,16538
2020-03-31 15:53:00,66.002,66.048,65.793,65.907,8400
2020-03-31 15:52:00,65.848,66.097,65.801,66.033,19924
2020-03-31 15:51:00,66.043,66.1,65.724,65.933,20388
2020-03-31 15:50:00,65.932,66.174,65.783,66.058,19690
2020-03-31 15:49:00,65.985,66.032,65.792,65.856,11678
2020-03-31 15:48:00,66.118,66.165,65.922,65.977,8402
2020-03-31 15:47:00,66.127,66.183,65.966,66.103,10400
2020-03-31 15:46:00,66.071,66.165,65.966,66.126,5936
2020-03-31 15:45:00,65.969,66.076,65.875,66.038,5972
2020-03-31 15:44:00,66.043,66.128,65.94,65.998,3644
2020-03-31 15:43:00,66.02,66.09,65.911,66.028,4282
2020-03-31 15:42:00,66.099,66.146,65.783,66.014,5472
2020-03-31 15:41:00,66.095,66.181,66.006,66.13,12180
2020-03-31 15:40:00,65.871,66.216,65.82,66.13,11808
2020-03-31 15:39:00,65.839,65.997,65.792,65.863,6520
2020-03-31 15:38:00,65.823,65.907,65.731,65.81,6066
2020-03-31 15:37:00,65.723,65.928,65.676,65.828,7756
2020-03-31 15:36:00,65.613,65.841,65.567,65.74,3200
2020-03-31 15:35:00,65.695,65.741,65.492,65.67,5206
2020-03-31 15:34:00,65.607,65.765,65.508,65.689,9212
2020-03-31 15:33:00,65.568,65.667,65.501,65.619,3386
2020-03-31 15:32:00,65.676,65.723,65.497,65.633,3356
2020-03-31 15:31:00,65.583,65.695,65.462,65.628,3804
2020-03-31 15:30:00,65.453,65.769,65.332,65.596,8900
2020-03-31 15:29:00,65.565,65.63,65.406,65.461,2374
2020-03-31 15:28:00,65.56,65.66,65.471,65.526,2220
2020-03-31 15:27:00,65.335,65.667,65.279,65.491,4600
2020-03-31 15:26:00,65.309,65.458,65.262,65.345,4200
2020-03-31 15:25:00,65.021,65.305,64.974,65.254,9678
2020-03-31 15:24:00,64.979,65.069,64.932,65.003,4206
2020-03-31 15:23:00,65.104,65.167,64.984,65.038,15120
2020-03-31 15:22:00,65.146,65.29,65.063,65.117,5000
2020-03-31 15:21:00,65.265,65.311,65.058,65.129,4530
2020-03-31 15:20:00,65.383,65.458,65.239,65.298,4600
2020-03-31 15:19:00,65.402,65.5,65.244,65.322,6588
2020-03-31 15:18:00,65.444,65.49,65.295,65.417,7000
2020-03-31 15:17:00,65.439,65.553,65.355,65.494,4600
2020-03-31 15:16:00,65.569,65.616,65.429,65.484,2302
2020-03-31 15:15:00,65.467,65.616,65.397,65.559,3200
2020-03-31 15:14:00,65.453,65.5,65.258,65.456,19228
2020-03-31 15:13:00,65.616,65.667,65.392,65.48,30062
2020-03-31 15:12:00,65.672,65.758,65.527,65.619,3826
2020-03-31 15:11:00,65.785,65.832,65.615,65.67,4488
2020-03-31 15:10:00,65.858,65.904,65.715,65.77,1400
2020-03-31 15:09:00,65.844,65.969,65.796,65.87,1200
2020-03-31 15:08:00,65.811,65.858,65.715,65.807,1200
2020-03-31 15:07:00,65.89,65.986,65.841,65.9,1750
2020-03-31 15:06:00,65.988,66.035,65.745,65.847,5488
2020-03-31 15:05:00,66.002,66.108,65.947,66.061,4060
2020-03-31 15:04:00,66.02,66.1,65.866,65.979,5242
2020-03-31 15:03:00,66.048,66.109,65.917,66.019,5880
2020-03-31 15:02:00,66.085,66.132,66.0,66.055,1800
2020-03-31 15:01:00,66.174,66.244,66.054,66.11,1600
2020-03-31 15:00:00,66.155,66.218,66.098,66.179,1206
2020-03-31 14:59:00,65.997,66.16,65.943,66.121,4234
2020-03-31 14:58:00,66.123,66.169,65.917,66.007,3000
2020-03-31 14:57:00,66.164,66.239,66.084,66.14,3604
2020-03-31 14:56:00,66.215,66.295,66.094,66.186,2640
2020-03-31 14:55:00,66.176,66.314,66.129,66.275,400
2020-03-31 14:54:00,66.12,66.216,65.917,66.177,1800
2020-03-31 14:53:00,66.174,66.267,66.066,66.149,3600
2020-03-31 14:52:00,66.127,66.286,66.08,66.226,1400
2020-03-31 14:51:00,66.118,66.244,66.045,66.105,3830
2020-03-31 14:50:00,66.062,66.132,66.015,66.07,1012
2020-03-31 14:49:00,66.067,66.114,66.019,66.075,200
2020-03-31 14:48:00,65.909,66.058,65.862,66.019,800
2020-03-31 14:47:00,65.909,65.997,65.778,65.903,1898
2020-03-31 14:46:00,65.792,65.886,65.745,65.835,600
2020-03-31 14:45:00,65.983,66.03,65.718,65.805,2800
2020-03-31 14:44:00,65.834,66.076,65.787,65.986,6000
2020-03-31 14:43:00,66.095,66.142,65.806,65.896,3900
2020-03-31 14:42:00,66.132,66.179,66.025,66.08,1200
2020-03-31 14:41:00,66.064,66.151,65.992,66.051,2960
2020-03-31 14:40:00,66.025,66.114,65.978,66.075,600
2020-03-31 14:39:00,66.164,66.211,66.015,66.07,1400
2020-03-31 14:38:00,66.169,66.23,65.964,66.135,8008
2020-03-31 14:37:00,66.183,66.239,66.103,66.158,1260
2020-03-31 14:36:00,66.15,66.26,66.094,66.218,6310
2020-03-31 14:35:00,66.123,66.239,66.075,66.175,3800
2020-03-31 14:34:00,66.243,66.304,66.071,66.165,62506
2020-03-31 14:33:00,66.153,66.295,66.105,66.242,1600
2020-03-31 14:32:00,66.031,66.176,65.983,66.137,1774
2020-03-31 14:31:00,66.039,66.202,65.992,66.142,4000
2020-03-31 14:30:00,66.15,66.202,66.001,66.056,2400
2020-03-31 14:29:00,66.052,66.207,66.004,66.168,1146
2020-03-31 14:28:00,66.027,66.179,65.98,66.112,2806
2020-03-31 14:27:00,66.002,66.109,65.938,66.026,1672
2020-03-31 14:26:00,65.981,66.111,65.934,66.019,1440
2020-03-31 14:25:00,66.006,66.076,65.931,65.993,5818
2020-03-31 14:24:00,65.974,66.021,65.927,65.982,200
2020-03-31 14:23:00,65.946,66.1,65.894,65.984,1244
2020-03-31 14:22:00,65.974,66.079,65.927,66.04,618
2020-03-31 14:21:00,65.951,66.076,65.88,65.977,5058
2020-03-31 14:20:00,65.925,66.03,65.848,65.926,2800
2020-03-31 14:19:00,65.867,65.965,65.82,65.879,606
2020-03-31 14:18:00,65.853,65.965,65.78,65.87,1600
2020-03-31 14:17:00,65.862,65.937,65.755,65.898,4788
2020-03-31 14:16:00,65.953,66.0,65.822,65.877,1268
2020-03-31 14:15:00,65.862,66.286,65.773,66.01,11804
2020-03-31 14:14:00,65.899,65.951,65.815,65.912,3600
2020-03-31 14:13:00,66.011,66.095,65.859,65.914,4680
2020-03-31 14:12:00,66.057,66.104,65.954,66.01,600
2020-03-31 14:11:00,65.992,66.044,65.899,66.005,1248
2020-03-31 14:10:00,66.023,66.069,65.829,65.933,4600
2020-03-31 14:09:00,66.067,66.19,65.917,66.089,66144
2020-03-31 14:08:00,66.069,66.174,65.973,66.135,1200
2020-03-31 14:07:00,66.099,66.174,66.01,66.072,1400
2020-03-31 14:06:00,66.083,66.13,65.936,65.991,1600
2020-03-31 14:05:00,65.871,66.137,65.806,66.089,5052
2020-03-31 14:04:00,65.939,66.03,65.892,65.963,1218
2020-03-31 14:03:00,65.96,66.1,65.838,65.917,3000
2020-03-31 14:02:00,65.895,66.011,65.82,65.972,5866
2020-03-31 14:01:00,65.82,65.941,65.773,65.903,3046
2020-03-31 14:00:00,65.853,65.9,65.713,65.824,2640
2020-03-31 13:59:00,65.834,65.951,65.773,65.912,4200
2020-03-31 13:58:00,65.837,65.918,65.79,65.872,1200
2020-03-31 13:57:00,65.848,65.914,65.785,65.875,1830
2020-03-31 13:56:00,65.744,65.983,65.697,65.945,2000
2020-03-31 13:55:00,65.709,65.811,65.662,65.74,1800
2020-03-31 13:54:00,65.876,65.923,65.601,65.656,1918
2020-03-31 13:53:00,65.862,65.909,65.773,65.856,1400
2020-03-31 13:52:00,65.862,65.909,65.815,65.87,200
2020-03-31 13:51:00,65.944,66.021,65.736,65.819,7220
2020-03-31 13:50:00,65.951,66.086,65.889,65.945,3730
2020-03-31 13:49:00,65.955,66.002,65.908,65.963,200
2020-03-31 13:48:00,65.964,66.011,65.899,65.958,2200
2020-03-31 13:46:00,65.962,66.104,65.915,66.047,1400
2020-03-31 13:44:00,66.053,66.1,65.792,65.898,5436
2020-03-31 13:43:00,66.02,66.114,65.973,66.075,488
2020-03-31 13:42:00,66.062,66.137,65.973,66.051,3800
2020-03-31 13:41:00,66.013,66.081,65.966,66.042,1000
2020-03-31 13:40:00,65.944,66.058,65.885,66.019,1622
2020-03-31 13:39:00,65.862,66.011,65.778,65.972,5800
2020-03-31 13:38:00,65.82,66.021,65.755,65.875,9552
