,1. open,2. high,3. low,4. close,5. volume
2021-12-31 15:59:00,401.652,402.006,401.295,401.846,1527
2021-12-31 15:58:00,402.013,402.133,401.48,401.612,783
2021-12-31 15:57:00,401.569,402.084,401.397,401.88,904
2021-12-31 15:56:00,401.652,401.928,401.26,401.524,2066
2021-12-31 15:55:00,401.76,401.879,401.236,401.368,400
2021-12-31 15:54:00,402.179,402.514,401.578,401.71,1400
2021-12-31 15:53:00,402.433,402.553,402.261,402.393,100
2021-12-31 15:52:00,402.013,402.133,401.841,401.973,100
2021-12-31 15:51:00,402.301,402.421,402.129,402.261,100
2021-12-31 15:50:00,402.912,403.036,402.163,402.295,500
2021-12-31 15:49:00,403.185,403.324,403.003,403.135,400
2021-12-31 15:46:00,403.439,403.559,403.227,403.36,300
2021-12-31 15:45:00,403.136,403.275,402.964,403.096,300
2021-12-31 15:44:00,402.736,402.855,402.563,402.696,100
2021-12-31 15:43:00,402.668,402.787,402.495,402.627,100
2021-12-31 15:42:00,402.248,402.367,402.075,402.208,100
2021-12-31 15:40:00,402.863,402.982,402.69,402.823,100
2021-12-31 15:39:00,402.287,402.406,402.114,402.247,100
2021-12-31 15:38:00,402.902,403.022,402.378,402.51,500
2021-12-31 15:34:00,403.058,403.178,402.866,402.998,200
2021-12-31 15:33:00,403.107,403.227,402.934,403.067,100
2021-12-31 15:30:00,403.839,404.189,403.51,403.643,900
2021-12-31 15:28:00,403.732,403.852,403.549,403.682,200
2021-12-31 15:27:00,403.722,403.842,403.549,403.682,100
2021-12-31 15:25:00,403.927,404.047,403.754,403.887,100
2021-12-31 15:20:00,403.449,403.569,403.276,403.409,100
2021-12-31 15:18:00,403.839,403.959,403.539,403.672,500
2021-12-31 15:14:00,404.455,404.575,404.281,404.414,100
2021-12-31 15:10:00,404.796,404.916,404.623,404.756,100
2021-12-31 15:09:00,404.943,405.063,404.769,404.902,100
2021-12-31 15:05:00,404.909,405.029,404.735,404.868,100
2021-12-31 15:00:00,404.953,405.073,404.779,404.912,200
2021-12-31 14:56:00,404.787,405.004,404.584,404.844,500
2021-12-31 14:54:00,405.177,405.297,404.994,405.127,300
2021-12-31 14:51:00,405.226,405.346,405.052,405.186,100
2021-12-31 14:45:00,404.914,405.034,404.701,404.834,200
2021-12-31 14:40:00,404.64,404.78,404.447,404.619,400
2021-12-31 14:37:00,404.503,404.633,404.33,404.473,200
2021-12-31 14:36:00,404.396,404.516,404.223,404.356,100
2021-12-31 14:31:00,404.318,404.438,404.145,404.278,100
2021-12-31 14:25:00,404.425,404.545,404.252,404.385,100
2021-12-31 14:24:00,404.103,404.223,403.93,404.063,200
2021-12-31 14:23:00,403.664,403.783,403.491,403.623,100
2021-12-31 14:21:00,403.664,403.783,403.491,403.623,100
2021-12-31 14:20:00,403.869,403.989,403.696,403.828,100
2021-12-31 14:17:00,403.957,404.076,403.784,403.916,100
2021-12-31 14:11:00,404.132,404.252,403.959,404.092,100
2021-12-31 14:10:00,404.445,404.565,404.272,404.404,200
2021-12-31 14:09:00,404.386,404.506,404.213,404.346,100
2021-12-31 14:06:00,404.601,404.838,404.428,404.678,300
2021-12-31 14:05:00,404.582,404.702,404.408,404.541,100
2021-12-31 14:01:00,404.445,404.565,404.135,404.268,200
2021-12-31 13:59:00,404.45,404.57,404.276,404.409,112
2021-12-31 13:56:00,404.425,404.653,404.252,404.492,400
2021-12-31 13:53:00,403.713,404.184,403.539,404.024,500
2021-12-31 13:45:00,403.615,403.735,403.442,403.575,100
2021-12-31 13:40:00,403.517,403.637,403.208,403.428,300
2021-12-31 13:39:00,403.429,403.549,403.256,403.389,100
2021-12-31 13:33:00,403.615,403.735,403.442,403.575,100
2021-12-31 13:30:00,403.195,403.315,403.022,403.155,100
2021-12-31 13:25:00,403.215,403.334,403.042,403.174,100
2021-12-31 13:21:00,403.429,403.549,403.256,403.389,200
2021-12-31 13:19:00,402.883,403.256,402.71,403.096,300
2021-12-31 13:16:00,402.453,402.572,402.28,402.413,100
2021-12-31 13:15:00,402.746,402.865,402.573,402.706,100
2021-12-31 13:13:00,402.443,402.65,402.271,402.491,200
2021-12-31 13:05:00,402.951,403.07,402.778,402.911,100
2021-12-31 13:04:00,402.775,402.895,402.602,402.735,100
2021-12-31 13:00:00,402.668,402.787,402.349,402.481,200
2021-12-31 12:58:00,402.687,402.807,402.515,402.647,100
2021-12-31 12:48:00,402.092,402.211,401.919,402.051,100
2021-12-31 12:45:00,402.424,402.543,402.251,402.383,100
2021-12-31 12:43:00,402.941,403.061,402.768,402.901,100
2021-12-31 12:35:00,402.668,402.787,402.495,402.627,200
2021-12-31 12:34:00,402.394,402.514,402.222,402.354,100
2021-12-31 12:33:00,402.267,402.621,402.095,402.461,700
2021-12-31 12:32:00,402.106,402.225,401.934,402.066,100
2021-12-31 12:30:00,402.433,402.553,402.261,402.393,100
2021-12-31 12:25:00,402.404,402.523,402.232,402.364,100
2021-12-31 12:14:00,402.912,403.031,402.739,402.872,200
2021-12-31 12:13:00,402.453,402.572,402.28,402.413,100
2021-12-31 12:10:00,402.56,402.68,402.378,402.51,200
2021-12-31 12:08:00,402.599,402.719,402.31,402.442,200
2021-12-31 12:05:00,402.707,402.826,402.534,402.666,116
2021-12-31 12:02:00,402.677,402.953,402.505,402.793,200
2021-12-31 11:56:00,402.687,402.807,402.515,402.647,100
2021-12-31 11:55:00,402.58,402.699,402.407,402.54,100
2021-12-31 11:52:00,402.258,402.572,402.085,402.413,200
2021-12-31 11:45:00,401.432,402.308,401.26,402.149,200
2021-12-31 11:42:00,401.554,401.674,401.314,401.446,200
2021-12-31 11:40:00,402.218,402.338,402.036,402.169,200
2021-12-31 11:37:00,401.672,401.791,401.499,401.631,100
2021-12-31 11:34:00,402.121,402.24,401.88,402.012,200
2021-12-31 11:30:00,402.677,402.797,402.505,402.637,100
2021-12-31 11:25:00,402.638,402.758,402.466,402.598,100
2021-12-31 11:20:00,402.804,403.207,402.632,403.047,300
2021-12-31 11:15:00,402.873,402.992,402.544,402.676,300
2021-12-31 11:14:00,402.873,402.992,402.7,402.832,100
2021-12-31 11:12:00,403.127,403.246,402.954,403.086,1100
2021-12-31 11:11:00,402.765,402.914,402.593,402.754,200
2021-12-31 11:05:00,402.404,402.523,402.232,402.364,100
2021-12-31 11:00:00,402.287,402.406,402.114,402.247,100
2021-12-31 10:59:00,401.642,402.152,401.47,401.846,500
2021-12-31 10:56:00,401.642,401.761,401.031,401.163,300
2021-12-31 10:50:00,402.092,402.211,401.919,402.051,100
2021-12-31 10:40:00,402.765,402.885,402.271,402.403,400
2021-12-31 10:34:00,402.863,402.982,402.69,402.823,100
2021-12-31 10:33:00,402.878,402.997,402.705,402.837,100
2021-12-31 10:31:00,402.839,402.958,402.666,402.798,100
2021-12-31 10:29:00,402.804,402.924,402.632,402.764,100
2021-12-31 10:26:00,403.263,403.383,402.944,403.077,200
2021-12-31 10:24:00,402.912,403.031,402.734,402.867,300
2021-12-31 10:19:00,402.599,402.719,402.271,402.403,200
2021-12-31 10:16:00,402.609,402.728,402.437,402.569,100
2021-12-31 10:13:00,403.112,403.232,402.939,403.072,100
2021-12-31 10:11:00,403.664,403.783,403.491,403.623,100
2021-12-31 10:09:00,404.269,404.389,404.096,404.229,100
2021-12-31 09:52:00,401.594,402.054,401.421,401.895,200
2021-12-31 09:51:00,401.379,401.498,401.207,401.339,100
2021-12-31 09:48:00,401.418,401.537,401.021,401.153,200
2021-12-31 09:47:00,400.033,400.152,399.862,399.993,100
2021-12-31 09:45:00,403.517,403.637,403.344,403.477,100
2021-12-31 09:42:00,403.537,403.656,403.364,403.496,100
2021-12-31 09:39:00,402.64,402.76,402.468,402.6,100
2021-12-31 09:38:00,403.703,403.822,403.53,403.662,100
2021-12-31 09:32:00,404.009,404.129,403.836,403.968,250
2021-12-31 09:30:00,402.814,402.934,402.642,402.774,665
2021-12-30 15:59:00,402.834,403.271,402.51,402.92,1017
2021-12-30 15:58:00,402.57,402.875,402.397,402.715,351
2021-12-30 15:57:00,402.717,402.875,402.544,402.715,247
2021-12-30 15:56:00,403.029,403.207,402.632,402.764,600
2021-12-30 15:55:00,402.853,403.119,402.661,402.959,800
2021-12-30 15:54:00,403.049,403.168,402.876,403.008,100
2021-12-30 15:52:00,402.648,403.007,402.241,402.847,600
2021-12-30 15:50:00,403.136,403.256,402.544,402.676,200
2021-12-30 15:49:00,403.42,403.617,403.247,403.457,500
2021-12-30 15:48:00,403.693,403.862,403.52,403.701,200
2021-12-30 15:47:00,404.015,404.135,403.735,403.926,300
2021-12-30 15:46:00,404.015,404.233,403.637,404.072,1400
2021-12-30 15:41:00,404.328,404.448,404.057,404.219,400
2021-12-30 15:40:00,404.679,404.799,404.506,404.639,100
2021-12-30 15:38:00,404.591,404.711,404.223,404.356,200
2021-12-30 15:35:00,404.767,404.887,404.496,404.629,200
2021-12-30 15:31:00,404.66,404.78,404.193,404.619,500
2021-12-30 15:29:00,404.23,404.35,404.057,404.19,100
2021-12-30 15:28:00,404.357,404.477,404.184,404.317,100
2021-12-30 15:23:00,403.976,404.096,403.803,403.936,100
2021-12-30 15:22:00,404.045,404.164,403.823,403.955,200
2021-12-30 15:14:00,404.22,404.34,404.047,404.18,100
2021-12-30 15:12:00,404.23,404.35,404.057,404.19,100
2021-12-30 15:10:00,404.162,404.526,403.696,404.019,400
2021-12-30 15:01:00,404.386,404.506,404.213,404.346,100
2021-12-30 14:58:00,404.826,404.946,404.32,404.453,200
2021-12-30 14:55:00,404.567,404.687,404.394,404.527,100
2021-12-30 14:51:00,404.801,404.921,404.628,404.761,100
2021-12-30 14:50:00,404.884,405.004,404.711,404.844,100
2021-12-30 14:49:00,404.748,404.868,404.574,404.707,100
2021-12-30 14:45:00,404.843,404.963,404.67,404.803,120
2021-12-30 14:40:00,404.377,404.536,404.203,404.375,200
2021-12-30 14:35:00,404.211,404.477,404.037,404.317,200
