,1. open,2. high,3. low,4. close,5. volume
2022-09-30 15:59:00,101.276,101.573,101.17,101.449,118157
2022-09-30 15:58:00,101.23,101.39,101.133,101.311,37826
2022-09-30 15:57:00,101.23,101.362,101.142,101.274,44613
2022-09-30 15:56:00,101.249,101.353,101.142,101.265,32185
2022-09-30 15:55:00,101.45,101.546,101.17,101.274,34878
2022-09-30 15:54:00,101.542,101.656,101.371,101.481,22747
2022-09-30 15:53:00,101.579,101.674,101.435,101.577,12156
2022-09-30 15:52:00,101.56,101.711,101.445,101.614,13309
2022-09-30 15:51:00,101.671,101.757,101.499,101.605,13721
2022-09-30 15:50:00,101.918,101.995,101.536,101.687,29873
2022-09-30 15:49:00,101.973,102.05,101.829,101.953,3680
2022-09-30 15:48:00,101.955,102.114,101.857,101.999,3691
2022-09-30 15:47:00,101.877,102.032,101.783,101.981,3610
2022-09-30 15:46:00,101.836,101.94,101.747,101.889,4667
2022-09-30 15:45:00,101.915,101.992,101.756,101.862,5692
2022-09-30 15:44:00,101.918,102.013,101.802,101.926,2971
2022-09-30 15:43:00,101.9,102.059,101.829,101.935,4298
2022-09-30 15:42:00,101.946,102.069,101.829,101.944,4097
2022-09-30 15:41:00,101.909,102.041,101.838,101.958,1200
2022-09-30 15:40:00,101.881,102.032,101.756,101.971,3386
2022-09-30 15:39:00,101.817,101.986,101.747,101.944,2635
2022-09-30 15:38:00,101.872,101.949,101.692,101.834,3070
2022-09-30 15:37:00,101.845,102.069,101.742,101.935,5566
2022-09-30 15:36:00,101.863,101.968,101.738,101.889,6777
2022-09-30 15:35:00,101.909,101.986,101.774,101.916,2611
2022-09-30 15:34:00,101.863,102.004,101.763,101.953,5733
2022-09-30 15:33:00,101.845,101.991,101.774,101.889,2369
2022-09-30 15:32:00,102.037,102.124,101.765,101.871,3226
2022-09-30 15:31:00,102.184,102.279,101.948,102.068,4203
2022-09-30 15:30:00,102.069,102.252,101.912,102.21,17810
2022-09-30 15:29:00,101.927,102.16,101.82,102.1,7716
2022-09-30 15:28:00,101.822,101.968,101.664,101.916,22035
2022-09-30 15:27:00,101.863,101.968,101.747,101.861,2928
2022-09-30 15:26:00,101.955,102.035,101.802,101.921,4248
2022-09-30 15:25:00,102.001,102.092,101.829,101.99,3783
2022-09-30 15:24:00,101.955,102.114,101.884,102.036,2502
2022-09-30 15:23:00,101.909,102.078,101.834,102.008,3467
2022-09-30 15:22:00,101.854,102.05,101.765,101.962,7826
2022-09-30 15:21:00,102.037,102.114,101.811,101.916,4775
2022-09-30 15:20:00,102.028,102.133,101.945,102.072,3684
2022-09-30 15:19:00,102.001,102.133,101.921,102.045,3895
2022-09-30 15:18:00,101.918,102.041,101.828,101.99,3147
2022-09-30 15:17:00,102.046,102.124,101.857,101.97,1658
2022-09-30 15:16:00,101.955,102.16,101.875,102.071,9727
2022-09-30 15:15:00,101.9,102.023,101.774,101.944,3618
2022-09-30 15:14:00,101.891,102.023,101.811,101.944,3460
2022-09-30 15:13:00,101.964,102.041,101.829,101.935,3254
2022-09-30 15:12:00,102.056,102.133,101.893,101.999,3708
2022-09-30 15:11:00,102.12,102.224,102.003,102.109,5728
2022-09-30 15:10:00,102.065,102.234,101.976,102.174,3290
2022-09-30 15:09:00,102.101,102.179,101.99,102.111,910
2022-09-30 15:08:00,102.138,102.215,102.031,102.137,700
2022-09-30 15:07:00,102.184,102.261,102.058,102.192,2059
2022-09-30 15:06:00,102.211,102.313,102.1,102.228,4741
2022-09-30 15:05:00,102.175,102.298,102.095,102.256,3139
2022-09-30 15:04:00,102.248,102.325,102.067,102.201,4404
2022-09-30 15:03:00,102.257,102.335,102.122,102.283,5667
2022-09-30 15:02:00,102.221,102.371,102.122,102.292,11976
2022-09-30 15:01:00,102.175,102.28,102.095,102.219,3020
2022-09-30 15:00:00,102.001,102.193,101.903,102.151,1957
2022-09-30 14:59:00,102.111,102.206,101.93,102.045,2600
2022-09-30 14:58:00,101.991,102.198,101.921,102.156,2667
2022-09-30 14:57:00,102.065,102.142,101.893,102.026,10332
2022-09-30 14:56:00,102.028,102.151,101.948,102.109,1000
2022-09-30 14:55:00,102.156,102.234,101.985,102.091,1800
2022-09-30 14:54:00,102.193,102.27,102.095,102.201,200
2022-09-30 14:53:00,102.248,102.325,102.122,102.252,3859
2022-09-30 14:52:00,102.221,102.325,102.127,102.283,6200
2022-09-30 14:51:00,102.202,102.298,102.122,102.237,4163
2022-09-30 14:50:00,102.248,102.335,102.106,102.228,4705
2022-09-30 14:49:00,102.202,102.325,102.132,102.274,4827
2022-09-30 14:48:00,102.184,102.298,102.067,102.237,10253
2022-09-30 14:47:00,102.299,102.386,102.15,102.256,3030
2022-09-30 14:46:00,102.321,102.431,102.223,102.329,1120
2022-09-30 14:45:00,102.376,102.454,102.269,102.402,2314
2022-09-30 14:44:00,102.303,102.454,102.232,102.412,1619
2022-09-30 14:43:00,102.413,102.5,102.242,102.347,3623
2022-09-30 14:42:00,102.45,102.555,102.306,102.448,5481
2022-09-30 14:41:00,102.486,102.573,102.379,102.494,2254
2022-09-30 14:40:00,102.56,102.637,102.406,102.512,4091
2022-09-30 14:39:00,102.578,102.656,102.416,102.549,2485
2022-09-30 14:38:00,102.569,102.699,102.493,102.641,811
2022-09-30 14:37:00,102.556,102.647,102.461,102.586,1291
2022-09-30 14:36:00,102.551,102.656,102.471,102.577,2335
2022-09-30 14:35:00,102.624,102.702,102.489,102.604,6229
2022-09-30 14:34:00,102.514,102.692,102.443,102.65,1012
2022-09-30 14:33:00,102.537,102.614,102.397,102.522,2038
2022-09-30 14:32:00,102.551,102.628,102.452,102.558,1567
2022-09-30 14:31:00,102.56,102.637,102.443,102.55,6439
2022-09-30 14:30:00,102.532,102.656,102.443,102.613,1911
2022-09-30 14:29:00,102.431,102.601,102.347,102.54,1928
2022-09-30 14:28:00,102.514,102.591,102.361,102.467,6815
2022-09-30 14:27:00,102.541,102.637,102.452,102.568,1346
2022-09-30 14:26:00,102.514,102.637,102.443,102.586,895
2022-09-30 14:25:00,102.56,102.647,102.452,102.558,2295
2022-09-30 14:24:00,102.624,102.702,102.498,102.613,1625
2022-09-30 14:23:00,102.624,102.729,102.548,102.659,1257
