,1. open,2. high,3. low,4. close,5. volume
2018-07-31 15:59:00,38.574,38.695,38.305,38.454,246687
2018-07-31 15:58:00,38.555,38.682,38.295,38.464,57116
2018-07-31 15:57:00,38.565,38.662,38.282,38.438,65209
2018-07-31 15:56:00,38.532,38.662,38.269,38.444,35624
2018-07-31 15:55:00,38.525,38.629,38.259,38.415,34128
2018-07-31 15:54:00,38.502,38.619,38.24,38.405,19540
2018-07-31 15:53:00,38.519,38.616,38.24,38.385,48220
2018-07-31 15:52:00,38.496,38.613,38.237,38.395,27431
2018-07-31 15:51:00,38.508,38.613,38.233,38.382,37412
2018-07-31 15:50:00,38.492,38.609,38.224,38.391,53394
2018-07-31 15:49:00,38.492,38.59,38.227,38.375,3262
2018-07-31 15:48:00,38.479,38.59,38.204,38.369,23225
2018-07-31 15:47:00,38.503,38.616,38.214,38.359,19835
2018-07-31 15:46:00,38.541,38.639,38.214,38.385,38866
2018-07-31 15:45:00,38.538,38.649,38.273,38.421,53593
2018-07-31 15:44:00,38.515,38.642,38.256,38.428,25840
2018-07-31 15:43:00,38.515,38.619,38.253,38.398,18117
2018-07-31 15:42:00,38.522,38.623,38.253,38.398,14898
2018-07-31 15:41:00,38.519,38.619,38.246,38.402,23632
2018-07-31 15:40:00,38.519,38.623,38.253,38.395,35372
2018-07-31 15:39:00,38.525,38.623,38.253,38.395,10904
2018-07-31 15:38:00,38.538,38.639,38.266,38.408,11858
2018-07-31 15:37:00,38.532,38.636,38.259,38.421,24015
2018-07-31 15:36:00,38.545,38.649,38.273,38.415,8562
2018-07-31 15:35:00,38.555,38.656,38.286,38.428,9184
2018-07-31 15:34:00,38.559,38.662,38.292,38.434,8439
2018-07-31 15:33:00,38.562,38.669,38.299,38.448,16881
2018-07-31 15:32:00,38.571,38.669,38.299,38.441,26214
2018-07-31 15:31:00,38.568,38.675,38.308,38.454,8014
2018-07-31 15:30:00,38.571,38.675,38.308,38.454,22412
2018-07-31 15:29:00,38.578,38.676,38.312,38.457,9043
2018-07-31 15:28:00,38.565,38.675,38.305,38.461,5075
2018-07-31 15:27:00,38.558,38.669,38.299,38.454,21223
2018-07-31 15:26:00,38.558,38.662,38.292,38.441,4037
2018-07-31 15:25:00,38.565,38.662,38.299,38.441,10100
2018-07-31 15:24:00,38.565,38.669,38.302,38.448,15671
2018-07-31 15:23:00,38.548,38.662,38.289,38.444,7011
2018-07-31 15:22:00,38.551,38.656,38.286,38.434,37197
2018-07-31 15:21:00,38.551,38.662,38.292,38.434,9155
2018-07-31 15:20:00,38.565,38.662,38.295,38.441,4330
2018-07-31 15:19:00,38.551,38.662,38.288,38.448,7865
2018-07-31 15:18:00,38.538,38.649,38.273,38.434,46115
2018-07-31 15:17:00,38.538,38.642,38.279,38.424,1440
2018-07-31 15:16:00,38.558,38.656,38.279,38.421,13677
2018-07-31 15:15:00,38.558,38.662,38.299,38.441,2418
2018-07-31 15:14:00,38.551,38.669,38.292,38.444,11928
2018-07-31 15:13:00,38.551,38.656,38.289,38.438,3738
2018-07-31 15:12:00,38.529,38.649,38.266,38.434,8251
2018-07-31 15:11:00,38.525,38.629,38.266,38.411,2501
2018-07-31 15:10:00,38.535,38.636,38.266,38.408,43550
2018-07-31 15:09:00,38.538,38.636,38.273,38.415,2427
2018-07-31 15:08:00,38.532,38.636,38.266,38.421,6452
2018-07-31 15:07:00,38.515,38.629,38.256,38.411,3712
2018-07-31 15:06:00,38.512,38.613,38.24,38.385,12045
2018-07-31 15:05:00,38.519,38.616,38.253,38.395,11209
2018-07-31 15:04:00,38.528,38.626,38.259,38.402,13033
2018-07-31 15:03:00,38.535,38.636,38.273,38.415,4440
2018-07-31 15:02:00,38.538,38.636,38.273,38.418,7033
2018-07-31 15:01:00,38.545,38.642,38.279,38.421,1810
2018-07-31 15:00:00,38.538,38.649,38.279,38.421,10382
2018-07-31 14:59:00,38.545,38.646,38.279,38.421,7783
2018-07-31 14:58:00,38.551,38.652,38.286,38.428,7443
2018-07-31 14:57:00,38.551,38.656,38.289,38.434,14248
2018-07-31 14:56:00,38.547,38.656,38.286,38.434,11784
2018-07-31 14:55:00,38.545,38.649,38.279,38.431,11098
2018-07-31 14:54:00,38.542,38.642,38.279,38.421,4883
2018-07-31 14:53:00,38.548,38.649,38.281,38.424,4304
2018-07-31 14:52:00,38.545,38.646,38.286,38.431,11400
2018-07-31 14:51:00,38.542,38.649,38.282,38.434,19195
2018-07-31 14:50:00,38.543,38.642,38.279,38.428,2345
2018-07-31 14:49:00,38.54,38.642,38.279,38.425,7151
2018-07-31 14:48:00,38.541,38.642,38.279,38.428,7311
2018-07-31 14:47:00,38.545,38.642,38.279,38.421,7800
2018-07-31 14:46:00,38.525,38.637,38.266,38.421,13910
2018-07-31 14:45:00,38.532,38.629,38.266,38.411,3750
2018-07-31 14:44:00,38.538,38.642,38.273,38.415,5485
2018-07-31 14:43:00,38.538,38.642,38.273,38.423,12509
2018-07-31 14:42:00,38.532,38.636,38.273,38.421,8364
2018-07-31 14:41:00,38.532,38.642,38.273,38.421,12810
2018-07-31 14:40:00,38.519,38.636,38.259,38.415,7336
2018-07-31 14:39:00,38.519,38.623,38.256,38.403,30529
2018-07-31 14:38:00,38.532,38.629,38.266,38.415,1500
2018-07-31 14:37:00,38.525,38.629,38.259,38.411,19338
2018-07-31 14:36:00,38.528,38.629,38.256,38.405,19179
2018-07-31 14:35:00,38.528,38.627,38.266,38.413,2933
2018-07-31 14:34:00,38.532,38.629,38.266,38.411,8423
2018-07-31 14:33:00,38.532,38.629,38.266,38.408,2572
2018-07-31 14:32:00,38.528,38.629,38.266,38.411,16248
2018-07-31 14:31:00,38.532,38.629,38.259,38.411,35579
2018-07-31 14:30:00,38.545,38.642,38.266,38.411,11169
2018-07-31 14:29:00,38.532,38.636,38.273,38.421,3168
2018-07-31 14:28:00,38.519,38.63,38.259,38.415,5744
2018-07-31 14:27:00,38.492,38.616,38.233,38.402,51972
2018-07-31 14:26:00,38.512,38.616,38.237,38.379,20823
2018-07-31 14:25:00,38.515,38.616,38.253,38.398,26617
2018-07-31 14:24:00,38.519,38.616,38.253,38.395,6285
2018-07-31 14:23:00,38.519,38.623,38.253,38.395,2911
2018-07-31 14:22:00,38.532,38.629,38.259,38.402,8868
2018-07-31 14:21:00,38.538,38.639,38.273,38.418,7865
2018-07-31 14:20:00,38.538,38.64,38.279,38.424,2725
2018-07-31 14:19:00,38.538,38.642,38.279,38.424,3682
2018-07-31 14:18:00,38.548,38.649,38.279,38.421,5909
2018-07-31 14:17:00,38.551,38.656,38.292,38.434,13930
2018-07-31 14:16:00,38.545,38.656,38.286,38.434,7491
2018-07-31 14:15:00,38.545,38.649,38.286,38.434,4308
2018-07-31 14:14:00,38.551,38.649,38.286,38.434,5714
2018-07-31 14:13:00,38.543,38.649,38.279,38.434,12696
2018-07-31 14:12:00,38.538,38.642,38.279,38.424,3314
2018-07-31 14:11:00,38.532,38.639,38.269,38.424,4684
2018-07-31 14:10:00,38.532,38.632,38.253,38.418,21673
2018-07-31 14:09:00,38.525,38.636,38.263,38.415,12091
2018-07-31 14:08:00,38.532,38.636,38.266,38.408,22855
2018-07-31 14:07:00,38.528,38.629,38.266,38.415,7720
2018-07-31 14:06:00,38.536,38.636,38.266,38.409,5237
2018-07-31 14:05:00,38.532,38.636,38.268,38.415,11404
2018-07-31 14:04:00,38.535,38.636,38.273,38.415,4523
2018-07-31 14:03:00,38.545,38.642,38.273,38.415,6871
2018-07-31 14:02:00,38.551,38.656,38.279,38.43,14333
2018-07-31 14:01:00,38.558,38.656,38.288,38.438,4666
2018-07-31 14:00:00,38.551,38.656,38.286,38.441,5623
2018-07-31 13:59:00,38.565,38.662,38.286,38.434,7670
2018-07-31 13:58:00,38.551,38.662,38.286,38.441,8689
2018-07-31 13:57:00,38.551,38.654,38.286,38.438,3234
2018-07-31 13:56:00,38.551,38.65,38.286,38.434,10247
2018-07-31 13:55:00,38.542,38.654,38.281,38.434,8317
2018-07-31 13:54:00,38.551,38.649,38.279,38.428,6305
2018-07-31 13:53:00,38.545,38.656,38.279,38.432,21887
2018-07-31 13:52:00,38.545,38.646,38.279,38.424,4992
2018-07-31 13:51:00,38.558,38.656,38.286,38.428,10233
2018-07-31 13:50:00,38.551,38.656,38.292,38.436,8200
2018-07-31 13:49:00,38.551,38.656,38.289,38.434,8061
2018-07-31 13:48:00,38.558,38.665,38.299,38.441,4536
2018-07-31 13:47:00,38.565,38.669,38.301,38.444,4453
2018-07-31 13:46:00,38.565,38.675,38.305,38.448,5365
2018-07-31 13:45:00,38.571,38.669,38.305,38.448,1580
2018-07-31 13:44:00,38.584,38.687,38.313,38.461,7193
2018-07-31 13:43:00,38.581,38.682,38.318,38.467,8833
2018-07-31 13:42:00,38.571,38.679,38.312,38.465,2535
2018-07-31 13:41:00,38.571,38.669,38.305,38.449,1518
2018-07-31 13:40:00,38.538,38.669,38.279,38.45,12787
2018-07-31 13:39:00,38.533,38.636,38.273,38.421,940
2018-07-31 13:38:00,38.538,38.636,38.273,38.421,5066
2018-07-31 13:37:00,38.538,38.642,38.279,38.421,8024
2018-07-31 13:36:00,38.538,38.642,38.273,38.421,8319
2018-07-31 13:35:00,38.538,38.649,38.273,38.418,21743
2018-07-31 13:34:00,38.535,38.636,38.273,38.421,3148
2018-07-31 13:33:00,38.545,38.649,38.273,38.415,7732
2018-07-31 13:32:00,38.548,38.649,38.281,38.432,7224
2018-07-31 13:31:00,38.555,38.656,38.292,38.434,16269
2018-07-31 13:30:00,38.551,38.656,38.292,38.436,5100
2018-07-31 13:29:00,38.545,38.656,38.286,38.434,8346
2018-07-31 13:28:00,38.551,38.652,38.279,38.421,8533
2018-07-31 13:27:00,38.545,38.649,38.279,38.428,4431
2018-07-31 13:26:00,38.532,38.642,38.269,38.428,5389
2018-07-31 13:25:00,38.541,38.639,38.273,38.415,4322
2018-07-31 13:24:00,38.545,38.642,38.279,38.428,1750
2018-07-31 13:23:00,38.551,38.649,38.279,38.425,6110
2018-07-31 13:22:00,38.551,38.656,38.289,38.434,9530
2018-07-31 13:21:00,38.555,38.656,38.292,38.435,3353
2018-07-31 13:20:00,38.555,38.656,38.292,38.438,1856
2018-07-31 13:19:00,38.532,38.656,38.273,38.441,14278
2018-07-31 13:18:00,38.532,38.633,38.266,38.415,8548
2018-07-31 13:17:00,38.532,38.636,38.266,38.411,18606
2018-07-31 13:16:00,38.519,38.636,38.259,38.415,7820
2018-07-31 13:15:00,38.519,38.616,38.253,38.402,3343
2018-07-31 13:14:00,38.512,38.618,38.246,38.395,5278
2018-07-31 13:13:00,38.505,38.605,38.233,38.391,5477
2018-07-31 13:12:00,38.512,38.609,38.246,38.389,2600
2018-07-31 13:11:00,38.525,38.623,38.246,38.395,5946
2018-07-31 13:10:00,38.538,38.642,38.273,38.415,6642
2018-07-31 13:09:00,38.532,38.639,38.269,38.421,13473
2018-07-31 13:08:00,38.515,38.629,38.253,38.408,4821
2018-07-31 13:07:00,38.519,38.617,38.253,38.398,5964
2018-07-31 13:06:00,38.525,38.629,38.253,38.402,14634
2018-07-31 13:05:00,38.512,38.629,38.246,38.408,14596
2018-07-31 13:04:00,38.519,38.616,38.246,38.389,5390
2018-07-31 13:03:00,38.505,38.623,38.246,38.396,7579
2018-07-31 13:02:00,38.496,38.609,38.233,38.389,10680
2018-07-31 13:01:00,38.492,38.596,38.227,38.382,3853
2018-07-31 13:00:00,38.512,38.609,38.24,38.382,8608
2018-07-31 12:59:00,38.509,38.609,38.246,38.395,8513
2018-07-31 12:58:00,38.505,38.606,38.246,38.392,1139
2018-07-31 12:57:00,38.525,38.629,38.246,38.392,11673
2018-07-31 12:56:00,38.519,38.629,38.259,38.411,10648
2018-07-31 12:55:00,38.525,38.623,38.259,38.408,10495
2018-07-31 12:54:00,38.522,38.623,38.263,38.408,900
2018-07-31 12:53:00,38.525,38.623,38.259,38.408,3624
2018-07-31 12:52:00,38.525,38.629,38.259,38.405,4154
2018-07-31 12:51:00,38.538,38.639,38.273,38.415,109547
2018-07-31 12:50:00,38.538,38.642,38.273,38.421,14473
2018-07-31 12:49:00,38.551,38.649,38.273,38.421,13890
2018-07-31 12:48:00,38.528,38.656,38.266,38.441,15204
