,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,42.98,42.995,42.93,42.94,936544
2024-03-22 15:58:00,42.98,43.0,42.97,42.985,325438
2024-03-22 15:57:00,42.98,42.98,42.945,42.979,283116
2024-03-22 15:56:00,42.955,42.98,42.95,42.975,153754
2024-03-22 15:55:00,42.975,42.98,42.92,42.955,215450
2024-03-22 15:54:00,42.98,42.99,42.97,42.98,122345
2024-03-22 15:53:00,42.955,42.98,42.954,42.98,75552
2024-03-22 15:52:00,42.961,42.965,42.95,42.955,65763
2024-03-22 15:51:00,42.955,42.98,42.955,42.965,66584
2024-03-22 15:50:00,42.95,42.965,42.945,42.955,69811
2024-03-22 15:49:00,42.945,42.965,42.93,42.955,50054
2024-03-22 15:48:00,42.955,42.955,42.94,42.947,42013
2024-03-22 15:47:00,42.95,42.967,42.94,42.955,41930
2024-03-22 15:46:00,42.945,42.95,42.94,42.95,45385
2024-03-22 15:45:00,42.935,42.95,42.925,42.94,44415
2024-03-22 15:44:00,42.925,42.94,42.925,42.935,25390
2024-03-22 15:43:00,42.925,42.93,42.91,42.925,30090
2024-03-22 15:42:00,42.925,42.935,42.92,42.93,52874
2024-03-22 15:41:00,42.93,42.93,42.91,42.925,35509
2024-03-22 15:40:00,42.912,42.93,42.913,42.925,27903
2024-03-22 15:39:00,42.915,42.92,42.915,42.915,25723
2024-03-22 15:38:00,42.92,42.92,42.9,42.915,19100
2024-03-22 15:37:00,42.935,42.94,42.915,42.92,49184
2024-03-22 15:36:00,42.896,42.945,42.885,42.935,64200
2024-03-22 15:35:00,42.935,42.94,42.885,42.895,35486
2024-03-22 15:34:00,42.935,42.935,42.92,42.93,38784
2024-03-22 15:33:00,42.955,42.96,42.93,42.935,35684
2024-03-22 15:32:00,42.965,42.98,42.955,42.955,34530
2024-03-22 15:31:00,42.955,42.965,42.95,42.965,31076
2024-03-22 15:30:00,42.945,42.955,42.945,42.95,24391
2024-03-22 15:29:00,42.95,42.96,42.94,42.94,28273
2024-03-22 15:28:00,42.945,42.955,42.94,42.955,22811
2024-03-22 15:27:00,42.942,42.95,42.94,42.945,15196
2024-03-22 15:26:00,42.925,42.94,42.925,42.94,17960
2024-03-22 15:25:00,42.905,42.94,42.9,42.92,54254
2024-03-22 15:24:00,42.905,42.91,42.9,42.905,6430
2024-03-22 15:23:00,42.895,42.91,42.89,42.905,11809
2024-03-22 15:22:00,42.887,42.896,42.88,42.895,24109
2024-03-22 15:21:00,42.885,42.89,42.88,42.885,22247
2024-03-22 15:20:00,42.881,42.89,42.88,42.885,9117
2024-03-22 15:19:00,42.91,42.91,42.885,42.89,21022
2024-03-22 15:18:00,42.896,42.91,42.895,42.91,8417
2024-03-22 15:17:00,42.894,42.905,42.885,42.895,47519
2024-03-22 15:16:00,42.905,42.91,42.89,42.895,27064
2024-03-22 15:15:00,42.9,42.91,42.9,42.905,12260
2024-03-22 15:14:00,42.9,42.91,42.895,42.9,24290
2024-03-22 15:13:00,42.865,42.9,42.865,42.9,27319
2024-03-22 15:12:00,42.905,42.91,42.86,42.865,74551
2024-03-22 15:11:00,42.925,42.925,42.9,42.9,35237
2024-03-22 15:10:00,42.925,42.93,42.92,42.925,20572
2024-03-22 15:09:00,42.945,42.95,42.92,42.93,17812
2024-03-22 15:08:00,42.94,42.95,42.934,42.95,16870
2024-03-22 15:07:00,42.945,42.945,42.93,42.94,10041
2024-03-22 15:06:00,42.935,42.95,42.93,42.94,30888
2024-03-22 15:05:00,42.93,42.94,42.93,42.932,10647
2024-03-22 15:04:00,42.955,42.955,42.93,42.935,23195
2024-03-22 15:03:00,42.96,42.96,42.95,42.955,22473
2024-03-22 15:02:00,42.96,42.97,42.952,42.96,5873
2024-03-22 15:01:00,42.965,42.97,42.95,42.96,12704
2024-03-22 15:00:00,42.965,42.97,42.953,42.97,11458
2024-03-22 14:59:00,42.97,42.97,42.955,42.96,23604
2024-03-22 14:58:00,42.94,42.965,42.93,42.965,20573
2024-03-22 14:57:00,42.94,42.95,42.93,42.935,14434
2024-03-22 14:56:00,42.935,42.94,42.93,42.94,11693
2024-03-22 14:55:00,42.93,42.94,42.925,42.94,22699
2024-03-22 14:54:00,42.92,42.93,42.915,42.925,12905
2024-03-22 14:53:00,42.915,42.926,42.91,42.917,15374
2024-03-22 14:52:00,42.915,42.93,42.915,42.915,18294
2024-03-22 14:51:00,42.915,42.93,42.91,42.91,24948
2024-03-22 14:50:00,42.925,42.925,42.91,42.915,14880
2024-03-22 14:49:00,42.935,42.95,42.92,42.928,21121
2024-03-22 14:48:00,42.93,42.95,42.92,42.935,18058
2024-03-22 14:47:00,42.92,42.93,42.91,42.925,15190
2024-03-22 14:46:00,42.925,42.925,42.91,42.91,27088
2024-03-22 14:45:00,42.935,42.935,42.92,42.925,15635
2024-03-22 14:44:00,42.935,42.935,42.93,42.935,4221
2024-03-22 14:43:00,42.935,42.94,42.93,42.93,24565
