,1. open,2. high,3. low,4. close,5. volume
2014-11-28 13:03:00,51.12,51.12,51.12,51.12,27811
2014-11-28 12:59:00,51.03,51.12,51.03,51.1,4926
2014-11-28 12:58:00,50.99,51.04,50.98,51.04,2643
2014-11-28 12:57:00,51.03,51.05,50.96,51.0,5191
2014-11-28 12:56:00,51.03,51.04,51.01,51.02,2623
2014-11-28 12:55:00,51.02,51.04,50.99,51.02,2300
2014-11-28 12:54:00,50.99,51.0,50.985,51.0,2684
2014-11-28 12:53:00,51.0,51.01,50.99,50.99,1279
2014-11-28 12:52:00,51.03,51.03,51.01,51.01,1700
2014-11-28 12:51:00,51.0,51.03,51.0,51.03,2037
2014-11-28 12:50:00,51.09,51.1,51.01,51.01,1711
2014-11-28 12:49:00,51.09,51.1,51.07,51.1,2150
2014-11-28 12:48:00,51.04,51.08,51.04,51.07,2400
2014-11-28 12:47:00,51.05,51.05,51.02,51.02,1523
2014-11-28 12:46:00,51.02,51.045,51.02,51.04,1400
2014-11-28 12:45:00,51.0,51.05,50.963,51.015,4203
2014-11-28 12:44:00,50.93,50.97,50.93,50.97,600
2014-11-28 12:43:00,50.91,50.915,50.91,50.915,300
2014-11-28 12:42:00,50.97,50.98,50.87,50.88,3300
2014-11-28 12:41:00,51.07,51.07,50.93,50.93,2404
2014-11-28 12:40:00,51.07,51.08,51.05,51.06,400
2014-11-28 12:39:00,51.08,51.09,51.06,51.07,700
2014-11-28 12:38:00,51.08,51.1,51.08,51.1,300
2014-11-28 12:37:00,51.1,51.1,51.06,51.06,847
2014-11-28 12:36:00,51.08,51.09,51.06,51.075,900
2014-11-28 12:35:00,51.06,51.08,51.06,51.08,200
2014-11-28 12:34:00,51.11,51.12,51.05,51.05,1800
2014-11-28 12:33:00,51.085,51.12,51.085,51.12,500
2014-11-28 12:32:00,51.08,51.09,51.07,51.07,723
2014-11-28 12:31:00,51.1,51.1,51.05,51.09,723
2014-11-28 12:30:00,51.03,51.03,51.03,51.03,300
2014-11-28 12:29:00,51.01,51.01,50.99,51.01,300
2014-11-28 12:28:00,50.98,50.98,50.95,50.98,400
2014-11-28 12:27:00,50.93,50.95,50.93,50.95,500
2014-11-28 12:26:00,50.91,50.93,50.91,50.92,500
2014-11-28 12:25:00,50.83,50.93,50.83,50.93,1900
2014-11-28 12:24:00,50.8,50.83,50.8,50.83,300
2014-11-28 12:23:00,50.82,50.87,50.82,50.87,210
2014-11-28 12:22:00,50.9,50.9,50.84,50.84,700
2014-11-28 12:21:00,50.9,50.9,50.89,50.89,200
2014-11-28 12:19:00,50.93,50.93,50.93,50.93,100
2014-11-28 12:18:00,50.89,50.89,50.89,50.89,100
2014-11-28 12:17:00,50.91,50.91,50.89,50.89,600
2014-11-28 12:16:00,50.93,50.93,50.91,50.91,700
2014-11-28 12:15:00,50.96,50.98,50.93,50.93,600
2014-11-28 12:13:00,50.96,51.015,50.96,51.015,400
2014-11-28 12:12:00,50.94,50.94,50.94,50.94,100
2014-11-28 12:10:00,50.92,50.98,50.92,50.97,1800
2014-11-28 12:08:00,50.99,50.99,50.98,50.98,500
2014-11-28 12:05:00,51.0,51.0,51.0,51.0,300
2014-11-28 12:04:00,51.1,51.1,51.09,51.09,700
2014-11-28 12:03:00,51.098,51.098,51.098,51.098,111
2014-11-28 12:01:00,51.12,51.12,51.1,51.1,937
2014-11-28 12:00:00,51.11,51.11,51.11,51.11,200
2014-11-28 11:58:00,51.15,51.15,51.15,51.15,100
2014-11-28 11:55:00,51.12,51.12,51.11,51.11,200
2014-11-28 11:54:00,51.08,51.1,51.08,51.1,300
2014-11-28 11:53:00,51.23,51.24,51.09,51.09,1641
2014-11-28 11:52:00,51.24,51.26,51.24,51.26,200
2014-11-28 11:50:00,51.26,51.26,51.24,51.24,1200
2014-11-28 11:49:00,51.25,51.27,51.25,51.26,1000
2014-11-28 11:47:00,51.26,51.26,51.26,51.26,300
2014-11-28 11:46:00,51.26,51.26,51.26,51.26,200
2014-11-28 11:45:00,51.25,51.25,51.25,51.25,200
2014-11-28 11:42:00,51.28,51.28,51.23,51.23,900
2014-11-28 11:41:00,51.3,51.3,51.28,51.28,900
2014-11-28 11:40:00,51.3,51.31,51.3,51.31,600
2014-11-28 11:39:00,51.32,51.33,51.32,51.33,200
2014-11-28 11:38:00,51.29,51.3,51.29,51.3,200
2014-11-28 11:37:00,51.28,51.29,51.28,51.29,664
2014-11-28 11:35:00,51.28,51.28,51.27,51.27,500
2014-11-28 11:34:00,51.29,51.29,51.285,51.285,300
2014-11-28 11:33:00,51.29,51.29,51.29,51.29,300
2014-11-28 11:31:00,51.28,51.29,51.28,51.28,700
2014-11-28 11:30:00,51.3,51.3,51.3,51.3,100
2014-11-28 11:29:00,51.28,51.28,51.28,51.28,300
2014-11-28 11:28:00,51.28,51.28,51.28,51.28,100
2014-11-28 11:27:00,51.25,51.25,51.25,51.25,250
2014-11-28 11:26:00,51.23,51.23,51.23,51.23,100
2014-11-28 11:25:00,51.33,51.35,51.31,51.31,3782
2014-11-28 11:23:00,51.36,51.36,51.33,51.33,300
2014-11-28 11:22:00,51.31,51.35,51.31,51.35,600
2014-11-28 11:21:00,51.3,51.3,51.3,51.3,200
2014-11-28 11:20:00,51.28,51.29,51.27,51.29,1200
2014-11-28 11:19:00,51.29,51.29,51.29,51.29,400
2014-11-28 11:18:00,51.27,51.28,51.27,51.28,400
2014-11-28 11:16:00,51.37,51.37,51.25,51.3,800
2014-11-28 11:15:00,51.36,51.37,51.33,51.36,1800
2014-11-28 11:14:00,51.42,51.42,51.42,51.42,200
2014-11-28 11:13:00,51.48,51.485,51.47,51.485,700
2014-11-28 11:12:00,51.51,51.51,51.5,51.51,400
2014-11-28 11:11:00,51.53,51.53,51.52,51.52,300
2014-11-28 11:10:00,51.51,51.53,51.51,51.53,1200
2014-11-28 11:09:00,51.51,51.51,51.51,51.51,300
2014-11-28 11:08:00,51.5,51.5,51.5,51.5,400
2014-11-28 11:07:00,51.5,51.5,51.5,51.5,200
2014-11-28 11:06:00,51.49,51.49,51.49,51.49,200
2014-11-28 11:04:00,51.49,51.49,51.49,51.49,200
2014-11-28 11:03:00,51.5,51.5,51.49,51.5,800
2014-11-28 11:02:00,51.48,51.5,51.48,51.5,300
2014-11-28 11:01:00,51.47,51.48,51.46,51.46,400
2014-11-28 11:00:00,51.47,51.47,51.47,51.47,500
2014-11-28 10:59:00,51.43,51.43,51.43,51.43,100
2014-11-28 10:58:00,51.41,51.42,51.41,51.42,200
2014-11-28 10:57:00,51.39,51.4,51.39,51.4,500
2014-11-28 10:56:00,51.38,51.39,51.38,51.39,200
2014-11-28 10:55:00,51.37,51.38,51.32,51.38,800
2014-11-28 10:53:00,51.48,51.495,51.48,51.495,500
2014-11-28 10:52:00,51.52,51.52,51.48,51.5,300
2014-11-28 10:51:00,51.53,51.54,51.52,51.52,300
2014-11-28 10:49:00,51.64,51.65,51.58,51.58,1000
2014-11-28 10:48:00,51.65,51.67,51.65,51.67,700
2014-11-28 10:47:00,51.655,51.655,51.655,51.655,100
2014-11-28 10:46:00,51.66,51.66,51.66,51.66,100
2014-11-28 10:45:00,51.675,51.675,51.675,51.675,200
2014-11-28 10:44:00,51.675,51.675,51.675,51.675,200
2014-11-28 10:43:00,51.72,51.73,51.66,51.66,900
2014-11-28 10:42:00,51.71,51.71,51.71,51.71,500
2014-11-28 10:41:00,51.66,51.69,51.66,51.69,400
2014-11-28 10:40:00,51.63,51.65,51.63,51.63,800
2014-11-28 10:39:00,51.64,51.64,51.61,51.613,400
2014-11-28 10:38:00,51.64,51.64,51.6,51.6,300
2014-11-28 10:37:00,51.74,51.75,51.71,51.71,1761
2014-11-28 10:36:00,51.75,51.75,51.75,51.75,200
2014-11-28 10:35:00,51.68,51.71,51.67,51.71,700
2014-11-28 10:34:00,51.67,51.67,51.65,51.65,500
2014-11-28 10:33:00,51.61,51.67,51.61,51.67,1100
2014-11-28 10:32:00,51.59,51.63,51.585,51.61,5832
2014-11-28 10:31:00,51.53,51.6,51.53,51.56,8561
2014-11-28 10:30:00,51.55,51.58,51.52,51.53,6024
2014-11-28 10:29:00,51.52,51.55,51.47,51.52,8704
2014-11-28 10:28:00,51.57,51.575,51.5,51.53,1200
2014-11-28 10:26:00,51.6,51.6,51.54,51.55,900
2014-11-28 10:25:00,51.52,51.55,51.52,51.55,700
2014-11-28 10:24:00,51.5,51.5,51.5,51.5,100
2014-11-28 10:23:00,51.51,51.51,51.51,51.51,300
2014-11-28 10:22:00,51.49,51.514,51.49,51.514,1499
2014-11-28 10:21:00,51.43,51.48,51.43,51.48,800
2014-11-28 10:20:00,51.43,51.43,51.43,51.43,700
2014-11-28 10:18:00,51.47,51.48,51.45,51.45,644
2014-11-28 10:17:00,51.49,51.49,51.49,51.49,200
2014-11-28 10:16:00,51.45,51.48,51.45,51.48,1200
2014-11-28 10:15:00,51.39,51.41,51.39,51.41,800
2014-11-28 10:14:00,51.425,51.425,51.37,51.38,1400
2014-11-28 10:13:00,51.43,51.44,51.43,51.43,700
2014-11-28 10:12:00,51.44,51.465,51.43,51.45,1800
2014-11-28 10:11:00,51.41,51.41,51.41,51.41,100
2014-11-28 10:10:00,51.45,51.45,51.4,51.4,2793
2014-11-28 10:09:00,51.36,51.41,51.36,51.41,800
2014-11-28 10:08:00,51.35,51.365,51.35,51.35,677
2014-11-28 10:07:00,51.34,51.38,51.34,51.38,600
2014-11-28 10:06:00,51.37,51.37,51.33,51.33,900
2014-11-28 10:05:00,51.38,51.38,51.34,51.35,1500
2014-11-28 10:04:00,51.373,51.38,51.373,51.38,800
2014-11-28 10:03:00,51.33,51.38,51.33,51.38,400
2014-11-28 10:02:00,51.312,51.37,51.312,51.37,800
2014-11-28 10:01:00,51.347,51.347,51.3,51.3,800
2014-11-28 10:00:00,51.42,51.42,51.31,51.31,1400
2014-11-28 09:59:00,51.43,51.45,51.43,51.45,400
2014-11-28 09:58:00,51.41,51.45,51.41,51.45,500
2014-11-28 09:57:00,51.4,51.4,51.4,51.4,700
2014-11-28 09:56:00,51.4,51.4,51.35,51.35,700
2014-11-28 09:55:00,51.33,51.4,51.3,51.4,1400
2014-11-28 09:54:00,51.31,51.36,51.303,51.36,1200
2014-11-28 09:53:00,51.29,51.31,51.28,51.31,900
2014-11-28 09:52:00,51.333,51.333,51.29,51.29,700
2014-11-28 09:51:00,51.38,51.41,51.34,51.35,1103
2014-11-28 09:50:00,51.38,51.41,51.37,51.41,600
2014-11-28 09:48:00,51.395,51.395,51.37,51.37,500
2014-11-28 09:47:00,51.36,51.42,51.36,51.42,1000
2014-11-28 09:46:00,51.43,51.45,51.41,51.41,1800
2014-11-28 09:45:00,51.37,51.41,51.37,51.41,800
2014-11-28 09:44:00,51.304,51.34,51.304,51.34,1400
2014-11-28 09:42:00,51.28,51.28,51.28,51.28,100
2014-11-28 09:41:00,51.24,51.29,51.24,51.29,600
2014-11-28 09:40:00,51.225,51.26,51.225,51.25,400
2014-11-28 09:38:00,51.21,51.21,51.21,51.21,100
2014-11-28 09:37:00,51.21,51.25,51.21,51.25,200
2014-11-28 09:36:00,51.15,51.34,51.14,51.15,3200
2014-11-28 09:35:00,51.18,51.18,50.99,51.08,4394
2014-11-28 09:33:00,50.94,51.3,50.94,51.18,3169
2014-11-28 09:32:00,50.85,50.95,50.83,50.86,3000
2014-11-28 09:30:00,51.07,51.07,51.07,51.07,3085
2014-11-26 15:59:00,50.97,50.97,50.87,50.9,10774
2014-11-26 15:58:00,50.95,50.96,50.95,50.96,700
2014-11-26 15:57:00,50.91,50.96,50.91,50.96,1800
2014-11-26 15:56:00,50.92,50.925,50.91,50.91,1900
2014-11-26 15:55:00,50.93,50.94,50.93,50.93,2200
2014-11-26 15:54:00,50.94,50.94,50.93,50.93,810
2014-11-26 15:53:00,50.93,50.94,50.925,50.935,1000
2014-11-26 15:52:00,50.91,50.93,50.91,50.93,1900
2014-11-26 15:51:00,50.95,50.95,50.92,50.92,2300
2014-11-26 15:50:00,50.89,50.94,50.89,50.94,1800
2014-11-26 15:49:00,50.89,50.89,50.87,50.87,600
2014-11-26 15:48:00,50.89,50.89,50.89,50.89,100
2014-11-26 15:47:00,50.96,50.96,50.9,50.91,2306
2014-11-26 15:46:00,50.94,50.95,50.93,50.95,1200
2014-11-26 15:45:00,50.91,50.94,50.91,50.91,1295
2014-11-26 15:44:00,50.93,50.93,50.92,50.92,700
2014-11-26 15:43:00,50.94,50.945,50.94,50.943,934
