,1. open,2. high,3. low,4. close,5. volume
2013-12-31 15:59:00,24.275,24.368,24.205,24.301,774445
2013-12-31 15:58:00,24.286,24.368,24.213,24.304,118443
2013-12-31 15:57:00,24.314,24.399,24.228,24.316,203883
2013-12-31 15:56:00,24.317,24.399,24.259,24.351,56222
2013-12-31 15:55:00,24.314,24.399,24.259,24.351,82268
2013-12-31 15:54:00,24.317,24.399,24.259,24.351,47510
2013-12-31 15:53:00,24.317,24.399,24.259,24.351,46597
2013-12-31 15:52:00,24.317,24.399,24.259,24.351,39056
2013-12-31 15:51:00,24.321,24.399,24.259,24.355,43266
2013-12-31 15:50:00,24.31,24.399,24.251,24.351,65241
2013-12-31 15:49:00,24.306,24.392,24.251,24.347,27682
2013-12-31 15:48:00,24.321,24.399,24.251,24.339,36963
2013-12-31 15:47:00,24.298,24.415,24.236,24.355,164426
2013-12-31 15:46:00,24.267,24.376,24.205,24.332,89309
2013-12-31 15:45:00,24.256,24.345,24.197,24.301,95858
2013-12-31 15:44:00,24.252,24.337,24.197,24.293,10562
2013-12-31 15:43:00,24.263,24.345,24.197,24.285,31733
2013-12-31 15:42:00,24.252,24.345,24.197,24.301,30103
2013-12-31 15:41:00,24.244,24.333,24.182,24.285,32598
2013-12-31 15:40:00,24.252,24.329,24.182,24.277,56879
2013-12-31 15:39:00,24.267,24.345,24.197,24.285,28847
2013-12-31 15:38:00,24.256,24.345,24.197,24.301,52765
2013-12-31 15:37:00,24.252,24.337,24.197,24.285,10400
2013-12-31 15:36:00,24.252,24.337,24.197,24.285,14120
2013-12-31 15:35:00,24.259,24.341,24.197,24.285,28406
2013-12-31 15:34:00,24.275,24.357,24.205,24.293,24050
2013-12-31 15:33:00,24.283,24.361,24.22,24.312,11747
2013-12-31 15:32:00,24.275,24.361,24.22,24.316,4800
2013-12-31 15:31:00,24.283,24.361,24.22,24.312,16317
2013-12-31 15:30:00,24.267,24.361,24.205,24.316,29556
2013-12-31 15:29:00,24.263,24.345,24.205,24.293,7350
2013-12-31 15:28:00,24.267,24.353,24.205,24.293,14658
2013-12-31 15:27:00,24.267,24.353,24.213,24.304,2600
2013-12-31 15:26:00,24.267,24.353,24.213,24.304,4892
2013-12-31 15:25:00,24.271,24.353,24.213,24.301,6900
2013-12-31 15:24:00,24.263,24.353,24.209,24.308,26160
2013-12-31 15:23:00,24.267,24.345,24.205,24.301,8300
2013-12-31 15:22:00,24.267,24.345,24.205,24.293,5150
2013-12-31 15:21:00,24.259,24.345,24.205,24.297,10331
2013-12-31 15:20:00,24.267,24.345,24.209,24.301,4647
2013-12-31 15:19:00,24.267,24.345,24.205,24.3,6141
2013-12-31 15:18:00,24.256,24.341,24.197,24.295,45905
2013-12-31 15:17:00,24.252,24.333,24.197,24.285,2000
2013-12-31 15:16:00,24.252,24.337,24.197,24.285,7033
2013-12-31 15:15:00,24.252,24.337,24.197,24.285,2000
2013-12-31 15:14:00,24.252,24.337,24.197,24.285,6131
