,1. open,2. high,3. low,4. close,5. volume
2021-12-31 15:59:00,142.304,142.471,142.089,142.301,17509
2021-12-31 15:58:00,142.378,142.541,142.108,142.343,8787
2021-12-31 15:57:00,142.434,142.582,142.209,142.45,6776
2021-12-31 15:56:00,142.388,142.675,142.2,142.459,6681
2021-12-31 15:55:00,142.485,142.684,142.256,142.463,4546
2021-12-31 15:54:00,142.545,142.694,142.265,142.514,3943
2021-12-31 15:53:00,142.508,142.675,142.256,142.57,2316
2021-12-31 15:52:00,142.443,142.666,142.265,142.561,2460
2021-12-31 15:51:00,142.49,142.666,142.256,142.459,3168
2021-12-31 15:50:00,142.61,143.037,142.293,142.524,4452
2021-12-31 15:49:00,142.703,142.87,142.45,142.672,1737
2021-12-31 15:48:00,142.749,142.907,142.552,142.797,2426
2021-12-31 15:47:00,142.73,142.879,142.533,142.755,1583
2021-12-31 15:46:00,142.675,142.963,142.515,142.857,820
2021-12-31 15:45:00,142.619,142.823,142.459,142.718,700
2021-12-31 15:44:00,142.508,142.749,142.312,142.644,1900
2021-12-31 15:43:00,142.536,142.684,142.351,142.555,320
2021-12-31 15:42:00,142.522,142.67,142.32,142.542,300
2021-12-31 15:41:00,142.568,142.731,142.376,142.579,300
2021-12-31 15:40:00,142.55,142.731,142.371,142.626,317
2021-12-31 15:39:00,142.49,142.708,142.33,142.561,711
2021-12-31 15:38:00,142.536,142.703,142.362,142.565,500
2021-12-31 15:37:00,142.413,142.647,142.242,142.542,1712
2021-12-31 15:36:00,142.402,142.55,142.242,142.445,300
2021-12-31 15:35:00,142.36,142.555,142.135,142.45,1312
2021-12-31 15:34:00,142.295,142.48,142.135,142.371,358
2021-12-31 15:33:00,142.314,142.462,142.08,142.311,1433
2021-12-31 15:32:00,142.281,142.49,142.117,142.385,881
2021-12-31 15:31:00,142.341,142.49,142.127,142.33,200
2021-12-31 15:30:00,142.499,142.647,142.182,142.403,2040
2021-12-31 15:29:00,142.601,142.749,142.339,142.542,1500
2021-12-31 15:28:00,142.536,142.749,142.376,142.579,400
2021-12-31 15:27:00,142.596,142.745,142.385,142.607,1037
2021-12-31 15:26:00,142.629,142.777,142.468,142.672,100
2021-12-31 15:25:00,142.619,142.777,142.459,142.672,200
2021-12-31 15:24:00,142.573,142.759,142.413,142.644,400
2021-12-31 15:23:00,142.573,142.768,142.413,142.635,600
2021-12-31 15:22:00,142.564,142.712,142.385,142.589,200
2021-12-31 15:21:00,142.503,142.74,142.344,142.635,600
2021-12-31 15:20:00,142.522,142.67,142.33,142.533,400
2021-12-31 15:19:00,142.564,142.712,142.404,142.607,100
2021-12-31 15:16:00,142.425,142.684,142.265,142.579,700
2021-12-31 15:15:00,142.406,142.555,142.228,142.436,1021
2021-12-31 15:14:00,142.48,142.629,142.279,142.482,200
2021-12-31 15:13:00,142.415,142.601,142.246,142.496,491
2021-12-31 15:12:00,142.476,142.624,142.316,142.519,100
2021-12-31 15:11:00,142.536,142.684,142.376,142.579,300
2021-12-31 15:10:00,142.443,142.592,142.265,142.468,200
2021-12-31 15:09:00,142.443,142.592,142.274,142.477,316
2021-12-31 15:08:00,142.462,142.647,142.293,142.538,1100
2021-12-31 15:07:00,142.554,142.703,142.394,142.598,100
2021-12-31 15:04:00,142.406,142.629,142.246,142.514,300
