,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,61.82,61.83,61.75,61.775,219205
2024-03-22 15:58:00,61.808,61.84,61.805,61.825,126712
2024-03-22 15:57:00,61.82,61.83,61.8,61.805,75042
2024-03-22 15:56:00,61.805,61.84,61.785,61.83,81063
2024-03-22 15:55:00,61.885,61.895,61.8,61.8,97866
2024-03-22 15:54:00,61.935,61.95,61.88,61.885,57128
2024-03-22 15:53:00,61.985,61.99,61.92,61.936,94305
2024-03-22 15:52:00,61.97,61.99,61.95,61.985,52337
2024-03-22 15:51:00,61.992,62.005,61.97,61.975,44881
2024-03-22 15:50:00,61.99,62.0,61.965,61.99,53107
2024-03-22 15:49:00,62.0,62.0,61.97,61.985,45999
2024-03-22 15:48:00,61.98,62.01,61.97,62.006,32899
2024-03-22 15:47:00,61.97,61.995,61.96,61.985,35495
2024-03-22 15:46:00,61.95,61.965,61.94,61.965,15091
2024-03-22 15:45:00,61.972,61.975,61.93,61.945,81115
2024-03-22 15:44:00,61.96,61.985,61.955,61.975,24242
2024-03-22 15:43:00,61.94,61.96,61.94,61.955,13518
2024-03-22 15:42:00,61.95,61.96,61.945,61.95,25665
2024-03-22 15:41:00,61.945,61.97,61.935,61.95,19156
2024-03-22 15:40:00,61.94,61.96,61.935,61.942,20024
2024-03-22 15:39:00,61.96,61.96,61.925,61.93,17992
2024-03-22 15:38:00,61.995,62.005,61.95,61.96,25142
2024-03-22 15:37:00,62.025,62.025,61.985,61.99,30138
2024-03-22 15:36:00,61.995,62.025,61.99,62.025,15888
2024-03-22 15:35:00,62.0,62.02,61.985,61.995,17101
2024-03-22 15:34:00,61.955,62.0,61.955,61.995,14608
2024-03-22 15:33:00,61.985,61.985,61.94,61.955,11233
2024-03-22 15:32:00,62.015,62.025,61.98,61.98,18119
2024-03-22 15:31:00,61.99,62.02,61.98,62.015,13416
2024-03-22 15:30:00,61.94,61.985,61.94,61.985,13792
2024-03-22 15:29:00,61.942,61.975,61.935,61.935,28172
2024-03-22 15:28:00,61.923,61.955,61.92,61.95,13103
2024-03-22 15:27:00,61.93,61.95,61.925,61.925,10750
2024-03-22 15:26:00,61.955,61.96,61.93,61.933,13934
2024-03-22 15:25:00,61.955,61.975,61.955,61.955,25058
2024-03-22 15:24:00,61.93,61.96,61.925,61.96,12762
2024-03-22 15:23:00,61.93,61.94,61.923,61.925,12093
2024-03-22 15:22:00,61.89,61.935,61.89,61.925,11291
2024-03-22 15:21:00,61.915,61.915,61.86,61.89,14646
2024-03-22 15:20:00,61.885,61.915,61.885,61.915,109396
2024-03-22 15:19:00,61.895,61.915,61.884,61.885,15360
2024-03-22 15:18:00,61.89,61.9,61.867,61.889,16137
2024-03-22 15:17:00,61.885,61.885,61.84,61.885,11577
2024-03-22 15:16:00,61.945,61.945,61.875,61.89,21933
2024-03-22 15:15:00,61.925,61.945,61.925,61.945,12798
2024-03-22 15:14:00,61.935,61.94,61.92,61.925,20097
2024-03-22 15:13:00,61.96,61.96,61.922,61.932,13511
2024-03-22 15:12:00,62.0,62.005,61.955,61.96,55393
2024-03-22 15:11:00,61.975,62.0,61.97,61.995,19584
2024-03-22 15:10:00,61.975,61.98,61.965,61.98,14316
2024-03-22 15:09:00,61.965,61.975,61.965,61.97,7122
2024-03-22 15:08:00,61.967,61.975,61.96,61.965,9062
2024-03-22 15:07:00,61.975,61.98,61.955,61.965,13617
2024-03-22 15:06:00,61.985,61.99,61.97,61.975,4970
2024-03-22 15:05:00,61.98,62.005,61.98,61.985,19066
2024-03-22 15:04:00,62.04,62.045,61.985,61.985,30213
2024-03-22 15:03:00,62.03,62.04,62.01,62.04,13072
2024-03-22 15:02:00,62.035,62.045,62.03,62.035,13080
2024-03-22 15:01:00,62.0,62.045,62.0,62.038,14557
2024-03-22 15:00:00,62.025,62.035,61.99,62.0,15442
2024-03-22 14:59:00,62.045,62.055,62.025,62.025,13697
2024-03-22 14:58:00,62.045,62.05,62.036,62.05,6430
2024-03-22 14:57:00,62.025,62.05,62.021,62.045,11633
2024-03-22 14:56:00,61.999,62.06,61.99,62.03,24572
2024-03-22 14:55:00,61.965,61.995,61.955,61.99,22847
2024-03-22 14:54:00,61.95,61.97,61.94,61.965,8601
2024-03-22 14:53:00,61.92,61.965,61.9,61.96,22281
2024-03-22 14:52:00,61.94,61.946,61.92,61.92,10004
2024-03-22 14:51:00,61.98,62.02,61.94,61.94,15473
2024-03-22 14:50:00,61.934,61.991,61.91,61.98,117886
2024-03-22 14:49:00,61.95,61.965,61.93,61.932,31648
2024-03-22 14:48:00,61.94,61.955,61.935,61.945,20166
2024-03-22 14:47:00,61.925,61.935,61.92,61.935,4103
2024-03-22 14:46:00,61.93,61.93,61.925,61.93,5264
2024-03-22 14:45:00,61.945,61.945,61.915,61.922,23483
2024-03-22 14:44:00,61.945,61.965,61.94,61.945,12576
2024-03-22 14:43:00,61.985,61.985,61.93,61.945,21986
2024-03-22 14:42:00,61.995,62.0,61.985,61.985,6173
2024-03-22 14:41:00,61.985,62.0,61.96,62.0,15686
2024-03-22 14:40:00,61.995,62.015,61.985,61.985,15387
2024-03-22 14:39:00,62.04,62.08,61.995,61.995,35520
2024-03-22 14:38:00,61.995,62.04,61.965,62.03,16471
2024-03-22 14:37:00,62.025,62.03,61.98,62.0,28052
2024-03-22 14:36:00,61.92,62.04,61.912,62.02,57803
2024-03-22 14:35:00,61.92,61.93,61.91,61.92,34926
2024-03-22 14:34:00,61.915,61.93,61.915,61.92,13719
2024-03-22 14:33:00,61.905,61.925,61.905,61.919,16165
2024-03-22 14:32:00,61.92,61.92,61.9,61.905,19406
2024-03-22 14:31:00,61.905,61.925,61.9,61.915,18057
2024-03-22 14:30:00,61.915,61.925,61.905,61.91,17438
2024-03-22 14:29:00,61.945,61.955,61.911,61.915,27272
2024-03-22 14:28:00,61.945,61.955,61.935,61.945,24701
2024-03-22 14:27:00,61.93,61.945,61.92,61.94,17390
2024-03-22 14:26:00,61.925,61.937,61.905,61.935,11604
2024-03-22 14:25:00,61.925,61.96,61.89,61.925,68084
2024-03-22 14:24:00,61.93,61.945,61.92,61.925,66588
2024-03-22 14:23:00,61.915,61.935,61.915,61.93,12829
2024-03-22 14:22:00,61.975,61.995,61.91,61.915,75497
2024-03-22 14:21:00,61.97,62.01,61.96,61.975,34144
2024-03-22 14:20:00,61.93,61.97,61.93,61.965,13163
2024-03-22 14:19:00,61.882,61.93,61.88,61.93,8950
2024-03-22 14:18:00,61.885,61.89,61.87,61.885,9430
2024-03-22 14:17:00,61.845,61.885,61.845,61.885,12491
2024-03-22 14:16:00,61.87,61.88,61.835,61.845,15408
2024-03-22 14:15:00,61.89,61.895,61.86,61.87,13961
2024-03-22 14:14:00,61.895,61.905,61.89,61.895,21827
2024-03-22 14:13:00,61.895,61.9,61.89,61.895,13230
2024-03-22 14:12:00,61.895,61.91,61.89,61.895,41792
2024-03-22 14:11:00,61.895,61.905,61.89,61.9,14927
2024-03-22 14:10:00,61.89,61.895,61.885,61.895,8570
2024-03-22 14:09:00,61.91,61.91,61.882,61.882,8649
2024-03-22 14:08:00,61.895,61.905,61.89,61.905,12000
2024-03-22 14:07:00,61.89,61.9,61.88,61.895,7237
2024-03-22 14:06:00,61.875,61.9,61.865,61.9,22464
2024-03-22 14:05:00,61.898,61.91,61.87,61.87,12052
2024-03-22 14:04:00,61.895,61.91,61.88,61.89,13430
2024-03-22 14:03:00,61.92,61.92,61.89,61.89,23702
