,1. open,2. high,3. low,4. close,5. volume
2013-12-31 15:59:00,18.399,18.477,18.344,18.427,172420
2013-12-31 15:58:00,18.375,18.461,18.328,18.411,107723
2013-12-31 15:57:00,18.407,18.469,18.328,18.387,288186
2013-12-31 15:56:00,18.407,18.469,18.352,18.419,47204
2013-12-31 15:55:00,18.399,18.469,18.352,18.419,66800
2013-12-31 15:54:00,18.407,18.469,18.352,18.411,42702
2013-12-31 15:53:00,18.407,18.469,18.352,18.419,36107
2013-12-31 15:52:00,18.415,18.477,18.352,18.415,95171
2013-12-31 15:51:00,18.411,18.477,18.36,18.419,22791
2013-12-31 15:50:00,18.407,18.477,18.352,18.419,37321
2013-12-31 15:49:00,18.407,18.477,18.352,18.419,65237
2013-12-31 15:48:00,18.407,18.469,18.352,18.419,24853
2013-12-31 15:47:00,18.391,18.469,18.336,18.411,55703
2013-12-31 15:46:00,18.391,18.453,18.336,18.403,21599
2013-12-31 15:45:00,18.375,18.453,18.328,18.403,92191
2013-12-31 15:44:00,18.367,18.437,18.32,18.379,28590
2013-12-31 15:43:00,18.367,18.429,18.312,18.374,40137
2013-12-31 15:42:00,18.367,18.445,18.32,18.379,132770
2013-12-31 15:41:00,18.367,18.429,18.313,18.378,36932
2013-12-31 15:40:00,18.363,18.429,18.312,18.379,14031
2013-12-31 15:39:00,18.359,18.429,18.304,18.372,32999
2013-12-31 15:38:00,18.343,18.421,18.288,18.371,75657
2013-12-31 15:37:00,18.343,18.405,18.288,18.355,28012
2013-12-31 15:36:00,18.343,18.405,18.288,18.355,15364
2013-12-31 15:35:00,18.339,18.405,18.288,18.355,10375
2013-12-31 15:34:00,18.343,18.405,18.288,18.355,10150
2013-12-31 15:33:00,18.343,18.405,18.288,18.351,53496
2013-12-31 15:32:00,18.339,18.405,18.288,18.351,10478
2013-12-31 15:31:00,18.343,18.413,18.288,18.347,51498
2013-12-31 15:30:00,18.343,18.405,18.288,18.355,13361
2013-12-31 15:29:00,18.335,18.405,18.281,18.355,19243
2013-12-31 15:28:00,18.319,18.397,18.268,18.347,54039
2013-12-31 15:27:00,18.319,18.38,18.264,18.327,115479
2013-12-31 15:26:00,18.313,18.38,18.264,18.327,8338
