,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,27.08,27.11,27.07,27.1,215429
2024-03-22 15:58:00,27.085,27.09,27.08,27.085,34093
2024-03-22 15:57:00,27.085,27.09,27.08,27.085,39425
2024-03-22 15:56:00,27.065,27.09,27.065,27.085,42832
2024-03-22 15:55:00,27.09,27.095,27.065,27.065,40830
2024-03-22 15:54:00,27.09,27.1,27.085,27.09,12596
2024-03-22 15:53:00,27.08,27.09,27.08,27.09,18514
2024-03-22 15:52:00,27.085,27.085,27.075,27.08,24432
2024-03-22 15:51:00,27.075,27.09,27.075,27.08,27131
2024-03-22 15:50:00,27.06,27.08,27.05,27.08,45455
2024-03-22 15:49:00,27.045,27.06,27.045,27.06,15521
2024-03-22 15:48:00,27.05,27.05,27.04,27.045,10814
2024-03-22 15:47:00,27.035,27.045,27.035,27.04,22993
2024-03-22 15:46:00,27.02,27.03,27.02,27.03,8983
2024-03-22 15:45:00,27.015,27.02,27.015,27.019,5259
2024-03-22 15:44:00,27.005,27.02,27.0,27.015,12937
2024-03-22 15:43:00,27.005,27.01,27.005,27.005,1633
2024-03-22 15:42:00,27.015,27.015,27.005,27.005,3653
2024-03-22 15:41:00,27.0,27.015,27.0,27.015,9771
2024-03-22 15:40:00,27.0,27.01,26.995,27.005,7310
2024-03-22 15:39:00,27.01,27.01,26.995,26.995,3234
2024-03-22 15:38:00,27.0,27.005,27.0,27.0,4193
2024-03-22 15:37:00,27.015,27.015,27.0,27.005,3903
2024-03-22 15:36:00,27.01,27.012,27.01,27.01,3085
2024-03-22 15:35:00,26.995,27.028,26.99,27.011,20255
2024-03-22 15:34:00,26.99,26.995,26.99,26.995,3409
2024-03-22 15:33:00,27.005,27.005,26.99,26.99,7808
2024-03-22 15:32:00,27.0,27.005,27.0,27.005,4936
2024-03-22 15:31:00,27.01,27.01,27.0,27.0,2147
2024-03-22 15:30:00,26.99,27.0,26.985,27.0,7686
2024-03-22 15:29:00,26.984,26.985,26.984,26.985,2252
2024-03-22 15:28:00,26.975,26.985,26.975,26.985,4580
2024-03-22 15:27:00,26.975,26.98,26.97,26.975,3357
2024-03-22 15:26:00,26.985,26.985,26.975,26.975,2773
2024-03-22 15:25:00,26.985,26.99,26.985,26.985,3150
2024-03-22 15:24:00,26.98,26.985,26.98,26.98,3037
2024-03-22 15:23:00,26.98,26.985,26.971,26.971,3474
2024-03-22 15:22:00,26.97,26.975,26.97,26.975,2162
2024-03-22 15:21:00,26.955,26.97,26.95,26.965,17197
2024-03-22 15:20:00,26.96,26.96,26.95,26.955,3074
2024-03-22 15:19:00,26.975,26.98,26.97,26.97,13191
2024-03-22 15:18:00,26.985,26.985,26.975,26.975,10032
2024-03-22 15:17:00,26.99,26.99,26.98,26.98,2457
2024-03-22 15:16:00,27.03,27.03,27.0,27.0,8650
2024-03-22 15:15:00,27.02,27.03,27.015,27.03,8033
2024-03-22 15:14:00,27.04,27.04,27.024,27.024,8746
2024-03-22 15:13:00,27.04,27.045,27.04,27.04,1870
2024-03-22 15:12:00,27.035,27.06,27.03,27.045,55389
2024-03-22 15:11:00,27.035,27.035,27.035,27.035,873
2024-03-22 15:10:00,27.03,27.035,27.03,27.035,454
2024-03-22 15:09:00,27.04,27.04,27.03,27.03,1263
2024-03-22 15:08:00,27.035,27.04,27.035,27.035,534
2024-03-22 15:06:00,27.03,27.03,27.03,27.03,593
2024-03-22 15:05:00,27.035,27.035,27.035,27.035,685
2024-03-22 15:04:00,27.03,27.04,27.03,27.035,1565
2024-03-22 15:03:00,27.035,27.035,27.03,27.035,608
2024-03-22 15:02:00,27.04,27.04,27.03,27.04,3799
2024-03-22 15:01:00,27.035,27.048,27.03,27.045,7826
2024-03-22 15:00:00,27.034,27.035,27.03,27.03,2732
2024-03-22 14:59:00,27.035,27.035,27.03,27.035,954
2024-03-22 14:58:00,27.03,27.03,27.03,27.03,392
2024-03-22 14:57:00,27.04,27.04,27.03,27.03,2188
2024-03-22 14:56:00,27.035,27.045,27.035,27.04,4229
2024-03-22 14:55:00,27.03,27.036,27.03,27.035,3275
2024-03-22 14:54:00,27.02,27.04,27.02,27.04,6551
2024-03-22 14:53:00,27.015,27.02,27.015,27.02,2031
2024-03-22 14:52:00,27.03,27.03,27.02,27.02,12129
2024-03-22 14:51:00,27.04,27.045,27.03,27.03,7113
2024-03-22 14:50:00,27.04,27.045,27.03,27.045,8384
2024-03-22 14:49:00,27.05,27.055,27.045,27.045,2375
2024-03-22 14:48:00,27.025,27.055,27.025,27.055,9550
2024-03-22 14:47:00,27.03,27.03,27.03,27.03,1093
2024-03-22 14:46:00,27.02,27.025,27.02,27.02,870
2024-03-22 14:45:00,27.025,27.025,27.025,27.025,733
2024-03-22 14:43:00,27.02,27.02,27.02,27.02,284
2024-03-22 14:42:00,27.03,27.03,27.025,27.025,2871
2024-03-22 14:41:00,27.03,27.03,27.03,27.03,1311
2024-03-22 14:40:00,27.037,27.037,27.03,27.03,279
2024-03-22 14:39:00,27.035,27.035,27.03,27.03,2969
2024-03-22 14:38:00,27.02,27.035,27.02,27.035,3324
2024-03-22 14:37:00,27.025,27.025,27.02,27.025,516
2024-03-22 14:36:00,27.022,27.03,27.02,27.025,5387
2024-03-22 14:35:00,27.02,27.03,27.02,27.02,2237
2024-03-22 14:34:00,27.03,27.03,27.025,27.025,4453
2024-03-22 14:33:00,27.025,27.035,27.025,27.03,7361
2024-03-22 14:32:00,27.04,27.04,27.026,27.026,6559
2024-03-22 14:31:00,27.035,27.04,27.03,27.04,7656
2024-03-22 14:30:00,27.04,27.04,27.035,27.035,4915
2024-03-22 14:29:00,27.04,27.04,27.04,27.04,380
2024-03-22 14:28:00,27.04,27.04,27.04,27.04,281
2024-03-22 14:27:00,27.05,27.05,27.043,27.05,758
2024-03-22 14:26:00,27.05,27.05,27.045,27.045,824
2024-03-22 14:25:00,27.055,27.055,27.05,27.05,2180
2024-03-22 14:24:00,27.06,27.06,27.06,27.06,452
2024-03-22 14:22:00,27.06,27.06,27.051,27.06,4284
2024-03-22 14:21:00,27.06,27.06,27.055,27.06,9602
2024-03-22 14:20:00,27.06,27.06,27.05,27.05,5789
2024-03-22 14:19:00,27.055,27.055,27.055,27.055,731
2024-03-22 14:18:00,27.05,27.055,27.05,27.055,779
2024-03-22 14:17:00,27.055,27.055,27.055,27.055,499
2024-03-22 14:16:00,27.055,27.055,27.055,27.055,536
2024-03-22 14:15:00,27.055,27.055,27.05,27.055,1075
2024-03-22 14:14:00,27.055,27.055,27.05,27.05,879
2024-03-22 14:13:00,27.05,27.056,27.05,27.056,360
2024-03-22 14:12:00,27.05,27.05,27.05,27.05,274
2024-03-22 14:11:00,27.06,27.06,27.06,27.06,911
2024-03-22 14:10:00,27.065,27.065,27.055,27.055,2560
2024-03-22 14:09:00,27.075,27.08,27.06,27.07,4343
2024-03-22 14:08:00,27.05,27.07,27.05,27.07,11828
2024-03-22 14:07:00,27.055,27.055,27.05,27.05,1669
2024-03-22 14:06:00,27.06,27.06,27.055,27.06,3251
2024-03-22 14:05:00,27.07,27.07,27.06,27.06,1200
2024-03-22 14:04:00,27.07,27.07,27.06,27.06,1254
2024-03-22 14:03:00,27.075,27.075,27.065,27.065,4700
2024-03-22 14:02:00,27.095,27.095,27.08,27.08,15799
2024-03-22 14:01:00,27.1,27.1,27.095,27.1,14903
2024-03-22 14:00:00,27.085,27.1,27.085,27.1,20176
