,1. open,2. high,3. low,4. close,5. volume
2023-09-29 15:59:00,436.838,436.997,436.585,436.69,39872
2023-09-29 15:58:00,436.947,437.086,436.773,436.819,13619
2023-09-29 15:57:00,436.759,437.047,436.634,437.008,20670
2023-09-29 15:56:00,436.918,436.967,436.55,436.7,19305
2023-09-29 15:55:00,437.89,437.92,436.803,436.998,13655
2023-09-29 15:54:00,438.465,438.495,437.89,437.95,6727
2023-09-29 15:53:00,438.802,438.832,438.251,438.297,4809
2023-09-29 15:52:00,438.614,439.011,438.608,438.922,9833
2023-09-29 15:51:00,438.435,438.624,438.281,438.585,12682
2023-09-29 15:50:00,438.455,438.535,438.132,438.436,11856
2023-09-29 15:49:00,438.237,438.406,438.232,438.377,3481
2023-09-29 15:48:00,438.376,438.565,438.083,438.233,7719
2023-09-29 15:47:00,438.108,438.396,438.093,438.386,5092
2023-09-29 15:46:00,437.86,438.098,437.855,438.089,3478
2023-09-29 15:45:00,437.632,437.791,437.626,437.697,1749
2023-09-29 15:44:00,437.607,437.682,437.547,437.672,838
2023-09-29 15:43:00,437.592,437.731,437.418,437.642,5212
2023-09-29 15:42:00,437.538,437.568,437.431,437.457,1338
2023-09-29 15:41:00,438.247,438.277,437.646,437.672,5618
2023-09-29 15:40:00,438.167,438.207,438.162,438.198,1557
2023-09-29 15:39:00,438.053,438.217,438.048,438.178,2286
2023-09-29 15:38:00,438.182,438.212,438.003,438.029,2152
2023-09-29 15:37:00,437.959,438.128,437.909,438.049,2656
2023-09-29 15:36:00,437.88,437.93,437.865,437.89,1122
2023-09-29 15:35:00,437.642,437.85,437.587,437.821,4054
2023-09-29 15:34:00,437.82,437.85,437.696,437.786,999
2023-09-29 15:33:00,437.875,437.905,437.8,437.826,618
2023-09-29 15:32:00,437.959,437.989,437.815,437.91,2809
2023-09-29 15:31:00,438.118,438.158,437.959,438.049,1466
2023-09-29 15:30:00,438.425,438.485,438.152,438.178,4061
2023-09-29 15:29:00,438.45,438.485,438.351,438.377,1074
2023-09-29 15:28:00,438.248,438.515,438.242,438.476,3313
2023-09-29 15:27:00,438.386,438.416,438.271,438.297,941
2023-09-29 15:26:00,438.257,438.361,438.172,438.302,2111
2023-09-29 15:25:00,438.306,438.431,438.232,438.258,1585
