,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,104.785,104.79,104.69,104.7,36355
2024-03-22 15:58:00,104.785,104.799,104.76,104.78,15772
2024-03-22 15:57:00,104.8,104.805,104.78,104.785,10871
2024-03-22 15:56:00,104.81,104.83,104.79,104.8,13103
2024-03-22 15:55:00,104.76,104.84,104.76,104.815,12504
2024-03-22 15:54:00,104.8,104.829,104.74,104.74,14254
2024-03-22 15:53:00,104.835,104.839,104.8,104.809,6314
2024-03-22 15:52:00,104.789,104.84,104.77,104.83,8112
2024-03-22 15:51:00,104.72,104.815,104.72,104.78,4448
2024-03-22 15:50:00,104.79,104.81,104.705,104.73,8771
2024-03-22 15:49:00,104.78,104.799,104.765,104.79,4866
2024-03-22 15:48:00,104.765,104.8,104.755,104.765,4127
2024-03-22 15:47:00,104.86,104.86,104.765,104.765,8966
2024-03-22 15:46:00,104.81,104.87,104.81,104.86,8836
2024-03-22 15:45:00,104.73,104.807,104.725,104.805,7233
2024-03-22 15:44:00,104.71,104.73,104.7,104.725,3524
2024-03-22 15:43:00,104.71,104.72,104.7,104.7,1676
2024-03-22 15:42:00,104.63,104.709,104.63,104.709,5939
2024-03-22 15:41:00,104.62,104.645,104.62,104.645,3777
2024-03-22 15:40:00,104.65,104.65,104.61,104.61,2443
2024-03-22 15:39:00,104.619,104.659,104.615,104.65,4898
2024-03-22 15:38:00,104.61,104.62,104.61,104.62,508
2024-03-22 15:37:00,104.58,104.62,104.58,104.61,3541
2024-03-22 15:36:00,104.54,104.58,104.54,104.58,2468
2024-03-22 15:35:00,104.55,104.58,104.54,104.555,3326
2024-03-22 15:34:00,104.56,104.57,104.545,104.558,2981
2024-03-22 15:33:00,104.5,104.55,104.5,104.54,8438
2024-03-22 15:32:00,104.49,104.51,104.49,104.51,810
2024-03-22 15:31:00,104.52,104.53,104.505,104.505,3105
2024-03-22 15:30:00,104.548,104.548,104.53,104.53,1232
2024-03-22 15:29:00,104.55,104.55,104.54,104.548,1499
2024-03-22 15:28:00,104.56,104.56,104.54,104.54,2264
2024-03-22 15:27:00,104.57,104.579,104.57,104.571,1563
2024-03-22 15:26:00,104.555,104.555,104.54,104.555,739
2024-03-22 15:25:00,104.55,104.577,104.53,104.55,2253
2024-03-22 15:24:00,104.53,104.55,104.527,104.54,1751
2024-03-22 15:23:00,104.515,104.525,104.515,104.525,1181
2024-03-22 15:22:00,104.54,104.54,104.52,104.525,3576
2024-03-22 15:21:00,104.539,104.57,104.52,104.565,3159
2024-03-22 15:20:00,104.505,104.53,104.497,104.53,3878
2024-03-22 15:19:00,104.48,104.505,104.48,104.505,452
2024-03-22 15:18:00,104.49,104.49,104.48,104.48,753
2024-03-22 15:17:00,104.44,104.47,104.42,104.47,1469
2024-03-22 15:16:00,104.4,104.43,104.4,104.43,4437
2024-03-22 15:15:00,104.4,104.41,104.4,104.41,1037
2024-03-22 15:14:00,104.355,104.39,104.355,104.385,2369
2024-03-22 15:13:00,104.35,104.36,104.32,104.36,2130
2024-03-22 15:12:00,104.37,104.37,104.32,104.36,5439
2024-03-22 15:11:00,104.43,104.43,104.39,104.39,960
2024-03-22 15:10:00,104.46,104.46,104.44,104.44,2171
2024-03-22 15:09:00,104.47,104.47,104.47,104.47,756
2024-03-22 15:08:00,104.46,104.5,104.46,104.47,1309
