,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,441.17,441.23,440.76,441.07,12854
2024-03-22 15:58:00,441.11,441.22,441.11,441.22,4164
2024-03-22 15:57:00,440.998,441.15,440.93,441.06,5896
2024-03-22 15:56:00,440.822,441.21,440.822,441.11,5031
2024-03-22 15:55:00,441.06,441.31,440.85,440.85,6191
2024-03-22 15:54:00,440.775,441.06,440.775,440.99,4394
2024-03-22 15:53:00,440.83,441.0,440.795,440.795,1370
2024-03-22 15:52:00,440.6,440.81,440.6,440.765,5282
2024-03-22 15:51:00,440.47,440.71,440.47,440.595,1480
2024-03-22 15:50:00,440.56,440.915,440.455,440.455,3118
2024-03-22 15:49:00,440.275,440.46,440.275,440.46,439
2024-03-22 15:48:00,440.22,440.47,440.22,440.47,1892
2024-03-22 15:47:00,440.095,440.22,440.015,440.18,2001
2024-03-22 15:46:00,440.255,440.255,440.245,440.245,438
2024-03-22 15:44:00,440.25,440.44,440.19,440.3,2692
2024-03-22 15:42:00,440.11,440.12,439.9,440.12,3255
2024-03-22 15:40:00,440.235,440.24,440.08,440.08,397
2024-03-22 15:38:00,440.405,440.405,440.405,440.405,452
2024-03-22 15:36:00,440.3,440.34,440.3,440.33,1409
2024-03-22 15:35:00,440.085,440.085,440.085,440.085,162
2024-03-22 15:34:00,440.3,440.365,440.28,440.365,804
2024-03-22 15:33:00,439.97,440.22,439.97,440.22,2157
2024-03-22 15:31:00,440.19,440.21,440.18,440.21,1601
2024-03-22 15:30:00,440.19,440.62,440.19,440.62,1310
2024-03-22 15:28:00,440.38,440.38,440.38,440.38,266
2024-03-22 15:27:00,439.75,440.35,439.75,440.12,1343
2024-03-22 15:25:00,439.51,439.865,439.51,439.635,1234
2024-03-22 15:24:00,438.51,439.14,438.39,439.14,5220
2024-03-22 15:23:00,438.7,438.7,438.7,438.7,932
2024-03-22 15:22:00,438.44,438.44,438.44,438.44,444
2024-03-22 15:21:00,438.6,438.61,438.6,438.6,698
2024-03-22 15:20:00,438.835,438.99,438.64,438.99,671
2024-03-22 15:19:00,438.68,438.955,438.68,438.955,996
2024-03-22 15:18:00,438.62,438.675,438.62,438.675,661
2024-03-22 15:17:00,438.695,438.7,438.62,438.62,1977
2024-03-22 15:16:00,439.075,439.075,438.65,438.65,1259
