,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,99.505,99.51,99.32,99.32,65554
2024-03-22 15:58:00,99.499,99.525,99.495,99.505,22367
2024-03-22 15:57:00,99.52,99.52,99.49,99.495,10506
2024-03-22 15:56:00,99.48,99.54,99.475,99.52,12596
2024-03-22 15:55:00,99.54,99.56,99.47,99.48,14206
2024-03-22 15:54:00,99.53,99.545,99.51,99.535,8566
2024-03-22 15:53:00,99.53,99.54,99.52,99.525,5602
2024-03-22 15:52:00,99.51,99.53,99.51,99.53,6039
2024-03-22 15:51:00,99.47,99.54,99.47,99.51,5736
2024-03-22 15:50:00,99.46,99.49,99.43,99.46,9345
2024-03-22 15:49:00,99.435,99.46,99.435,99.46,3528
2024-03-22 15:48:00,99.43,99.44,99.42,99.43,1671
2024-03-22 15:47:00,99.46,99.465,99.44,99.44,4812
2024-03-22 15:46:00,99.42,99.45,99.415,99.45,5123
2024-03-22 15:45:00,99.43,99.435,99.41,99.415,6557
2024-03-22 15:44:00,99.43,99.45,99.43,99.44,4385
2024-03-22 15:43:00,99.41,99.42,99.405,99.42,4854
2024-03-22 15:42:00,99.4,99.405,99.395,99.405,6710
2024-03-22 15:41:00,99.43,99.43,99.405,99.405,2663
2024-03-22 15:40:00,99.45,99.45,99.43,99.43,2790
2024-03-22 15:39:00,99.46,99.46,99.45,99.45,2565
2024-03-22 15:38:00,99.45,99.46,99.43,99.45,2906
2024-03-22 15:37:00,99.44,99.455,99.43,99.45,2834
2024-03-22 15:36:00,99.42,99.44,99.42,99.44,7196
2024-03-22 15:35:00,99.465,99.475,99.41,99.415,6253
2024-03-22 15:34:00,99.49,99.49,99.465,99.465,1923
2024-03-22 15:33:00,99.51,99.51,99.48,99.48,3071
2024-03-22 15:32:00,99.5,99.51,99.5,99.5,1578
2024-03-22 15:31:00,99.51,99.51,99.49,99.5,3462
2024-03-22 15:30:00,99.51,99.52,99.51,99.52,1786
2024-03-22 15:29:00,99.53,99.53,99.51,99.51,2263
