,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,27.39,27.39,27.36,27.36,585870
2024-03-22 15:58:00,27.39,27.39,27.38,27.385,184906
2024-03-22 15:57:00,27.4,27.405,27.38,27.385,223256
2024-03-22 15:56:00,27.39,27.4,27.38,27.397,355043
2024-03-22 15:55:00,27.385,27.39,27.37,27.385,226627
2024-03-22 15:54:00,27.395,27.4,27.38,27.385,213923
2024-03-22 15:53:00,27.385,27.4,27.38,27.4,132855
2024-03-22 15:52:00,27.385,27.39,27.38,27.39,53179
2024-03-22 15:51:00,27.385,27.39,27.38,27.386,82105
2024-03-22 15:50:00,27.4,27.4,27.384,27.39,98895
2024-03-22 15:49:00,27.38,27.4,27.38,27.4,75126
2024-03-22 15:48:00,27.385,27.39,27.38,27.386,61986
2024-03-22 15:47:00,27.365,27.39,27.36,27.385,124686
2024-03-22 15:46:00,27.37,27.37,27.36,27.365,51648
2024-03-22 15:45:00,27.345,27.365,27.345,27.365,186707
2024-03-22 15:44:00,27.355,27.36,27.34,27.345,109660
2024-03-22 15:43:00,27.361,27.367,27.35,27.355,87095
2024-03-22 15:42:00,27.365,27.37,27.36,27.36,45566
2024-03-22 15:41:00,27.362,27.37,27.36,27.365,33432
2024-03-22 15:40:00,27.36,27.37,27.36,27.364,43336
2024-03-22 15:39:00,27.365,27.37,27.36,27.364,112391
2024-03-22 15:38:00,27.36,27.37,27.36,27.365,33269
2024-03-22 15:37:00,27.365,27.37,27.36,27.37,36945
2024-03-22 15:36:00,27.35,27.366,27.35,27.364,85295
2024-03-22 15:35:00,27.38,27.39,27.35,27.355,149945
2024-03-22 15:34:00,27.385,27.39,27.38,27.385,57095
2024-03-22 15:33:00,27.395,27.396,27.38,27.38,46831
2024-03-22 15:32:00,27.395,27.4,27.38,27.395,148236
2024-03-22 15:31:00,27.395,27.41,27.39,27.394,71682
2024-03-22 15:30:00,27.395,27.405,27.39,27.4,60216
2024-03-22 15:29:00,27.402,27.406,27.39,27.39,34262
2024-03-22 15:28:00,27.395,27.41,27.39,27.405,41183
2024-03-22 15:27:00,27.395,27.4,27.39,27.395,12336
2024-03-22 15:26:00,27.395,27.4,27.39,27.395,19782
2024-03-22 15:25:00,27.4,27.41,27.39,27.395,58031
2024-03-22 15:24:00,27.4,27.415,27.39,27.4,65236
2024-03-22 15:23:00,27.395,27.4,27.39,27.393,15609
2024-03-22 15:22:00,27.39,27.4,27.38,27.4,62495
2024-03-22 15:21:00,27.39,27.39,27.38,27.38,25506
2024-03-22 15:20:00,27.372,27.39,27.373,27.39,33988
2024-03-22 15:19:00,27.37,27.38,27.37,27.38,29996
2024-03-22 15:18:00,27.375,27.38,27.37,27.375,25360
