,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,83.6,83.61,83.53,83.53,23673
2024-03-22 15:58:00,83.61,83.64,83.6,83.6,13620
2024-03-22 15:57:00,83.585,83.63,83.58,83.61,13473
2024-03-22 15:56:00,83.53,83.61,83.52,83.58,16973
2024-03-22 15:55:00,83.6,83.65,83.54,83.54,15510
2024-03-22 15:54:00,83.72,83.73,83.635,83.635,16596
2024-03-22 15:53:00,83.73,83.74,83.72,83.725,3196
2024-03-22 15:52:00,83.77,83.78,83.725,83.725,5966
2024-03-22 15:51:00,83.78,83.805,83.77,83.77,3461
2024-03-22 15:50:00,83.81,83.84,83.775,83.775,6493
2024-03-22 15:49:00,83.795,83.8,83.795,83.8,1762
2024-03-22 15:48:00,83.805,83.805,83.78,83.8,2534
2024-03-22 15:47:00,83.83,83.85,83.81,83.81,4283
2024-03-22 15:46:00,83.82,83.84,83.82,83.83,6608
2024-03-22 15:45:00,83.8,83.82,83.79,83.815,5949
2024-03-22 15:44:00,83.8,83.81,83.78,83.78,2455
2024-03-22 15:43:00,83.82,83.83,83.78,83.78,2071
2024-03-22 15:42:00,83.83,83.83,83.83,83.83,525
2024-03-22 15:41:00,83.83,83.84,83.825,83.83,4886
2024-03-22 15:40:00,83.85,83.85,83.835,83.835,7585
2024-03-22 15:39:00,83.845,83.845,83.84,83.84,1169
2024-03-22 15:38:00,83.77,83.85,83.77,83.85,5820
2024-03-22 15:37:00,83.77,83.78,83.77,83.77,1903
2024-03-22 15:36:00,83.78,83.8,83.78,83.78,3967
2024-03-22 15:35:00,83.84,83.84,83.77,83.78,2875
2024-03-22 15:34:00,83.85,83.85,83.84,83.84,1837
2024-03-22 15:33:00,83.91,83.91,83.89,83.89,1081
2024-03-22 15:32:00,83.96,83.96,83.92,83.92,9190
2024-03-22 15:31:00,83.94,83.97,83.94,83.965,3358
2024-03-22 15:30:00,83.92,83.94,83.92,83.93,2002
2024-03-22 15:29:00,83.91,83.92,83.91,83.92,1567
2024-03-22 15:28:00,83.92,83.92,83.915,83.915,2325
2024-03-22 15:27:00,83.91,83.92,83.91,83.915,1379
2024-03-22 15:26:00,83.91,83.91,83.91,83.91,846
2024-03-22 15:25:00,83.89,83.9,83.89,83.89,2017
2024-03-22 15:24:00,83.88,83.88,83.88,83.88,305
2024-03-22 15:22:00,83.845,83.88,83.831,83.88,4466
2024-03-22 15:21:00,83.82,83.83,83.82,83.83,3071
2024-03-22 15:20:00,83.79,83.82,83.79,83.82,744
2024-03-22 15:19:00,83.81,83.81,83.805,83.805,439
2024-03-22 15:18:00,83.81,83.81,83.805,83.805,956
2024-03-22 15:17:00,83.75,83.81,83.75,83.81,2510
2024-03-22 15:16:00,83.8,83.8,83.76,83.77,2989
2024-03-22 15:15:00,83.81,83.81,83.81,83.81,393
2024-03-22 15:14:00,83.82,83.82,83.81,83.81,777
2024-03-22 15:13:00,83.81,83.81,83.81,83.81,653
2024-03-22 15:12:00,83.86,83.86,83.8,83.82,2524
2024-03-22 15:11:00,83.89,83.891,83.86,83.88,5034
2024-03-22 15:10:00,83.9,83.905,83.9,83.905,1279
2024-03-22 15:09:00,83.92,83.92,83.91,83.91,998
2024-03-22 15:08:00,83.9,83.92,83.89,83.92,2981
2024-03-22 15:07:00,83.905,83.905,83.895,83.9,947
2024-03-22 15:06:00,83.92,83.92,83.91,83.91,1607
2024-03-22 15:05:00,83.92,83.92,83.92,83.92,658
2024-03-22 15:04:00,83.92,83.94,83.92,83.935,669
2024-03-22 15:02:00,83.975,83.975,83.935,83.945,1552
2024-03-22 15:01:00,83.96,83.96,83.96,83.96,402
2024-03-22 15:00:00,83.99,83.99,83.97,83.97,1920
2024-03-22 14:59:00,84.0,84.005,84.0,84.005,447
2024-03-22 14:58:00,84.0,84.01,84.0,84.005,1386
2024-03-22 14:57:00,84.01,84.01,84.01,84.01,745
2024-03-22 14:56:00,84.0,84.02,83.999,84.01,2274
2024-03-22 14:55:00,84.0,84.0,84.0,84.0,401
2024-03-22 14:54:00,83.99,84.0,83.99,83.995,1569
2024-03-22 14:53:00,83.985,83.985,83.985,83.985,356
2024-03-22 14:52:00,83.98,83.99,83.97,83.99,1631
2024-03-22 14:51:00,83.98,83.99,83.98,83.99,995
2024-03-22 14:50:00,83.99,83.995,83.98,83.98,910
2024-03-22 14:49:00,84.01,84.015,83.99,83.99,1112
2024-03-22 14:48:00,83.99,84.0,83.99,83.995,884
2024-03-22 14:47:00,83.98,83.995,83.98,83.995,1565
2024-03-22 14:45:00,83.98,83.98,83.98,83.98,970
2024-03-22 14:44:00,83.97,83.98,83.97,83.98,1477
2024-03-22 14:43:00,83.965,83.965,83.965,83.965,464
2024-03-22 14:42:00,83.97,83.975,83.97,83.97,1229
2024-03-22 14:41:00,84.015,84.015,83.965,83.965,896
2024-03-22 14:40:00,84.007,84.02,84.007,84.02,880
