,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,161.68,161.86,161.64,161.74,284998
2024-03-22 15:58:00,161.665,161.7,161.65,161.69,68209
2024-03-22 15:57:00,161.69,161.705,161.64,161.67,52263
2024-03-22 15:56:00,161.696,161.74,161.65,161.695,46601
2024-03-22 15:55:00,161.87,161.88,161.66,161.69,48704
2024-03-22 15:54:00,161.91,161.93,161.865,161.865,34176
2024-03-22 15:53:00,161.81,161.93,161.805,161.92,35797
2024-03-22 15:52:00,161.71,161.825,161.68,161.8,47805
2024-03-22 15:51:00,161.72,161.74,161.709,161.72,23474
2024-03-22 15:50:00,161.79,161.83,161.7,161.725,35840
2024-03-22 15:49:00,161.71,161.81,161.71,161.8,16463
2024-03-22 15:48:00,161.695,161.73,161.69,161.71,17336
2024-03-22 15:47:00,161.68,161.73,161.68,161.7,15041
2024-03-22 15:46:00,161.59,161.68,161.59,161.68,10961
2024-03-22 15:45:00,161.48,161.6,161.48,161.59,19515
2024-03-22 15:44:00,161.52,161.525,161.47,161.48,10490
2024-03-22 15:43:00,161.52,161.537,161.51,161.51,16920
2024-03-22 15:42:00,161.55,161.555,161.51,161.52,12824
2024-03-22 15:41:00,161.57,161.57,161.54,161.555,8236
2024-03-22 15:40:00,161.57,161.58,161.565,161.58,11676
2024-03-22 15:39:00,161.58,161.59,161.57,161.58,10969
2024-03-22 15:38:00,161.62,161.62,161.58,161.58,7630
2024-03-22 15:37:00,161.65,161.65,161.62,161.62,10702
2024-03-22 15:36:00,161.58,161.65,161.58,161.65,9413
2024-03-22 15:35:00,161.57,161.61,161.57,161.59,7627
2024-03-22 15:34:00,161.57,161.58,161.555,161.58,9411
2024-03-22 15:33:00,161.6,161.61,161.57,161.57,5338
2024-03-22 15:32:00,161.66,161.67,161.6,161.6,11807
2024-03-22 15:31:00,161.64,161.66,161.64,161.65,10629
2024-03-22 15:30:00,161.655,161.66,161.63,161.63,7853
2024-03-22 15:29:00,161.66,161.665,161.64,161.655,5186
2024-03-22 15:28:00,161.65,161.66,161.65,161.659,7430
2024-03-22 15:27:00,161.64,161.65,161.63,161.63,4662
2024-03-22 15:26:00,161.635,161.64,161.62,161.63,6675
2024-03-22 15:25:00,161.595,161.66,161.59,161.65,7880
2024-03-22 15:24:00,161.62,161.625,161.59,161.59,5494
2024-03-22 15:23:00,161.63,161.63,161.61,161.62,4486
2024-03-22 15:22:00,161.63,161.64,161.61,161.63,8026
2024-03-22 15:21:00,161.65,161.65,161.625,161.63,8026
2024-03-22 15:20:00,161.66,161.66,161.64,161.64,4836
2024-03-22 15:19:00,161.695,161.71,161.66,161.66,7491
2024-03-22 15:18:00,161.72,161.72,161.7,161.7,6879
2024-03-22 15:17:00,161.67,161.71,161.665,161.71,6246
2024-03-22 15:16:00,161.74,161.74,161.67,161.68,10194
