,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,555.54,555.54,554.67,555.08,18115
2024-03-22 15:58:00,556.04,556.07,555.54,555.54,7031
2024-03-22 15:57:00,555.98,556.06,555.98,556.04,3817
2024-03-22 15:56:00,555.85,556.21,555.79,556.21,3803
2024-03-22 15:55:00,556.6,556.69,556.05,556.06,3898
2024-03-22 15:54:00,556.62,556.62,556.62,556.62,3248
2024-03-22 15:53:00,556.465,556.755,556.27,556.755,7246
2024-03-22 15:52:00,556.285,556.385,556.285,556.38,1336
2024-03-22 15:51:00,556.1,556.275,556.1,556.21,2602
2024-03-22 15:50:00,556.265,556.265,555.89,555.89,5021
2024-03-22 15:49:00,555.935,556.3,555.935,556.3,2932
2024-03-22 15:47:00,556.005,556.005,555.77,555.77,1542
2024-03-22 15:46:00,555.7,556.005,555.7,556.005,4150
2024-03-22 15:45:00,555.74,555.74,555.685,555.685,901
2024-03-22 15:44:00,555.7,555.75,555.64,555.74,2084
2024-03-22 15:43:00,555.64,555.64,555.64,555.64,162
2024-03-22 15:42:00,555.64,555.64,555.64,555.64,298
2024-03-22 15:41:00,555.65,555.65,555.47,555.62,3038
2024-03-22 15:40:00,555.885,555.885,555.64,555.665,4328
2024-03-22 15:39:00,555.805,555.805,555.75,555.75,567
2024-03-22 15:38:00,555.82,555.986,555.82,555.986,833
2024-03-22 15:37:00,555.79,555.79,555.62,555.79,654
2024-03-22 15:36:00,555.43,555.795,555.43,555.73,1944
2024-03-22 15:35:00,555.29,555.42,555.05,555.37,4337
2024-03-22 15:34:00,555.262,555.263,555.262,555.263,256
2024-03-22 15:33:00,555.265,555.265,555.26,555.26,832
2024-03-22 15:32:00,555.37,555.37,555.24,555.288,1093
2024-03-22 15:31:00,555.57,555.57,555.55,555.55,781
2024-03-22 15:30:00,555.72,555.72,555.72,555.72,464
2024-03-22 15:29:00,555.9,555.9,555.9,555.9,244
2024-03-22 15:27:00,555.93,556.145,555.88,555.88,3642
2024-03-22 15:25:00,555.53,555.63,555.53,555.63,1049
2024-03-22 15:24:00,555.32,555.477,555.32,555.478,355
2024-03-22 15:23:00,555.51,555.51,555.51,555.51,261
2024-03-22 15:22:00,555.22,555.37,555.22,555.37,1026
2024-03-22 15:20:00,555.07,555.07,555.07,555.07,310
2024-03-22 15:19:00,555.05,555.05,555.05,555.05,232
2024-03-22 15:17:00,554.66,554.95,554.66,554.95,1974
2024-03-22 15:16:00,555.16,555.16,555.01,555.01,1195
2024-03-22 15:14:00,555.402,555.402,555.402,555.402,234
2024-03-22 15:13:00,555.24,555.24,555.24,555.24,222
2024-03-22 15:12:00,555.8,555.8,555.69,555.69,1218
2024-03-22 15:11:00,555.99,555.99,555.96,555.96,1092
2024-03-22 15:10:00,556.27,556.35,556.135,556.135,1232
2024-03-22 15:09:00,556.12,556.12,556.12,556.12,254
2024-03-22 15:08:00,556.27,556.27,556.125,556.125,541
2024-03-22 15:06:00,556.32,556.32,556.155,556.155,835
2024-03-22 15:04:00,556.495,556.495,556.435,556.435,607
2024-03-22 15:03:00,556.52,556.52,556.52,556.52,849
2024-03-22 15:01:00,556.67,556.67,556.67,556.67,1054
2024-03-22 15:00:00,556.4,556.4,556.4,556.4,385
2024-03-22 14:59:00,556.29,556.418,556.29,556.418,365
2024-03-22 14:58:00,556.465,556.465,556.34,556.34,590
2024-03-22 14:57:00,556.465,556.465,556.465,556.465,613
2024-03-22 14:56:00,556.185,556.35,556.185,556.35,903
2024-03-22 14:55:00,555.91,556.095,555.91,556.095,840
2024-03-22 14:54:00,556.02,556.02,556.02,556.02,677
