,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,116.7,116.75,116.42,116.46,85215
2024-03-22 15:58:00,116.7,116.72,116.67,116.69,20882
2024-03-22 15:57:00,116.69,116.735,116.67,116.69,14583
2024-03-22 15:56:00,116.72,116.73,116.68,116.695,11793
2024-03-22 15:55:00,116.88,116.93,116.7,116.71,11475
2024-03-22 15:54:00,116.88,116.91,116.86,116.885,6960
2024-03-22 15:53:00,116.96,116.96,116.86,116.88,4995
2024-03-22 15:52:00,116.91,116.96,116.9,116.94,6585
2024-03-22 15:51:00,116.82,116.905,116.82,116.9,5200
2024-03-22 15:50:00,116.8,116.86,116.77,116.8,8672
2024-03-22 15:49:00,116.82,116.847,116.78,116.8,3791
2024-03-22 15:48:00,116.71,116.78,116.7,116.78,6373
2024-03-22 15:47:00,116.68,116.72,116.68,116.71,5238
2024-03-22 15:46:00,116.635,116.68,116.61,116.68,3828
2024-03-22 15:45:00,116.6,116.612,116.6,116.61,1511
2024-03-22 15:44:00,116.615,116.65,116.6,116.65,3190
2024-03-22 15:43:00,116.65,116.655,116.61,116.61,2364
2024-03-22 15:42:00,116.64,116.64,116.61,116.61,1369
2024-03-22 15:41:00,116.632,116.66,116.6,116.63,4623
2024-03-22 15:40:00,116.63,116.63,116.57,116.61,4203
2024-03-22 15:39:00,116.68,116.705,116.63,116.63,2664
2024-03-22 15:38:00,116.715,116.73,116.67,116.67,1998
2024-03-22 15:37:00,116.68,116.735,116.68,116.695,1507
2024-03-22 15:36:00,116.675,116.73,116.675,116.73,4006
2024-03-22 15:35:00,116.755,116.78,116.655,116.655,6850
2024-03-22 15:34:00,116.77,116.795,116.745,116.75,6529
2024-03-22 15:33:00,116.98,116.98,116.79,116.79,11587
2024-03-22 15:32:00,117.03,117.04,116.98,117.0,8484
2024-03-22 15:31:00,117.02,117.04,117.0,117.03,8419
2024-03-22 15:30:00,117.05,117.08,117.03,117.04,3553
2024-03-22 15:29:00,117.05,117.06,117.04,117.05,2490
2024-03-22 15:28:00,117.02,117.04,117.0,117.04,2263
2024-03-22 15:27:00,117.04,117.04,117.0,117.0,2989
2024-03-22 15:26:00,117.02,117.04,117.01,117.028,2886
2024-03-22 15:25:00,117.07,117.1,117.04,117.06,2925
2024-03-22 15:24:00,117.07,117.07,117.045,117.07,1420
2024-03-22 15:23:00,117.01,117.1,117.01,117.04,19684
2024-03-22 15:22:00,117.0,117.0,116.997,116.998,1569
2024-03-22 15:21:00,116.955,117.0,116.955,116.99,4636
2024-03-22 15:20:00,116.904,116.95,116.904,116.94,3643
2024-03-22 15:19:00,116.915,116.915,116.915,116.915,493
2024-03-22 15:18:00,116.88,116.92,116.88,116.908,1988
2024-03-22 15:17:00,116.83,116.87,116.83,116.86,3057
2024-03-22 15:16:00,116.86,116.86,116.83,116.85,4247
2024-03-22 15:15:00,116.84,116.87,116.84,116.87,1879
2024-03-22 15:14:00,116.83,116.83,116.83,116.83,2636
2024-03-22 15:13:00,116.84,116.84,116.79,116.79,3186
2024-03-22 15:12:00,116.93,116.93,116.865,116.865,1502
2024-03-22 15:11:00,117.04,117.04,116.94,116.94,5869
2024-03-22 15:10:00,117.08,117.09,117.05,117.05,4781
2024-03-22 15:09:00,117.08,117.1,117.08,117.1,3014
