,1. open,2. high,3. low,4. close,5. volume
2013-12-31 15:59:00,27.6,27.778,27.503,27.676,251395
2013-12-31 15:58:00,27.63,27.733,27.506,27.616,26171
2013-12-31 15:57:00,27.653,27.748,27.54,27.646,27466
2013-12-31 15:56:00,27.653,27.748,27.555,27.661,12632
2013-12-31 15:55:00,27.66,27.763,27.555,27.665,24453
2013-12-31 15:54:00,27.675,27.778,27.57,27.676,34352
2013-12-31 15:53:00,27.668,27.778,27.57,27.698,19065
2013-12-31 15:52:00,27.645,27.763,27.555,27.683,16932
2013-12-31 15:51:00,27.653,27.755,27.555,27.668,15936
2013-12-31 15:50:00,27.645,27.748,27.547,27.668,15064
2013-12-31 15:49:00,27.645,27.748,27.555,27.661,14003
2013-12-31 15:48:00,27.638,27.755,27.547,27.661,32411
2013-12-31 15:47:00,27.608,27.748,27.514,27.653,21355
2013-12-31 15:46:00,27.593,27.703,27.495,27.616,17855
2013-12-31 15:45:00,27.585,27.688,27.473,27.601,63981
2013-12-31 15:44:00,27.6,27.703,27.495,27.601,16980
2013-12-31 15:43:00,27.623,27.725,27.51,27.616,11491
2013-12-31 15:42:00,27.615,27.733,27.521,27.638,15080
2013-12-31 15:41:00,27.6,27.71,27.51,27.623,2400
2013-12-31 15:40:00,27.615,27.718,27.506,27.623,10655
2013-12-31 15:39:00,27.63,27.733,27.525,27.638,9465
2013-12-31 15:38:00,27.623,27.733,27.532,27.646,9486
2013-12-31 15:37:00,27.619,27.725,27.525,27.638,7500
2013-12-31 15:36:00,27.623,27.718,27.525,27.638,3500
2013-12-31 15:35:00,27.645,27.74,27.532,27.653,10109
2013-12-31 15:34:00,27.623,27.74,27.532,27.661,6500
2013-12-31 15:33:00,27.63,27.733,27.532,27.638,3899
2013-12-31 15:32:00,27.627,27.733,27.532,27.638,5267
2013-12-31 15:31:00,27.63,27.733,27.54,27.646,9896
2013-12-31 15:30:00,27.608,27.725,27.514,27.638,11600
2013-12-31 15:29:00,27.6,27.703,27.51,27.62,4245
2013-12-31 15:28:00,27.615,27.718,27.51,27.623,3400
2013-12-31 15:27:00,27.634,27.733,27.525,27.631,8082
2013-12-31 15:26:00,27.638,27.733,27.54,27.646,1900
2013-12-31 15:25:00,27.638,27.74,27.54,27.646,3492
2013-12-31 15:24:00,27.63,27.74,27.536,27.653,8631
2013-12-31 15:23:00,27.615,27.733,27.525,27.646,12564
2013-12-31 15:22:00,27.63,27.725,27.525,27.631,4100
2013-12-31 15:21:00,27.63,27.733,27.532,27.638,3508
2013-12-31 15:20:00,27.608,27.725,27.518,27.646,2904
2013-12-31 15:19:00,27.608,27.71,27.518,27.631,1200
2013-12-31 15:18:00,27.585,27.703,27.495,27.616,3025
2013-12-31 15:17:00,27.585,27.695,27.495,27.601,5600
2013-12-31 15:16:00,27.574,27.695,27.484,27.601,9771
2013-12-31 15:15:00,27.574,27.673,27.48,27.593,2900
2013-12-31 15:14:00,27.585,27.68,27.48,27.586,4800
2013-12-31 15:13:00,27.585,27.68,27.488,27.601,1240
2013-12-31 15:12:00,27.578,27.68,27.488,27.593,2300
2013-12-31 15:11:00,27.585,27.688,27.495,27.601,2911
2013-12-31 15:10:00,27.571,27.688,27.48,27.601,9310
2013-12-31 15:09:00,27.556,27.665,27.462,27.586,8835
2013-12-31 15:08:00,27.556,27.658,27.465,27.573,3300
2013-12-31 15:07:00,27.563,27.665,27.465,27.571,3800
2013-12-31 15:06:00,27.563,27.665,27.473,27.578,2638
2013-12-31 15:05:00,27.556,27.658,27.465,27.575,8338
2013-12-31 15:04:00,27.556,27.658,27.465,27.571,900
2013-12-31 15:03:00,27.563,27.665,27.465,27.571,2000
2013-12-31 15:02:00,27.571,27.665,27.473,27.581,938
2013-12-31 15:01:00,27.559,27.665,27.465,27.586,3210
2013-12-31 15:00:00,27.563,27.665,27.473,27.586,3162
2013-12-31 14:59:00,27.556,27.665,27.465,27.586,1846
2013-12-31 14:58:00,27.556,27.665,27.458,27.564,5579
2013-12-31 14:57:00,27.556,27.65,27.465,27.571,200
2013-12-31 14:56:00,27.551,27.658,27.458,27.578,4199
2013-12-31 14:55:00,27.548,27.65,27.45,27.564,19242
2013-12-31 14:54:00,27.559,27.658,27.454,27.571,5500
2013-12-31 14:53:00,27.563,27.658,27.465,27.578,5345
2013-12-31 14:52:00,27.578,27.673,27.469,27.582,7625
2013-12-31 14:51:00,27.578,27.688,27.48,27.586,5107
2013-12-31 14:50:00,27.556,27.673,27.465,27.586,2400
2013-12-31 14:49:00,27.556,27.658,27.458,27.575,3239
2013-12-31 14:48:00,27.571,27.673,27.473,27.578,6678
2013-12-31 14:47:00,27.571,27.673,27.48,27.586,1100
2013-12-31 14:46:00,27.578,27.673,27.488,27.593,400
2013-12-31 14:45:00,27.571,27.673,27.48,27.586,2500
2013-12-31 14:44:00,27.578,27.673,27.48,27.586,3558
2013-12-31 14:43:00,27.578,27.68,27.488,27.601,800
2013-12-31 14:42:00,27.585,27.68,27.488,27.593,3947
2013-12-31 14:41:00,27.578,27.68,27.488,27.601,200
2013-12-31 14:40:00,27.571,27.673,27.48,27.593,3300
2013-12-31 14:39:00,27.563,27.665,27.473,27.586,300
2013-12-31 14:38:00,27.578,27.673,27.473,27.582,4300
2013-12-31 14:37:00,27.578,27.673,27.48,27.586,2311
2013-12-31 14:36:00,27.571,27.673,27.473,27.586,4000
2013-12-31 14:35:00,27.578,27.673,27.48,27.586,5100
2013-12-31 14:34:00,27.571,27.673,27.48,27.593,1200
2013-12-31 14:33:00,27.578,27.673,27.488,27.593,600
2013-12-31 14:32:00,27.571,27.673,27.48,27.586,1600
2013-12-31 14:31:00,27.578,27.673,27.48,27.593,900
2013-12-31 14:30:00,27.589,27.688,27.48,27.586,7951
2013-12-31 14:29:00,27.585,27.68,27.495,27.601,5000
2013-12-31 14:28:00,27.589,27.684,27.488,27.601,5100
2013-12-31 14:27:00,27.585,27.688,27.495,27.605,6549
2013-12-31 14:26:00,27.585,27.684,27.495,27.605,5400
2013-12-31 14:25:00,27.585,27.68,27.495,27.601,1041
2013-12-31 14:24:00,27.585,27.68,27.495,27.601,2238
2013-12-31 14:23:00,27.585,27.68,27.491,27.601,4699
2013-12-31 14:22:00,27.585,27.68,27.48,27.593,7400
2013-12-31 14:21:00,27.593,27.688,27.495,27.601,3600
2013-12-31 14:20:00,27.608,27.703,27.503,27.608,15174
2013-12-31 14:19:00,27.63,27.73,27.518,27.623,13005
2013-12-31 14:18:00,27.645,27.74,27.54,27.646,6400
2013-12-31 14:17:00,27.653,27.748,27.555,27.661,4279
2013-12-31 14:16:00,27.653,27.755,27.562,27.668,700
2013-12-31 14:15:00,27.668,27.763,27.57,27.676,4859
2013-12-31 14:14:00,27.69,27.786,27.577,27.683,6996
2013-12-31 14:13:00,27.694,27.789,27.603,27.71,100
2013-12-31 14:12:00,27.69,27.793,27.6,27.706,1594
2013-12-31 14:11:00,27.698,27.793,27.607,27.713,1472
2013-12-31 14:10:00,27.694,27.789,27.6,27.706,200
2013-12-31 14:09:00,27.698,27.793,27.607,27.713,200
2013-12-31 14:08:00,27.71,27.805,27.607,27.713,5975
2013-12-31 14:07:00,27.713,27.808,27.615,27.721,3606
2013-12-31 14:06:00,27.728,27.823,27.629,27.736,3957
2013-12-31 14:05:00,27.728,27.823,27.637,27.743,100
2013-12-31 14:03:00,27.72,27.823,27.629,27.738,800
2013-12-31 14:02:00,27.735,27.83,27.637,27.743,8288
2013-12-31 14:01:00,27.733,27.83,27.642,27.751,200
2013-12-31 14:00:00,27.735,27.83,27.637,27.751,3474
2013-12-31 13:59:00,27.735,27.83,27.637,27.751,700
2013-12-31 13:58:00,27.735,27.83,27.644,27.751,300
2013-12-31 13:57:00,27.735,27.83,27.644,27.751,1780
2013-12-31 13:56:00,27.735,27.83,27.642,27.751,1300
2013-12-31 13:55:00,27.735,27.83,27.644,27.751,100
2013-12-31 13:54:00,27.731,27.83,27.64,27.751,5986
2013-12-31 13:53:00,27.735,27.83,27.644,27.751,948
2013-12-31 13:51:00,27.735,27.83,27.644,27.751,8207
2013-12-31 13:50:00,27.729,27.83,27.638,27.751,215
2013-12-31 13:49:00,27.728,27.83,27.637,27.751,1400
2013-12-31 13:48:00,27.735,27.83,27.642,27.751,1977
2013-12-31 13:47:00,27.735,27.83,27.644,27.751,1214
2013-12-31 13:46:00,27.735,27.83,27.637,27.751,5033
2013-12-31 13:45:00,27.735,27.83,27.644,27.751,4049
2013-12-31 13:44:00,27.728,27.83,27.637,27.751,1961
2013-12-31 13:43:00,27.743,27.838,27.644,27.751,3749
2013-12-31 13:42:00,27.743,27.838,27.644,27.751,1000
2013-12-31 13:41:00,27.743,27.838,27.652,27.758,1000
2013-12-31 13:40:00,27.758,27.853,27.652,27.758,4551
2013-12-31 13:39:00,27.758,27.853,27.667,27.773,1200
2013-12-31 13:38:00,27.765,27.86,27.667,27.773,2675
2013-12-31 13:37:00,27.773,27.868,27.674,27.781,4700
2013-12-31 13:36:00,27.773,27.875,27.682,27.796,300
2013-12-31 13:35:00,27.78,27.875,27.689,27.796,100
2013-12-31 13:34:00,27.78,27.875,27.687,27.793,332
2013-12-31 13:33:00,27.78,27.875,27.682,27.796,2382
2013-12-31 13:32:00,27.78,27.875,27.682,27.796,500
2013-12-31 13:30:00,27.776,27.872,27.682,27.788,890
2013-12-31 13:29:00,27.773,27.872,27.682,27.788,1000
2013-12-31 13:27:00,27.765,27.868,27.674,27.781,1000
2013-12-31 13:25:00,27.773,27.868,27.674,27.781,2200
2013-12-31 13:24:00,27.773,27.868,27.682,27.788,1700
2013-12-31 13:23:00,27.758,27.868,27.667,27.788,4671
2013-12-31 13:21:00,27.758,27.853,27.664,27.77,200
2013-12-31 13:20:00,27.752,27.848,27.662,27.768,100
2013-12-31 13:19:00,27.758,27.853,27.664,27.771,3661
2013-12-31 13:18:00,27.75,27.853,27.659,27.766,9150
2013-12-31 13:17:00,27.75,27.845,27.652,27.758,4522
2013-12-31 13:15:00,27.735,27.838,27.644,27.758,600
2013-12-31 13:14:00,27.728,27.83,27.629,27.751,1700
2013-12-31 13:13:00,27.72,27.823,27.629,27.736,400
2013-12-31 13:12:00,27.72,27.821,27.629,27.741,972
2013-12-31 13:11:00,27.728,27.823,27.631,27.738,750
2013-12-31 13:10:00,27.72,27.823,27.629,27.738,350
2013-12-31 13:09:00,27.728,27.823,27.637,27.743,300
2013-12-31 13:08:00,27.728,27.823,27.637,27.743,500
2013-12-31 13:07:00,27.728,27.823,27.637,27.743,1468
2013-12-31 13:06:00,27.743,27.838,27.644,27.751,1516
2013-12-31 13:05:00,27.735,27.83,27.644,27.751,600
2013-12-31 13:04:00,27.743,27.838,27.637,27.743,2200
2013-12-31 13:03:00,27.733,27.833,27.642,27.753,1390
2013-12-31 13:02:00,27.743,27.838,27.644,27.751,1900
2013-12-31 13:01:00,27.743,27.838,27.652,27.758,100
2013-12-31 13:00:00,27.735,27.845,27.644,27.766,3875
2013-12-31 12:59:00,27.75,27.845,27.644,27.758,3298
2013-12-31 12:58:00,27.75,27.845,27.652,27.758,1111
2013-12-31 12:56:00,27.758,27.853,27.659,27.766,3160
2013-12-31 12:54:00,27.758,27.853,27.662,27.773,584
2013-12-31 12:53:00,27.75,27.853,27.659,27.773,2100
2013-12-31 12:52:00,27.75,27.845,27.659,27.766,200
2013-12-31 12:51:00,27.756,27.851,27.659,27.766,302
2013-12-31 12:50:00,27.75,27.849,27.659,27.769,200
2013-12-31 12:49:00,27.758,27.853,27.667,27.773,1304
2013-12-31 12:48:00,27.765,27.86,27.67,27.781,1700
2013-12-31 12:47:00,27.765,27.86,27.666,27.773,5400
2013-12-31 12:46:00,27.773,27.868,27.682,27.788,100
2013-12-31 12:45:00,27.765,27.868,27.674,27.788,1500
2013-12-31 12:43:00,27.758,27.86,27.667,27.781,600
2013-12-31 12:42:00,27.765,27.86,27.667,27.777,1200
2013-12-31 12:41:00,27.765,27.86,27.667,27.781,2700
2013-12-31 12:40:00,27.773,27.868,27.674,27.781,1200
2013-12-31 12:39:00,27.773,27.875,27.678,27.788,9916
2013-12-31 12:38:00,27.773,27.868,27.674,27.781,400
2013-12-31 12:37:00,27.78,27.875,27.682,27.788,4000
2013-12-31 12:36:00,27.773,27.875,27.682,27.788,1400
2013-12-31 12:35:00,27.775,27.875,27.682,27.792,900
2013-12-31 12:34:00,27.773,27.872,27.682,27.792,2073
2013-12-31 12:33:00,27.773,27.875,27.682,27.788,3072
2013-12-31 12:32:00,27.78,27.879,27.685,27.792,3248
2013-12-31 12:31:00,27.78,27.875,27.682,27.788,3400
2013-12-31 12:30:00,27.773,27.879,27.678,27.796,3500
2013-12-31 12:29:00,27.769,27.868,27.674,27.781,700
2013-12-31 12:28:00,27.765,27.86,27.674,27.781,900
2013-12-31 12:27:00,27.773,27.868,27.679,27.785,1169
2013-12-31 12:26:00,27.765,27.875,27.67,27.792,2900
2013-12-31 12:25:00,27.758,27.857,27.667,27.777,1679
2013-12-31 12:24:00,27.765,27.86,27.667,27.773,3135
2013-12-31 12:23:00,27.773,27.868,27.674,27.781,3561
2013-12-31 12:22:00,27.773,27.872,27.678,27.788,1569
2013-12-31 12:21:00,27.773,27.868,27.682,27.788,100
2013-12-31 12:20:00,27.758,27.868,27.667,27.788,1600
2013-12-31 12:19:00,27.758,27.853,27.667,27.773,867
2013-12-31 12:18:00,27.765,27.86,27.667,27.773,1100
2013-12-31 12:17:00,27.78,27.875,27.674,27.781,8733
2013-12-31 12:16:00,27.795,27.89,27.689,27.796,8768
2013-12-31 12:15:00,27.81,27.905,27.712,27.818,6602
2013-12-31 12:14:00,27.81,27.905,27.712,27.826,531
2013-12-31 12:13:00,27.81,27.913,27.715,27.826,6000
2013-12-31 12:12:00,27.81,27.905,27.719,27.826,200
2013-12-31 12:11:00,27.81,27.913,27.719,27.826,4346
2013-12-31 12:10:00,27.81,27.905,27.719,27.826,2300
2013-12-31 12:09:00,27.81,27.905,27.719,27.826,2400
2013-12-31 12:08:00,27.796,27.898,27.705,27.818,2990
2013-12-31 12:07:00,27.803,27.898,27.697,27.811,8353
2013-12-31 12:06:00,27.81,27.905,27.714,27.826,1535
2013-12-31 12:05:00,27.81,27.905,27.719,27.826,1521
2013-12-31 12:04:00,27.818,27.913,27.715,27.826,5590
2013-12-31 12:03:00,27.81,27.905,27.719,27.826,2100
2013-12-31 12:02:00,27.81,27.905,27.712,27.818,5990
2013-12-31 12:01:00,27.81,27.905,27.712,27.826,800
2013-12-31 12:00:00,27.795,27.902,27.704,27.822,3942
2013-12-31 11:59:00,27.773,27.883,27.682,27.803,7381
2013-12-31 11:58:00,27.773,27.868,27.682,27.788,1142
2013-12-31 11:57:00,27.78,27.875,27.682,27.788,602
2013-12-31 11:56:00,27.795,27.89,27.682,27.788,3867
2013-12-31 11:55:00,27.795,27.898,27.697,27.811,1599
2013-12-31 11:54:00,27.803,27.898,27.7,27.811,3095
2013-12-31 11:53:00,27.795,27.898,27.704,27.818,3501
2013-12-31 11:52:00,27.795,27.898,27.704,27.818,2337
2013-12-31 11:51:00,27.795,27.89,27.697,27.811,1300
2013-12-31 11:50:00,27.795,27.89,27.704,27.811,1453
2013-12-31 11:49:00,27.803,27.899,27.704,27.811,4100
2013-12-31 11:48:00,27.81,27.913,27.712,27.818,3700
2013-12-31 11:47:00,27.803,27.913,27.712,27.826,3301
2013-12-31 11:46:00,27.803,27.905,27.708,27.826,6100
2013-12-31 11:45:00,27.803,27.898,27.708,27.818,2000
2013-12-31 11:44:00,27.803,27.905,27.712,27.818,2152
2013-12-31 11:43:00,27.81,27.905,27.708,27.814,3800
2013-12-31 11:42:00,27.803,27.905,27.712,27.82,1330
2013-12-31 11:41:00,27.803,27.905,27.712,27.823,4168
2013-12-31 11:40:00,27.81,27.905,27.712,27.826,300
2013-12-31 11:39:00,27.81,27.905,27.719,27.826,3300
2013-12-31 11:38:00,27.81,27.905,27.719,27.826,5900
2013-12-31 11:37:00,27.81,27.905,27.712,27.826,5900
2013-12-31 11:36:00,27.818,27.913,27.719,27.826,1029
2013-12-31 11:35:00,27.81,27.905,27.719,27.826,3200
2013-12-31 11:34:00,27.803,27.905,27.712,27.818,1700
2013-12-31 11:33:00,27.788,27.898,27.697,27.818,6400
2013-12-31 11:32:00,27.795,27.89,27.697,27.803,200
2013-12-31 11:31:00,27.795,27.89,27.697,27.803,900
2013-12-31 11:30:00,27.773,27.89,27.682,27.811,900
2013-12-31 11:29:00,27.765,27.86,27.674,27.781,900
2013-12-31 11:28:00,27.765,27.86,27.667,27.781,400
2013-12-31 11:27:00,27.765,27.86,27.667,27.773,400
2013-12-31 11:26:00,27.758,27.853,27.667,27.773,600
2013-12-31 11:25:00,27.773,27.868,27.667,27.773,4786
2013-12-31 11:24:00,27.78,27.875,27.682,27.788,770
