,1. open,2. high,3. low,4. close,5. volume
2020-08-31 15:59:00,42.906,42.956,42.835,42.871,55099
2020-08-31 15:58:00,42.878,42.937,42.816,42.89,17666
2020-08-31 15:57:00,42.887,42.956,42.826,42.871,12969
2020-08-31 15:56:00,42.887,42.937,42.826,42.871,6494
2020-08-31 15:55:00,42.925,42.97,42.826,42.871,8359
2020-08-31 15:54:00,42.935,42.975,42.868,42.928,4144
2020-08-31 15:53:00,42.925,43.003,42.882,42.937,3538
2020-08-31 15:52:00,42.887,42.965,42.845,42.918,2146
2020-08-31 15:51:00,42.854,42.927,42.811,42.871,6110
2020-08-31 15:50:00,42.897,42.927,42.797,42.837,3623
2020-08-31 15:49:00,42.878,42.927,42.835,42.88,3801
2020-08-31 15:48:00,42.864,42.908,42.807,42.852,2209
2020-08-31 15:47:00,42.826,42.899,42.778,42.837,2483
2020-08-31 15:46:00,42.821,42.861,42.769,42.809,8294
2020-08-31 15:45:00,42.826,42.861,42.769,42.804,3412
2020-08-31 15:44:00,42.811,42.861,42.769,42.814,1000
2020-08-31 15:43:00,42.788,42.846,42.745,42.795,1480
2020-08-31 15:42:00,42.764,42.823,42.712,42.766,2015
2020-08-31 15:41:00,42.783,42.813,42.712,42.757,2476
2020-08-31 15:40:00,42.802,42.832,42.75,42.776,1120
2020-08-31 15:39:00,42.807,42.861,42.764,42.795,4285
2020-08-31 15:38:00,42.778,42.851,42.735,42.79,1140
2020-08-31 15:37:00,42.816,42.846,42.74,42.766,1500
2020-08-31 15:36:00,42.788,42.851,42.745,42.804,1276
2020-08-31 15:35:00,42.788,42.842,42.745,42.776,3412
2020-08-31 15:34:00,42.783,42.823,42.735,42.771,1550
2020-08-31 15:33:00,42.797,42.832,42.74,42.776,3400
2020-08-31 15:32:00,42.802,42.842,42.754,42.78,1304
2020-08-31 15:31:00,42.802,42.837,42.75,42.78,2100
2020-08-31 15:30:00,42.811,42.842,42.754,42.78,1509
2020-08-31 15:29:00,42.797,42.842,42.754,42.795,1646
2020-08-31 15:28:00,42.783,42.827,42.74,42.78,1241
2020-08-31 15:27:00,42.773,42.813,42.731,42.766,600
2020-08-31 15:26:00,42.754,42.794,42.712,42.738,1101
2020-08-31 15:25:00,42.745,42.784,42.688,42.738,1304
2020-08-31 15:24:00,42.745,42.794,42.693,42.733,1749
2020-08-31 15:23:00,42.74,42.784,42.697,42.738,807
2020-08-31 15:22:00,42.735,42.775,42.693,42.719,1796
2020-08-31 15:21:00,42.731,42.789,42.688,42.719,2084
2020-08-31 15:20:00,42.707,42.756,42.664,42.709,1219
2020-08-31 15:19:00,42.707,42.756,42.664,42.69,2938
2020-08-31 15:18:00,42.726,42.756,42.655,42.681,1904
2020-08-31 15:17:00,42.754,42.784,42.688,42.714,1400
2020-08-31 15:16:00,42.764,42.794,42.716,42.742,600
2020-08-31 15:15:00,42.773,42.803,42.731,42.757,500
2020-08-31 15:14:00,42.773,42.813,42.712,42.747,2995
2020-08-31 15:13:00,42.769,42.799,42.726,42.752,100
2020-08-31 15:12:00,42.764,42.794,42.716,42.742,524
2020-08-31 15:11:00,42.759,42.794,42.716,42.742,802
2020-08-31 15:10:00,42.764,42.799,42.721,42.747,1000
2020-08-31 15:09:00,42.773,42.803,42.716,42.747,1351
2020-08-31 15:08:00,42.773,42.803,42.731,42.757,300
2020-08-31 15:07:00,42.773,42.808,42.731,42.757,500
2020-08-31 15:06:00,42.773,42.823,42.726,42.761,3025
2020-08-31 15:05:00,42.75,42.803,42.707,42.757,1133
2020-08-31 15:03:00,42.745,42.775,42.702,42.728,400
2020-08-31 15:02:00,42.754,42.794,42.702,42.728,3356
2020-08-31 15:01:00,42.75,42.789,42.707,42.742,2487
2020-08-31 15:00:00,42.745,42.784,42.702,42.733,821
2020-08-31 14:58:00,42.745,42.784,42.702,42.728,300
2020-08-31 14:57:00,42.773,42.808,42.702,42.728,1847
2020-08-31 14:56:00,42.783,42.823,42.735,42.761,699
2020-08-31 14:55:00,42.783,42.813,42.735,42.766,1500
2020-08-31 14:54:00,42.773,42.803,42.731,42.757,400
2020-08-31 14:53:00,42.778,42.823,42.735,42.766,2420
