,1. open,2. high,3. low,4. close,5. volume
2020-12-31 15:59:00,361.901,362.421,361.504,362.099,2539
2020-12-31 15:58:00,361.677,362.022,361.446,361.749,1600
2020-12-31 15:57:00,362.25,362.489,361.417,361.574,2071
2020-12-31 15:56:00,361.716,362.401,361.62,362.312,500
2020-12-31 15:55:00,361.93,362.081,361.446,361.603,800
2020-12-31 15:54:00,361.512,362.275,361.417,362.055,2242
2020-12-31 15:53:00,361.323,361.634,361.217,361.457,800
2020-12-31 15:52:00,361.235,361.605,361.14,361.385,600
2020-12-31 15:51:00,361.337,361.488,361.222,361.38,200
2020-12-31 15:50:00,361.425,361.595,361.069,361.385,1960
2020-12-31 15:49:00,361.483,361.78,361.3,361.652,600
2020-12-31 15:48:00,361.434,361.585,361.3,361.457,200
2020-12-31 15:47:00,361.425,361.576,361.116,361.448,900
2020-12-31 15:46:00,361.347,361.576,361.251,361.487,600
2020-12-31 15:45:00,361.765,361.925,361.203,361.516,1994
2020-12-31 15:42:00,361.192,361.644,361.096,361.555,700
2020-12-31 15:41:00,360.959,361.439,360.863,361.351,200
2020-12-31 15:39:00,361.153,361.41,361.057,361.321,448
2020-12-31 15:38:00,361.192,361.342,361.067,361.239,400
2020-12-31 15:37:00,360.939,361.342,360.844,361.253,600
2020-12-31 15:36:00,360.813,360.963,360.688,360.845,300
2020-12-31 15:35:00,361.114,361.265,360.659,360.991,600
2020-12-31 15:33:00,361.022,361.172,360.926,361.083,100
2020-12-31 15:32:00,361.036,361.206,360.941,361.117,300
2020-12-31 15:30:00,361.473,361.862,361.29,361.448,900
2020-12-31 15:29:00,361.532,361.804,361.378,361.715,400
2020-12-31 15:28:00,361.638,361.896,361.543,361.807,300
2020-12-31 15:25:00,361.114,361.566,360.815,361.477,1412
2020-12-31 15:24:00,361.464,361.614,361.227,361.385,300
2020-12-31 15:23:00,361.386,361.566,361.29,361.477,200
2020-12-31 15:22:00,361.143,361.449,361.048,361.329,321
2020-12-31 15:21:00,361.104,361.274,361.009,361.185,200
2020-12-31 15:18:00,361.243,361.393,361.147,361.304,120
2020-12-31 15:17:00,361.124,361.313,360.815,361.224,407
2020-12-31 15:16:00,361.425,361.576,361.329,361.487,100
2020-12-31 15:15:00,361.347,361.498,361.174,361.331,300
2020-12-31 15:12:00,361.201,361.488,361.106,361.399,234
2020-12-31 15:11:00,361.027,361.294,360.931,361.205,300
2020-12-31 15:10:00,360.978,361.129,360.63,360.787,619
2020-12-31 15:09:00,361.299,361.449,361.193,361.351,213
2020-12-31 15:08:00,360.842,361.099,360.747,361.011,300
2020-12-31 15:07:00,360.725,360.876,360.533,360.69,300
2020-12-31 15:03:00,360.725,360.876,360.344,360.501,200
2020-12-31 15:01:00,360.303,360.453,360.208,360.365,100
2020-12-31 14:59:00,360.502,360.665,360.373,360.53,300
2020-12-31 14:57:00,360.429,360.58,360.334,360.491,100
2020-12-31 14:56:00,360.24,360.536,360.145,360.447,200
2020-12-31 14:55:00,360.22,360.371,360.125,360.282,100
2020-12-31 14:54:00,360.24,360.614,360.145,360.525,300
2020-12-31 14:53:00,360.687,361.148,360.591,361.059,200
2020-12-31 14:50:00,361.075,361.226,360.756,360.913,200
2020-12-31 14:48:00,361.095,361.245,360.63,361.137,700
2020-12-31 14:43:00,361.146,361.296,361.05,361.207,100
2020-12-31 14:42:00,361.197,361.391,360.902,361.064,900
2020-12-31 14:40:00,361.289,361.958,361.193,361.807,639
2020-12-31 14:39:00,360.693,361.197,360.598,361.108,375
2020-12-31 14:38:00,360.424,360.856,360.329,360.768,300
2020-12-31 14:35:00,360.424,360.575,360.13,360.486,300
2020-12-31 14:34:00,360.424,360.575,360.329,360.486,100
2020-12-31 14:33:00,359.803,360.205,359.708,360.117,400
2020-12-31 14:32:00,359.861,360.011,359.708,359.864,200
2020-12-31 14:31:00,359.842,360.048,359.64,359.796,536
2020-12-31 14:28:00,360.211,360.361,359.76,360.122,800
2020-12-31 14:26:00,360.386,360.536,359.756,359.913,200
2020-12-31 14:25:00,360.22,360.371,360.125,360.282,100
2020-12-31 14:24:00,360.347,360.497,360.251,360.408,100
2020-12-31 14:22:00,360.211,360.448,360.115,360.36,300
2020-12-31 14:21:00,359.735,360.137,359.64,360.049,200
2020-12-31 14:19:00,360.06,360.21,359.965,360.122,100
2020-12-31 14:18:00,360.065,360.215,359.97,360.127,100
2020-12-31 14:16:00,359.968,360.118,359.873,360.029,100
2020-12-31 14:15:00,359.987,360.157,359.892,360.068,200
2020-12-31 14:14:00,359.978,360.128,359.397,359.553,200
2020-12-31 14:13:00,360.259,360.41,359.678,359.991,800
2020-12-31 14:12:00,360.473,360.682,360.247,360.593,1120
2020-12-31 14:11:00,360.434,360.584,360.339,360.496,100
2020-12-31 14:07:00,360.041,360.191,359.946,360.102,100
2020-12-31 14:06:00,360.143,360.293,360.047,360.204,100
2020-12-31 14:05:00,360.454,360.604,360.358,360.515,100
