,1. open,2. high,3. low,4. close,5. volume
2018-07-31 15:59:00,97.548,97.863,97.104,97.42,119100
2018-07-31 15:58:00,97.493,97.855,97.16,97.523,44047
2018-07-31 15:57:00,97.461,97.808,97.12,97.467,32600
2018-07-31 15:56:00,97.509,97.82,97.112,97.428,32311
2018-07-31 15:55:00,97.493,97.824,97.16,97.483,37107
2018-07-31 15:54:00,97.45,97.824,97.112,97.467,23850
2018-07-31 15:53:00,97.446,97.768,97.097,97.428,25326
2018-07-31 15:52:00,97.359,97.752,97.022,97.412,17040
2018-07-31 15:51:00,97.454,97.76,97.01,97.333,33237
2018-07-31 15:50:00,97.43,97.76,97.057,97.428,17663
2018-07-31 15:49:00,97.477,97.784,97.065,97.381,19322
2018-07-31 15:48:00,97.469,97.792,97.112,97.448,13088
2018-07-31 15:47:00,97.446,97.8,97.112,97.452,18712
2018-07-31 15:46:00,97.548,97.863,97.049,97.436,18580
2018-07-31 15:45:00,97.588,97.895,97.191,97.507,17222
2018-07-31 15:44:00,97.54,97.879,97.199,97.546,17208
2018-07-31 15:43:00,97.6,97.919,97.191,97.531,19969
2018-07-31 15:42:00,97.493,97.919,97.16,97.578,12546
2018-07-31 15:41:00,97.461,97.804,97.12,97.467,14229
2018-07-31 15:40:00,97.438,97.776,97.104,97.428,6776
2018-07-31 15:39:00,97.39,97.744,97.034,97.404,7285
2018-07-31 15:38:00,97.375,97.713,97.002,97.365,7083
2018-07-31 15:37:00,97.335,97.713,96.971,97.349,14931
2018-07-31 15:36:00,97.296,97.633,96.955,97.302,11498
2018-07-31 15:35:00,97.311,97.625,96.963,97.27,8883
2018-07-31 15:34:00,97.382,97.713,96.979,97.302,9678
2018-07-31 15:33:00,97.296,97.705,96.963,97.349,11193
2018-07-31 15:32:00,97.268,97.61,96.923,97.278,5761
2018-07-31 15:31:00,97.205,97.562,96.868,97.23,9096
2018-07-31 15:30:00,97.185,97.514,96.853,97.175,3606
2018-07-31 15:29:00,97.264,97.578,96.845,97.151,3843
2018-07-31 15:28:00,97.24,97.6,96.9,97.246,4467
2018-07-31 15:27:00,97.224,97.554,96.892,97.223,2636
2018-07-31 15:26:00,97.209,97.538,96.876,97.183,2891
2018-07-31 15:25:00,97.217,97.522,96.876,97.183,2257
2018-07-31 15:24:00,97.232,97.55,96.868,97.199,7705
2018-07-31 15:23:00,97.217,97.538,96.845,97.207,3863
2018-07-31 15:22:00,97.185,97.538,96.829,97.204,9625
2018-07-31 15:21:00,97.177,97.538,96.845,97.159,5952
2018-07-31 15:20:00,97.138,97.483,96.797,97.146,2420
2018-07-31 15:19:00,97.106,97.435,96.774,97.096,3847
2018-07-31 15:18:00,97.082,97.435,96.75,97.089,3457
2018-07-31 15:17:00,97.13,97.451,96.734,97.041,4600
2018-07-31 15:16:00,97.098,97.443,96.75,97.096,5052
2018-07-31 15:15:00,97.153,97.459,96.75,97.069,4375
2018-07-31 15:14:00,97.09,97.467,96.758,97.128,6300
2018-07-31 15:13:00,97.035,97.388,96.687,97.057,3569
2018-07-31 15:12:00,97.011,97.34,96.671,97.001,4850
2018-07-31 15:11:00,96.987,97.332,96.648,97.001,3039
2018-07-31 15:10:00,97.003,97.314,96.64,96.953,7739
2018-07-31 15:09:00,97.003,97.324,96.656,96.962,3262
2018-07-31 15:08:00,97.019,97.324,96.671,96.978,3035
2018-07-31 15:07:00,96.98,97.34,96.648,96.994,5753
2018-07-31 15:06:00,96.964,97.34,96.632,96.978,5311
2018-07-31 15:05:00,96.972,97.301,96.624,96.938,1600
2018-07-31 15:04:00,96.995,97.301,96.64,96.97,4786
2018-07-31 15:03:00,96.987,97.324,96.656,96.994,2390
2018-07-31 15:02:00,97.035,97.356,96.656,96.962,3901
2018-07-31 15:01:00,97.066,97.372,96.687,97.001,2112
2018-07-31 15:00:00,97.074,97.404,96.703,97.009,9650
2018-07-31 14:59:00,97.066,97.396,96.727,97.057,1300
2018-07-31 14:58:00,97.098,97.411,96.742,97.049,3996
2018-07-31 14:57:00,97.122,97.427,96.758,97.088,2000
2018-07-31 14:56:00,97.13,97.435,96.766,97.088,2437
2018-07-31 14:55:00,97.138,97.459,96.79,97.104,5371
2018-07-31 14:54:00,97.114,97.451,96.782,97.12,1360
2018-07-31 14:53:00,97.145,97.451,96.774,97.088,4400
2018-07-31 14:52:00,97.153,97.467,96.805,97.12,9953
2018-07-31 14:51:00,97.098,97.451,96.766,97.112,4400
2018-07-31 14:50:00,97.114,97.419,96.766,97.08,2281
2018-07-31 14:49:00,97.074,97.427,96.742,97.072,2133
2018-07-31 14:48:00,97.019,97.372,96.687,97.041,3179
2018-07-31 14:47:00,97.051,97.366,96.683,97.017,4418
2018-07-31 14:46:00,97.082,97.388,96.719,97.032,1425
2018-07-31 14:45:00,97.13,97.443,96.75,97.065,8819
2018-07-31 14:44:00,97.114,97.459,96.782,97.128,5422
2018-07-31 14:43:00,97.066,97.404,96.734,97.072,600
2018-07-31 14:42:00,97.098,97.411,96.711,97.025,2935
2018-07-31 14:41:00,97.098,97.411,96.742,97.057,1800
2018-07-31 14:40:00,97.138,97.451,96.766,97.072,4769
2018-07-31 14:39:00,97.123,97.441,96.791,97.11,1427
2018-07-31 14:38:00,97.145,97.451,96.782,97.088,1962
2018-07-31 14:37:00,97.145,97.483,96.797,97.128,4864
2018-07-31 14:36:00,97.122,97.443,96.79,97.106,2035
2018-07-31 14:35:00,97.122,97.443,96.774,97.112,1617
2018-07-31 14:34:00,97.118,97.443,96.742,97.112,5276
2018-07-31 14:33:00,97.111,97.435,96.766,97.096,1674
2018-07-31 14:32:00,97.169,97.475,96.774,97.08,3556
2018-07-31 14:31:00,97.169,97.522,96.837,97.151,7206
2018-07-31 14:30:00,97.193,97.499,96.821,97.161,4264
2018-07-31 14:29:00,97.232,97.538,96.821,97.183,3716
2018-07-31 14:28:00,97.303,97.61,96.892,97.199,9397
2018-07-31 14:27:00,97.335,97.649,96.971,97.278,5315
2018-07-31 14:26:00,97.303,97.665,96.963,97.333,1800
2018-07-31 14:25:00,97.327,97.657,96.986,97.294,3118
2018-07-31 14:24:00,97.327,97.633,96.963,97.278,3151
2018-07-31 14:23:00,97.375,97.681,96.986,97.313,4872
2018-07-31 14:22:00,97.375,97.713,97.041,97.365,1500
2018-07-31 14:21:00,97.454,97.76,97.018,97.349,5451
2018-07-31 14:20:00,97.406,97.776,97.073,97.428,4293
2018-07-31 14:19:00,97.39,97.713,97.05,97.381,1465
2018-07-31 14:18:00,97.343,97.697,97.002,97.365,3070
2018-07-31 14:17:00,97.345,97.657,96.994,97.325,2145
2018-07-31 14:16:00,97.335,97.673,97.0,97.324,3510
2018-07-31 14:15:00,97.367,97.673,96.986,97.309,5412
2018-07-31 14:14:00,97.351,97.705,97.018,97.349,3389
2018-07-31 14:13:00,97.343,97.649,96.979,97.317,2331
2018-07-31 14:12:00,97.367,97.673,96.979,97.319,5617
2018-07-31 14:11:00,97.343,97.697,96.994,97.333,4959
2018-07-31 14:10:00,97.382,97.689,97.01,97.317,2678
2018-07-31 14:09:00,97.359,97.689,97.01,97.357,1492
2018-07-31 14:08:00,97.311,97.689,96.979,97.349,3510
2018-07-31 14:07:00,97.327,97.633,96.947,97.278,1500
2018-07-31 14:06:00,97.371,97.681,96.986,97.317,11078
2018-07-31 14:05:00,97.335,97.665,96.986,97.333,5210
2018-07-31 14:04:00,97.288,97.633,96.931,97.302,4259
2018-07-31 14:03:00,97.367,97.673,96.939,97.27,7877
2018-07-31 14:02:00,97.43,97.736,97.041,97.349,3853
2018-07-31 14:01:00,97.438,97.776,97.089,97.396,3674
2018-07-31 14:00:00,97.438,97.744,97.089,97.404,1606
2018-07-31 13:59:00,97.406,97.752,97.073,97.42,2900
2018-07-31 13:58:00,97.406,97.728,97.057,97.365,4225
2018-07-31 13:57:00,97.446,97.752,97.073,97.388,3314
2018-07-31 13:56:00,97.501,97.808,97.12,97.428,2436
2018-07-31 13:55:00,97.501,97.808,97.16,97.475,1500
2018-07-31 13:54:00,97.548,97.871,97.152,97.46,4112
2018-07-31 13:53:00,97.509,97.863,97.175,97.523,1300
2018-07-31 13:52:00,97.517,97.832,97.16,97.491,3151
2018-07-31 13:51:00,97.493,97.824,97.16,97.491,1842
2018-07-31 13:50:00,97.564,97.879,97.183,97.491,3017
2018-07-31 13:49:00,97.572,97.903,97.238,97.546,2310
2018-07-31 13:48:00,97.529,97.877,97.195,97.544,1050
2018-07-31 13:47:00,97.619,97.927,97.144,97.491,6679
2018-07-31 13:46:00,97.635,97.942,97.286,97.594,4664
2018-07-31 13:45:00,97.667,97.974,97.301,97.625,5130
2018-07-31 13:44:00,97.683,97.998,97.325,97.649,3608
2018-07-31 13:43:00,97.698,98.006,97.349,97.662,4625
2018-07-31 13:42:00,97.683,98.014,97.349,97.665,2293
2018-07-31 13:41:00,97.667,97.998,97.333,97.657,816
2018-07-31 13:40:00,97.738,98.053,97.364,97.673,4570
2018-07-31 13:39:00,97.71,98.038,97.376,97.704,2962
2018-07-31 13:38:00,97.738,98.045,97.364,97.685,3645
2018-07-31 13:37:00,97.714,98.045,97.38,97.704,1900
2018-07-31 13:36:00,97.683,98.014,97.333,97.681,4228
2018-07-31 13:35:00,97.754,98.061,97.333,97.657,22403
2018-07-31 13:34:00,97.733,98.085,97.398,97.728,7854
