,1. open,2. high,3. low,4. close,5. volume
2018-12-31 15:59:00,83.58,84.16,83.58,84.16,246636
2018-12-31 15:58:00,83.56,83.63,83.555,83.58,63242
2018-12-31 15:57:00,83.46,83.582,83.44,83.555,67801
2018-12-31 15:56:00,83.7,83.7,83.38,83.47,127666
2018-12-31 15:55:00,83.47,83.79,83.46,83.7,157500
2018-12-31 15:54:00,83.47,83.52,83.42,83.46,37542
2018-12-31 15:53:00,83.537,83.56,83.45,83.47,40039
2018-12-31 15:52:00,83.48,83.555,83.47,83.53,36850
2018-12-31 15:51:00,83.625,83.625,83.46,83.47,36227
2018-12-31 15:50:00,83.57,83.66,83.56,83.63,28108
2018-12-31 15:49:00,83.6,83.6,83.51,83.58,24830
2018-12-31 15:48:00,83.74,83.74,83.605,83.61,17172
2018-12-31 15:47:00,83.755,83.82,83.74,83.74,16432
2018-12-31 15:46:00,83.82,83.84,83.76,83.765,40732
2018-12-31 15:45:00,83.79,83.89,83.765,83.82,67298
2018-12-31 15:44:00,83.77,83.84,83.76,83.8,11668
2018-12-31 15:43:00,83.8,83.8,83.73,83.78,8510
2018-12-31 15:42:00,83.75,83.85,83.75,83.81,9703
2018-12-31 15:41:00,83.75,83.81,83.73,83.76,11575
2018-12-31 15:40:00,83.72,83.83,83.67,83.77,33507
2018-12-31 15:39:00,83.65,83.74,83.64,83.74,4960
2018-12-31 15:38:00,83.75,83.76,83.64,83.65,7343
2018-12-31 15:37:00,83.81,83.81,83.73,83.75,12857
2018-12-31 15:36:00,83.711,83.85,83.7,83.81,6422
2018-12-31 15:35:00,83.783,83.783,83.68,83.72,8549
2018-12-31 15:34:00,83.88,83.9,83.79,83.79,16500
2018-12-31 15:33:00,83.838,83.9,83.838,83.89,5379
2018-12-31 15:32:00,83.81,83.852,83.78,83.845,10283
2018-12-31 15:31:00,83.8,83.81,83.76,83.78,3951
2018-12-31 15:30:00,83.71,83.81,83.71,83.79,4283
2018-12-31 15:29:00,83.81,83.82,83.69,83.69,6830
2018-12-31 15:28:00,83.89,83.9,83.81,83.82,5295
2018-12-31 15:27:00,83.77,83.9,83.75,83.88,11351
2018-12-31 15:26:00,83.69,83.79,83.65,83.79,11578
2018-12-31 15:25:00,83.655,83.71,83.655,83.71,4315
2018-12-31 15:24:00,83.59,83.61,83.55,83.61,2618
2018-12-31 15:23:00,83.67,83.7,83.61,83.611,8909
2018-12-31 15:22:00,83.781,83.781,83.67,83.67,8035
2018-12-31 15:21:00,83.79,83.815,83.76,83.78,4545
2018-12-31 15:20:00,83.766,83.81,83.7,83.78,6232
2018-12-31 15:19:00,83.61,83.75,83.59,83.74,3512
2018-12-31 15:18:00,83.55,83.6,83.53,83.6,6456
2018-12-31 15:17:00,83.53,83.56,83.481,83.56,3264
2018-12-31 15:16:00,83.48,83.59,83.48,83.52,5304
2018-12-31 15:15:00,83.6,83.64,83.48,83.49,6892
2018-12-31 15:14:00,83.6,83.61,83.54,83.6,5747
2018-12-31 15:13:00,83.59,83.67,83.58,83.63,4547
2018-12-31 15:12:00,83.62,83.66,83.57,83.61,7952
2018-12-31 15:11:00,83.51,83.63,83.48,83.62,12130
2018-12-31 15:10:00,83.53,83.53,83.44,83.47,5450
2018-12-31 15:09:00,83.6,83.66,83.54,83.54,7027
2018-12-31 15:08:00,83.66,83.66,83.54,83.59,22659
2018-12-31 15:07:00,83.71,83.72,83.66,83.66,5000
2018-12-31 15:06:00,83.697,83.74,83.697,83.72,6793
2018-12-31 15:05:00,83.56,83.71,83.56,83.71,4000
2018-12-31 15:04:00,83.66,83.67,83.56,83.56,8341
2018-12-31 15:03:00,83.69,83.72,83.64,83.68,23215
2018-12-31 15:02:00,83.7,83.73,83.65,83.7,5054
2018-12-31 15:01:00,83.64,83.8,83.637,83.685,21866
2018-12-31 15:00:00,83.57,83.66,83.54,83.66,9107
2018-12-31 14:59:00,83.73,83.73,83.55,83.57,15354
2018-12-31 14:58:00,83.75,83.77,83.71,83.71,3967
2018-12-31 14:57:00,83.8,83.821,83.74,83.74,4129
2018-12-31 14:56:00,83.75,83.83,83.745,83.8,4300
2018-12-31 14:55:00,83.74,83.75,83.69,83.73,6692
2018-12-31 14:54:00,83.84,83.855,83.74,83.75,13550
2018-12-31 14:53:00,83.82,83.87,83.81,83.854,3700
2018-12-31 14:52:00,83.82,83.86,83.78,83.82,7702
2018-12-31 14:51:00,83.75,83.85,83.73,83.83,7172
2018-12-31 14:50:00,83.701,83.75,83.69,83.75,3600
2018-12-31 14:49:00,83.77,83.78,83.69,83.71,5800
2018-12-31 14:48:00,83.82,83.82,83.765,83.79,12536
2018-12-31 14:47:00,83.76,83.81,83.75,83.775,4100
2018-12-31 14:46:00,83.61,83.78,83.61,83.78,6985
2018-12-31 14:45:00,83.63,83.63,83.6,83.6,2302
2018-12-31 14:44:00,83.575,83.625,83.55,83.625,1800
2018-12-31 14:43:00,83.54,83.57,83.53,83.57,2000
2018-12-31 14:42:00,83.59,83.63,83.54,83.548,5808
2018-12-31 14:41:00,83.54,83.63,83.54,83.59,5488
2018-12-31 14:40:00,83.44,83.54,83.43,83.52,5999
2018-12-31 14:39:00,83.398,83.49,83.398,83.46,2450
2018-12-31 14:38:00,83.32,83.43,83.32,83.403,6320
2018-12-31 14:37:00,83.42,83.42,83.29,83.34,9567
2018-12-31 14:36:00,83.4,83.431,83.36,83.39,4590
2018-12-31 14:35:00,83.32,83.374,83.32,83.34,7018
2018-12-31 14:34:00,83.34,83.4,83.32,83.34,8654
2018-12-31 14:33:00,83.34,83.36,83.28,83.35,9499
2018-12-31 14:32:00,83.33,83.37,83.28,83.35,13580
2018-12-31 14:31:00,83.26,83.36,83.24,83.35,13513
2018-12-31 14:30:00,83.34,83.43,83.25,83.25,11247
2018-12-31 14:29:00,83.48,83.48,83.33,83.358,6751
2018-12-31 14:28:00,83.45,83.542,83.442,83.5,4056
2018-12-31 14:27:00,83.54,83.54,83.44,83.44,5400
2018-12-31 14:26:00,83.47,83.53,83.44,83.53,2285
2018-12-31 14:25:00,83.47,83.477,83.4,83.46,9721
2018-12-31 14:24:00,83.37,83.485,83.37,83.485,5998
2018-12-31 14:23:00,83.52,83.52,83.34,83.395,6091
2018-12-31 14:22:00,83.69,83.69,83.48,83.52,17154
2018-12-31 14:21:00,83.81,83.82,83.68,83.71,7342
2018-12-31 14:20:00,83.82,83.85,83.805,83.81,7574
2018-12-31 14:19:00,83.76,83.81,83.73,83.81,4744
2018-12-31 14:18:00,83.72,83.82,83.72,83.76,30537
2018-12-31 14:17:00,83.66,83.72,83.6,83.7,3525
2018-12-31 14:16:00,83.705,83.74,83.65,83.68,7100
2018-12-31 14:15:00,83.7,83.79,83.7,83.735,10042
2018-12-31 14:14:00,83.75,83.77,83.68,83.72,11550
2018-12-31 14:13:00,83.78,83.808,83.72,83.76,4547
2018-12-31 14:12:00,83.85,83.86,83.76,83.77,6699
2018-12-31 14:11:00,83.82,83.88,83.81,83.87,6928
2018-12-31 14:10:00,83.8,83.83,83.76,83.81,7376
2018-12-31 14:09:00,83.8,83.83,83.78,83.8,4967
2018-12-31 14:08:00,83.79,83.84,83.78,83.78,5921
2018-12-31 14:07:00,83.82,83.82,83.74,83.809,10993
2018-12-31 14:06:00,83.73,83.85,83.73,83.85,8410
2018-12-31 14:05:00,83.64,83.75,83.63,83.75,3882
2018-12-31 14:04:00,83.66,83.66,83.62,83.63,3959
2018-12-31 14:03:00,83.64,83.67,83.59,83.65,18571
2018-12-31 14:02:00,83.6,83.66,83.58,83.63,17927
2018-12-31 14:01:00,83.5,83.59,83.5,83.58,5242
