,1. open,2. high,3. low,4. close,5. volume
2022-09-30 15:59:00,79.4,79.51,79.365,79.41,72067
2022-09-30 15:58:00,79.39,79.43,79.36,79.39,23683
2022-09-30 15:57:00,79.43,79.52,79.38,79.41,16754
2022-09-30 15:56:00,79.44,79.48,79.38,79.44,10898
2022-09-30 15:55:00,79.61,79.66,79.445,79.45,19580
2022-09-30 15:54:00,79.8,79.84,79.59,79.705,18620
2022-09-30 15:53:00,79.8,79.83,79.74,79.81,4300
2022-09-30 15:52:00,79.75,79.85,79.72,79.81,7100
2022-09-30 15:51:00,79.79,79.82,79.75,79.76,5904
2022-09-30 15:50:00,80.01,80.01,79.73,79.805,9632
2022-09-30 15:49:00,80.11,80.11,80.03,80.04,2802
2022-09-30 15:48:00,80.06,80.17,80.06,80.11,5480
2022-09-30 15:47:00,80.015,80.09,79.98,80.04,2894
2022-09-30 15:46:00,80.015,80.05,80.0,80.025,2881
2022-09-30 15:45:00,80.07,80.08,80.0,80.025,4377
2022-09-30 15:44:00,80.13,80.14,80.03,80.07,2600
2022-09-30 15:43:00,80.115,80.205,80.11,80.11,2500
2022-09-30 15:42:00,80.22,80.275,80.08,80.08,4438
2022-09-30 15:41:00,80.155,80.24,80.15,80.19,2100
2022-09-30 15:40:00,80.1,80.175,80.09,80.175,1600
2022-09-30 15:39:00,80.11,80.16,80.07,80.11,4229
2022-09-30 15:38:00,80.19,80.19,80.07,80.105,1100
2022-09-30 15:37:00,80.115,80.3,80.1,80.2,6155
2022-09-30 15:36:00,80.16,80.22,80.14,80.15,3498
2022-09-30 15:35:00,80.24,80.255,80.19,80.2,2200
2022-09-30 15:34:00,80.28,80.29,80.215,80.24,2961
2022-09-30 15:33:00,80.3,80.33,80.27,80.295,2318
2022-09-30 15:32:00,80.465,80.467,80.28,80.29,2596
2022-09-30 15:31:00,80.54,80.54,80.37,80.4,1961
2022-09-30 15:30:00,80.415,80.52,80.365,80.47,4114
2022-09-30 15:29:00,80.195,80.43,80.17,80.41,4437
2022-09-30 15:28:00,80.15,80.205,80.081,80.2,4542
2022-09-30 15:27:00,80.22,80.22,80.175,80.18,2012
2022-09-30 15:26:00,80.296,80.296,80.19,80.225,1715
2022-09-30 15:25:00,80.29,80.31,80.27,80.3,1000
2022-09-30 15:24:00,80.37,80.42,80.32,80.37,1400
2022-09-30 15:23:00,80.33,80.42,80.33,80.35,1500
2022-09-30 15:22:00,80.295,80.375,80.28,80.35,1700
2022-09-30 15:21:00,80.41,80.41,80.3,80.3,801
2022-09-30 15:20:00,80.465,80.465,80.405,80.405,1200
2022-09-30 15:19:00,80.46,80.485,80.431,80.45,1943
2022-09-30 15:18:00,80.36,80.5,80.36,80.5,901
2022-09-30 15:17:00,80.46,80.46,80.39,80.44,500
2022-09-30 15:16:00,80.38,80.53,80.38,80.47,2700
2022-09-30 15:15:00,80.3,80.33,80.275,80.33,1748
2022-09-30 15:14:00,80.35,80.38,80.34,80.34,600
2022-09-30 15:13:00,80.43,80.43,80.335,80.335,585
2022-09-30 15:12:00,80.49,80.5,80.42,80.42,1000
2022-09-30 15:11:00,80.6,80.61,80.47,80.47,2100
2022-09-30 15:10:00,80.5,80.57,80.5,80.56,400
2022-09-30 15:09:00,80.51,80.53,80.51,80.51,900
2022-09-30 15:08:00,80.57,80.61,80.51,80.51,1100
2022-09-30 15:07:00,80.6,80.6,80.56,80.57,500
2022-09-30 15:06:00,80.68,80.73,80.66,80.67,825
2022-09-30 15:05:00,80.65,80.69,80.64,80.69,800
2022-09-30 15:04:00,80.72,80.72,80.65,80.66,1002
2022-09-30 15:03:00,80.78,80.78,80.69,80.75,1964
2022-09-30 15:02:00,80.67,80.79,80.67,80.79,1509
2022-09-30 15:01:00,80.6,80.63,80.58,80.63,500
2022-09-30 15:00:00,80.44,80.54,80.44,80.54,700
2022-09-30 14:59:00,80.5,80.51,80.465,80.465,500
2022-09-30 14:58:00,80.44,80.45,80.44,80.45,866
2022-09-30 14:57:00,80.45,80.46,80.42,80.42,1815
2022-09-30 14:56:00,80.515,80.54,80.48,80.52,1400
2022-09-30 14:54:00,80.73,80.73,80.67,80.67,300
2022-09-30 14:53:00,80.73,80.78,80.73,80.78,200
2022-09-30 14:52:00,80.74,80.77,80.74,80.76,600
2022-09-30 14:51:00,80.7,80.785,80.67,80.715,1480
2022-09-30 14:50:00,80.76,80.76,80.71,80.73,800
2022-09-30 14:49:00,80.73,80.79,80.73,80.76,1388
2022-09-30 14:48:00,80.67,80.72,80.67,80.72,400
2022-09-30 14:47:00,80.74,80.79,80.74,80.78,900
2022-09-30 14:46:00,80.86,80.86,80.83,80.83,400
2022-09-30 14:45:00,80.88,80.89,80.84,80.85,989
2022-09-30 14:44:00,80.78,80.81,80.78,80.81,300
2022-09-30 14:43:00,80.87,80.93,80.8,80.8,1000
2022-09-30 14:42:00,80.945,80.96,80.87,80.88,1600
2022-09-30 14:41:00,80.97,80.97,80.95,80.96,420
2022-09-30 14:40:00,80.99,80.99,80.96,80.96,700
2022-09-30 14:39:00,80.955,81.01,80.955,80.99,1651
2022-09-30 14:38:00,80.99,81.06,80.97,81.06,959
2022-09-30 14:37:00,80.99,80.99,80.97,80.97,600
2022-09-30 14:36:00,81.06,81.06,81.0,81.005,600
2022-09-30 14:35:00,81.155,81.16,81.08,81.08,2200
2022-09-30 14:34:00,81.09,81.18,81.09,81.15,1000
2022-09-30 14:33:00,81.01,81.04,81.01,81.03,2097
2022-09-30 14:32:00,81.06,81.07,80.99,80.995,4259
2022-09-30 14:31:00,81.07,81.07,81.01,81.01,1400
2022-09-30 14:30:00,80.99,81.1,80.99,81.07,1000
2022-09-30 14:29:00,80.93,80.98,80.93,80.98,800
2022-09-30 14:28:00,80.96,80.96,80.89,80.92,1069
2022-09-30 14:27:00,80.96,80.965,80.96,80.965,200
2022-09-30 14:26:00,80.94,80.97,80.92,80.946,800
2022-09-30 14:25:00,80.988,81.02,80.96,80.96,700
2022-09-30 14:24:00,80.99,81.03,80.99,81.025,700
2022-09-30 14:23:00,80.98,81.0,80.98,80.996,600
2022-09-30 14:22:00,80.88,80.94,80.87,80.94,900
2022-09-30 14:21:00,80.935,80.935,80.935,80.935,100
2022-09-30 14:20:00,80.989,81.035,80.989,81.035,269
2022-09-30 14:19:00,81.04,81.04,80.99,80.99,942
2022-09-30 14:18:00,81.11,81.125,81.02,81.05,1800
2022-09-30 14:17:00,81.2,81.2,81.08,81.12,43900
2022-09-30 14:16:00,81.14,81.16,81.14,81.15,1124
2022-09-30 14:15:00,81.06,81.1,81.05,81.095,700
2022-09-30 14:14:00,81.01,81.035,81.01,81.035,300
2022-09-30 14:13:00,81.09,81.09,81.07,81.07,400
2022-09-30 14:12:00,81.06,81.06,81.02,81.02,510
2022-09-30 14:11:00,80.965,81.05,80.95,81.03,1000
2022-09-30 14:10:00,80.97,80.97,80.95,80.955,505
2022-09-30 14:09:00,80.98,80.98,80.935,80.935,600
2022-09-30 14:08:00,80.92,80.97,80.92,80.97,400
2022-09-30 14:07:00,80.825,80.92,80.825,80.9,1000
2022-09-30 14:06:00,80.78,80.78,80.74,80.765,500
2022-09-30 14:05:00,80.81,80.855,80.78,80.78,1100
2022-09-30 14:04:00,80.78,80.78,80.765,80.765,500
2022-09-30 14:03:00,80.78,80.785,80.78,80.785,200
2022-09-30 14:02:00,80.84,80.84,80.8,80.8,500
2022-09-30 14:01:00,80.78,80.87,80.78,80.87,704
2022-09-30 14:00:00,80.82,80.85,80.71,80.75,900
2022-09-30 13:59:00,80.975,80.975,80.84,80.84,11414
2022-09-30 13:58:00,80.905,80.94,80.9,80.925,823
2022-09-30 13:57:00,80.975,80.975,80.91,80.91,1400
2022-09-30 13:56:00,80.96,80.96,80.91,80.95,1200
2022-09-30 13:55:00,80.96,80.99,80.95,80.95,500
2022-09-30 13:54:00,80.93,80.96,80.9,80.94,1299
2022-09-30 13:53:00,80.88,81.0,80.88,80.9,2041
2022-09-30 13:52:00,80.81,80.87,80.805,80.84,2003
2022-09-30 13:51:00,80.765,80.82,80.765,80.82,800
2022-09-30 13:50:00,80.75,80.77,80.75,80.77,700
2022-09-30 13:49:00,80.76,80.76,80.74,80.75,920
2022-09-30 13:48:00,80.72,80.78,80.72,80.75,687
2022-09-30 13:47:00,80.675,80.71,80.66,80.71,1000
2022-09-30 13:46:00,80.688,80.71,80.64,80.67,1420
2022-09-30 13:45:00,80.655,80.72,80.655,80.685,1800
2022-09-30 13:44:00,80.71,80.71,80.7,80.7,400
2022-09-30 13:43:00,80.726,80.73,80.67,80.725,1337
2022-09-30 13:42:00,80.75,80.755,80.73,80.73,400
2022-09-30 13:41:00,80.83,80.86,80.77,80.86,1400
2022-09-30 13:40:00,80.866,80.88,80.805,80.805,1129
2022-09-30 13:39:00,80.88,80.88,80.85,80.88,1300
2022-09-30 13:38:00,80.91,80.91,80.89,80.895,700
2022-09-30 13:37:00,81.065,81.065,80.93,80.96,16344
2022-09-30 13:36:00,81.055,81.07,81.03,81.07,1860
2022-09-30 13:35:00,81.13,81.17,81.03,81.03,12453
2022-09-30 13:34:00,81.257,81.27,81.16,81.16,1022
2022-09-30 13:33:00,81.21,81.3,81.185,81.295,3049
2022-09-30 13:32:00,81.262,81.285,81.21,81.22,6493
2022-09-30 13:31:00,81.24,81.27,81.24,81.27,400
2022-09-30 13:30:00,81.25,81.26,81.25,81.26,300
2022-09-30 13:29:00,81.3,81.31,81.27,81.27,700
2022-09-30 13:28:00,81.17,81.24,81.17,81.24,405
2022-09-30 13:27:00,81.185,81.185,81.16,81.165,600
