,1. open,2. high,3. low,4. close,5. volume
2017-06-30 15:59:00,48.34,48.516,48.138,48.352,19191
2017-06-30 15:58:00,48.34,48.532,48.192,48.406,5945
2017-06-30 15:57:00,48.386,48.563,48.192,48.406,5704
2017-06-30 15:56:00,48.401,48.586,48.238,48.452,11150
2017-06-30 15:55:00,48.409,48.586,48.238,48.467,24587
2017-06-30 15:54:00,48.401,48.601,48.245,48.475,8660
2017-06-30 15:53:00,48.417,48.601,48.253,48.467,6071
2017-06-30 15:52:00,48.44,48.624,48.268,48.483,4797
2017-06-30 15:51:00,48.432,48.632,48.284,48.506,3400
2017-06-30 15:50:00,48.471,48.648,48.292,48.506,8211
2017-06-30 15:49:00,48.463,48.655,48.307,48.544,6297
2017-06-30 15:48:00,48.455,48.64,48.299,48.529,3000
2017-06-30 15:47:00,48.417,48.624,48.261,48.514,4043
2017-06-30 15:46:00,48.409,48.594,48.23,48.483,5801
2017-06-30 15:45:00,48.34,48.586,48.176,48.475,8003
2017-06-30 15:44:00,48.324,48.516,48.176,48.406,1200
2017-06-30 15:43:00,48.324,48.508,48.161,48.39,2549
2017-06-30 15:42:00,48.309,48.501,48.153,48.39,1895
2017-06-30 15:41:00,48.301,48.508,48.153,48.367,5971
2017-06-30 15:40:00,48.286,48.485,48.13,48.375,7495
2017-06-30 15:39:00,48.294,48.47,48.138,48.359,1100
2017-06-30 15:38:00,48.294,48.477,48.138,48.359,2779
2017-06-30 15:37:00,48.294,48.47,48.13,48.352,2848
2017-06-30 15:35:00,48.317,48.508,48.146,48.359,2894
2017-06-30 15:34:00,48.344,48.52,48.161,48.375,3578
2017-06-30 15:33:00,48.371,48.547,48.192,48.406,1696
2017-06-30 15:32:00,48.378,48.555,48.207,48.429,3279
2017-06-30 15:31:00,48.386,48.563,48.238,48.452,300
2017-06-30 15:30:00,48.378,48.57,48.222,48.452,2470
2017-06-30 15:29:00,48.355,48.555,48.207,48.444,1300
2017-06-30 15:28:00,48.394,48.57,48.207,48.425,2825
2017-06-30 15:27:00,48.378,48.57,48.23,48.46,1198
2017-06-30 15:26:00,48.394,48.586,48.23,48.444,3330
2017-06-30 15:25:00,48.375,48.582,48.226,48.467,1762
2017-06-30 15:24:00,48.348,48.555,48.199,48.436,3103
2017-06-30 15:23:00,48.332,48.508,48.184,48.398,1200
2017-06-30 15:22:00,48.34,48.524,48.192,48.409,1500
2017-06-30 15:21:00,48.34,48.524,48.192,48.413,300
2017-06-30 15:20:00,48.332,48.516,48.161,48.406,1797
2017-06-30 15:19:00,48.294,48.501,48.146,48.39,1320
2017-06-30 15:18:00,48.324,48.508,48.138,48.352,1605
2017-06-30 15:17:00,48.348,48.528,48.176,48.398,3328
2017-06-30 15:16:00,48.344,48.532,48.195,48.421,1205
2017-06-30 15:15:00,48.348,48.555,48.199,48.421,3955
2017-06-30 15:14:00,48.348,48.547,48.199,48.421,2200
2017-06-30 15:13:00,48.332,48.516,48.169,48.406,1005
2017-06-30 15:12:00,48.309,48.516,48.146,48.39,4633
2017-06-30 15:11:00,48.301,48.485,48.146,48.367,600
2017-06-30 15:10:00,48.255,48.485,48.107,48.359,4058
2017-06-30 15:09:00,48.232,48.447,48.084,48.328,3785
2017-06-30 15:08:00,48.247,48.439,48.076,48.321,6380
2017-06-30 15:07:00,48.267,48.443,48.107,48.321,900
