,1. open,2. high,3. low,4. close,5. volume
2014-04-30 15:59:00,296.36,296.89,296.36,296.89,10345
2014-04-30 15:58:00,297.04,297.09,296.54,296.62,3114
2014-04-30 15:57:00,297.11,297.12,296.5,297.05,3288
2014-04-30 15:56:00,296.56,297.15,296.56,297.04,1401
2014-04-30 15:55:00,296.6,296.61,296.28,296.58,2767
2014-04-30 15:54:00,296.44,296.61,296.43,296.57,600
2014-04-30 15:53:00,295.96,296.44,295.96,296.34,2709
2014-04-30 15:52:00,295.89,295.985,295.56,295.962,8329
2014-04-30 15:51:00,296.2,296.484,295.9,295.9,4100
2014-04-30 15:50:00,296.22,296.64,296.19,296.22,6404
2014-04-30 15:49:00,296.36,296.36,296.22,296.22,2217
2014-04-30 15:48:00,296.095,296.5,296.095,296.3,1243
2014-04-30 15:47:00,296.25,296.28,296.0,296.0,1394
2014-04-30 15:46:00,296.93,297.08,296.54,296.54,1232
2014-04-30 15:45:00,296.86,296.974,296.21,296.69,2897
2014-04-30 15:44:00,296.8,297.12,296.8,296.911,1483
2014-04-30 15:43:00,296.57,297.025,296.57,297.025,793
2014-04-30 15:42:00,296.79,296.905,296.76,296.76,1300
2014-04-30 15:41:00,296.758,296.8,296.72,296.8,1756
2014-04-30 15:39:00,296.94,296.94,296.52,296.766,1268
2014-04-30 15:38:00,296.82,297.085,296.76,297.085,1300
2014-04-30 15:37:00,296.49,296.7,296.49,296.7,300
2014-04-30 15:36:00,296.47,296.555,296.47,296.555,500
2014-04-30 15:35:00,296.3,296.345,296.23,296.23,600
2014-04-30 15:34:00,296.46,296.46,296.41,296.41,400
2014-04-30 15:33:00,296.17,296.5,296.17,296.5,200
2014-04-30 15:32:00,296.08,296.31,295.94,296.31,400
2014-04-30 15:31:00,296.23,296.23,295.85,296.09,600
2014-04-30 15:30:00,296.03,296.15,295.72,295.94,956
2014-04-30 15:29:00,295.67,295.67,295.41,295.48,305
2014-04-30 15:28:00,295.51,296.0,295.51,296.0,1100
2014-04-30 15:27:00,295.2,295.58,295.2,295.48,2399
2014-04-30 15:26:00,295.06,295.25,294.71,294.71,400
2014-04-30 15:25:00,295.14,295.15,295.14,295.15,200
2014-04-30 15:24:00,295.19,295.32,294.96,294.96,739
2014-04-30 15:23:00,295.27,295.275,294.96,295.0,2108
2014-04-30 15:22:00,294.78,295.26,294.77,295.26,1100
2014-04-30 15:21:00,295.14,295.14,294.82,294.82,300
2014-04-30 15:20:00,295.18,295.18,295.17,295.17,600
2014-04-30 15:19:00,295.29,295.29,295.02,295.1,900
2014-04-30 15:18:00,294.65,295.44,294.6,295.44,2300
2014-04-30 15:17:00,294.06,294.58,294.06,294.58,800
2014-04-30 15:16:00,294.365,294.365,293.86,294.0,1200
2014-04-30 15:15:00,294.81,294.81,294.025,294.025,1300
2014-04-30 15:14:00,294.42,294.42,294.42,294.42,200
2014-04-30 15:13:00,294.45,294.68,294.44,294.68,300
2014-04-30 15:12:00,294.432,294.635,294.385,294.635,1000
2014-04-30 15:11:00,294.51,294.89,294.42,294.44,1300
2014-04-30 15:10:00,294.645,294.83,294.515,294.66,3500
2014-04-30 15:09:00,294.96,295.175,294.81,294.81,1539
2014-04-30 15:08:00,294.615,294.97,294.56,294.57,800
2014-04-30 15:07:00,294.845,294.88,294.44,294.86,1600
2014-04-30 15:06:00,295.18,295.33,294.84,294.84,1100
2014-04-30 15:05:00,295.44,295.64,295.44,295.64,200
2014-04-30 15:04:00,295.45,295.58,295.39,295.39,800
2014-04-30 15:03:00,295.45,295.77,295.26,295.26,850
2014-04-30 15:02:00,295.51,295.655,295.19,295.45,4100
2014-04-30 15:01:00,295.47,295.555,295.45,295.555,1900
