,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,19.895,19.898,19.84,19.84,412833
2024-03-22 15:58:00,19.91,19.91,19.89,19.89,113242
2024-03-22 15:57:00,19.905,19.91,19.9,19.905,46535
2024-03-22 15:56:00,19.89,19.91,19.89,19.905,82467
2024-03-22 15:55:00,19.925,19.93,19.89,19.895,69894
2024-03-22 15:54:00,19.935,19.94,19.92,19.925,63922
2024-03-22 15:53:00,19.925,19.94,19.925,19.935,64711
2024-03-22 15:52:00,19.935,19.935,19.92,19.925,60471
2024-03-22 15:51:00,19.93,19.94,19.925,19.935,22710
2024-03-22 15:50:00,19.92,19.94,19.915,19.925,62710
2024-03-22 15:49:00,19.915,19.92,19.905,19.92,34718
2024-03-22 15:48:00,19.905,19.92,19.905,19.92,33896
2024-03-22 15:47:00,19.915,19.92,19.9,19.907,32334
2024-03-22 15:46:00,19.92,19.92,19.91,19.915,8771
2024-03-22 15:45:00,19.91,19.92,19.905,19.915,14287
2024-03-22 15:44:00,19.9,19.91,19.9,19.91,18567
2024-03-22 15:43:00,19.895,19.895,19.89,19.895,12109
2024-03-22 15:42:00,19.885,19.9,19.885,19.89,24893
2024-03-22 15:41:00,19.885,19.89,19.88,19.89,8179
2024-03-22 15:40:00,19.865,19.89,19.86,19.89,24111
2024-03-22 15:39:00,19.855,19.87,19.855,19.865,21019
2024-03-22 15:38:00,19.855,19.86,19.85,19.855,12056
2024-03-22 15:37:00,19.86,19.865,19.855,19.855,31087
2024-03-22 15:36:00,19.87,19.87,19.86,19.86,8032
2024-03-22 15:35:00,19.885,19.885,19.87,19.87,8107
2024-03-22 15:34:00,19.885,19.885,19.88,19.88,7414
2024-03-22 15:33:00,19.915,19.915,19.885,19.885,22268
2024-03-22 15:32:00,19.915,19.92,19.91,19.915,34213
2024-03-22 15:31:00,19.915,19.92,19.91,19.915,7615
2024-03-22 15:30:00,19.895,19.92,19.895,19.92,19782
2024-03-22 15:29:00,19.895,19.9,19.895,19.9,3203
2024-03-22 15:28:00,19.9,19.91,19.89,19.895,41275
2024-03-22 15:27:00,19.895,19.9,19.895,19.895,2722
2024-03-22 15:26:00,19.9,19.905,19.895,19.9,37836
2024-03-22 15:25:00,19.9,19.9,19.89,19.891,14184
2024-03-22 15:24:00,19.895,19.9,19.895,19.9,1879
2024-03-22 15:23:00,19.895,19.9,19.895,19.9,1970
2024-03-22 15:22:00,19.89,19.895,19.885,19.895,10454
2024-03-22 15:21:00,19.89,19.89,19.885,19.89,1694
2024-03-22 15:20:00,19.89,19.89,19.88,19.89,4818
2024-03-22 15:19:00,19.885,19.895,19.875,19.885,48595
2024-03-22 15:18:00,19.87,19.89,19.87,19.89,19417
2024-03-22 15:17:00,19.86,19.865,19.86,19.865,6937
2024-03-22 15:16:00,19.87,19.88,19.86,19.865,12174
2024-03-22 15:15:00,19.875,19.88,19.87,19.875,2915
2024-03-22 15:14:00,19.875,19.88,19.87,19.875,3352
2024-03-22 15:13:00,19.9,19.9,19.87,19.88,17955
2024-03-22 15:12:00,19.895,19.9,19.89,19.9,13997
2024-03-22 15:11:00,19.89,19.9,19.89,19.895,4994
2024-03-22 15:10:00,19.895,19.9,19.89,19.895,24840
2024-03-22 15:09:00,19.905,19.91,19.89,19.89,17076
2024-03-22 15:08:00,19.905,19.91,19.905,19.91,279
2024-03-22 15:07:00,19.905,19.91,19.905,19.91,3709
2024-03-22 15:06:00,19.905,19.91,19.905,19.905,1474
2024-03-22 15:05:00,19.9,19.91,19.895,19.905,11787
2024-03-22 15:04:00,19.9,19.9,19.89,19.895,8687
2024-03-22 15:03:00,19.9,19.9,19.89,19.9,651
2024-03-22 15:02:00,19.905,19.905,19.898,19.9,27097
2024-03-22 15:01:00,19.9,19.91,19.9,19.91,1238
2024-03-22 15:00:00,19.9,19.91,19.9,19.905,19941
2024-03-22 14:59:00,19.91,19.918,19.91,19.91,5167
2024-03-22 14:58:00,19.915,19.915,19.91,19.915,4371
2024-03-22 14:57:00,19.915,19.92,19.91,19.915,8060
2024-03-22 14:56:00,19.905,19.92,19.905,19.92,24585
2024-03-22 14:55:00,19.9,19.91,19.9,19.91,5234
2024-03-22 14:54:00,19.905,19.905,19.88,19.9,61641
2024-03-22 14:53:00,19.895,19.91,19.895,19.9,15948
2024-03-22 14:52:00,19.89,19.905,19.885,19.9,94016
2024-03-22 14:51:00,19.86,19.895,19.86,19.89,52613
2024-03-22 14:50:00,19.865,19.865,19.855,19.86,12461
2024-03-22 14:49:00,19.86,19.87,19.855,19.865,6328
2024-03-22 14:48:00,19.855,19.865,19.855,19.855,15928
2024-03-22 14:47:00,19.85,19.86,19.84,19.855,25697
2024-03-22 14:46:00,19.855,19.855,19.85,19.85,393
2024-03-22 14:45:00,19.855,19.86,19.85,19.85,1540
2024-03-22 14:44:00,19.85,19.855,19.85,19.855,2296
2024-03-22 14:43:00,19.856,19.856,19.845,19.85,4871
2024-03-22 14:42:00,19.855,19.86,19.845,19.855,8573
2024-03-22 14:41:00,19.855,19.855,19.845,19.855,12371
2024-03-22 14:40:00,19.865,19.87,19.855,19.86,27425
2024-03-22 14:39:00,19.865,19.865,19.86,19.865,2651
2024-03-22 14:38:00,19.865,19.87,19.865,19.87,5834
2024-03-22 14:37:00,19.845,19.87,19.845,19.87,13433
2024-03-22 14:36:00,19.845,19.845,19.84,19.845,2831
2024-03-22 14:35:00,19.845,19.85,19.84,19.85,3977
2024-03-22 14:34:00,19.845,19.845,19.84,19.845,3077
2024-03-22 14:33:00,19.855,19.855,19.845,19.85,6851
2024-03-22 14:32:00,19.85,19.855,19.85,19.855,3196
2024-03-22 14:31:00,19.855,19.855,19.85,19.855,2608
2024-03-22 14:30:00,19.855,19.86,19.85,19.855,3170
2024-03-22 14:29:00,19.86,19.86,19.853,19.855,1670
2024-03-22 14:28:00,19.85,19.855,19.85,19.855,1447
2024-03-22 14:27:00,19.85,19.855,19.85,19.855,3710
2024-03-22 14:26:00,19.855,19.86,19.855,19.855,1948
2024-03-22 14:25:00,19.865,19.865,19.85,19.86,9878
2024-03-22 14:24:00,19.87,19.87,19.865,19.865,394
2024-03-22 14:23:00,19.86,19.865,19.86,19.865,3606
2024-03-22 14:22:00,19.865,19.865,19.86,19.86,1523
2024-03-22 14:21:00,19.865,19.87,19.86,19.86,6450
2024-03-22 14:20:00,19.855,19.865,19.855,19.865,8908
2024-03-22 14:19:00,19.86,19.865,19.855,19.86,39504
2024-03-22 14:18:00,19.86,19.865,19.855,19.855,5477
2024-03-22 14:17:00,19.85,19.86,19.85,19.855,8484
2024-03-22 14:16:00,19.865,19.865,19.845,19.845,5945
2024-03-22 14:15:00,19.875,19.875,19.865,19.865,9916
2024-03-22 14:14:00,19.88,19.88,19.87,19.88,1338
2024-03-22 14:13:00,19.87,19.88,19.87,19.88,4344
2024-03-22 14:12:00,19.875,19.88,19.87,19.875,5400
2024-03-22 14:11:00,19.88,19.88,19.88,19.88,777
2024-03-22 14:10:00,19.875,19.877,19.871,19.875,5418
2024-03-22 14:09:00,19.88,19.88,19.875,19.875,2112
2024-03-22 14:08:00,19.875,19.89,19.875,19.88,17815
2024-03-22 14:07:00,19.875,19.875,19.87,19.875,3722
2024-03-22 14:06:00,19.875,19.88,19.87,19.88,2617
2024-03-22 14:05:00,19.875,19.88,19.875,19.88,2269
2024-03-22 14:04:00,19.875,19.88,19.875,19.88,640
2024-03-22 14:03:00,19.875,19.886,19.87,19.875,18777
2024-03-22 14:02:00,19.88,19.88,19.875,19.875,3615
2024-03-22 14:01:00,19.88,19.88,19.875,19.88,3725
2024-03-22 14:00:00,19.865,19.88,19.865,19.88,12507
2024-03-22 13:59:00,19.865,19.87,19.86,19.865,59056
2024-03-22 13:58:00,19.865,19.865,19.865,19.865,1119
2024-03-22 13:57:00,19.865,19.87,19.865,19.865,1731
2024-03-22 13:56:00,19.885,19.885,19.86,19.861,8491
2024-03-22 13:55:00,19.865,19.9,19.865,19.885,39829
2024-03-22 13:54:00,19.86,19.87,19.85,19.87,11701
2024-03-22 13:53:00,19.87,19.875,19.86,19.86,9704
2024-03-22 13:52:00,19.875,19.875,19.87,19.87,1868
2024-03-22 13:51:00,19.875,19.88,19.875,19.88,6514
2024-03-22 13:50:00,19.865,19.875,19.863,19.875,7372
2024-03-22 13:49:00,19.885,19.888,19.87,19.87,10548
2024-03-22 13:48:00,19.88,19.89,19.88,19.885,5734
2024-03-22 13:47:00,19.875,19.88,19.875,19.877,4313
2024-03-22 13:46:00,19.875,19.88,19.875,19.875,4326
2024-03-22 13:45:00,19.855,19.875,19.85,19.87,13483
2024-03-22 13:44:00,19.87,19.87,19.85,19.85,5371
2024-03-22 13:43:00,19.88,19.88,19.87,19.87,3421
2024-03-22 13:42:00,19.88,19.89,19.88,19.885,2326
2024-03-22 13:41:00,19.885,19.885,19.88,19.885,2452
2024-03-22 13:40:00,19.885,19.89,19.884,19.885,4972
2024-03-22 13:39:00,19.89,19.89,19.885,19.89,3568
2024-03-22 13:38:00,19.89,19.9,19.89,19.89,7882
2024-03-22 13:37:00,19.885,19.89,19.88,19.89,3433
2024-03-22 13:36:00,19.885,19.89,19.885,19.885,1439
2024-03-22 13:35:00,19.895,19.9,19.885,19.885,4585
2024-03-22 13:34:00,19.895,19.895,19.895,19.895,1616
2024-03-22 13:33:00,19.89,19.9,19.89,19.895,6133
2024-03-22 13:32:00,19.885,19.89,19.88,19.89,2528
2024-03-22 13:31:00,19.885,19.885,19.885,19.885,1925
2024-03-22 13:30:00,19.885,19.895,19.875,19.89,13416
2024-03-22 13:29:00,19.9,19.9,19.885,19.885,6383
2024-03-22 13:28:00,19.905,19.91,19.9,19.9,5210
2024-03-22 13:27:00,19.905,19.905,19.9,19.905,1987
