,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,187.56,187.67,187.46,187.49,34756
2024-03-22 15:58:00,187.71,187.765,187.42,187.5,31725
2024-03-22 15:57:00,187.82,187.85,187.705,187.72,8263
2024-03-22 15:56:00,187.8,187.98,187.8,187.855,9664
2024-03-22 15:55:00,187.875,187.92,187.82,187.82,7811
2024-03-22 15:54:00,187.84,187.96,187.815,187.85,8654
2024-03-22 15:53:00,187.96,187.96,187.81,187.82,8556
2024-03-22 15:52:00,187.96,188.02,187.95,187.97,4842
2024-03-22 15:51:00,187.97,188.03,187.95,187.97,6550
2024-03-22 15:50:00,187.91,188.1,187.885,187.94,11272
2024-03-22 15:49:00,187.87,187.925,187.86,187.88,6673
2024-03-22 15:48:00,187.87,187.966,187.87,187.92,8284
2024-03-22 15:47:00,187.96,187.97,187.86,187.86,3433
2024-03-22 15:46:00,188.08,188.08,187.985,187.985,2170
2024-03-22 15:45:00,188.21,188.21,188.08,188.08,4846
2024-03-22 15:44:00,188.28,188.318,188.23,188.23,2420
2024-03-22 15:43:00,188.235,188.235,188.22,188.22,664
2024-03-22 15:42:00,188.33,188.33,188.22,188.22,2597
2024-03-22 15:41:00,188.33,188.36,188.31,188.36,725
2024-03-22 15:40:00,188.36,188.38,188.32,188.345,3173
2024-03-22 15:39:00,188.46,188.48,188.3,188.335,4230
2024-03-22 15:38:00,188.495,188.495,188.45,188.49,1910
2024-03-22 15:37:00,188.47,188.54,188.47,188.495,1444
2024-03-22 15:36:00,188.53,188.55,188.46,188.5,3500
2024-03-22 15:35:00,188.63,188.635,188.53,188.53,1929
2024-03-22 15:34:00,188.66,188.66,188.58,188.65,894
2024-03-22 15:33:00,188.74,188.77,188.69,188.69,1597
2024-03-22 15:32:00,188.79,188.815,188.78,188.815,1037
2024-03-22 15:30:00,188.765,188.835,188.765,188.78,962
2024-03-22 15:28:00,188.78,188.78,188.68,188.68,2231
2024-03-22 15:27:00,188.85,188.86,188.85,188.85,773
