,1. open,2. high,3. low,4. close,5. volume
2024-03-22 15:59:00,191.798,192.04,191.65,192.03,46952
2024-03-22 15:58:00,191.91,191.935,191.75,191.8,13728
2024-03-22 15:57:00,191.94,191.98,191.9,191.91,8113
2024-03-22 15:56:00,191.95,192.0,191.93,191.94,8760
2024-03-22 15:55:00,192.07,192.1,191.93,191.96,5212
2024-03-22 15:54:00,192.17,192.17,192.07,192.07,4223
2024-03-22 15:53:00,192.025,192.165,192.02,192.165,7293
2024-03-22 15:52:00,192.0,192.05,192.0,192.02,8154
2024-03-22 15:51:00,192.0,192.04,192.0,192.01,5244
2024-03-22 15:50:00,192.05,192.12,191.94,191.965,9665
2024-03-22 15:49:00,191.97,192.03,191.95,192.03,2972
2024-03-22 15:48:00,191.94,191.99,191.94,191.98,1957
2024-03-22 15:47:00,191.989,192.01,191.96,191.97,3012
2024-03-22 15:46:00,191.96,192.0,191.94,192.0,1490
2024-03-22 15:45:00,192.025,192.05,191.97,191.97,2714
2024-03-22 15:44:00,192.0,192.04,192.0,192.03,3702
2024-03-22 15:43:00,192.0,192.0,191.97,191.97,1144
2024-03-22 15:42:00,192.0,192.045,192.0,192.01,3352
2024-03-22 15:41:00,191.92,191.96,191.92,191.96,725
2024-03-22 15:40:00,191.89,191.93,191.89,191.93,2001
2024-03-22 15:39:00,191.85,191.85,191.835,191.835,773
2024-03-22 15:37:00,191.865,191.87,191.83,191.83,1941
2024-03-22 15:36:00,191.86,191.91,191.86,191.91,527
2024-03-22 15:35:00,191.86,191.925,191.83,191.9,1338
2024-03-22 15:34:00,191.7,191.85,191.7,191.85,2064
2024-03-22 15:32:00,191.755,191.755,191.755,191.755,520
2024-03-22 15:30:00,191.755,191.755,191.71,191.71,371
2024-03-22 15:29:00,191.75,191.755,191.75,191.755,782
2024-03-22 15:28:00,191.67,191.67,191.67,191.67,301
2024-03-22 15:27:00,191.84,191.84,191.68,191.71,2480
2024-03-22 15:25:00,191.96,191.96,191.845,191.855,1307
2024-03-22 15:24:00,191.91,191.92,191.91,191.92,525
2024-03-22 15:23:00,191.85,191.86,191.82,191.82,1127
2024-03-22 15:22:00,191.81,191.82,191.81,191.82,1012
2024-03-22 15:21:00,191.89,191.89,191.75,191.75,1925
2024-03-22 15:20:00,191.995,192.0,191.96,191.97,2081
2024-03-22 15:19:00,192.07,192.07,192.0,192.0,1455
2024-03-22 15:17:00,192.045,192.1,192.032,192.09,4708
2024-03-22 15:16:00,192.17,192.17,192.08,192.09,1284
2024-03-22 15:15:00,192.09,192.15,192.09,192.15,2004
2024-03-22 15:14:00,192.085,192.15,192.085,192.09,791
2024-03-22 15:13:00,192.085,192.085,192.085,192.085,195
2024-03-22 15:12:00,192.155,192.155,192.082,192.12,1978
2024-03-22 15:11:00,192.13,192.16,192.09,192.155,2138
2024-03-22 15:10:00,192.1,192.1,192.096,192.1,497
2024-03-22 15:09:00,192.02,192.15,192.02,192.135,2216
2024-03-22 15:08:00,192.015,192.04,191.98,192.025,1510
2024-03-22 15:07:00,192.03,192.055,191.97,192.0,3433
2024-03-22 15:06:00,191.99,192.0,191.97,192.0,1628
2024-03-22 15:05:00,192.01,192.02,192.0,192.005,959
2024-03-22 15:04:00,192.005,192.005,192.005,192.005,251
2024-03-22 15:03:00,192.02,192.02,191.98,192.01,2822
2024-03-22 15:02:00,192.02,192.06,191.997,192.025,2719
2024-03-22 15:01:00,192.015,192.02,192.0,192.02,737
2024-03-22 15:00:00,192.015,192.015,191.99,192.015,318
2024-03-22 14:58:00,192.01,192.015,192.01,192.015,570
2024-03-22 14:57:00,192.02,192.02,192.02,192.02,404
2024-03-22 14:56:00,191.94,192.03,191.93,192.025,12197
2024-03-22 14:55:00,191.93,191.99,191.93,191.96,2164
2024-03-22 14:54:00,191.97,191.97,191.96,191.96,287
2024-03-22 14:53:00,191.93,191.98,191.89,191.98,6546
2024-03-22 14:52:00,191.96,191.96,191.96,191.96,334
2024-03-22 14:51:00,191.93,191.98,191.93,191.96,2319
2024-03-22 14:50:00,191.94,191.95,191.94,191.95,1061
2024-03-22 14:49:00,192.033,192.033,191.965,192.0,1120
2024-03-22 14:48:00,192.013,192.013,192.013,192.012,188
2024-03-22 14:47:00,192.0,192.07,192.0,192.07,1501
2024-03-22 14:46:00,191.99,192.04,191.99,192.04,2984
2024-03-22 14:45:00,191.96,192.0,191.9,191.99,7438
2024-03-22 14:44:00,191.99,192.025,191.84,192.025,13872
2024-03-22 14:43:00,192.01,192.01,191.94,191.99,7767
2024-03-22 14:42:00,192.0,192.02,192.0,192.02,1949
2024-03-22 14:41:00,192.0,192.01,191.97,192.0,4093
2024-03-22 14:40:00,192.02,192.02,192.02,192.02,360
2024-03-22 14:39:00,192.025,192.03,192.025,192.03,304
2024-03-22 14:38:00,192.025,192.025,192.025,192.025,111
2024-03-22 14:37:00,192.01,192.04,192.01,192.04,2301
2024-03-22 14:36:00,192.005,192.01,191.97,191.99,2205
2024-03-22 14:35:00,192.02,192.02,191.925,191.98,2881
2024-03-22 14:34:00,192.0,192.03,191.98,192.01,2259
2024-03-22 14:33:00,192.03,192.03,191.97,191.99,2678
2024-03-22 14:32:00,192.05,192.05,192.01,192.035,638
2024-03-22 14:31:00,192.065,192.065,192.065,192.065,511
2024-03-22 14:30:00,192.13,192.13,192.12,192.12,531
2024-03-22 14:29:00,192.17,192.17,192.17,192.17,284
2024-03-22 14:28:00,192.12,192.14,192.12,192.13,953
2024-03-22 14:27:00,192.01,192.09,192.01,192.09,4084
2024-03-22 14:26:00,192.03,192.07,191.98,191.995,6813
2024-03-22 14:25:00,192.02,192.025,192.0,192.025,547
2024-03-22 14:24:00,192.035,192.035,191.98,191.99,651
2024-03-22 14:23:00,192.035,192.035,191.99,191.99,307
2024-03-22 14:22:00,191.99,192.01,191.975,192.01,1148
2024-03-22 14:21:00,192.0,192.035,191.98,191.98,911
2024-03-22 14:20:00,192.06,192.06,192.055,192.055,484
2024-03-22 14:19:00,192.03,192.06,192.03,192.06,1030
2024-03-22 14:18:00,192.07,192.07,192.07,192.07,204
2024-03-22 14:17:00,192.08,192.092,192.08,192.09,1166
2024-03-22 14:16:00,192.105,192.14,192.03,192.1,7786
2024-03-22 14:15:00,192.105,192.105,192.105,192.105,249
2024-03-22 14:13:00,192.03,192.14,192.03,192.14,224
2024-03-22 14:12:00,192.11,192.11,192.11,192.11,228
2024-03-22 14:10:00,192.05,192.05,192.05,192.05,146
2024-03-22 14:09:00,192.17,192.17,192.125,192.125,216
