,1. open,2. high,3. low,4. close,5. volume
2014-06-30 15:59:00,28.874,28.941,28.828,28.881,53070
2014-06-30 15:58:00,28.874,28.924,28.819,28.859,18840
2014-06-30 15:57:00,28.883,28.924,28.824,28.855,18540
2014-06-30 15:56:00,28.891,28.937,28.824,28.868,28068
2014-06-30 15:55:00,28.883,28.937,28.832,28.877,25226
2014-06-30 15:54:00,28.9,28.941,28.832,28.873,19036
2014-06-30 15:53:00,28.9,28.946,28.85,28.881,13904
2014-06-30 15:52:00,28.913,28.954,28.854,28.888,15756
2014-06-30 15:51:00,28.909,28.959,28.859,28.894,8826
2014-06-30 15:50:00,28.9,28.95,28.85,28.892,19896
2014-06-30 15:49:00,28.896,28.946,28.85,28.886,8600
2014-06-30 15:48:00,28.892,28.941,28.845,28.881,11324
2014-06-30 15:47:00,28.88,28.937,28.835,28.881,30242
2014-06-30 15:46:00,28.896,28.937,28.832,28.864,29020
2014-06-30 15:45:00,28.9,28.941,28.845,28.877,16714
2014-06-30 15:44:00,28.896,28.941,28.85,28.881,3462
2014-06-30 15:43:00,28.894,28.941,28.848,28.886,6398
2014-06-30 15:42:00,28.896,28.943,28.845,28.881,15294
2014-06-30 15:41:00,28.898,28.941,28.845,28.877,12588
2014-06-30 15:40:00,28.898,28.941,28.845,28.881,11026
2014-06-30 15:39:00,28.896,28.941,28.85,28.884,7760
2014-06-30 15:38:00,28.9,28.941,28.854,28.886,200
2014-06-30 15:37:00,28.913,28.954,28.856,28.888,2800
2014-06-30 15:36:00,28.922,28.965,28.867,28.899,25846
2014-06-30 15:35:00,28.926,28.967,28.876,28.908,1800
2014-06-30 15:34:00,28.931,28.974,28.88,28.912,5142
2014-06-30 15:33:00,28.939,28.981,28.88,28.912,6800
2014-06-30 15:32:00,28.939,28.985,28.893,28.925,7842
2014-06-30 15:31:00,28.948,28.989,28.893,28.927,7350
2014-06-30 15:30:00,28.957,28.998,28.902,28.934,8800
2014-06-30 15:29:00,28.953,28.994,28.902,28.938,4030
2014-06-30 15:28:00,28.944,28.989,28.898,28.934,1600
2014-06-30 15:27:00,28.933,28.976,28.885,28.921,2190
2014-06-30 15:26:00,28.942,28.985,28.889,28.921,3800
2014-06-30 15:25:00,28.931,28.981,28.885,28.925,7652
2014-06-30 15:24:00,28.935,28.976,28.885,28.921,1400
2014-06-30 15:23:00,28.935,28.976,28.889,28.921,200
2014-06-30 15:22:00,28.935,28.976,28.885,28.921,1300
2014-06-30 15:21:00,28.944,28.989,28.885,28.916,5800
2014-06-30 15:20:00,28.953,28.994,28.898,28.929,2300
2014-06-30 15:19:00,28.941,28.989,28.895,28.934,2636
2014-06-30 15:18:00,28.944,28.985,28.898,28.929,400
2014-06-30 15:17:00,28.944,28.989,28.898,28.929,3000
2014-06-30 15:16:00,28.939,28.985,28.893,28.929,1000
2014-06-30 15:15:00,28.922,28.976,28.876,28.921,7400
2014-06-30 15:14:00,28.926,28.967,28.88,28.912,4268
2014-06-30 15:13:00,28.918,28.967,28.872,28.912,1400
2014-06-30 15:12:00,28.918,28.959,28.872,28.903,200
